id,english,arabic,french,uri,description,vt,uatv
209860,'declared' camping ground,مخيم مجاز، مخيم معلن,Terrain de comping 'delaré ',http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209860,,True,True
209861,A la carte,اختيارات، مزاجيات حسب الطلب,A la carte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209861,,True,True
209862,A la carte cuisine,مطعمة ذوقية، مطبخ اختياري، طعام حسب الطلب,Cuisine à la carte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209862,,True,True
209863,A la carte dinner menu,وجبة عشاء ذوقية، قائمة طعام عشاء بالاختيار، وجبة عشاء حسب الطلب,Diner-menu à la carte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209863,,True,True
209864,A la carte meal,وجبة اختيارية، وجبة حسب الاختيار، وجبة حسب الطلب,Repas à la carte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209864,قائمة أصناف يختار منها الزبون ما يشتهي دون قيد),True,True
209865,A la carte restaurant,مطعم ذوقي,Restaurant à la carte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209865,,True,True
209866,A la carte trip,رحلة اختيارية، رحلة ذوقية، رحلة حسب الطلب,Voyage à la carte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209866,,True,True
209867,A posteriori cancellantion,إلغاء متأخر,Annulation à posteriori,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209867,,True,True
209868,AB (advance purchase far lower level),أبكس ممتاز,Apex niveau le plus bas; Super Apex,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209868,,True,True
209869,ABC (advance booking charter),طيران عارض بحجز مسبق,VARA (vol affrêté avec réservation a l'avance),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209869,,True,True
209992,APT (advanced passenger train),قطار فائق السرعة، شملال,TGV (train à grande vitesse),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209992,,True,True
210019,ATV (all terrain vehicle),عربة متعددة الأغراض,VTT (véhicule tout terrain),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=210019,,True,True
209870,Aboard,على متن,a bord,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=209870,,True,True
