id,english,arabic,french,german,uri,description,vt,uatv
90018,"'ABS indicator light 'red', motor vehicle'",لمبة التحذير الحمراء الخاصة بنظام منع غلق العجلات (ABS) - السيارة القاطرة,témoin d'avertissement rouge de véhicule à moteur ABS [m.],"ABS-Warnleuchte 'rot' [f.], Motorwagen",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=90018,لمبة توجد مُركّبة في [وحدة المعلومات](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=90040)، ويتم تمييزها بالحروف 'ABS'. وهي تضيء باللون 'الأحمر' بعد تشغيل مفتاح القيادة، وتنطفئ عند القيادة بسرعة أعلى من 7 - 10 كم/ ساعة. كما أنها تضيء باستمرار أثناء السير في حالة رصد أي عطل من خلال دائرة أمان إلكترونيات نظام منع غلق العجلات (ABS)، حيث حيتم تخزين العطل في ذاكرة الأعطال، وإيقاف نظام منع غلق العجلات (ABS) بأكمله أو أجزاء منه عن العمل. ويحدث هذا أيضاً عندما يكون الإيقاف فعَّالاً من خلال مفتاح القيادة على الطرق الوعرة الخاص بنظام منع غلق العجلات (ABS).,True,True
91252,'ABS warning light ''red'' trailer',المصباح التحذيري 'الأحمر' لنظام منع غلق العجلات (ABS),témoin d'alerte « rouge » ABS de remorque (m.),ABS-Warnleuchte 'rot' Anhänger [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=91252,يؤدي هذا المصباح نفس وظائف المصباح التحذيري 'الأحمر' لنظام منع غلق العجلات (ABS) في السيارة القاطرة. وهو يُنبه السائق إلى وجود خلل في المقطورة. وإذا كانت الوحدة الإلكترونية لنظام منع غلق العجلات (ABS)/نظام التحكم في الجر (TCS) بالمقطورة تحصل على الفلطية اللازمة من ضوء فرامل المقطورة، فلن يمكن عندئذ لدائرة الأمان أن تتعرّف على الموقف وتؤدي عملها إلا عند الفرملة. وبالنسبة للمقطورة يكون المصباح التحذيري 'الأحمر' لنظام ABS مُركباً بالمقطورة نفسها، أي أنه لا يمكن فحصه قبل بدء السير إلا عند تشغيل الفرامل. كما يمكن أن يُضيء المصباح باللون 'البرتقالي'.,True,True
89520,'EBS warning lamp 'red' [UK] / EBS warning light 'red' [US]',لمبة تحذير نظام الفرامل المحكوم إلكترونياً 'حمراء',témoin d'alerte « rouge » d'EBS [m.],EBS-Warnleuchte 'rot' [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=89520,,True,True
90019,"'info light ''yellow'', ABS detection trailer'",لمبة البيان 'الصفراء' للتعرّف على عمل نظام منع غلق العجلات (ABS) بالمقطورة,témoin d'information jaune de détection de remorque ABS [m.],"Infoleuchte 'gelb', ABS-Erkennung Anhänger [f.]",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=90019,توجد مُركّبة في [وحدة المعلومات](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=90040) في مجموعة أجهزة القياس والبيان بالسيارات المُزودة بمنظومة الفرامل الهوائية ونظام منع غلق العجلات (ABS). لا توجد هذه اللمبة في السيارات التي يجري فيها إمداد الوحدة الإلكترونية لنظام منع غلق العجلات (ABS)/ نظام التحكم في الجر (TCS) بالتيار الكهربائي من خلال ضوء الفرامل. وتوجد هذه اللمبة في نطاق رؤية السائق، وتميزها الحروف 'ABS'. وتضيء لمبة البيان : أ) بعد تشغيل مفتاح القيادة في المرحلة الأولى، ب) باستمرار، في حالة ما إذا كانت المقطورة لا تحتوي على نظام منع غلق العجلات (ABS)، أو جـ) باستمرار، في حالة انقطاع الوصلة الكهربائية الموصلة للمقطورة.,True,True
89521,2-channel ABS,نظام منع غلق العجلات (ABS) ثنائي القناة,ABS 2 canaux [m.],2-Kanal ABS [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=89521,,True,True
87590,2-point control,التحكم ثنائي النقاط,régulation tout ou rien [f.],2-Punkt –Regelung [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=87590,,True,True
87589,2/2-port directional control valve,صمام توجيهي 2/2,distributeur 2/2 voies [m.],2/2-Wegeventil [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=87589,,True,True
89351,3-point safety belt,حزام الأمان ثُلاثي النقاط,ceinture de sécurité à trois points [f.],3-Punkt-Sicherheitsgurt [m.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=89351,يُعتبر من ضمن تجهيزات الحماية والأمان المنصوص على استخدامها في السيارات، فهو يمتاز على التصميم السابق لأحزمة الأمان على هيئة (رابط: أحزمة الحوض)) بأنه يقوم من خلال تثبيته في ثلاث نقاط بتوفير مُستوى أفضل من الحماية لمُستخدمه من رُكّاب السيارة عند وقوع حادث، حيث أنه لا يُثبّت منطقة حوض الراكب فقط في المقعد، بل وكذلك الجزء العلوي من جسمه، (انظر: حزام الأمان).,True,True
87630,3/2-port directional control valve,صمام توجيهي من النوع 2/3,électrovanne 3/2 voies [f.],3/2-Wegeventil [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=87630,صمام يعمل على تهوية أسطوانات التشغيل في منظومات الفرامل البنيوماتية وتصريف الهواء منها. ويوجد منه تصميمات متنوعة تتيح إمكانية التشغيل الميكانيكي أو الكهرومغناطيسي.وهذه الصمامات مزودة بثلاث وصلات ضغط وتحتوي على وضعين من أوضاع التشغيل (2/3).,True,True
91283,3/2-port solenoid valve ventilated,صمام مغناطيسي توجيهي للتهوية من نوع 2/3,"électrovanne 3/2 voies, admission [f.]",3/2-Wege-Magnetventil belüftend [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=91283,صمام يعمل على ملء أسطوانات التشغيل بالهواء عند إمداد المغناطيس الكهربائي بالتيار، على سبيل المثال في منظومات الفرامل الهوائية المُزودة بنظام منع غلق العجلات (ABS).وبعد قطع الإمداد بالتيار يُصرف الهواء من أسطوانة التشغيل عبر هذا الصمام.,True,True
91284,3/2-port solenoid valve ventilated,صمام مغناطيسي توجيهي لتصريف الهواء من نوع 2/3,"électrovanne 3/2 voies, échappement [f.]",3/2-Wege-Magnetventil entlüftend [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=91284,صمام يعمل على تصريف الهواء من أسطوانات التشغيل عند إمداد المغناطيس الكهربائي بالتيار، على سبيل المثال في منظومات الفرامل الهوائية المُزودة بنظام منع غلق العجلات (ABS).وبعد قطع الإمداد بالتيار يتم ملء أسطوانة التشغيل بالهواء عبر هذا الصمام.,True,True
90552,3D ignition map,مُخطط خصائصي ثلاثي الأبعاد,courbe caractéristique 3D [f.],3D-Kennfeld [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=90552,[منظومة الإشعال ثلاثية الأبعاد](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=90553),True,True
90553,3D ignition system,منظومة الإشعال ثلاثية الأبعاد,installation d'allumage 3D [f.],3D-Zündanlage [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=90553,تم اشتقاق هذا المصطلح من مُخطط الإشعال ثلاثي الأبعاد. ويُشار إلى الأبعاد الثلاثية مرة أخرى في الشكل التوضيحي من خلال الحروف A و B و C. فعلى سبيل المثال تُطلق شركة فورد (Ford) هذا المصطلح، على منظومة الإشعال المُستخدمة في المحرك الاقتصادي ذي عمود الكامات العلوي (OHC) سعة 1.6 لتر. وتُعتبر منظومة الإشعال ثلاثية الأبعاد بمثابة نظام إشعال إلكتروني مُزوّد بخاصية الضبط المُسبق للإشعال المحكوم بالكمبيوتر. ولا تحتوي هذه المنظومة على علبة الضغط الخوائي والأوزان الحدّافة في [مُوزع الإشعال](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=90676)، التي تقوم ب[ضبط لحظة الإشعال](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=90672). ويتلقى الكمبيوتر من مُوزع الإشعال إشارات نبضية مُرتبطة بسرعة الدوران، ونبضات ضغط خوائي من مُجمّع السحب.,True,True
89931,3rd brake,الفرملة الثالثة,frein auxiliaire [m.],3. Bremse [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=89931,فرملة يُعد وجودها في منظومة الفرامل الهوائية إلى جانب منظومة فرملة التشغيل و[منظومة فرملة التثبيت](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=89995) أمراً منصوصاً عليه قانوناً وهي تعمل بمثابة [منظومة فرامل مساعدة](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=91316) وذلك دون الارتباط بمنظومة فرملة التشغيل.,True,True
88806,4-Matic,نظام 'فورماتيك' (4-Matic),4-Matic,4-Matic [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=88806,هو نظام مُعقّد للإدارة بجميع العجلات (انظر: نظام الإدارة بجميع العجلات)، ويكون مُدمجاً مع نظام منع غلق العجلات (ABS)، ومن تطوير شركة دايملر بنز (Daimler-Benz). وهو نظام دفع محكوم إلكترونياً وأوتوماتياً، مُزوّد بأربعة حالات للتعشيق (التعشيقة 0 حتى 3): الحالة 1: الدفع الخلفي، الحالة 2: الإدارة بالأربع العجلات مع توزيع غير متساو لعزم الدوران (أماماً 35%، وخلفاً 65%)، الحالة 3: الإدارة بالأربع عجلات مع التعطيل الفرقي في الاتجاه الطولي والعرضي (بالخلف)، وذلك على سبيل المثال في حالة دوران العجلات الأمامية فوق أرض أسفلتية، والعجلات الخلفية فوق أرض جليدية. ويتعرّف الكمبيوتر على حالة التعشيق المناسبة تبعاً للحاجة، ويقوم كذلك بتنفيذها، حيث تُنقل أوامره هيدرولياً إلى القوابض الميكانيكية مُتعددة الأقراص. ولا تستخدم شركة دايملر-بنز تجهيزات التعطيل اللزجة، بل تستخدم تجهيزات التعطيل الشرائحية التقليدية في الصندوق الفرقي للمحور الخلفي وفي الصندوق الفرقي الأوسط (مثلما تفعل شركة بورشه (Porsche) في طراز سيارتها 959). ويتم التحكم في تأثير التعطيل بشكل مُتغير وسريع للغاية عن طريق النظام الهيدرولي. وعند الضغط على دوّاسة الفرامل يتم إلغاء تأثير التعطيل فجأة، وبالتالي يوقف نظام الإدارة بالعجلتين الأماميتين، في حين يتم الحفاظ على الاتزان أثناء القيادة، ويستمر نظام منع غلق العجلات (ABS) في أداء وظيفته على النحو الكامل. ويتفرّع سريان القوة المُتجهة إلى العجلات خلف صندوق التروس (اليدوي والأوتوماتي) في صندوق التروس الفرقية الكوكبية المُوصّل. كما يقوم عمود الإدارة المفصلي الأمامي بإدارة العجلات الأمامية عند الحاجة، عن طريق صندوق التروس الفرقية وعن طريق الأعمدة الجانبية. ولاختيار كل حالة تعشيق يقوم الحاسب بصفة مُستمرة بتسجيل ومُعالجة العناصر التالية: سرعة دوران العجلتين الأماميتين (عن طريق الحسّاسات التي يوفرها نظام منع غلق العجلات (ABS))، وكذلك سرعة دوران أعمدة الإدارة المفصلية بالخلف، وعلاوة على ذلك يقوم حسّاس موجود أسفل عجلة القيادة برصد زاوية التوجيه، كما يقوم مُلامس عند مفتاح الفرامل برصد عملية الفرملة. وعن طريق عدد لفات العجلة يحسب الكمبيوتر سرعة السير، ونسبة التسارع، وكذلك الفارق بين عدد لفات العجلات الأمامية والعجلات الخلفية، أي الانزلاق. وبالنسبة للقيادة في المُنحنيات يُحسب الفارق في عدد لفات كلتا العجلتين الأماميتين بالنسبة لزاوية التوجيه. وفي عمليات الحساب تُراعى تلك الفروق في عدد اللفات التي تطرأ بفعل التحميل، وضغط الهواء، وبلى الإطارات. وتكون جميع هذه القيم المُقاسة والمُحسوبة بمثابة أساس بالنسبة لوحدة التحكم، تقوم بناءً عليه بتشغيل تجهيزات التعطيل أو إيقافها تبعاً للحاجة. وتنطلق السيارة - حتى سرعة معينة - دائماً على التعشيقة الأولى مع الإدارة بجميع العجلات. ومع التسارُع القوي نسبياً (حيث تكون القيمة الفعلية أكبر من القيمة المرجعية الوسطى) تبقى أيضاً إمكانية الإدارة بالعجلات الأربع مُتاحة. وفي حالة حدوث انزلاق بين المحاور، يتم تشغيل نظام الإدارة بجميع العجلات في غضون عُشْر (واحد على عشرة) من الثانية (التعشيقة 1). فإذا لم يكن ذلك كافياً، يقوم أولاً الصندوق الفرقي المركزي بالتعطيل (التعشيقة 2)، ثم الصندوق الفرقي الخلفي بعده (التعشيقة 3). ويحدث كل ذلك بمرونة وسلاسة وسرعة، بحيث لا يشعر أي من الرُكّاب بكل ذلك.,True,True
89522,4-channel ABS,نظام منع غلق العجلات (ABS) رباعي القناة,ABS 4 canaux [m.],4-Kanal ABS [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=89522,,True,True
91285,4-circuit protection valve,صمام حماية رباعي الدوائر,valve de protection à 4 circuits [f.],4-Kreis-Schutzventil [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=91285,(انظر: صمام الحماية مُتعدد الدوائر) هو تجهيزة أمان موجودة في منظومات الفرامل الهوائية. ويقسم صمام الحماية رباعي الدوائر منظومة الفرامل الهوائية إلى أربع دوائر منفصلة: دائرة فرملية 1 (للمحور الأمامي)، ودائرة فرملية 2 (للمحور الخلفي)، ودائرة فرملة اليد/ الفرملة المساعدة ومعها دائرة التحكم في المقطورة، بالإضافة إلى دائرة فرملة المحرك. ويتيح هذا النظام إمكانية تأمين ضغط الإمداد للدوائر السليمة إذا توقفت دائرة أو أكثر عن العمل جراء الفقد في الضغط.,True,True
88807,4-motion,نظام الدفع الرُباعي 'فور موشن' (4 Motion),4 Motion,4 Motion [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=88807,توصيف ابتكرته شركة فولكس فاجن (VW) لنظام الإدارة بجميع العجلات.,True,True
