id,english,arabic,french,german,uri,description,vt,uatv
56869,,حزام انتقاء,Tapis à Tri Manuel,Sortierband,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=56869,حزام ناقل للنفايات الصلبة لتمكين العامل من فرز يدوي للمواد المراد إزالتها أو انتقاؤها، إما لإعادة تدويرها أو لأنها تتداخل مع معالجة لاحقة للنفايات.,False,False
70715,'when' and 'where' flexibility,مرونة 'متى' و 'أين',flexibilité 'quand' et 'où','Wann' und 'Wo' Flexibilität,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=70715,القدرة على اختيار الوقت (متى) أو الموقع (أين) لتطبيق خيار التخفيف أو نظام التكيف من أجل الحد من التكاليف المرتبطة بتغير المناخ.,False,False
56124,(temporary) storage,تخزين (مؤقت),stockage (temporaire),(Temporäre) Lagerung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=56124,احتفاظ أو تخزين مؤقت للنفايات البلدية الصلبة، في انتظار جمعها ونقلها ومعالجتها أو التخلص منها، في حاويات، وخزانات، وأكوام النفايات.,False,False
67759,- cooperation,تعاون,coopération,Zusammenarbeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=67759,تفاعل يتيح نمو كائن حي (نوع) من خلال حماية وتحسين نمو وتطور كائن حي (نوع) آخر.,False,False
67845,- functional oriented stress,إجهاد وظيفي موجه,stress orientée fonctionnelle,Funktionsorientierte Belastung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=67845,الاستجابة الديناميكية للكائن الحي ككل والتي يمكن أن تؤدي إلى خاصية.,False,False
67861,- heterotrophic,غيري التغذية,hétérotrophes,heterotrophe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=67861,كائن حي (الحيوانات والفطريات ومعظم البكتيريا) مع طلب على مركبات عضوية غنية بالطاقة من إنتاج غيره.,False,False
70803,"1,3-dichloropropene",1،3-ثنائي كلورو بروبين,"1,3-dichloropropène","1,3-Dichlorpropen",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=70803,مركب كيميائي صيغة: C3H4Cl2، مادة تستخدم كمبيد للحشرات. بسبب ارتفاع معدل تبخرها وتطايرها فمن المؤكد أن جزءا كبيرا من الكميات المستعملة يجد طريقه إلى الجو خلال تطبيق ويتفاعل مع الأوزون والهيدروكسيل.,False,False
70428,2-hexanone,هيكسانون-2,2-hexanone,2-Hexanon,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=70428,صيغته الكيميائية: C6H12O، وهو من المركبات العضوية المتطايرة (VOC) والتي تمثل عائلة كبيرة من المركبات المحتوية على الكربون والتي تنبعث في الغلاف الجوي من مجموعة متنوعة من العمليات الصناعية. للهيكسانون-2 القدرة على المساهمة مباشرة في ظاهرة الاحتباس الحراري عن طريق امتصاص الأشعة تحت الحمراء المنبعثة من سطح الأرض. عموما، المركبات العضوية المتطايرة الأكثر تعقيدا، تكون قدرتها أكبر على امتصاص الأشعة تحت الحمراء. كما للهيكسانون-2 القدرة على المساهمة بشكل غير مباشر في ظاهرة الاحتباس الحراري من خلال التغير في تركيز الأوزون، وهو غاز دفيئ قوي.,False,False
72172,350.org,350.org,350.org,350.org,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=72172,حملة دولية تهدف إلى رفع الوعي بأزمة المناخ وحلول الوقود اللازمة لذلك. عدد 350 يمثل تركز ثاني أكسيد الكربون في الغلاف الجوي (في أجزاء لكل مليون ppm) الذي يقدر العلماء أنه قد يكون الحد الأقصى للتركز الذي يمكن أن تتحمله الأرض. ويفترض بأن تركيزا لثاني أكسيد الكربون أكبر من 350ppm سيسرع من تأثيرات ظاهرة الاحتباس الحراري. تنظم 350.org تظاهرات في جميع أنحاء العالم لإثبات انتشار مخاوف كبيرة بشأن قضايا تغير المناخ، بقصد تحفيز القيادات السياسية إلى الالتزام بخفض انبعاثات الكربون بنسبة 80٪ بحلول عام 2050.,False,False
57004,Aerosol,هباء جوي,Aérosol,Aerosol,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=57004,"قطرات سائلة دقيقة أو جسيمات من مواد صلبة بحجم يصل إلى 100 (mm)  عالقة في تدفق غازي أو في الغلاف الجوي. نظرا لصغر حجمها، فإنها يمكن تشتيتها بسهولة.
هناك نوعان: هباء تكثيف، ويتشكل عندما يتم تبريد غازات محملة بالرطوبة، وهباء جوي تشتتي، الذي يتشكل من تفكك مواد صلبة أو تذرية سوائل.",False,False
56654,"Analysis, proximate",تحليل، تقريبي,Analyse Immédiate,Kurzanalyse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=56654,طريقة بسيطة لتحليل الوقود الصلب لقياس نسب الرطوبة الحرة، والمواد المتطايرة والرماد والكربون الثابت. يستخدم التحليل التقريبي للتأكد من جودة الشحنات المتوصل بها ولمتابعة الأشغال اليومية.,False,False
