id,english,arabic,french,uri,description,vt,uatv
118366,AAA bonds,سندات ممتازة، سندات الدرجة الأولى,obligations cotées AAA; obligations de première qualité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118366,,True,True
119805,"CIF (Cost, Insurance, Freight)",خالص القيمة وأجرة الشحن ورسم التأمين,"CAF(Coût, assurance, fret)",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=119805,,True,True
119806,CIF price,سعر 'سيف',prix CAF,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=119806,تكلفة البضاعة مع أجور شحنها  وتأمينها,True,True
121412,European common market,'السوق الأوروبية المشتركة',marché commun européen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=121412,,True,True
121413,European economic community,'الجماعة الاقتصادية الأوروبية',communauté économique européenne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=121413,,True,True
121414,European integration,تكامل أوروبي,intégration européenne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=121414,,True,True
121896,FOB prices,ثمن(ال..) تسليم ظهر السفينة، ثمن 'فوب',prix.FOB,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=121896,,True,True
122429,I owe you (I.O.U),اقرار بالدين,reconnaissance de dette,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=122429,,True,True
123166,LIBOR,متوسط سعر الدولار الأوربي السائد في بنوك لندن,LIBOR,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=123166,,True,True
123507,Marxian socialism,الاشتراكية الماركسية,socialisme marxiste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=123507,,True,True
123508,Marxism,الماركسية,marxisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=123508,,True,True
124174,Ottawa agreement,اتفاق أوتاوا,accords d'Ottawa,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=124174,أبرم في 1932 بين البلاد الأعضاء في رابطة الكومنولث البريطاني لتخفيض الحواجز الجمركية فيما بينها,True,True
124175,Ouchy convention,اتفاق أوشي,convention d'Ouchy,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=124175,أبرم في  يوليو 1932 بين ابلجيكا واللكسمبورغ وهولندة لتخفيض الحواجز الجمركية فيما بينها,True,True
118367,abandonment,ترك، تنازل,abandon; délaissement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118367,عن سلع، عن حق خيار,True,True
118368,abandonment value,قيمة الترك,valeur de délaissement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118368,,True,True
118369,abatement,تخفيض,abattement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118369,إنقاص,True,True
118370,abatement of insurance,إنقاص التأمين، تخفيض التأمين,réduction d'assurance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118370,,True,True
118371,abatement of taxes,إنقاص الضرائب، تخفيض الضرائب,abattement des impôts,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118371,,True,True
118372,abbreviation,اختزال,abréviation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118372,,True,True
118373,ability to pay,قدرة على الدفع,capacité de paiement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118373,,True,True
118374,abnormal costs,تكاليف غير عادية,coûts anormaux,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118374,,True,True
118375,abnormal gains,مكاسب غير عادية,gains anormaux,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118375,,True,True
118376,abnormal losses,خسائر غير عادية,pertes exceptionnelles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118376,,True,True
118377,abolition,إلغاء,abolition,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118377,,True,True
118378,above part,فوق سعر التعادل,au-dessus du pair,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118378,,True,True
118379,above quota,خارج الحصة,hors contingent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118379,,True,True
118380,above the line,نفقات عادية، إيرادات عادية,ordinaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118380,,True,True
118381,abrogation,إبطال,abrogation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118381,أو نسخ,True,True
118382,absenteeism,تغيب ممتد,absentéisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118382,عن العمل,True,True
118383,absolute advantages,مزايا مطلقة,avantages absolus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118383,,True,True
118384,absolute cost differences,تفاوتات صارخة في التكاليف,différences absolues de coûts,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118384,,True,True
118385,absolute data,بيانات مطلقة,données absolues,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118385,معطيات,True,True
118386,absolute deviation,انحراف مطلق,écart absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118386,,True,True
118387,absolute monopoly,احتكار مطلق,monopole absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118387,,True,True
118388,absolute prices,أسعار مطلقة,prix absolus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118388,,True,True
118389,absolute rent,ريع مطلق,rente absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118389,,True,True
118390,absolute scarcity,ندرة مطلقة,rareté absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118390,,True,True
118391,absorbed overheads,مصاريف محملة,frais absorbés,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118391,غير مباشرة,True,True
118392,absorption capacity of the market,قدرة استيعابية للسوق,capacité d'absorption du marché,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118392,,True,True
118393,absorption costing method,طريقة المصاريف المحملة,méthode de frais d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118393,,True,True
118394,absorption of a company,دمج شركة,absorption d' une société,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118394,في أخرى,True,True
118395,absorption potential,امكانية الاستيعاب,potentiel d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118395,,True,True
118396,absorptive capacity,قدرة استيعابية,capacité d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118396,,True,True
118397,abstract of account,موجز حساب,relevé de compte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118397,,True,True
118398,abundance,وفرة,abondance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118398,,True,True
118399,abundance of man power,وفرة اليد العاملة,abondance de main-d'œuvre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118399,,True,True
118400,abuse of right,إساءة في استعمال الحق,abus de droit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118400,أو تعسف,True,True
118401,accelerated depreciation,إهلاك متسارع,amortissement accéléré,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=118401,اهتلاك,True,True
