id,english,arabic,french,uri,description,vt,uatv
116824,Eccles reserves trap,فخ الاحتياطي الفائض,trappe des réserves excédentaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116824,,True,True
116887,Edgeworth box,صندوق'إدجورث',boîte d'Edgeworth,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116887,,True,True
117035,Food and Agricultural Organization (F.A.O),منظمة الأغذية والزارعة(ماز),Organisation des N.A pour l'alimentation et l'agriculture,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117035,تعمل عى تحسين مستوى التغذية في العالم ورفع الانتاج الزراعي,True,True
117036,Food crops,مزروعات معاشية,culture vivrière,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117036,,True,True
117037,Food processing,تحوير المنتجات الغذائية,transformation de produits alimentaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117037,تحويل صناعي للمنتجات الصناعية,True,True
117038,Food shortage,عجز غذائي,pénurie alimentaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117038,نقص المواد الغذائية,True,True
117039,Food strategy,استراتيجية غذائية,stratégie alimentaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117039,,True,True
117040,Food supplies,امتيار,provisions alimentaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117040,امدادات غذائية,True,True
117041,Food-loose industries,صناعات غير متوطنة، صناعات متنقلة,industries mobiles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117041,,True,True
117090,Giffin goods,سلع جيفين,biens de Giffin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117090,سلع غير خاضعة لقانون الطلب:فكلما انخفض سعرها انخفض الطلب عليها,True,True
117113,Gresham's law,قانون المقريزي,loi Gresham,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117113,قانون سبق أن أوضحه الاقتصادي العربي المقريزي في كتابيه:شذور العقود في ذكر النقود- إغاثة الأمة بكشف الغمة وأعطى أمثلة عملية على انسحاب العملة الجيدة من التداول وسيطرة العملة الرديئة مكانها،كررها كريشام الانجليزي,True,True
117350,Juglar cycle,دورة جوكلار,cycle Juglar,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117350,جوكلار: طبيب واقتصادي فرنسي  فرنسي ترك وصفا دقيقا للدورة الشهرية للمرأة وفترات الاخصاب فيها، يستعمل لتنظيم النسل,True,True
117355,Keynesian economics,اقتصاد كينزي,économie Keynésienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=117355,,True,True
