id,english,arabic,french,german,uri,description,vt,uatv
93090,(EMC) electromagnetic compatibility,توافق (ال...) الكهرمغناطيسي,CEM : compatibilité (f.) électromagnétique,EMV (f.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93090,EMV اختصار للعبارة الألمانية Elektromagnetische Verträglichkeit وهي قدرة تجهيزة كهربائية على العمل في مجالها الكهرومغناطيسي بشكل مُرضِي مع عدم التأثير سلبًا على هذا المجال الذي يوجد به تجهيزات أخرى في نفس الوقت.,True,False
93491,(Selective Compliance Assembly Robot Arm) kinematics,حركية روبوت ذي ذراع آلية تجميعية انتقائية,cinématique (f.) SCARA,SCARA- Kinematik (f.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93491,هو تنسيق شائع لمحاور الحركة في [الروبوت القُطبي](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=93488)، أَي [روبوت](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=93483) له ذراع أفقية، ويُستخدم غالباً في عمليات التجميع، ويكونُ حيّزُ عمله اسطوانياً. من أجل الذراع المُتحرّك في اتجاه أفقي، يلزم وجود محورين دوّارين، يتبعهما محورٌ انتقاليٌ لتأدية حركة الرفع الرأسية. يُتيحُ هذا النسق التركيبي (المُسمَّى بحركية روبوت ذي ذراع آلية تجميعية انتقائية SCARA)، قوى دمج عالية في الاتجاه الرأسي، لأن تلك القوى لا يتمُ استقبالُها عبر مفاصل. يُمكن لهذه الروبوتات أن تكونَ مرنة في الاتجاه الأفقيّ، وغالباً ما تكونُ مُزوَّدة بمحور يد واحد فقط من أجل إدارة الشغلة.,True,False
92052,(precision) gauge block; slip gauge; slip block,قالب قياس متوازي الأسطح,cale (f.) étalon,Parallelendmaß (n.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=92052,هي كتل مُكعَّبة الشكل بطولٍ دقيق، لا تحتمل إلا إزاحةً طفيفة. ويُمكن وضعها جنباً إلى جنب للحصول على أطوالٍ مُختلفة. ونظراً للجودة العالية لأسطحها، فإنها تظل مُتلاحمة بعضها مع بعض تحت تأثير قوة التلاصق.,True,False
93573,(switching) circuit,دائرة وصل وفصل,circuit de commutation (m.),Schaltkreis (m.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93573,تتكون من مجموعة مُرتّبة من المكونات التي يتمّ تجميعها على قاعدة مشتركة (مثل: رُقاقة) فتصبح وِحدة غير قابلة للفصل بعد ذلك، كما يتمّ توصيلها كهربياً. يتمّ إحاطة هذه المجموعة المرتبة بمَبيتٍ مصنوع من مادة لدائنية أو خزف أو معدن. وبدلاً من المكونات المفردة، يُمكن تحقيق مكونات الدائرة في صورة دائرة وصل وفصل، والتي يُمكن اعتبارها مرةً أخرى كعنصر تركيبي. يجب التمييز هنا بين الدوائر المتكاملة والدوائر المهجنة السميكة والدوائر المهجنة الرقيقة. يتمّ تصنيع الدوائر المتكاملة في الهندسة ثنائية القطب وأحادية القطب.,True,False
92966,2-flank A/D converter,مُغيِّر تناظري رقمي ثنائيّ الجوانب,convertisseur A/N (m.) à deux flancs,Zweiflanken-A/D-Wandler (m.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=92966,(انظر: [طريقة الميل المُزدوج](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=92912)),True,False
93582,20 mA current loop,حلقة تيار 20 ملّي أمبير,boucle (f.) de courant 20 mA,20 mA-Stromschleife (f.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93582,واجهة بينية تسلسلية، يُشغَّلها تيارٌ له قيمة ثابتة، تساوي 20 مِلِّي أمبير. يتمُ قطع التيار وإعادة تمريره حسب إيقاع إرسال البيانات. لكل جهاز بيانات طرفي حلقتا تيار: حلقة إرسال وحلقة استقبال. ونظراً لعدم تأثر حلقة التيار 20 مِلِّي أمبير بالتشويش، فإنها تُستخدَم بوجهٍ خاص في التطبيقات التي تُغطّي مسافاتٍ طويلة أو عند وجود مُعدِّات استهلاكها الكهربائيّ مُرتفع في المُحيط القريب من خطوط نقل البيانات. القيمة المنطقية 0 يُقابلها تيارٌ يتراوح بين 0 و3 مِلِّي أمبير، أما القيمة المنطقية 1 فيقابلها تيارٌ يتراوح بين 14 و20 مِلِّي أمبير.,True,False
92120,ADC,مُحوِّل تناظري رقمي,CAD: convertisseur analogique-digital,ADC,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=92120,(انظر: [مُغيِّر تناظري رقمي](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=92896)),True,False
92121,ADC,مُحوِّل تناظري - رقمي,CAN: convertisseur analogique-digital,ADW,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=92121,(انظر: [مُغيِّر تناظري رقمي](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=92896)),True,False
92894,ADC,مُغيِّر تناظري رقمي (A/D),convertisseur (m.) A/N,A/D-Wandler (m.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=92894,(انظر: [مُغيِّر تناظري رقمي](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=92896)),True,False
94589,AI,ذكاء اصطناعي (AI),IA : intelligence (f.) artificielle,KI,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=94589,اختصار المصطلح الألماني Künstliche Intelligenz، بمعنى ذكاء اصطناعي (AI),True,False
93180,AND,علاقة (ال...) المنطقية (و) AND,ET / fonction (f.) ET,AND,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93180,(انظر: العلاقة المنطقية (و) AND),True,False
93237,AND,علاقة (ال...) المنطقية (و) AND,ET,UND,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93237,ينتُج عن بوابة (و) AND إشارةٌ ذات قيمة 1، عندما تحمل كل الدخول إشارات ذات قيمة 1. تُستخدم علامةُ الضرب x أو يُستعاضُ عنها اختيارياً بالرمز Ʌ، من أجل التعبير عن البوابة المنطقية (و) AND، كرمز عملياتي في [الجبر التشغيلي](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=93227).,True,False
93238,AND Normal Form,نموذج العلاقة المنطقية (و) AND,forme (f.) normale ET,UND-Normalform (f.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=93238,يتشابه في معناها مع نموذج العطف النظامي.,True,False
92800,ASCII characters,رموز الكود الأمريكي المعياري لتبادل المعلومات (ASCII),ASCII-Zeichen (n.),signe (m.) ASCII,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=92800,(انظر: كود (ال...) الأمريكي المعياري لتبادل المعلومات (ASCII),True,False
