id,english,arabic,french,uri,description,vt,uatv
181688,AEGIS,نظام إيجيس,AEGIS,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181688,نظام متكامل محمول على الباخرة، يحتوي على حواسيب ورادارات وصواريخ من شأنها تأمين مظلة دفاعية للبواخر. يستطيع هذا النظام آلياً اكتشاف وتتبع وتدمير الأسلحة المحمولة جواً وبحراً والأسلحة المنطلقة من اليابسة، وتعمل رادارات هذا النظام على النطاق (S).,True,True
181693,AGC (feed forward…),تحكم ذاتيّ بالكسب للتغذية الأمامية,appui avancé de l'AGC,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181693,تقنية نبضة رادار مضادة للإجراءات المضادة (ECCM)، تتحكم بزيادة تحميل مكبِّر الرؤية الناتجة عن إشارات ركام أو تشويش أعرض بكثير من عرض نبضة إشارة الرادار.,True,True
181694,AGC capture,إمساك التحكم الذاتيّ بالكسب,capture de l'AGC,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181694,,True,True
181695,AGC deception,خداع التحكم الذاتيّ بالكسب,tromperie de l'AGC,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181695,,True,True
181696,AGC dynamic range control,تحكم (ال..) بالمدى الحركيّ للتحكم الذاتيّ بالكسب,commande de la portée dynamique de l'AGC,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181696,تقنية إلكترونية مضادة للإجراء المضاد، تستخدم في التحكم الآليّ للمسح المخروطيّ لمستقبل رادار التحكم بالنيران.,True,True
181697,AGC on nearby noise,تحكم (ال..) الذاتيّ بالكسب على الضجيج المجاور,AGC au bruit voisin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181697,تقنية تُطبق على رادار التتبع النبضيّ المستخدم لإشارة الضجيج، التي هي قبل وبعد نبضة الإشارة مباشرة، لتتحكم بكسب مكبر في مسار الإشارة في مستقبل الرادار النبضيّ.,True,True
181685,Adcock antenna,هوائيّ أدكوك,antenne adcock,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181685,هوائيان متعامدان تفصل بينهما مسافة تساوي نصف طول الموجة أو أقل، وموصولان بطور عكسيّ ليصدرا نموذج إشعاع على شكل 8.,True,True
181756,Anti-air warfare,حرب مضادة للطيران,guerre antiaérienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181756,تعبير منه : العمليات المطلوبة لتدمير القوى الجوية المعادية، أو لتخفيضها إلى مستوى  مقبول، ويشمل ذلك  التهديد الصاروخيّ  المعادي. ويتضمن إجراءات  مثل : الطائرات الاعتراضية، القاذفات، المدفعية المضادة للطائرات م/ط، صواريخ أرض - جو، أو جو - جو. الإجراءات الإ,True,True
182128,C3 ECM,قيادة وسيطرة واتصالات للإجراءات الإلكترونية المضادة ECM,C3 ECM,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182128,الأساليب التي تُضعف مقدرة نظام 'أمر، تحكم، اتصالات' المعادي من تحقيق أهدافه.,True,True
182239,Doppler effect,أثر دوبلر,effet Doppler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182239,هو تغير تردد إشارة الصدى لهدف متحرك والمستقبل من قبل هوائيّ الرادار عن تردد الإرسال الراداريّ.,True,True
182240,Doppler scintillation,تلألؤ دوبلر,scintillation de Doppler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182240,خطوط الطيفية الدوبلرية المسبَّبة من حركة أجزاء من الطائرة، كمرواح أو ريش العنفة.,True,True
182241,Doppler target recognition,تمييز هدف (دوبلر),identification de cible Doppler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182241,تقنية إجراءات إلكترونية مضادة للإجراءات المضادة ECCM، تستخدم أثر دوبلر لتمييز الأهداف الحقيقية عن الركام أو تشويش الشذرات أو تداخلات أخرى.,True,True
181794,ECCM improving factor,عامل تحسين الإجراءات الإلكترونيات المضادة للإجراءات المضادة,facteur d'amélioration des mesures électroniques contre contre-mesures,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181794,نسبة قدرة (استطاعة) مستوى إشارة ECM، على إنتاج إشارة خرج مستقبِل يستخدم تقنية ECCM، إلى مستوى  إشارة ECM، لإنتاج نفس مستوى الخرج على نفس المستقبِل، دون استخدام تقنية ال ECCM (العامل أكبر من الواحد).,True,True
181797,ECM interrogator,مستجوِب إجراءات إلكترونية مضادة,interrogateur contre-mesures électroniques,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181797,تقنية حرب إلكترونية EW ، تستجوب نظم الإجراءات  الإلكترونية المضادة ECM المعادية، بإرسال ترددات راديوية RF تُحاكي، بصورة قريبة، نظم الإرسال الراديوية الصديقة، بحيث يستجيب نظام الإجراءات الإلكترونية المضادة المعادية، ويمكن استغلال ذلك باختيار أو تصميم. نظام,True,True
181798,ECM pod,حجيرة إجراءات إلكترونية مضادة,cosse (gousse) contre-mesures électroniques,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181798,حاوية تُركب  على جسم الطائرة، السفلي عادةًَ، وتحتوي على عدة مرسلات وتجهيزات إلكترونية مرافقة، تُساهم في أن تخترق الطائرة نظام الدفاع أرض-جو الإلكترونيّ (الراداريّ) المعادي.,True,True
181846,Fraunhofer region,منطقة فراونهوفر,région de Fraunhofer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181846,حيث حقل الهوائيّ يكون مركَّزاً (مُبأراً).,True,True
181856,G- load,حمل G (جاذبية),charge G,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181856,القوة المطبقة على قائد الطائرة وطائرته، بسبب التسارع كتغيير فجائيّ في الاتجاه (مناورة).,True,True
182314,Mach number,عدد ماخ,nombre de Mach,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182314,نسبة سرعة الصاروخ أو الطائرة، إلى سرعة الصوت في الوسط المحيط.,True,True
182512,Q - detection,كشف Q، كشف عامل الجودة,détection Q,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182512,تقنية إجراءات إلكترونية مضادة للإجراءات المضادة ECCM، تُستخدم على رادار التتبع أحادي النبضة (monopulse)، الذي يمكن أن يكشف صدى هدف بوجود تشويش يقف بعيداً (jamming stand off) بتحديد موضع الصفر لهوائيّ مستقبِل أحادي النبضة يُرسل الرادار جمع. الحزمة، ويستقبل,True,True
182513,Q - meter,مقياس عامل الجودة Q,mètre - Q,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182513,,True,True
182514,Q-band,نطاق عامل الجودة Q,bande Q,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182514,نطاق تردديّ يُستخدم في الرادار، ويمتد من 36 إلى 46 جيغاهرتز.,True,True
182010,Van Allen belt,حزام فان ألن,ceinture de Van Allen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182010,نطاق الشدة العالية للإشعاع المحيط بالأرض، ويبدأ من ارتفاعات ألف كيلومتر تقريباً.,True,True
181662,absorber (RADAR),ماصَّة (رادار),absorbeur; absorbant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181662,مادة تسبب تحويلاً غير تعاكسيّ لطاقة الموجة الكهرمغنطيسية الصادمة، إلى شكل آخر للطاقة.,True,True
181663,absorptive chaff,عُصافة ماصَّة,paille absorbante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181663,عُصافة ماصَّة مربكة، متكونة من نواقل ناعمة جداً أو من مواد فحمية، أو مواد أخرى، تمتص القدرة الكهرمغنطسية. تُنشر هذه المادة بين الرادار والهدف على شكل غيوم، أو تُنشر بين جهاز الإرسال وجهاز الاستقبال لنظام اتصالات لاسلكيّ.,True,True
181664,acceleration (maximum...),تسارُع (ال..) الأقصى,accélération maximale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181664,,True,True
181665,acceleration limiting,تحديد التسارع,accélération limitative,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181665,تحديد مقدرة تسارع رادار التتبع إلى الحد الأقصى المتوقع من الطائرة المعادية.,True,True
181666,acceleration maneuver,مناورة التسارع,manœuvre d'accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181666,,True,True
181667,accompanying jamming,تشويش مرافق,brouillage d'accompagnement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181667,,True,True
181668,accuracy,دِقّة,exactitude; précision,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181668,,True,True
181669,acoustic jamming,تشويش صوتيّ,brouillage acoustique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=181669,توليد إشعاعات كهرصوتية لتعطيل العدوّ عن استخدام مشعراته الصوتية، أو لخداع العدوّ في تفسيره للمعطيات المستقلة من هذه المشعرات.,True,True
