id,english,arabic,french,uri,description,vt,uatv
175434,4S-RNA,رنا-4'س',ARN-4S,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175434,,True,True
175435,5-Bromodeoxyuridine,5-برومويوريدين لا أكسجينيّ,5-bromo-déoxy-uridine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175435,مادة شبيهة بالثايميدين يمكن أن تحل محله أثناء انتساخ الدنا.,True,True
175436,5S-RNA,رنا-5'س',ARN-5S,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175436,أصغر أنواع رنا ريبوسوميّ يوجد في جميع الريبوسومات ماعدا في السبحيات.,True,True
175437,A site,موقع أ,site A,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175437,موقع على القسم الكبير من الريبوسومات المساهمة في الترجمة، يرتبط عنده جزيء الرنا الناقل المشحون بحمض أمينيّ، تال ويسمى بموقع ارتباط الأمينو أسيل رنا الناقل.,True,True
175634,A-T/G-C ratio,نسبة 'أ + ث / جي + ج',ratio A-T/G-C,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175634,نسبة كمية زوج الأدنين والثيمين إلى كمية الغوانين والسيتوسين في عينة الدنا تحت الاختبار.,True,True
175500,"A-form; A-structure, A-DNA",بنية أ,structure A,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175500,"إحدى بنيات الدنا التي يكون فيها عدد الأزواج القاعدية في كل لفة من لفات الدنا اللولبيّ أحد عشر زوجا، وتوجد هذه البنية عندما تكون الرطوبة النسبية أقل من 70% انظر : C-Form, B-Form.",True,True
175440,ABO blood groups,زُمَر الدم,groupes sanguins ABO,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175440,"أنواع مختلفة من فصائل الدم تحتوي على مستضدات، وهي نوعان A و B ويتبع لهما زمر الدم O,A,B,AB.",True,True
175603,AP endonuclease,إنزيم نوويّ داخليّ 'أب',endonucléase AP,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175603,إنزيم يقطع الدنا عند جبة 5 الخالية من اليورين أو البيريميدين.,True,True
175442,Abortive transduction,تنبغ مجهض,transduction abortive,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175442,فشل إحلال قطع الصبغيات الجديدة ضمن صبغيات المضيف فتبقى كجسيمات غير قابلة للانتساخ.,True,True
175443,Abortus,جَهيض,avorton,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175443,جنين يطرح ميتا قبل موعد ولادته.,True,True
