id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
219193,Atlantis,أطلنطة,atlantide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219193,,,True,True
219276,Bayat Al-Khassa (private baya),بيعة(ال...) الخاصة,l'allégeance particulière,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219276,,,True,True
216397,Beaufort scale,مقياس بوفورت,échelle de Beaufort; strate,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=216397,,,True,True
216402,Behavioural geography,الجغرافيا السلوكية,géographie comportementale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=216402,,,True,True
219301,Bethlehem,بيت لحم,bethleem,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219301,,,True,True
216466,Brückner cycle,دورة بروكنر,classification de Brückner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=216466,,,True,True
219396,Buddhism,بوذية(ال...),buddhisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219396,,,True,True
219413,Byzantine,بيزنطي,byzantin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219413,,,True,True
219414,Byzantine empire,امبراطورية(ال...) البيزنطية,empire byzantin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219414,,,True,True
219780,Dar al-hikma,دار الحكمة,Dar-al-hikma,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=219780,,,True,True
216951,Empiricism,المذهب التجريبي التقليدي,Empiricisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=216951,,,True,True
217012,European Economic Community,المجموعة الاقتصادية الأوروبية,Communauté Economique Européenne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=217012,,,True,True
217048,Fahrenheit scale,مقياس فرنهايت,échelle Fahrenheit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=217048,,,True,True
217091,Fiord (Fjord) (Swe),فيورد,Fjord,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=217091,خليج طويل غائر ينشأ عن التعرية الجليدية,,True,True
217104,Fjall (ice.); Fjall (Swe);Fjel = fjeld (Nor.),فيل، فيلد,Fjell,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=217104,هضاب جليدية,,True,True
217180,Gall's projection,مسقط كول,projection de Gall,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=217180,,,True,True
217189,General Geography,الجغرافيا العامة,Géographie Générale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=217189,,,True,True
220250,Gibraltar,جبل طارق,gibraltar,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=220250,,,True,True
