id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
186696,Adam’s apple,حَرقدَة، تُفَّاحَة آدَم,pomme d' Adam,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=186696,,,True,True
186621,A°,أنجَسْتروم (ال...) A°,A° (=symbole de l’angstrom),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=186621,,,True,True
187516,B lymphocyte,خَلَية لَمفِيَة B,B-lymphocyte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=187516,,,True,True
187685,Bruch's membrane,غِشاء بُروخ,membrane de Bruch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=187685,,,True,True
187686,Brunner's glands,غُدَد برونر,glandes de Brunner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=187686,,,True,True
187253,Cabot ring,حَلقَة كابُوت,anneau de Cabot,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=187253,,,True,True
188189,DNA,حمض (ال...) النوويّ الديوكسي ريبي (ح ن د)، دَنا,ADN,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=188189,الحمض الحامل للصبغيات وهو مسؤول عن خصائص الوراثة,,True,True
188869,Eustachian tube,نَفِير (ال...) (قَنَاة أوسْتَاكِي),tube d'Eustache,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=188869,,,True,True
189903,Kohn pores,مَسَامَات كُون,pores de Kohn,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=189903,,,True,True
187478,Nabothian follicles,جُريبَات نَابوذ,follicules de Naboth,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=187478,,,True,True
189754,Negri bodies,أجسَام نِيكري,corps de Negri,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=189754,,,True,True
190391,Nissl substance,مَادَّة نيسل,substance de Nissl,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=190391,,,True,True
191035,Osler’s nodes,عُقد أسْلَر,nodules d’Osler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=191035,,,True,True
