id,english,arabic,french,uri,description,vt,uatv
173477,ATP(adenozine tri- phosphate),ادينوزين ثلاثي الفوسفاط,adénosine triphosphante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173477,,True,True
173340,Adam's apple,حرقدة، حنجور,pomme d'Adam,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173340,,True,True
173521,B.C.G,ب.س.ج,B.C.G,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173521,,True,True
173565,Bowman' capsules,محفظة يومان,capsule de Bowman,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173565,,True,True
174067,Eustachian canal,قناة استكاسيوس,canal d'eustache,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=174067,,True,True
175411,Wassermann reaction,تفاعل واسرمان للزهري,réaction de Wassermann,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=175411,,True,True
173300,abdomen,بطن,abdomen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173300,,True,True
173301,abdominal,بطني,abdominal),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173301,,True,True
173302,abdominal cavity,تجويف بطني,cavité abdominale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173302,,True,True
173303,abdominal pain,ألم بطني,douleur abdominale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173303,,True,True
173304,aberration,زيغ، شذوذ,aberration,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173304,,True,True
173305,aberration (chr),زيغ صبغي، شذوذ صبغي,aberration (chromosomique),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173305,,True,True
173306,ablation,استئصال,ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173306,,True,True
173307,abnormal,غير طبيعي، معتل,anormal(e),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173307,,True,True
173308,abolish,ألغى,abolir,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173308,,True,True
173309,abolished,ملغى,aboli,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173309,,True,True
173310,abolition,إلغاء,abolition,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173310,,True,True
173311,abortion,إجهاض,avortement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173311,,True,True
173312,abrasion,سحج,abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173312,,True,True
173313,abscess,خراج، صديد,abcès,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173313,,True,True
173314,absence of memory,فقدان الذاكرة، غيبوبة,absence de mémoire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173314,,True,True
173315,absinth,أفسنت,absinthe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173315,,True,True
173316,absorb,امتص,absorber,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173316,,True,True
173317,absorbable,قابل للامتصاص,absorbable,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173317,,True,True
173318,absorbent,ممتص، ماص,absorbant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173318,,True,True
173319,absorption,امتصاص,absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173319,,True,True
173320,abuse,سوء استخدام، فرط,abus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173320,,True,True
173321,acaridans,قراديات,acariens,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173321,,True,True
173322,acceleration,تسارع,accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173322,,True,True
173323,accessory,ملحق,accessoire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173323,,True,True
173324,accident,حادث,accident,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173324,,True,True
173325,accommodation,تكيف,accommodation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173325,,True,True
173326,acetabulum,تجويف حقي,acétabule(ou acetabulum),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173326,,True,True
173327,acetyl-choline,أستيل كولين,cétyl-choline,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173327,,True,True
173328,acicula,إبرة,aiguille,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=173328,,True,True
