id,english,arabic,french,uri,description,vt,uatv
200271,A.M. : antemeridian,صباحا,avant-midi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=200271,,True,True
200272,A.M. station,محطة طويلة المدى,station A.M.,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=200272,,True,True
201384,F.M. frequency modulation,تعديل التردُّد,modulation de fréquence (F.M.),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=201384,,True,True
205477,Linguistic conscience,وعي لغوي,conscience,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=205477,إحساس المتكلم بامتلاك قواعد ومبادئ لغوية.,True,True
202398,O.B. (outside broadcast),برنامج خارجي,programme hors studio,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=202398,برنامج خارجي في الإذاعة والتلفزة، ينقل إما مباشرة أو يبث لاحقا,True,True
202399,O.B.C. (outside back cover),ظَهْر الغلاف,quatrième page de couverture (magazine),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=202399,,True,True
202400,O.C. (on camera),قَيْد التَّصوير,en tournage,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=202400,,True,True
202401,O.K. (printing),موَافَقة على الطَّبع,bon à tirer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=202401,,True,True
202402,O.K. takes,لقطات معتَمَدَة,prises de vue à retenir,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=202402,لقطات أو صور تتم الموافقة على إدراجها في شريط الفِلْم,True,True
203507,SMS (short message service); texting,رسالة قصيرة,SMS; messagerie instantanée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=203507,نظام مراسلة عبر الهاتف النقال ييعتمد اختصارالكلمات والأفكار والجمل لربح الوقت وتقليص الكلفة,True,True
203771,T.B.A. ( to be announced),سيُعلَن لاحقاً,à préciser ultérieurement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=203771,تعبير يشير في الإذاعة والتلفزة إلى أن محتوى حصّة مقبلة سيعلن عنه لاحقا,True,True
203989,TV anchor,مقدم التلفزة المشهور,présentateur vedette (TV),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=203989,مقدم الأخبار أو البرامج المشهور في التلفزة,True,True
203990,TV fan,هاوي التلفزة,téléphile,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=203990,,True,True
