id,english,arabic,french,german,vt,uatv,has_image,uri
61008,a:,a:,a:,a:,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61008
61009,abbreviation,اخْتِصَار,abréviation,Abkürzung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61009
61010,abort,تَخَلٍّ,abandon,abbrechen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61010
61011,abstract,مُلَخَّص,résumé,Zusammenfassung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61011
61012,accelerated graphic port (AGP),بَوَّابَةٌ رُسُوميّة مُسَرِّعَة,port graphique accéléré(AGP),Accelerated Graphics Port (AGP),False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61012
61013,accelerated graphics adapter,مُكَيِّف رُسُوميّ مُسَرَّع,carte graphique accélérée,beschleunigte Grafikkarte,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61013
61014,acceptance,قَبُول,réception,Abnahme,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61014
61015,acceptance test,فَحْص ُ الْقَبُول,test de réception,Abnahmetest,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61015
61016,access,وُلُوج,accès,Zugriff,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61016
61017,access authorization,إذْن بالوُلُوج,autorisation d'accès,Zugriffsautorisierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61017
61018,access capability,قَابِلِيَّة الوُلُوج,capacité d'accès,Zugriffsmöglichkeit,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61018
61019,access code authority,حَقّ في شَفَرَات الوُلُوج,droit sur les codes d'accès,Zugriffscodeautorisierung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61019
61020,access control,تحكم في الْوُلُوجِ,contrôle d'accès,Zugriffssteuerung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61020
61028,accession,اطِّلاع,consultation,Zugang,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61028
61021,access number,رَقْم الوُلُوج,numéro d'accès,Zugriffsnummer,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61021
61029,accessories,تَوَابِع,accessoires,Zubehör,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61029
61022,access permissions,رُخَصُ الْوُلُوج,autorisations d'accès,Zugriffsberechtigungen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61022
61023,access privilege,امْتِيَاز الوُلُوج,privilège d'accès,Zugriffsrecht,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61023
61024,access provider,مُزَوِّد الْوُلُوج,fournisseur d'accès,Zugangsanbieter,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61024
61025,access rate,تَعْرفة الوُلُوج,tarif d'accès,Zugriffsgeschwindigkeit,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61025
61026,access right,حَقّ الوُلُوج,droit d'accès,Zugriffsrecht,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61026
61027,access time,مُدَّةُ الْوُلُوج,temps d'accès,Zugriffszeit,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61027
61030,account,حِسَاب,compte,Konto,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61030
61031,accounting,مُحَاسَبة,comptabilité,Buchhaltung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61031
61032,accounting document,وَثيقَة مُحَاسَبة,document comptable,Buchhaltungsbeleg,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61032
61033,accounting package,بَرْمَجِيَّةُ مُحَاسَبَةٍ,progiciel de comptabilité,Buchhaltungspaket,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61033
61034,acknowledgement,إِشْعَار بتسلُّم,accusé de réception positif,Bestätigung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61034
61035,acoustic,صَوْتِيّ,acoustique,akustisch,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61035
61036,acoustic input,مَدْخَلٌ صَوْتيّ,entrée acoustique,akustische Eingabe,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61036
61037,acoustic output,مَخْرَجٌ صَوْتيّ,sortie acoustique,akustische Ausgabe,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61037
61038,acronym,تَرْخِيمَة,sigle,Akronym,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61038
61039,activate,تَنْشِيط,activer,aktivieren,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61039
61040,active partition,تَجْزِئَةٌ نَشِيطَة,partition active,aktive Partition,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61040
61041,active window,نَافِذَة نَشِيطَة,fenêtre active,aktives Fenster,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61041
61042,activex,أكتيف إكس,activex,ActiveX,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61042
61043,actualize,تَحْيِين,actualiser,realisieren,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61043
61044,actuate,إِطْلاق,déclencher,betätigen,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61044
61045,actuation area,مِنْطَقَةُ إطلاق,zone de commande,Betätigungsbereich,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61045
61046,ad.,إِعْلاَن,ad.,Werbung,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61046
61048,adaptation,تَكْيِيفٌ,adaptation,Adaption,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61048
61049,adapter,مُكَيِّف,adaptateur,Adapter,False,True,False,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61049
