id,english,arabic,french,german,uri,description,image_uri_remote,vt,uatv
61112,ASCII (American Standard Code for Information Interchange,آسْكِي,ASCII,ASCII (American Standard Code for Information Interchange),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61112,الشفرة الأمريكية المعيارية لتبادل المعلومات، وتتكون من سبعة عزوم. وتقابلها بالنسبة إلى الألفباء العربية لوحة آسمو 449,,False,True
61505,Ethernet,إتِرْنِيت,Ethernet,Ethernet,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61505,نوع من الشبكات المحلية الشائع الاستعمال. وهذا الاسم يعبر كذلك عن بروتوكول الاتصال المستعمل في هذه الشبكة,,False,True
61506,Europanet,أوروبَانيت( شَبَكَة),Europanet (réseau),EuropaNET,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61506,إحدى الشبكات الرئيسية الأوروبية ذات البعد القاري (مع إيبون),,False,True
61729,IP address,عُنْوَان إنْتِرْنِيت,adresse IP,IP-Adresse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61729,في شبكة الإنترنيت يتم التعرف على كل حاسوب بواسطة عنوان وحيد. ويتكون في النظام العشري من أربعة  أرقام بين 0 و  256 تفصلها نقطة,,False,True
61712,Internet (INTERconnection NETwork),إِنْتِرْنِيت,internet,Internet (INTERconnection NETwork),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61712,أكبر شبكة في العالم ترتبط بها جل أقطار المعمورة وعشرات الملايين من الحواسيب ترتبط في ما بينها عبر هذه الشبكة لتبادل المعلومات في الزمن الحقيقيشَابِكَة (المرادف العربي),,False,True
62232,T network,شَبَكَةٌ عَلَى شَكْل الْحَرْف اللاتيني 'تي',réseau en T,T-Netzwerk,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62232,شبكة ذات بنية تتوزع فيها مكوناتها على شكل خطين متعامدين,,False,True
61008,a:,a:,a:,a:,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61008,اسم أول قارئة قريصات في حاسوب شخصي,,False,True
61009,abbreviation,اخْتِصَار,abréviation,Abkürzung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61009,مختصر عبارة يعبر عنها عادة بالحروف الأولى للكلمات التي تكونها,,False,True
61010,abort,تَخَلٍّ,abandon,abbrechen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61010,إيقاف برنامج أو وظيفة أثناء التنفيذ قبل النهاية الطبيعية,,False,True
61011,abstract,مُلَخَّص,résumé,Zusammenfassung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61011,نص يلخص نصا أطول بالإشارة إلى أهم محتوياته,,False,True
