id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
212971,Abbreviation,اختزال,Abréviation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212971,تمثيل لأي كلمة أو سلسلة من الكلمات باستخدام بعض الحروف الواردة فيها.,,True,True
212972,Abduction,انفتاح الحبال الصوتية,Abduction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212972,حركة تتباعد بواسطتها الحبال الصوتية عن بعضها، منتجة انفتاح الحنجرة وإحداث  الصوت.,,True,True
212973,Ablative,حالة التجاوز,Ablatif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212973,حالة معبرة عن انفصال الوظيفة المحلية التي تعني الابتعاد عن مكان ما، مثال : ابتعدت السفينة عن الساحل.,,True,True
212974,Ablaut,تناوُب حركي، تناوب صائتي,Ablaut,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212974,تعاقب صائت محل صائت آخر-ظ : Apophonie.,,True,True
212975,Abnormal vowel,صائت متوسط,Voyelle centrale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212975,صائت يتميز نطقه بالحياد.- ظ صائت محايد.,,True,True
212976,Abrupt,حبسي,Interrompu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212976,صفة صامت يتميز حين نطقه بانحباس في ممر الهواء داخل قناة التصويت.,,True,True
212977,Absolute finale,موضع الوقف,Finale absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212977,عنصر تنتهي به الكلمة المكتوبة وإن كان غير منطوق في المستوى الشفهي للغة.,,True,True
212978,Absolute negation,نَفْي مُطْلَق,Négation absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212978,نفي تام، لا يحتمل الشك.,,True,True
212979,Absorption,مماثلة تامة,Assimilation totale; Total assimilation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212979,تقريب ينتج عنه امتصاص عنصر صوتي لآخر بشكل تام.,,True,True
212980,Abstract noun,اسْم مجرَّد,Nom abstrait,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212980,اسم يكون مدلوله غير ملموس.,,True,True
212981,Abstract phrase,جملة تجريدية,Phrase abstraite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212981,جملة في البنية العميقة، في النموذج المعيار للنحو التوليدي.,,True,True
212982,Abstract sound,صَوْت مجرَّد,Son abstrait,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212982,صوت غير محقق بشكل فعلي داخل الخطاب.,,True,True
212983,Abusive,مُفْرِط,Abusif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212983,صفة تعبير غير مقبول من صفوة اللغة بسبب توسيع دلالته إلى فضاء غير مألوف أو غير مطابق للمعيار.,,True,True
212984,Accent,لُكْنَة,Accent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212984,مجموع العادات النطقية التي تعطي طابعا خاصا ( إما اجتماعيا أو لهجيا أو أجنبيا) للمنتجات اللغوية لمتكلم ما.,,True,True
212985,Accent mark,عَلاَمة النبر,Marque de l'accent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=212985,الرمز الذي يوضع على المقطع المنبور [و].,,True,True
