id,english,arabic,french,uri,description,vt,uatv
127728,CIF sale (Cost Insurance Freight),بَيْع 'سيف',vente 'C.I.F'; vente 'C.A.F',http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=127728,بيع من البيوع البحرية يتولى البائع فيه شحن البضائع والتعاقد على نقلها والتأمين عليها، ذلك أن السعر يشمل كلفة البضائع والتأمين وتكاليف الشحن حتى مركز وصول البضاعة إلى بلد المستورد.,True,True
128440,F.A.S - sale (Free Alongside Ship),بَيْع 'فاس',vente 'F.A.S',http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=128440,بيع من البيوع البحرية يلتزم فيه البائع بتسليم البضاعة على الرصيف بجانب السفينة.,True,True
128441,F.O.B - sale (Free On Board),بَيْع 'فوب',vente 'F.O.B',http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=128441,بيع من البيوع البحرية يسلم فيه البائع البضاعة على سطح السفينة التي يعينها المشتري.,True,True
129039,Legal capacity,أهلية قانونية,capacité juridique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=129039,الأهلية نوعان: أهلية وجوب وأهلية أداء. الأولى هي صلاحية الشخص لاكتساب الحقوق وتحمل الواجبات التي يحددها القانون، وهي ملازمة له طول حياته ولا يمكن حرمانه منها، أما الثانية فهي صلاحية الشخص لممارسة حقوقه الشخصية والمالية ونفاذ تصرفاته حسب القانون.,True,True
129130,Loan contract,عقد قرض,contrat de crédit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=129130,,True,True
127228,abandoned,متخلى عنه، مهجور,abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=127228,,True,True
127229,abandoned properties,أملاك مهجورة، أموال مهجورة,biens abandonnés,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=127229,,True,True
127230,abandonment,هجْر، تخلٍّ,délaissement; abandon,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=127230,فعل قانوني يتمثل في تخلي مكلف كامل الأهلية عن حق من حقوقه الثابتة طوعا.,True,True
127231,abandonment of conjugal home,هجْر منـزل الزوجية,abandon de domicile conjugal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=127231,هجر الزوج بيت الزوجية مدة طويلة بدون مبرر مقبول، وهو يعطي الزوجة  حق طلب التطليق، أما هجر الزوجة  البيت فيعتبر نشوزا يُسقط حقها في النفقة.,True,True
127232,abandonment of family,هَجْر الأسرة,abandon de famille,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=127232,تملص الأب أو الأم  عمدا من كل أو بعض الواجبات المادية أو المعنوية  المتعلقة برعاية  أو وصاية أو حضانة تجاه الفروع أو الأصول، ويعتبرجنحة  يعاقب عليها القانون.,True,True
