id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
130450,Abelian,آبلي,abélien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130450,نسبة إلى العالم آبل,,True,True
130451,Abelian group,زمرة آبيلية,groupe abélien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130451,,,True,True
130527,Alembert's test,اختبار ألمبير,test d'Alembert,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130527,,,True,True
130600,Angstrom A,انغستروم,Angstrom A,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130600,,,True,True
130660,Arabic numerals,أرقام (ال..) العربية,chiffres Arabes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130660,,,True,True
130668,Archimedes principle,مبدأ أرخميدس,principe d'Archimede,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130668,,,True,True
130669,Archimedes spiral,حلزون أرخميدس,spirale d'Archimède,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130669,,,True,True
130677,Argrand diagram,مخطط أرجاند,plan d'Argand Cauchy,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130677,,,True,True
130812,Boolean algebra,جَبر بولي,algèbre de Boole; Boolèenne; Boolienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130812,,,True,True
130855,Cartesian,ديكارتي,cartésien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130855,,,True,True
130856,Cartesian axes,محاور ديكارتية,axes cartésiens,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130856,,,True,True
130857,Cartesian co-ordinates,احداثيات ديكارتية,coordonnées cartésiennes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130857,,,True,True
130858,Cartesian equation,معادلة ديكارتية,équation cartésienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130858,,,True,True
130859,Cartesian product,جِدَاء ديكارتي,produit cartésien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130859,,,True,True
130860,Cartesian product of two sets,جِدَاء ديكارتي لمجموعتين,produit cartésien de deux ensembles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130860,,,True,True
130861,Cartesian system,نظام ديكارتي,repère cartésien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130861,,,True,True
133973,Cassini's divisions,تقسيمات كاسيني,divisions de Cassini,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=133973,,,True,True
130866,Cauchy criterion,معيار كوشي,critère de Gauchy,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130866,,,True,True
130867,Cauchy inequality,متباينة كوشي,inégalité de Gauchy,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130867,,,True,True
130868,Cauchy sequence,متتالية كوشي,suite de Gauchy,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130868,,,True,True
130874,Celsius scale,تدريج مئوي,échelle de Celsius,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130874,,,True,True
130917,Ceva theorem,مبرهنة سيفا,théorème de Ceva,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=130917,,,True,True
131265,Cramer system,منظومية كرامير,système de Cramer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131265,,,True,True
131266,Cramer's rule,قاعدة كرامير,règle de Cramer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131266,,,True,True
131319,De Moivre's theorem,مبرهنة دي موافر,théorème de Moivre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131319,,,True,True
131355,Dedekind cut,قطع ديدكاند,coupe de Dédékind,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131355,,,True,True
131404,Descarte's rule of signs,قاعدة ديكارت للعلامات,règle des signes de Descartes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131404,,,True,True
131624,Euclid's algorithm,خوارزمية اقليدس,algorithme d'Euclide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131624,,,True,True
131621,Euclidean space,فضاء اقليدي,Espace Euclidien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131621,,,True,True
131625,Euler's constant,ثابت أويلر,constante d'Euler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131625,,,True,True
131626,Euler's law,قانون أويلر,loi d'Euler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131626,,,True,True
131627,Euler's theorem,مبرهنة أويلر,théorème d'Euler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131627,,,True,True
131698,Fahrenheit scale,تدرج فهرنهايتي,échelle Fahrenheit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131698,,,True,True
131707,Fermat's numbers,أعداد فيرما,nombres de Fermat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131707,,,True,True
131708,Fermat's spiral,حلزون فيرما,hélice de Fermat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131708,,,True,True
131709,Fermat's theorems,مبرهنات فيرما,théorèmes de Fermat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=131709,,,True,True
