id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
197663,AGRIS (Agricultural Information System),أغريس,AGRIS: Système d'Information Agricole,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197663,منظومة المعلومات الدولية لعلوم وتقانات (تكنولوجيا) الزراعة.,,True,True
197735,AOAC (Association of Official Analytical Chemists),جمعية المحللين الكيميائيين الرسميين,Association Officielle des Chimistes Analystes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197735,الجمعية الأمريكية التي تتبنى وضع طرق لفحص الأغذية.,,True,True
197760,Asparagus (asparagus officinalis),هِلْيون,asperges,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197760,نبات زراعيّ من الفصيلة الزنبقية تؤكل سوقه الطريّة.,,True,True
197762,Aspergillus flavus,اسبرجلس فلافس,aspergille,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197762,من أنواع الفطر يفرز سموم الأفلاتوكسين.,,True,True
197783,Babcock test,اختبار بابكوك,test de Babcock,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197783,فحص روتيني لنسبة الدهن في الحليب ومنتجاته يعتمد على تحرير الدهن بفعل الحمض والحرارة وفصله داخل انبوب مدرج.,,True,True
197825,Bellier test (food analysis),فحص بيليير,test de Bélier,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197825,فحص سريع لونيّ للكشف عن وجود زيوت البذور.,,True,True
197876,Bomer number,رَقْم بُومَر,indice de Boemer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197876,الفرق ما بين نقطة ذوبان بلورات الدهن أو الغليسريد الثلاثيّ ونقطة ذوبان الأحماض الدهنية المشتقة منه، وهو يستخدم للفحص عن غش الدهون الحيوانية وخاصة بدهن الخنزير.,,True,True
197887,Brabender unit,وحدة برابندر,unité de Brabender,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197887,وحدة قوة عشوائية مستعملة في التعبير عن الخواص الريولوجية للعجين عند فحصها بأجهزة شركة برابندر.,,True,True
197934,Bulghur,بُرغل,bulghur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=197934,أحد منتجات قمح الدورم، يحضر بنقع الحبوب ثم سلقها وتجفيفها وجرشها ويستعمل بأشكال مختلفة على شكل مجروش.,,True,True
198026,CFC (chloro-fluoro carbon),مركبات الكلور والفلور الكربونية,chlorofluoro carbone (CFC),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=198026,مركبات الكربون المُكَلْوَر المُفَلْوَر، تستعمل أنواع منها كغازات في وحدات التبريد.,,True,True
198106,CIP (Cleaned in place),مُنظَّف موضعياً,nettoyé sur place,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=198106,منظَّف دون تفكيك المعدات.,,True,True
198005,Catechol test,فَحْص كاتيكول,test de Catéchol,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=198005,(انظر : فحص البيروكسيديز),,True,True
198130,Clostridium botulinum,كلوستريديوم بوتولينيّ، مطثبة حاطمة,clostridium botulinium,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=198130,بكتيريا سامة لا هوائية تنمو في الأغذية المعلبة منخفضة الحموضة.,,True,True
198131,Clostridium perfringens,كلوستريديوم بيرفرنجنز، كلوستريديوم حاطم (ثاقب),clostridium perfringens,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=198131,بكتيريا سامة جلدية تعيش في الأجزاء الملتهبة.,,True,True
