id,english,arabic,french,uri,description,vt,uatv
160650,a-bevelled,مقطوع مائل,biscauté; en biseau,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160650,,True,True
160651,a-chair,قاعدة تثبيت,base de fixation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160651,,True,True
160652,a-frame,إطار مثلثي,cadre triangulaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160652,,True,True
160653,a-frame truck,شاحنة بهيكل مثلثي، سيارة ذات هيكل مثلثي,camion à chassis triangulaire; wagon à châssis triangulaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160653,,True,True
160654,a.s.t.m. distillation,تقطير بطريقة الجمعية الأمريكية لاختبار المواد,distillation par a.s.t.m.,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160654,,True,True
160655,abandoned oil,نفط مهجور,huile abandonnée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160655,,True,True
160656,abandoned well,بئر مهجورة,puits abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160656,,True,True
160657,abrasion resistance,مقاومة السحج,résistance d'abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160657,,True,True
160658,abrasion test,اختبار السحج,test d'abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160658,,True,True
160659,abrasion testing machine,آلة اختبار السحج,machine de test d'abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160659,,True,True
160660,abrasive cloth,قماش ساحج,toile d'émérie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160660,,True,True
160661,abrasive jet,نفث ساحج,jet abrasif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160661,,True,True
160662,abs resins,راتنجات أ ب س,résines abs,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160662,,True,True
160663,absolute alcohol; pure alcohol,غَوْل مطلق، غول صرف,alcool pur; alcool absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160663,,True,True
160664,absolute pressure,ضغط مطلق,pression absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160664,,True,True
160665,absolute viscosity,لزوجة مطلقة,viscosité absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160665,,True,True
160666,absolute zero,صفر مطلق,zéro absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160666,,True,True
160667,absorbing apparatus,جهاز امتصاص,appareil d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160667,,True,True
160668,absorption plant,منشأة امتصاص,installation d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160668,,True,True
160669,absorption refrigerating system,نظام تبريد امتصاصي,système de réfrigération par absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160669,,True,True
160670,absorption unit,وحدة امتصاص,unité d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160670,,True,True
160671,abutment,ركيزة تناكبية,aboutement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160671,,True,True
160672,abutting owner,مالك متاخم,propriétaire limitrophe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160672,مالك العقار المتاخم,True,True
160673,acaricides,مبيدات العث و السوس,acaricides,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160673,,True,True
160674,accelerated cargo,شحنة مستعجلة، حمولة مستعجلة,cargaison accélérée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160674,,True,True
160675,acceleration lane,مسرب تسارع,chemin d'accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160675,,True,True
160676,access point,نقطة دخول,point d'accés,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160676,,True,True
160677,access time,زمن الوصول,temps d'accés,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160677,,True,True
160678,accompanied effects allowance,وزن مسموح به للأمتعة المصطحبة، بدل الأمتعة المصطحبة,tolérance du poids des biens accompagnés; allocation des biens accompagnés,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160678,,True,True
160679,accordion door,باب طوي,porte pliée; porte repliante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160679,,True,True
160680,accretion,تراكُم,accroissement par alluvionnement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160680,تزايد رقعة الأرض بالتطمي أو التغريم,True,True
160681,accumulation of cuttings,تراكم الحفارات,accumulation de débris de forage,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160681,,True,True
160682,accumulation of mud,تراكم الطين,accumulation de boue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160682,,True,True
160683,accumulator charger,شاحن المراكم,chargeur d'accumulateur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160683,البطاريات,True,True
160684,accumulator drum,راقود تجميع، برميل تجميع,tambour accumulateur; tonneau accumulateur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160684,,True,True
160685,acelerated velocity,سرعة متزايدة,vitesse accélérée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160685,,True,True
160686,acid,حمض,acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160686,,True,True
160687,acid cleaning,تنظيف بالحمض,nettoyage à l'acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160687,,True,True
160688,acid dump bailer,مغرفة صب الحمض,cuiller pour mise en place de l'acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160688,,True,True
160689,acid number,رقم الحموضة، قرينة الحموضة,indice d'acidité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160689,,True,True
160690,acid recovery plant,وحدة استعادة الحمض، منشأة (مصنع) استرداد الحمض,usine de récupération de l'acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160690,,True,True
160691,acid refining,تمحيص بالحموض، تكرير بالحموض,affinage par acides; raffinage par acides,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=160691,,True,True
