id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
177976,A,مُخْتَصَر أنغستروم,A,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=177976,وحدة قياس تساوي (10أس -10) من المتر.,,True,True
177977,AA; aa (of each),مِنْ كُلٍّ مِنْهُمَا,AA; aa,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=177977,رمز صيدليّ : يعني من كليهما.,,True,True
178009,Acetobacter,جُرْثُومٌ خَلِّيّ,Acetobacter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178009,,,True,True
178010,Acetobacteraceae,فَصِيلَةُ الجَرَاثِيمِ الخَلّيَة,Acetobacteraceae,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178010,,,True,True
178028,Aconitum napellus,خَانِق الذِّئب,Aconitum napellus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178028,نبات طبيّ من الفصيلة الحوذانية (ranonculaceae )، تستخدم جذوره في معالجة بعض الآلام العصبية، كما يستعمل كمقشع ومطهر، ويحتوي على مواد شديدة السمية.,,True,True
178196,Anemone pulsatilla,شُقّار,Anémone pulsatilla,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178196,نبات طبيّ من الفصيلة الحوذانية (renonculaceae)، له خواص مضادة للجراثيم، ومضادة للتشنج.,,True,True
178317,Aronson's medium,مُسْتَنْبَتُ أَرُنْسُون,milieu d'Aronson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178317,,,True,True
178318,Arrhenius theory,نَظَرِيَّة أرِينْيُوس,théorie d'Arrhenius,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178318,للحموض والقواعد.,,True,True
178327,As,رَمْز عُنصُر الزَّرْنيخ,As,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178327,,,True,True
178330,Ascaris lumbricoides,صَفَر خراطينيّ,Ascaris lumbricoïdes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178330,نوع من الديدان يتطفل على أمعاء الإنسان من جنس الصفر.,,True,True
178388,Avogadro's number,عَدَدُ أفُوغَادرُو,nombre d'Avogadro,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178388,رقم يمثل عدد الأنواع الكيميائية: ذرات أو جزيئات... في مول واحد.,,True,True
178393,B,رَمْزالبور,B,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178393,العنصر الكيميائيّ  الخامس.,,True,True
178394,Ba,رَمْز الباريوم,Ba,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178394,العنصر الكيميائيّ  رقم (56).,,True,True
178395,Bacillaceae,عَصَوِيَّات,Bacillaceae,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178395,فصيلة جرثومية، شكلها يشبه العصا، تضم جنسين : العصوية (bacillus)، والمطثية (clostridium).,,True,True
178403,Bacillus accidentalis tetani,عَصَوِيَّةٌ كُزَازِيَّة عَرَضِيَّة,Bacillus accidentalis tetani,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178403,,,True,True
178404,Bacillus aceti,عَصَوِيَّةٌ خَلِّيَة,Bacillus aceti,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178404,,,True,True
178405,Bacillus acidi lacti,عَصَوِيَّةٌ حَمْضِيَّةٌ لَبَنِيَّة,Bacillus acidi lacti,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178405,,,True,True
178406,Bacillus acidificans longissimus,عَصَوِيَّةٌ مُحَمِّضَةٌ طَوِيلَة,Bacillus acidificans longissimus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178406,,,True,True
178407,Bacillus acidophilus,عَصَوِيَّةٌ مَيَّالَةٌ لِلْحَمْض,Bacillus acidophilus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178407,,,True,True
178408,Bacillus acne,عَصَوِيَّةُ العُدّ,Bacillus acne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178408,,,True,True
178409,Bacillus aegyptiacus,عَصَوِيَّةٌ مِصْرِيَّة,Bacillus aegyptiacus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178409,,,True,True
178410,Bacillus aerophilus,عَصَوِيَّةٌ مُحِبَّةٌ للهَوَاء,Bacillus aerophilus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178410,,,True,True
178411,Bacillus albolactis,عَصَوِيَّةٌ لَبَنِيَّةٌ بَيْضَاء,Bacillus albolactis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178411,,,True,True
178412,Bacillus albus putridis,عَصَوِيَّةٌ بَيْضَأءٌ عَفِنَة,Bacillus albus putridis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178412,,,True,True
178413,Bacillus amylobacter,عَصَوِيَّةٌ نَشَوِيَّة,Bacillus amylobacter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178413,,,True,True
178414,Bacillus anthracis,عَصَوِيَّةٌ جَمْرِيَّةٌ,Bacillus anthracis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178414,ممرضة للإنسان.,,True,True
178415,Bacillus anthracoides,عَصَوِيَّةٌ شَبِيهُ العَصَوِيَّةِ الجَمْرِيَّة,Bacillus anthracoïdes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178415,,,True,True
178416,Bacillus asiaticus,عَصَوِيَّةٌ أَسْيَوِيّة,Bacillus asiaticus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178416,,,True,True
178417,Bacillus aureus foetidus,عَصَوِيَّةٌ ذَهَبِيَّةٌ نَتِنَة,Bacillus aureus foetidus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178417,,,True,True
178418,Bacillus bifidus,عَصَوِيَّةٌ مُنْشَطِرَة,Bacillus bifidus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178418,,,True,True
178419,Bacillus botulinus,عَصَوِيَّةٌ وَشِيقِيَّة,Bacillus botulinus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178419,,,True,True
178420,Bacillus buccalis,عَصَوِيَّةٌ فَمَوِيَّة,Bacillus buccalis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178420,,,True,True
178421,Bacillus capsulatus,عَصَوِيَّةٌ مِحْفَظِيَّةٌ,Bacillus capsulatus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178421,,,True,True
178422,Bacillus carbonis,عَصَوِيَّةٌ فَحْمِيَّة,Bacillus carbonis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178422,,,True,True
178423,Bacillus cereus,عَصَوِيَّةٌ مُشَمَّعَة,Bacillus cereus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178423,ممرضة للإنسان.,,True,True
178424,Bacillus proteus vulgaris,عَصَوِيَّةٌ مُتَقَلِّبَةٌ شَائِعَة,Bacillus proteus vulgaris,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178424,,,True,True
178425,Bacillus pseudodiphteria,عَصَوِيَّةٌ خَانُوقِيَّةٌ كَاذِبَة,Bacillus pseudodiphteria,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178425,,,True,True
178426,Bacillus pyocyaneus,عَصَوِيَّةُ القَيْحِ الأَزْرَق,Bacillus pyocyaneus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178426,,,True,True
178427,Bacillus subtilis,عَصَوِيَّةٌ رَقِيقَة,Bacillus subtilis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178427,ممرضة للإنسان.,,True,True
178428,Bacillus tetani,عَصَوِيَّةٌ كُزَازِيَّة,Bacillus tetani,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178428,,,True,True
178429,Bacillus typhosus,عَصَوِيَّةٌ تِيفِيَّة,Bacillus typhosus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178429,,,True,True
178430,Bacillus vaginalis,عَصَوِيَّةٌ مَهْبِلِيَّة,Bacillus vaginalis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178430,,,True,True
178476,Bartonella,بَارْتُونِيلَّة,Bartonella,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178476,جنس جراثيم ذات شكل عصويّ، إيجابية الغرام، من فصيلة البرتونيلات (bartonellaceae).,,True,True
178477,Bartonella bacilliformis,بَارْتُونِيلَّةٌ عَصَوِيَّةُ الشَّكْلِ,Bartonella bacilliformis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178477,نوع ممرض للإنسان.,,True,True
178478,Bartonellaceae,فَصِيلَةُ البَارْتُونِيلاَّت,Bartonellaceae,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178478,فصيلة من الجراثيم ذات الشكل العصويّ، إيجابية الغرام، لامبوغة.,,True,True
178479,Bartonellosis,دَاءُ البَارْتُونِيلاَّت,Bartonellose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178479,,,True,True
178494,Besredka's antigen,مُسْتَضِدُّ بِيسْرِيدْكَ,antigène de Besredka,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178494,,,True,True
178535,Bohr model (of the atom),نَموذَج بور (للذرة),modèle Bohr (de l'atome),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178535,,,True,True
178540,Bonain's solution,مَحْلُولُ بُونَان,solution de Bonain,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178540,لتخدير غشاء الطبل.,,True,True
178552,Bordet-Gengou's bacillus,عُصَيَّةُ بُورْدِي وَجَانْكُو,bacille de Bordet-Gengou; Bordetella pertussis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178552,جرثومة سلبية الغرام ممرضة للإنسان من جنس البوردتيلات.,,True,True
178553,Bordet-Gengou's medium,مُسْتَنْبَتُ بُورْدِي وجَانْغُو,milieu de Bordet-Gengou,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178553,,,True,True
178547,Bordetella,بُورْديتِيلَّة,Bordetella,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178547,جنس من جراثيم حيهوائية سلبية الغرام.,,True,True
178548,Bordetella bronchiseptica,بُورْديتِيلَّةُ التَّقَيُّحِ الشُّعَبِيّ,Bordetella bronchiseptica,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178548,ممرضة للإنسان.,,True,True
178549,Bordetella parapertussis,بُورْديتِيلَّةٌ نَظِيرَةُ الشَّاهُوقِيَّة,Bordetella parapertussis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178549,ممرضة للإنسان.,,True,True
178550,Bordetella pertussis,بُورْديتِيلَّةٌ شَاهُوقِيَّة,Bordetella pertussis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178550,ممرضة للإنسان.,,True,True
178555,Borrelia,بَوْرَلِيَّة,Borrelia,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178555,جنس من الجراثيم من فصيلة الملتويات (spirochaetaceae) يسبب بعض أنواعه داء لايم (lyme).,,True,True
178556,Borrelia anserina,بَوْرَلِيَّةٌ وَزِّيَة,Borrelia anserina,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178556,,,True,True
178557,Borrelia buccalis,بَوْرَلِيَّةٌ فَمَوِيَّة,Borrelia buccalis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178557,,,True,True
178564,Branhamella,بَرَنْهَامِلَّة,Branhamella,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178564,جُنيس (subgenus) من جنس الجراثيم الموراكسيلة (moraxella )، قد يسبب بعض أنواعه التهابا في الطرق التنفسية العلوية.,,True,True
178565,Branhamella catarrhalis,بَرَنْهَامِلَّةٌ نَزْلِيَّة,Branhamella catarrhalis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178565,نوع من جُنيس البرنهاملة.,,True,True
178579,Brucella,بُرُوسِيلَة,Brucella,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178579,جنس جراثيم حيهوائية سلبية الغرام.,,True,True
178580,Brucella abortus,بُرُوسِيلَةٌ مُجْهِضَة,Brucella abortus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178580,ممرضة للإنسان.,,True,True
178581,Brucella canis,بُرُوسِيلَةٌ كَلْبِيَّة,Brucella canis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178581,ممرضة للإنسان.,,True,True
178582,Brucella melitensis,بُرُوسِيلَةٌ مَالِطِيَّة,Brucella melitensis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178582,ممرضة للإنسان.,,True,True
178583,Brucella suis,بُرُوسِيلَةٌ خِنْزِيرِيَّة,Brucella suis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178583,ممرضة للإنسان.,,True,True
178584,Brucellaceae,فَصِيلَةُ البُرُوسِيلاَت,Brucellaceae,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178584,,,True,True
178604,C,رَمْز عُنصُر الكَرْبُون,C,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178604,,,True,True
178605,Ca,رَمْز عُنصُر الكَالسْيُوم,Ca,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178605,,,True,True
178619,Calymmatobacterium,مُغَمَّدَة,Calymmatobacterium,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178619,جنس جراثيم لاحيهوائية مخيرة سلبية الغرام، تسبب عند الإنسان الورم الحبيبيّ الإربيّ (granuloma inguinale) الذي ينتقل جنسيا.,,True,True
178621,Campylobacter,عَطِيفَة,Campylobacter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178621,جرثوم، من فصيلة الحليزنات (spirillaceae) يسبب التهاب الأمعاء وإنتان الدم والتهاب الشغاف والمرارة والكلية والمفاصل.,,True,True
178674,Carum carvi,كَرَاوِيَة,Carum carvi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178674,نبات طبيّ من فصيلة المظليات (ombelliferes)، تستعمل ثماره كطاردة للريح وهاضمة.,,True,True
178676,Castor oil,زَيْت الخِرْوَع,huile de ricin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178676,زيت مسهل ثابت التكوين، يستخلص من بذور الخروع (ricinus communis).,,True,True
178697,Celsius scale,سُلّم سَلسْيُوس,échelle Celsius,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178697,لقياس درجة الحرارة.,,True,True
178720,Chasmantera palmata,سَاقُ الْحَمَام,Chasmantera palmata,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178720,نبات من الفصيلة القمرية (menispermaceae) تعد جذوره من المقويات المرة، لكن إذا أخذ بكميات كبيرة يحدث أعراضا كالقيء وشلل المراكز العصبية وتثبيط مركز التنفس.,,True,True
178736,Chlamydia,مُتَدَثِّرَة,Chlamydia,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178736,جنس من الجراثيم من فصيلة المتدثرات (chlamydaceae) وهو يسبب إصابات تناسلية وبولية وعينية عند الإنسان.,,True,True
178737,Chlamydia psittaci,مُتَدَثِّرَة ببغائية,Chlamydia psittaci,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=178737,تسبب الداء الطيريّ (ornithosis).,,True,True
