id,english,arabic,french,uri,description,vt,uatv
223700,Anderson bridge,جسر أنديرسون,pont d'Anderson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223700,,True,True
223701,Angstrom,أنجستروم,Angstrom,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223701,,True,True
221976,Arabic figures,أرقام عربية,chiffres arabes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=221976,,True,True
223866,B/H curve,منحنى البطاء,boucle d'hystérésis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223866,,True,True
223871,Biot-Savar law,قانون بيو-سافار,loi de Biot et Savart,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223871,,True,True
223733,Buchholoz relay,مرحّل بوخولز,relais de Buchholoz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223733,,True,True
223413,C.G.S system,نظام الوحدات س. غ. ث,système C.G.S,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223413,,True,True
223392,Carter coefficient,معامل كارتر,coefficient de Carter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223392,,True,True
223533,Curie point,نقطة كوري,point de Curie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223533,,True,True
223555,D.C. amplifier,مضخم تيار مستمر,amplificateur à coupage continu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223555,,True,True
223556,D.C. balancer,موازن تيار مستمر,égalisatrice à courant continu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223556,,True,True
223557,D.C. bridge,جسر تيار مستمر,pont à courant continu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223557,,True,True
223558,D.C. motor,محرك تيار مستمر,moteur de courant continu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223558,,True,True
223559,D.C. resistance,مقاومة التيار المستمر,résistance de courant continu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223559,,True,True
223553,Daniel cell,عمود دانييل,pile Daniel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223553,,True,True
223842,Edison screw cap,قاعدة اديسون,culot Edison,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223842,,True,True
222416,Elzevir type,محرف إلزفير,caractère Elzévir,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=222416,محرف مطبعي رفيع اخترعه إلزفير,True,True
223966,Faraday cage,قفص فارادي,cage de Faraday,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223966,,True,True
223967,Faraday's law,قانون فارادي,loi de Faraday's,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=223967,قانون التغيير في التشابك,True,True
224028,Giorgi unit system,نظام وحدات جيورجي,système Giorgi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=224028,,True,True
224043,Hall effect,مفعول هول,effet Hall,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=224043,,True,True
224049,Henry,هنري,Henry,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=224049,,True,True
224277,Kaplan- propeller turbine,عنفة مروحية طراز'كابلان'، عنفة 'كابلان' المروحية,turbine à hélice type 'Kaplan',http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=224277,,True,True
224298,Leclanché cell,خلية لكلانشيه,pile de Leclanché,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=224298,,True,True
224300,Leyden jar,قارورة لايدن,bouteille de Leyden,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=224300,,True,True
