id,english,arabic,french,german,uri,description,vt,uatv,image_uri_remote,image_uri_extract
101856, acidification potential,إمكانات التحمّض,potentiel d'acidification,Versauerungspotenzial,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=101856,"ist das Ergebnis der Aggregation von versauernd wirkenden Luftschadstoffen, ausgedrückt in massebezogenen SO2-Äquivalenten. Es gehört zu den wichtigsten Umweltindikatoren.",True,False,,
101151,'European Union Allowance (EUA)'; 'EU Allowance',تصريح إطلاق الانبعاثات في الاتحاد الأوروبي (EUA),Allocation de l'Union européenne,Emissionsberechtigung; Emissionszertifikat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=101151,تصدر [تصريح بإطلاق انبعاثات](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=101123) حكومات الدول الأعضاء في الاتحاد الأوروبي بناء على طلب مُقدّم من المؤسسات المعنية [بتجارة الانبعاثات في الاتحاد الأوروبي](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=101152). ويُقصد به التصريح بانبعاث 1 طن متري من ثاني أكسيد الكربون في فترة معينة في إطار تجارة الانبعاثات في الاتحاد الأوروبي. ولا يسمح بهذا التصريح إلا في إطار تحقيق المتطلبات المنصوص عليها .في توجّهات الاتحاد الأوروبي بشأن تجارة الانبعاثات، ولا يجوز تداوله مع الغير إلا في إطار هذه التوجّهات.,True,False,,
100964,'NIMBY effect (Not in my backyard effect)',ظاهرة ليس في عقر داري,effet PDMJ (effet pas dans mon jardin),NIMBY-Effekt,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=100964,الاختصار NIMBY يرمز في اللغة الإنجليزية للعبارة: Not in my backyard، (والتي تترجم حرفياً إلى 'ليس في فنائي الخلفي' وهي ظاهرة تُعبّر عن الموقف الإيجابي [لجار مُنشأة](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=101019) ا تجاه الطاقات المُتجددة بوجه عام، حيث يكون ضد إنشاء [مشروعات للطاقة المُتجددة](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=101068) بمكان قريب من سكنه مُباشرةً.,True,False,,
100662,'megawatt' (thermic),ميغاواط حرارية (MWth),mégawatt 'thermique',Megawatt (thermisch),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=100662,قدرة حرارية بالميغاواط.,True,False,,
99466,(Directorate-General) for Climate Action,الإدارة العامة لشؤون حِماية المُناخ 'Climate Action',(Direction générale de) l’action pour le climat,(Generaldirektion) Klimapolitik,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=99466,إدارة عامة تابعة للاتحاد الأوروبي، تأسّست في فبراير 2010، وتقوم بإجراء مٌحادثات ومُفاوضات في مجال حِماية المُناخ على الصعيد الدولي. كما أنها تدعم الاتحاد الأوروبي في شؤون التعامل مع التغيّرات المُناخية وعواقبها، كما تعمل كذلك على تطوير وتحقيق تجارة الانبعاثات في دول الاتحاد الأوروبي.,True,False,,
99532,(IAP) International Action Program,برنامج العمل الدولي (IAP),Programme d'action international,internationale Aktionsprogramm (IAP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=99532,برنامج تمت الموافقة عليه في المؤتمر الدولي الأول للطاقات المُتجدّدة (Renewables 2004) الذي أُقيم في مدينة بون الألمانية. ويشتمل البرنامج على حوالي 200 إجراء عملي والتزامات عديدة اتخذتها حكومات ومُنظّمات دولية ومؤسّسات المُجتمع المدني وكذلك مؤسّسات اقتصادية. وبتطبيق هذا البرنامج سيُمكن، وفقاً للتقديرات، تجنّب انبعاث 1.2 مليار طن من ثاني أكسيد الكربون سنوياً.,True,False,,
99533,(IDB) Inter-American Development Bank,بنك التنمية للبلدان الأمريكية (IDB),Banque interaméricaine de développement,Interamerikanische Entwicklungsbank,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=99533,بنك تنمية مُتعدد الجنسيات يتّخذ الشكل القانوني للشركة المُساهمة. وقد قامت 19 دولة من الأمريكيتين، منها الولايات المُتحدة الأمريكية، بتأسيس هذا البنك. كما انضّمت إليه النمسا في عام 1977، ولاحقاً ألمانيا في عام 1979، كأعضاء في البنك. وتُمثّل دول من أمريكيا اللاتينية، ومن الكاريبي أغلبية أعضاء البنك.,True,False,,
99563,(NORDEL) Organization for Nordic Electrical Cooperation,شبكة 'نورديل' (NORDEL),Union des pays nordiques pour la coopération dans l'industrie électrique,Nordische Vereinigung für Zusammenarbeit in der elektrizitätswirtschaft,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=99563,هو المُسمّى الخاص بشبكة الربط الكهربائية التي تشتغل بواسطة تيار مُتردّد ثلاثي الطور (تُعرف أيضاً بالمُسمّى RGs - اختصاراً لـ Regional Groups) والخاصة بالدول الاسكندنافية، بحيث تشمل كل من فنلندا والنرويج والمناطق الشرقية من الدانمارك (زيلاند، لولاند، فولستر). كما تقوم مُنظّمة نودريل بالإشراف إدارياً على آيسلندا التي تُمثّل شبكة قائمة بذاتها بسبب بُعدها المكاني الكبير. وهذه الدول مميزة في الصورة التوضيحية بالعبارة خضراء اللون 'RG NORDIC'. وقد انتقلت بشكل رسمي إدارة شبكة نورديل مُنذ يوليو 2009 إلى [اتحاد مُشغّلي شبكات نقل الطاقة الأوروبية (ENTSO-E)](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=99598).,True,False,,
99571,(REMIT) Regulation on Wholesale Energy Market Integrity and Transparency,تشريع الاتحاد الأوروبي بشأن نزاهة وشفافية سوق الطاقة (REMIT),règlement concernant l'intégrité et la transparence du marché de gros de l'énergie,Verordnung über die Integrität und Transparenz des Energiegroßhandelsmarkts,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=99571,التشريع رقم 1227;  2011 للبرلمان الأوروبي والمجلس الأوروبي بشأن نزاهة وشفافية سوق بيع الطاقة بالجُملة. وقد أقرّ الاتحاد الأوروبي هذا التشريع بتاريخ 8 ديسمبر 2011 بغرض تطبيق الشروط الإطارية الخاصة بمُراقبة أسواق الطاقة من أجل الكشف عن أي تلاعبات قد تحدث و;  أو منعها من الحدوث. إلا أن ذلك لا يتضمّن تحقيق انسجام بين الأسواق.,True,False,,
96150,1:1 nomination,تعيين 1:1,1:1-nomination,1:1-Nominierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=96150,ينص بشكل عام على أن الصفقات التي تُعقد خارج مناطق التحكم وحدود الدولة، لا يجوز إبرامُها إلا بين مجموعات الموازنة التابعة لنفس المُتعهد. وهذا ما يُسمى 'التعيين' 1:1.,True,False,,
