id,english,arabic,french,uri,description,vt,uatv
151591,Gondwana,غندوانا,Gondwana,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=151591,قارة قديمة كانت تضم الهند واستراليا وجنوب افريقيا واالقطب الجنوبي قبل وجودها بالتوزيع الحالي,True,True
151782,Iceland spar,سبار(...) الاسلاندي,spath d'Islande,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=151782,كلسيت شفاف يستعمل في صناعة البصريات,True,True
154342,U. Valley,واد بشكل U,,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=154342,,True,True
154481,V. shped valley,واد ضيق على شكلV,,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=154481,,True,True
149984,abandoned,مهجور,abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149984,,True,True
149985,abandoned channel,قناة مهجورة,chanal abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149985,,True,True
149986,abandoned cliff,هضبة مهجورة,falaise abandonnée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149986,,True,True
149987,abandoned meander,منعطف نهري مهجور,méandre abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149987,,True,True
149988,aber,أبير,aber,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149988,الوادي الذي تغمره مياه البحر,True,True
149989,ablation,اذاية,ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149989,,True,True
149990,ablation area,منطقة تذرية,zone d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149990,,True,True
149991,ablation breccia,تذرية البرشيا البريش,ablation de brèche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149991,,True,True
149992,ablation form,هيئة التذرية,forme d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149992,,True,True
149993,ablation gradient,منحدر تذروي,pente d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149993,ناتج عن عوامل التذرية,True,True
149994,ablation moraine,تذرية ركام الجليدي,ablation de moraine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149994,,True,True
149995,ablation rate,نسبة التذرية,rapport a'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149995,,True,True
149996,ablation till,تذرية الحريث الجليدي,ablation de moraine de fond,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149996,,True,True
149997,aboral margin,حافة قمية,marge aborale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149997,,True,True
149998,aboral side,جانب قمي,côté aboral,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149998,,True,True
149999,aboral surface,سطح قمي,apicale (surface),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=149999,السطح العلوي المقابل لموقع الفم في القنفذانيات,True,True
150000,aborale pole,قطب قمي,pôle aboral,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150000,,True,True
150001,abrasion,سحج,abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150001,تآكل الصخور بفعل الفتات الصخري التي تحمله العوامل الطبيعية كالريح والماء والجليد,True,True
150002,abrasion (marine),سحج بحري,abrasion marine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150002,تآكل الصخور من الارتطام بالمياه المحملة بالفتات الصخري,True,True
150003,abrasion (wind),سحج ريحي,abrasion éolienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150003,تآكل الصخور من الارتطام بالريح المحملة بالفتات الصخري,True,True
150004,abrasion platform,مصطبة السحج,plate-forme d'abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150004,,True,True
150005,abrasion shore line,سحج خط الشاطئ,abrasion de ligne de rivage,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150005,,True,True
150006,abrasive matter,مادة ساحجة,abrasive (matière),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150006,,True,True
150007,absolute,مطلق,absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150007,,True,True
150008,absolute chronology,تقويم زمني مطلق,chronologie absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150008,,True,True
150009,absolute humidity,رطوبة مطلقة,humidité absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150009,,True,True
150010,absorption,امتصاص,absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150010,,True,True
150011,absorption formule,صيغة الامتصاص,formule d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150011,,True,True
150012,absorption line,خط الامتصاص,ligne d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150012,,True,True
150013,absorptivity,امتصاصية,absorptivité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150013,,True,True
150014,abstraction streams,مجار تجريدية,courants d'abstraction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150014,,True,True
150015,abstraction water,مياه تجريدية,eaux d'abstraction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150015,,True,True
150016,abysall lain,سهل سحيقي أو غوري,plaine abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150016,,True,True
150017,abyssal,عمق سحيق,abyssal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150017,أعماق البحار فيه يزيد على 1000م,True,True
150018,abyssal cone,مخروط سحيقي,cône abyssal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150018,,True,True
150019,abyssal gap,فجوة سحيقة,trouée abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150019,,True,True
150020,abyssal hill,تل سحيقي,colline abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150020,,True,True
150021,abyssal theory,نظرية الأعماق السحيقة,théorie abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150021,,True,True
150022,acaustobiolith (non combustible organic rocks),صخورية عضوية غير قابلة للاحتراق,,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150022,,True,True
150023,accelerated development,تطوير معجل,développement accélérée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150023,مسرّع,True,True
150024,accelerated erosion,حت معجل,érosion accélérée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150024,مسرّع,True,True
150025,acceleration,تسارع عجلة,accélération; minéraux subsidiaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150025,نسبة الازدياد المتدرج  في السرعة,True,True
150026,accessory element,عنصر إضافي,élément accessoire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150026,,True,True
150027,accessory minerals,معادن ثانوية,minéraux accessoires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=150027,,True,True
