id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
115330,Fabian socialism,اشتراكية فابيّة,socialisme Fabien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115330,,,True,True
116005,ability,قدرة,capacité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116005,,,True,True
116006,abnegation,انكار الذات,abnégation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116006,,,True,True
116007,abnormal,غير سوي,anormal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116007,,,True,True
116008,abnormal behaviour,سلوك شاذ,comportement anormal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116008,,,True,True
116009,abnormality,شذوذ,anormalité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116009,,,True,True
116010,aboulia,وهن الارادة,aboulie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116010,,,True,True
116011,abreaction,تنفيس,abréaction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116011,,,True,True
116012,absenteeism,تغيّب,absentéisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116012,,,True,True
116013,absolute,مطلق,absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116013,,,True,True
116014,absolute cultural,مطلق ثقافيا,absolu culturel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116014,,,True,True
116015,absolutism,حكم مطلق، استبدادية,absolutisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116015,,,True,True
116016,abstraction,تجريد,abstraction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=116016,,,True,True
115832,acatalepsy,عسر الفهم,acatalepsie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115832,,,True,True
115833,acclimatization,تأقلم,acclimation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115833,,,True,True
115834,accommodation,مواءمة,accommodation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115834,,,True,True
115835,acculturation,تثقيف,acculturation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115835,,,True,True
115836,accumulation,تراكم,accumulation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115836,,,True,True
115837,action,عمل,action,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115837,,,True,True
115838,activity,نشاط,activité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115838,,,True,True
115839,adaptation,تكيّف,adaptation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=115839,,,True,True
