id,english,arabic,french,german,uri,description,vt,uatv,image_uri_remote,image_uri_extract
87206,2-in-1 jacket / two-in-one jacket,سترة متعددة الأستخدامات,veste polyvalente,Two-in-one,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=87206,سترة رياضة ذات استخذامات متعددة مركبة من قطعتين: قطعة داخلية مبطنة من أجل التدفئة وقطعة أخرى خارجية.,False,False,,
82996,2/2 twill,نسيج المبرد لويس,sergé croisé 2/2,Lauseköper (m),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=82996,نسيج مبرد عديم التضليعات مُتشابه الوجهين، وينشأ من نسيج شديد الحبك 2/2 من خلال تغيّر مُتناسق لتضليعات النسيج المبرد، وعن طريق تجمّع خيوط اللحمة و/ أو السداء الفاتحة والغامقة، ينشأ نموذج منقط ناعم فاتح وغامق. ويُستخدم هذا النسيج في حالة الحياكة على تجهيزات بسيطة، وبشكل خاص للخامات السطحية للملابس الرجالية.,False,False,,
85143,A-line,توسيع قطعة اللباس,élargissement / ligne A,Ausstellen (n),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=85143,توسيع جزء من قطعة لباس  مثل الطرف السفلي للتنورة لتصبح على شكل حرف A.,False,False,,
85146,A-line,فستان الجرس,robe cloche,Glockenlinie (f),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=85146,فستان مريح ذو تنورة واسعة وخالية من الطيات مع تحديد واضح للخصر.,False,False,,
83052,AC yarn (Air Covering yarn),خيط مُغلف هوائياً,fil AC (fil air-covering),AC-Garn (Air-Covering-Garn) (n),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=83052,خيط تم تضخيمه باستخدام الهواء (التضخيم بالهواء).,False,False,,
83058,ATY (Air Textured Yarn),خيط مُضخم بدفع الهواء,ATY (Air Textured Yarn),ATY (Air Textured Yarn),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=83058,خيط غزل حلقي مغزول بالدوامات الهوائية.,False,False,,
85846,Acelan fibers,ألياف أسيلان,fibres d'Acelan,Acelan,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=85846,ألياف غزل من عديد الأكريليك تصنع في كوريا.,False,False,,
85847,Acetate Rayon,خلات السليولوز,Rayonne d' acètate,Acetat (n),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=85847,خلات السليولوز أو أسيتات السليولوز، هي إستر الخلات للسليولوز. يستخدم على نحو أساسي كليف اصطناعي في صناعة النسيج حيث يعرف باسم 'حرير الأسيتات'.,False,False,,
85848,Acetate Staple Fibers,ألياف الخلات,Fieranne d'acètate,Acetat-Spinnfasern (Acetat-Stapelfasern) (f),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=85848,تسمى ألياف الخلات أو ألياف الخلات (الأسيتات) وتصنع أساساً من خلات السليلوز الأحادية أو الئنائية.,False,False,,
85849,Acrilan®,أكريلان®,Acrilan®,Acrilan®,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=85849,أحد أنواع ألياف عديد نتريل الأكريل.,False,False,,
