id,english,arabic,french,german,uri,description,vt,uatv
76212,(case) hardening,تصليد مغلف,cémentation,Einsatzhärten,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=76212,(900-950 درجة مئوية) من خلال التصليد المغلف يتم أنتاج طبقة صلبة من الصلب سطحية مقاومة للتآكل. وفي نفس الوقت تنشأ حالة من الضغط الذاتي والتي تناسب متطلبات الجزء من خلال الدوران.,False,False
74231,(construction) site management,إدارة الأشغال,direction des travaux (construction),Bauleitung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=74231,,False,False
74232,(directional) arrow,إشارة الاتجاه,flèche de direction,Richtungspfeil,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=74232,,False,False
74233,(equal) slope yard,محطة مائلة,gare en pente,Gefällebahnhof,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=74233,نقطة ساحة المحطة التي تتقاطع فيها كل مجموعات الأرصفة في نقطة واحدة والتي تقع أيضاً في الإنحدار الطولي للأرصفة,False,False
73539,(level of) punctuality,(مستوى) الالتزام بالمواعيد,(niveau de la) ponctualité,Pünktlichkeit(-sgrad),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=73539,,False,False
77760,(ocean) bill of lading,بوليصة الشحن (البحرية),connaissement (maritime),Konnossement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=77760,,False,False
73540,(public) transport authority,هيئة النقل (العامة),organisation de l'autorité organisatrice de transports,Aufgabenträgerorganisation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=73540,يتم تنظيم هيئات النقل العام طبقًا للقانون الذي شرعته السلطات للصورة الكاملة عن تلك الشركة مع ضرورة إيجاد إدارة داخل الشركة لتحقيق الصورة المطلوبة,False,False
73541,(sequential) conditional locking,قفل مشروط (متسلسل),vérouillage conditionnel,Folgeabhängigkeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=73541,يتم اغلاق عنصري المسار بين طرفين بسبب تواجد أحد الطرفين في موقف معين,False,False
73542,(simultaneous) blocking,حجب (متزامن),procédure simultanée,Simultanverfahren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=73542,إجراءات لتشكيل القطارات في مجموعات متعددة حيث يتم الفرز وفقًا لموقف رحلة كل منهم ومن ثم يتم تحديد الموقف التشغيلي لكل قطار,False,False
73543,(system) entry delay,(نظام) تأخير الدخول,délai des trains (dans le système),Einbruchsverspätung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=73543,عند اجراء فحص للنظام يتم تحديد التأخير اللازم لدخوله,False,False
73544,(terminal) dwell time,وقت التوقف,"temps de maintien, durée d'arrêt",Haltezeit (Aufenthaltszeit),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=73544,لايقف القطار إلا للأسباب التالية:(نزول وصعود الركاب - فتح الأبواب وغلقها -الانتظار حتى قيام رحلته),False,False
74234,(traffic) signalling,تأشير,signalisation,Signalisierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=74234,,False,False
74235,"(train) formation yard, marshalling yard, make-up yard",محطة التنظيم,gare de formation des trains,"Zugbildungsbahnhof, Zugbildungsanlage",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=74235,,False,False
