id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
183879,Abattoir; slaughterhouse,مجْزر، مَسْلَخ، مذْبح,abattoir,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183879,,,True,True
183880,abduction,تبعيد,abduction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183880,إبعاد عضو ما عن محور الجسم.,,True,True
183881,abductor,مُبْعِد,abducteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183881,,,True,True
183882,ability,أهلية، قُدْرة,pouvoir; capacité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183882,,,True,True
183883,abiotic,لا حياتيّ، نقيض الأحيائيّ,abiotique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183883,,,True,True
183884,abnormal,شاذّ، لا سويّ,anormal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183884,,,True,True
183885,abomasal,مَنْفَحيّ,abomasal; de la caillette,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183885,ما يتعلق بالمنفحة أو ينسب إليها.,,True,True
183886,abomasum,مَنفحة، إِنْفِحَة,caillette; abomasum,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183886,جزء من معدة الحيوانات المجترّة.,,True,True
183887,abortion,طَرْح,avortement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183887,,,True,True
183888,abortive,مطروح,abortif; avorté,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183888,,,True,True
183889,abrasion,سَحْج,abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183889,,,True,True
183890,abscess,خُراج، دُمَّل,abcès,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183890,,,True,True
183891,absolute,مُطْلَق,absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183891,,,True,True
183892,absorption,امتصاص,absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183892,,,True,True
183893,acanthocephala,مُشَوِّكات الرأس,acanthocéphales,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183893,طائفة من الديدان أسطوانية الشكل، مغطاة ببشرة سميكة، ولها خطم قابل للانبساط والانكماش ومزود بشوكات أو شصوص.,,True,True
183894,acaricide,مُبيد القُراد,acaricide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183894,,,True,True
183895,accessory glands,غُدَد إضافية,glandes accessoires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183895,,,True,True
183896,accidental host,مُضيف عَرَضيّ,hôte occasionnel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183896,المضيف غير الطبيعيّ الذي يدخل فيه الطور المخمج للطفيليّ بصورة عرضية.,,True,True
183897,acclimatization,أَقْلَمَة,acclimatation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183897,,,True,True
183898,accommodation,تكيُّف,accommodation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183898,,,True,True
183899,accumulation; aggregation,تجمُّع، تراكُم,accumulation; agrégation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183899,,,True,True
183900,accuracy,دِقَّة,exactitude; précision,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183900,,,True,True
183901,accurate,دَقيق,exact; précis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183901,,,True,True
183902,acellular,لاخَلَويّ، غير خلويّ,acellulaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183902,,,True,True
183903,acetabulum,حُقّ، تجويف حُقّيّ,acetabulum,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183903,تجويف يكونه التقاء عظم الحرقفة وعظم الورك والعظم العانيّ، يتمفصل مع رأس عظم الفخذ.,,True,True
183904,acetic,خَلّيّ,acétique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183904,,,True,True
183905,acetone,خَلُّون، أسيتون,acétone,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183905,سائل طيّار مُلْتهب عديم اللون، يستعمل كمذَوّب.,,True,True
183906,acetonemia,أسيتونية الدم,acétonémie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183906,,,True,True
183907,acetonuria,بِِيلَة أسيتونية,acétonurie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183907,وجود الأسِيتون في البول.,,True,True
183908,acetylcholine,أستيل كولين,acétylcholine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183908,عامل كيميائيّ يفرز عند منتهيات الألياف العصبية الباراسمبتاوية.,,True,True
183909,achondroplasia,وَدَانَة,achomdroplasie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183909,,,True,True
183910,acid; acidic,حمض، حَمْضِيّ,acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183910,,,True,True
183911,acidification,تحميض، تحَمُّض,acidification,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183911,,,True,True
183912,acidity,حَمْضِيَّة، حُمُوضة,acidité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183912,,,True,True
183913,acidophilic bacteria,بكتيريا مستحمضة,bactéries acidophiles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183913,,,True,True
183914,acidophilic cell,خلايا مستَحْمِضة,cellules acidophiles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183914,,,True,True
183915,acidosis,حُماض,acidose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183915,حالة تكثر فيها حموضة الدم والأنسجة.,,True,True
183916,aciduria,بِيلَة حَمْضِيَّة,acidurie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183916,حالة تكاثر إفراز الأحماض في البول.,,True,True
183917,acinous,عُنَيْبِيّ,acineux,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183917,مؤلَّف من عُنَيْبات.,,True,True
183918,acinus,عُنَيْبة,acinus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183918,,,True,True
183919,acne,عُدّ، حب الشباب,acné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183919,,,True,True
183920,acquired,مُكْتَسب,acquis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183920,,,True,True
183921,acromegaly,ضَخامة الأطراف,acromégalie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183921,,,True,True
183922,acromion process,ناتئ أخْرَميّ,acromion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183922,استطالة في أسفل شوكة لوح الكتف.,,True,True
183923,acrosome,جُسيْم طرفيّ، أكْروسوم,acrosome,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183923,تركيب يشبه القبعة، يوجد في النصف الأماميّ من رأس النطفة 'الحيوان المنويّ'.,,True,True
183924,actin,أَكْتِين,actine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183924,,,True,True
183925,actinobacillosis,داء العصيات الشعية,actinobacillose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183925,,,True,True
183926,actinomycosis,دَاءُ الشُّعِّيَّات,actinomycose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183926,,,True,True
183927,action,فِعْل,action,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183927,,,True,True
183928,activation,تنشيط، تفعيل,activation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183928,,,True,True
183929,active,فعَّال، فاعِل,actif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183929,,,True,True
183930,activity,فاعِلِيَّة، نشاط,activité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183930,,,True,True
183931,acuity,حِدَّة,acuité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183931,,,True,True
183932,acupuncture,وَخْز إبريّ,acupuncture,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183932,معالجة بوَخْزِ الإبر.,,True,True
183933,acute,حادٌّ,aigu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183933,,,True,True
183934,ad libitum,بدون حدّ,ad libitum,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183934,,,True,True
183935,adactylia,لا (ال…) إصبعية، غياب الأصابع,adactylie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183935,,,True,True
183936,adaptation,تَلاؤُم,adaptation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183936,,,True,True
183937,adaptive,تكيُّفيّ,adaptatif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183937,,,True,True
183938,additive,إضافيّ، تكميليّ,additif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183938,,,True,True
183939,adduction,تقريب,adduction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183939,,,True,True
183940,adductor,مُقرِّب,adducteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183940,,,True,True
183941,adenitis,الْتِهَاب غُدِّيّ,adénite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183941,,,True,True
183942,adenocarcinoma,سَرَطَان غُدِّيّ,adénocarcinome,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183942,,,True,True
183943,adenofibroma,وَرَم ليفيّ غُدِّيّ,adénofibrome,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183943,ورم ليفيّ يشترك في تكوينه نسيج غدديّ.,,True,True
183944,adenohypophysis,نُخَامِية (ال…) الغدية,adénohypophyse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183944,الفص الأماميّ للغدد النخامية.,,True,True
183945,adenoma,ورم غُدِّيّ,adénome,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183945,,,True,True
183946,adenomegaly,ضُخام غديّ، ضُخام عُقَديّ,adénomégalie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183946,تضخم العقد اللمفاوية.,,True,True
183947,adenopathy,اعتلال العقَد اللمفاوية,adénopathie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183947,التهاب الغدة اللمفاوية بغض النظر عن السبب.,,True,True
183948,adenovirus,فيروس غُدِّيّ,adénovirus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183948,,,True,True
183949,adhesion,الْتِصَاق,adhérence,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183949,,,True,True
183950,adhesive,لاصِق، دَبِق,adhésif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183950,,,True,True
183951,adipocyte,خلية شحمية,adipocyte; cellule adipeuse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183951,,,True,True
183952,adipose,شحميّ,adipeux,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183952,,,True,True
183953,adiposity; fatness,شَحَامَة، سِمْنة,adiposité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183953,,,True,True
183954,adipoxanthosis,اصْفِرَار شَحْمِيّ,adipoxanthose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183954,حالة اصفرار متجانس لشحم الحيوان بسبب تلوث المواد الغذائية أو بسبب الشيخوخة.,,True,True
183955,adipsia,لا عَطَش,adipsie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183955,عدم الإحساس بالعطش والامتناع التام عن تناول السوائل.,,True,True
183956,adjuvant,مُسَاعد، مُعَاون,adjuvant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183956,مادة إضافية تجعل الدواء أو اللقاح أكثر فاعلية.,,True,True
183957,administration,إِعْطَاء,administration,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183957,,,True,True
183958,adrenal,كُظْريّ,surrénal; surrénalien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183958,فوق الكلية.,,True,True
183959,adrenalectomy,استئصال الكُظْر,surrénalectomie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183959,,,True,True
183960,adrenergic,أدريناليّ الفعل,adrénergique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183960,,,True,True
183961,adsorbent,مَازٌّ,adsorbant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183961,,,True,True
183962,adsorption,تمزُّز، امتزاز,adsorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183962,,,True,True
183963,adult,بَالِغ,adulte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183963,,,True,True
183964,adulteration,غِشّ، تزْييف,adultération; fraude,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183964,,,True,True
183965,adventitia,بَرَانِية (ال...),adventice,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183965,الطبقة 'الغِلالية' الخارجية.,,True,True
183966,adverse,مُعَاكِس، غير ملائم,adverse; défavorable,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183966,,,True,True
183967,adynamia,وَهَن,adynamie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183967,ضعف عضليّ شديد يسبب عدم القدرة على الحركة.,,True,True
183968,aerobic,هوائيّ الحياة,aérobie; aérobique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183968,ناشط في حالة وجود الأكسجين فقط.,,True,True
183969,aerobiosis,حياة هوائية,aérobiose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183969,,,True,True
183970,aerogenic,مُوَلِّد الغاز,aérogène,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183970,,,True,True
183971,aerosol,رُذَيْذَة، ضُبيبة,aérosol,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183971,,,True,True
183972,aetiologic; aetiological,سبـبـيّ,étiologique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183972,,,True,True
183973,aetiology,مَأْتى المرض,étiologie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183973,,,True,True
183974,afebrile,بلا حُمَّى، عديم الحمى,afébrile,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183974,,,True,True
183975,affection; injury,إصابة,affection; lésion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183975,,,True,True
183976,afferent,وَارِد,afférent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183976,,,True,True
183977,affinity,أ ُلْفة,affinité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183977,,,True,True
183978,aflatoxicosis,تَسَمُّم بالأفلاتوكسين,aflatoxicose,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183978,حالة تسمم حاد أو دون الحاد، ناتج عن التهام عفن يحتوي على سموم 'أفلا' المفرزة من فطر اسبرجلس فيوميجانس 'أسبرغِلَّس فيوميغانس'.,,True,True
183979,aflatoxins,سموم الأفلا، توكسينات الأفلا,aflatoxines,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183979,نواتج فطرية 'للأسبرجلس فلافس' و'للأسبرجلس براسيتكس'، لها قابلية سُمية وسرطانية لمجموعة من حيوانات المزرعة.,,True,True
183980,african horse sickness,داء الخيل الإفريقية,peste équine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183980,,,True,True
183981,afterbirth,خَلاص الجنين، خَلاص (ال…),délivre; placenta,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183981,,,True,True
183982,agalactia,انقطاع اللَّبَن,agalactie; agalaxie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183982,,,True,True
183983,agar gel diffusion,اختبار الانتشار على هُلام الأغار، فحص مناعيّ,test de diffusion sur gel d'agar,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183983,,,True,True
183984,age,سِنّ، عُمْر,âge,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183984,,,True,True
183985,aged,مُسِّن,âgé,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183985,,,True,True
183986,agenesia,لا تكوُّن,agénésie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183986,نماء غير كامل للعضو أو الجزء منه.,,True,True
183987,agenesis,قصور التكوُّن، لا تكوُّن,agénèse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183987,وقف تكوُّن جزء من الجسم خلال التكوُّن محدثا جنينا مشوَّها.,,True,True
183988,agenitalism,قصور جنسيّ,agénitalisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183988,حالة ناتجة عن قصور الفعالية الجنسية مثل انعدام نشاط المبيض في الأنثى، وانعدام نشاط الخصية في الذكر.,,True,True
183989,agent,فاعِل، عامِل، مؤَثِّر,agent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183989,,,True,True
183990,agglutination,ارتصاص، تلازُن,agglutination,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183990,,,True,True
183991,agglutinin,راصَّة,agglutinine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183991,مادة مُلزِنة.,,True,True
183992,agglutinogen,مولِّد الملزِّن، لزِين، مولِّد للمُضاد,agglutinogène,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183992,مادة موجودة في الميكروبات والكريات الحمراء تجعلها قابلة للتَّلَزُّن.,,True,True
183993,aggressive,عُدْوانيّ,agressif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183993,,,True,True
183994,aggressiveness,عُدْوانيَّة,agressivité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183994,,,True,True
183995,aging,كِبَر,vieillissement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183995,تقدُّم في السن.,,True,True
183996,agnathia,لا فكية,agnathie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183996,شذوذ خِلقيّ يتميز بقصور تنامي الفك السفليّ.,,True,True
