id,english,arabic,french,german,uri,description,vt,uatv,image_uri_remote,image_uri_extract
102626,'Block' rainfall,هَطَل مطريّ غزير,chute de pluie 'de bloc' [f.],Blockregen [m.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=102626,أمطار ذات كثافة هطول مطريّ ثابتة وتواتر مُحدد، على سبيل المثال هطل مطريّ غزير مُدته 15 دقيقة وتواتره مرة واحدة في السنة. يُشار إليه بالرمز: BR15(1),True,True,,
106946,(dike) base,قاعِدة الحاجِز,support de digue [m.],Deichlager [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=106946,مساحة جسم السد المُمتدة من قدمة السد الموجودة ناحية المياه وحتى قدمة السد ناحية البر. (الجمعية الألمانية لإدارة المياه والمياه العادمة والنفايات (DWA) - لائحة رقم 507-1:2011),True,True,,
102385,(river) arm,رافِد النهر,bras de rivière [m.],Flussarm [m.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=102385,,True,True,,
109728,A-B process,مُعالَجة مياه الصرف الصحيّ بالامتزاز واستخدام الحَمْأة النشيطة,procédé d'adsorption par boues activées [m.],Adsorptions-Belebungsverfahren (AB-Verfahren) [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=109728,طريقة ثُنائية المرحلة لمُعالجة مياه الصرف باستخدام الحمأة المُنشطة، ويتحقق في المرحلة الأولى منها - المُحمّلة للغاية - تخلص ملحوظ من المواد العضوية عن طريق الامتزاز وبدون أكسدة. ويؤدي ذلك إلى زيادة الحمأة المُنشطة الزائدة، ولكن يؤدي من ناحية أخرى إلى تقليل تكاليف الإنشاء والتشغيل. ولا تُعتبر هذه الطريقة مُناسبة في حالة تحرير النيتروجين. (المصدر: بيشوفسبرجر 'Bischofsberger'، وهيجيمان 'Hegemann': 2005),True,True,,
106965,AMIL gate / AVIO gate / AVIS gate,بوابة 'أميل'/ بوابة 'أفيو' (إنتاج شركة نيربيك),vanne Avio/AMIL [f.],Avio/AMIL-Verschluss [m.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=106965,,True,True,,
109729,Abiotic degradation,تحلُّل غير عضويّ,dégradation abiotique [f.],"Abbau, abiotischer [m.]",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=109729,تفكّك الجُزيئات المُعقدة بفعل عمليات فيزيائية و/أو عمليات كيميائية، مثل التحلّل الضوئي والتميوء والتأكسد والاختزال.,True,True,,
106964,Ambursen dam / flat slab buttress dam,سَدُّ 'أمبورسن',barrage Ambursen [m.],Ambursen-Staumauer [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=106964,سد ينشأ عادة من الخرسانة المسلحة ويتكون أساساً من بلاطات مرتكزة على دعامات عرضية وتتلقى البلاطات الاحتمال التي تنتقل إلى الأساسات من خلال دعامات التثبيت، وسُمي على اسم المهندس السويدي نيلس أمبورسن Nils Ambursen.,True,True,,
106097,Asian-African Legal Consultative Committee regarding international Water Law,اللجنة القانونية الاستشارية الأفروأسيوية (AALCC) للقانون الدوليّ للمياه,Comité consultatif juridique afro-asiatique pour le régime des eaux international [m.],Asiatisch-afrikanischer Rechtsberatungsausschuss (AALCC) für internationales Wasserrecht [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=106097,,True,True,,
108731,Asian-African legal consultative committee regarding international water law,اللجنة الاستشارية القانونية لآسيا وأفريقيا في مجال القانون الدولي للمياه,comité consultatif juridique Asie-Afrique sur le droit international de l'eau,Asien-Afrika beratender Rechtsausschuss für internationales Wasserrecht,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=108731,لجنة تضمّ اختصاصيين في قانون المياه من بلدان آسيا وأفريقيا، ومن أعمالها دراسة أجرتها عن الجوانب القانونية للموارد المائية، وقدمت على أثرها اقتراحات قيمة.,True,False,,
109833,BOD load,حُمولة نقص الأكسجين الحيويّ,flux en DBO [m.] / charge en DBO,BSB-Fracht [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=109833,,True,True,,
109834,BOD measurement equipment,جِهاز قياس نقص الأكسجين الحيويّ,appareil de mesure DBO [m.],BSB-Messgerät [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=109834,,True,True,,
107030,Bell’s bund / wing wall,حاجز 'بل',paroi en aile [f.],Flügelwand [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=107030,,True,True,,
107035,Bengal shutter,مِصراع البنغال,hausse du Bengale,Bengal-Klappe [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=107035,بوّابة السد في مُنشئات الري الرئيسية، وتتكوّن البوابة من ضلفتين، واحدة على مُستوى مُنخفض في اتجاه التيار (الضلفة الأمامية) والثانية تقع تحت مُستوى المياه وتكون بارتفاعها الكامل. وتثبت كلتا الضلفتين عند نفس الموضع. وتُعد الضلفة الأمامية تجهيزة مُساعدة لإنتصاب الضلفة الخلفية. (انظر: [مِصراع البنغال](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=107035)),True,True,,
107036,Bengal shutter,بوابة بنغال,hausse du Bengale,"Verschluss, Bengalischer [m.]",http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=107036,(انظر: [مِصراع البنغال](http://www.arabterm.org/index.php?id=3&L=1&tx_3m5techdict_pi1[id]=107035)),True,True,,
102598,Bentonite Grout,حَقْن بالبنتونيت,stabilisation à la bentonite [f.],Bentonit-Vermörteln [n.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=102598,,True,True,,
102600,Bernoulli’s theorem,نظرية برنولّي,équation de Bernoulli [f.],Bernoullische Gleichung [f.],http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=102600,لإجراء حساب هيدرولي لدرجة الضغط في شبكة من المواسير ينبغي الرجوع إلى نسبة فقد الضغط وقانون بقاء الطاقة الموسع (ما يُسمى بنظرية 'برونللي'). وتتكوّن درجة الضغط من العناصر التالية: ارتفاع المساحة الأرضية لمحور الأنبوب، والسُرعة، ونسبة فقد الضغط، وإجمالي الطاقة.,True,True,,
