term_id,term,term_url,ar,de,en,es,fr,ja,ko,nl,pl,pt,sr,sv,zh
102-01-01,equality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-01,,"Gleichheit, f",equality,igualdad,"égalité, f",相当等式,등식,"gelijkheid, f",równość,igualdade,"једнакост, ж јд",likhet,相等
102-01-02,set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-02,,"Menge, f",set,conjunto,"ensemble, m",集合,집합,"verzameling, f","zbiór, m",conjunto,"скуп, м јд",mängd,集合
102-01-03,element of a set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-03,,"Element einer Menge, nElement, n",element of a setelement,elemento de un conjuntoelemento,"élément d'un ensemble, mélément, m",集合の元集合の元,집합원소원소,"element van een verzameling, n",element zbioruelement,elemento de um conjuntoelemento,"елемент скупа, м јделемент, м јд",elementelement i en mängd,集合的元素元素
102-01-04,subset,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-04,,"Teilmenge, f",subset,subconjunto,"sous-ensemble, mpartie, <d'un ensemble> f",部分集合,부분집합,"deelverzameling, f",podzbiór,subconjunto,"подскуп, м јд",delmängd,子集
102-01-05,proper subset,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-05,,"echte Teilmenge, f",proper subset,subconjunto estrictosubconjunto propio,"sous-ensemble strict, m",真部分集合,진부분집합,"strikte deelverzameling, f",podzbiór właściwy,subconjunto próprio,"прави подскуп, м јд",äkta delmängd,真子集
102-01-06,Cartesian product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-06,,"kartesisches Produkt, n",Cartesian product,producto cartesiano,"produit cartésien, m",直積カルテシアン積デカルト積,카테시안 곱,"cartesisch product, n",iloczyn kartezjański,produto cartesiano,"Декартов производ, м јд",kartesisk produkt,笛卡儿积
102-01-07,binary relation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-07,,"binäre Relation, f",binary relation,relación binaria,"relation binaire, f",二項関係2項関係,이진관계,"binaire relatie, f",relacja binarna relacja dwuczłonowa,relação binária,"бинарна релација, ж јд",binär relation,二元关系
102-01-08,equivalence relation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-08,,"Äquivalenzrelation, f",equivalence relationequivalence,relación de equivalenciaequivalencia,"relation d'équivalence, féquivalence, f",同値関係同値,등가관계등가,"equivalentierelatie, f",relacja równoważnościrównoważność,relação de equivalênciaequivalência,"релација еквивалентности, ж јдеквивалентност, ж јд",ekvivalensekvivalensrelation,等价关系等价
102-01-09,order relation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-09,,"Ordnungsrelation, f",order relationorder,relación de orden,"relation d'ordre, fordre, m",順序関係順序,순서관계순서,"ordening, f",relacja porządkującaporządek,relação de ordemordem,"релација поретка, ж јдуређеност, ж јд",ordningordningsrelation,序关系序
102-01-10,function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-10,,"Funktion, fOperation, <Mathematik> f","functionoperation, <mathematics>",funciónoperación,"fonction, fopération, <mathématiques> f","関数演算, <数学>","함수연산, <수학>","functie, f","funkcja, fdziałanie, n",funçãooperação,"функција, ж јдоперација, ж јд",funktionoperation,函数运算
102-01-11,addition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-11,,"Addition, f",addition,adición,"addition, f",加法,덧셈가산,"optelling, f",dodawanie,adição,"сабирање, с јд",addition,加法
102-01-12,"neutral element, <for addition>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-12,,"neutrales Element (der Addition), n","neutral element, <for addition>",elemento neutro (para la adición),"élément neutre, <pour l'addition> m","単位元, <加法の>","항등원, <덧셈>중립원, <덧셈>","neutraal element, n",element neutralny (względem dodawania)moduł dodawania,elemento neutro (para a adição),"неутрални елемент, <за сабирање> м јд",neutralt element (för addition),"零元素, <加法的>"
102-01-13,subtraction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-13,,"Subtraktion, f",subtraction,sustracción,"soustraction, f",減法減算引算,뺄셈감산,"aftrekking, f",odejmowanie,subtracção,"одузимање, с јд",subtraktion,减法
102-01-14,"negative, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-01-14,,"Negatives, n","negative, nounopposite, noun",opuesto,"opposé, m","負数, 名詞加法的逆元","역원, 명사부정, 명사","inverse element, n",element o przeciwnym znakuelement przeciwny,oposto,"елемент негативног знака, м јделемент супротног знака, м јд","motsatt element, substantiv",负反
