term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,pl,pt,sr,sv,zh
112-01-01,quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-01,كمية,veličina,"Größe, f",quantity,magnitud,"grandeur, f",grandezza,量,양,"wielkość, filość , f",grandeza,"величина
, ж јд",storhet,量
112-01-02,quantity name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-02,اسم الكمية,název veličiny,"Name einer Größe, mGrößenname, m",quantity namename of quantity,nombre de una magnitud,"nom de grandeur, m",nome di una  grandezza,量の名称,양 명칭,"nazwa wielkości, f",nome de grandeza,"назив величине, м јд",storhetsbenämning,量名称
112-01-03,quantity symbol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-03,رمز الكمية,značka veličiny,"Formelzeichen einer Größe, nGrößenzeichen, n",quantity symbolsymbol of a quantity,símbolo de una magnitud,"symbole de grandeur, m",simbolo di una grandezza,量記号,양 기호,"symbol wielkości, m",símbolo de grandeza,"симбол величине, м јд",storhetsbeteckning,量符号
112-01-04,kind of quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-04,نوع الكمية (نوع),druh veličinydruh,"Art einer Größe, fGrößenart, f",kind of quantitykind,tipo de una magnitudtipo,"nature de grandeur, fnature, f",specie di grandezza,量の種類,양 종류종류,"rodzaj wielkości, m",tipo de grandeza,"врста величине, ж јд",storhetsslag,量类
112-01-05,intensive quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-05,كمية مركزة (كمية موضعية),intenzívní veličinalokální veličina,"intensive Größe, f",intensive quantitylocal quantity,,"grandeur intensive, f",grandezza intensivagrandezza locale,ある場所における量,내포량지역량,wielkość lokalna,grandeza intensiva,"локална величина
, ж јдинтензивна величина, ж јд",intensiv storhetlokal storhet,强度量
112-01-06,extensive quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-06,كمية شاملة (كمية اجمالية),extenzívní veličinaglobální veličina,"extensive Größe, f",extensive quantityglobal quantity,,"grandeur extensive, f",grandezza estensivagrandezza integrale,普遍量,외연량전역량,wielkość globalna,grandeza extensiva,"екстензивна величина
, ж јдглобална величина, ж јд",extensiv storhetglobal storhet,广延量
112-01-07,system of quantities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-07,كميات لنظام,soustava veličin,"Größensystem, n",system of quantities,,"système de grandeurs, m",sistema di grandezze,量体系,양 체계,układ wielkości,sistema de grandezas,"систем величина, м јд",storhetssystem,量制
112-01-08,base quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-08,كمية اساسية,základní veličina,"Basisgröße, f",base quantity,,"grandeur de base, f",grandezza di base,基本量,기본량,wielkość podstawowa,grandeza de base,"основна величина, ж јд",grundstorhet,基本量
112-01-09,number of entities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-09,عدد كينونات,počet entit,"Anzahl, f",number of entities,,"nombre d'entités, m",numero di entità,単位の数,개체 수,liczba elementów,número de entidades,"број ентитета, м јд",antal elementära enheter,事物数
112-01-10,derived quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-10,كمية مشتقة,odvozená veličina,"abgeleitete Größe, f",derived quantity,,"grandeur dérivée, f",grandezza derivata,組立量,유도량,wielkość pochodna,grandeza derivada,"изведена величина, ж јд",härledd storhet,导出量
112-01-11,dimension of a quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-11,بعد لكمية (بعد كمية) بعد,rozměr veličinyrozměr,"Dimension einer Größe, fGrößendimension, f",dimension of a quantityquantity dimensiondimension,dimensión de una magnituddimensión,"dimension, <d’une grandeur> fdimension d'une grandeur, f",dimensione di una grandezza,量の次元,양 차원차원,"wymiar wielkości, mwymiar, m",dimensão de grandezadimensão,"димензија величине, ж јддимензија, ж јд",dimension av en storhetdimension,量纲
112-01-12,dimensional exponent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-12,أس بعدى,rozměrový exponent,"Dimensionsexponent, m",dimensional exponent,,"exposant dimensionnel, m",esponente dimensionale,次元指数,차원 지수,wykładnik wymiaru,expoente dimensional,"димензионални експонент, м јд",dimensionsexponent,量纲指数
112-01-13,quantity of dimension one,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-13,كمية بلا ابعاد,veličina s rozměrem jednabezrozměrová veličina,"Größe der Dimension Eins, fGröße der Dimension Zahl, fdimensionslose Größe, f, (abgelehnt)",quantity of dimension onedimensionless quantity,,"grandeur sans dimension, fgrandeur de dimension un, f",grandezza adimensionalegrandezza di dimensione uno,無次元単位,무차원의 양무차원 양,wielkość o wymiarze jedenwielkość bezwymiarowa,grandeza adimensionalgrandeza de dimensão um,"бездимензионална величина, ж јд",storhet med dimensionen ettdimensionslös storhet,量纲一的量无量纲量
112-01-14,unit of measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-14,وحدة قياس (وحدة قياس) وحدة,měřicí jednotkajednotka,"Maßeinheit, fEinheit im Messwesen, fEinheit, f",unit of measurementmeasurement unitunit,,"unité de mesure, funité, f","unità di misura, unità",測定単位,측정 단위단위,jednostka miaryjednostka,unidade de mediçãounidade,"мерна јединица, ж јдјединица, ж јд",måttenhetenhet,测量单位计量单位单位
112-01-15,unit name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-15,اسم الوحدة,název jednotky,"Name einer Einheit, mEinheitenname, m",unit namename of unit,nombre de una unidad,"nom d'unité, m",nome di una unità di misura,単位の名称,단위 명칭,"nazwa jednostki miary , fnazwa jednostki, f",nome de unidade,"назив јединице, м јд",enhetsbenämning,单位名称
112-01-16,special unit name,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-16,اسم وحدة خاص,zvláštní značka jednotky,"besonderer Name einer Einheit, m",special unit name,,"nom spécial d’unité, m",nome  di una unità speciale,特別な単位名,특별 단위 명칭,nazwa specjalna jednostki,nome especial de unidade,"специјални назив јединице, м јд",särskild enhetsbenämning,专门单位名称
112-01-17,unit symbol,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-17,رمز وحدة,značka jednotky,"Formelzeichen einer Einheit, nEinheitenzeichen, n",unit symbolsymbol of a unit,,"symbole d'unité, m",simbolo di una unità di misura,単位記号,단위 기호,oznaczenie jednostki,símbolo de unidade,"ознака јединице, ж јд",enhetsbeteckning,单位符号
112-01-18,base unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-18,وحدة اساس,základní jednotka,"Basiseinheit, f",base unit,,"unité de base, f",unità di base,基本単位,기본 단위,jednostka podstawowa,unidade de base,"основна јединица, ж јд",grundenhet,基本单位
112-01-19,derived unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-19,وحدة مشتقة,odvozená jednotka,"abgeleitete Einheit, f",derived unit,,"unité dérivée, f",unità derivata,誘導単位,유도 단위,jednostka pochodna,unidade derivada,"изведена јединица, ж јд",härledd enhet,导出单位
112-01-20,coherent derived unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-20,وحدة مشتقة مترابطة,koherentní odvozená jednotka,"kohärente abgeleitete Einheit, f",coherent derived unit,,"unité dérivée cohérente, f",unità derivata coerente,統一誘導単位,일관된 유도 단위,jednostka pochodna spójna,unidade derivada coerente,"кохерентна изведена јединица, ж јд",samstämd härledd enhet,一贯导出单位
112-01-21,system of units,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-21,وحدات النظام,soustava jednotek,"Einheitensystem, n",system of units,,"système d'unités, m",sistema di unità,単位系,단위계,układ jednostek,sistema de unidades,"систем јединица, м јд",enhetssystem,单位制
112-01-22,coherent system of units,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-22,نظام وحدات مترابط,koherentní soustava jednotek,"kohärentes Einheitensystem, n",coherent system of units,,"système cohérent d'unités, m",sistema coerente di unità,統一単位系,일관된 단위계,układ jednostek spójny,sistema coerente de unidades,"кохерентни систем јединица, м јд",samstämt enhetssystem,一贯单位制
112-01-23,off-system unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-23,وحدة ليس لها صلة بنظام وحدات,mimosoustavová jednotka,"systemfremde Einheit, f",off-system unit,,"unité hors système, f",unità fuori sistema,体系外単位,계외 단위,jednostka miary spoza układujednostka spoza układujednostka pozaukładowa,unidade fora do sistema,"јединица ван система, ж јд",systemfrämmande enhet,制外单位
112-01-24,multiple of a unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-24,مضاعف لوحدة,násobek jednotky,"Vielfaches einer Einheit, n",multiple of a unit,,"multiple d'une unité, m",multiplo di una unità,倍量単位,단위 배수,jednostka wielokrotna,múltiplo de uma unidade,"умножак јединице, м јд",multipelenhet,倍数单位
112-01-25,submultiple of a unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-25,مضاعف حركى لوحدة,díl jednotky,"Teil einer Einheit, n",submultiple of a unit,,"sous-multiple d'une unité, m",sottomultiplo di una unità,分量単位,단위 약수,jednostka podwielokrotna,submúltiplo de unidade,"делитељ јединице, м јд",multipelenhet,分数单位
112-01-26,unit prefix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-26,بادئة وحدة,předponapředpona pro jednotku,"Vorsatz einer Einheit, m",unit prefix,,"préfixe d’unité, m",prefisso di una unità,単位の接頭辞,단위 접두어,przedrostek jednostki,prefixo de unidade,"префикс јединице, м јд",enhetsprefix,单位词头词头
112-01-27,binary prefix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-27,بادئة مزدوجة,binární předpona,"binärer Vorsatz, m",binary prefix,,"préfixe binaire, m",prefisso binario,２進接頭辞,이진 접두어,przedrostek binarny,prefixo binário,"бинарни префикс, м јд",prefix för binära multipler,二进制词头
112-01-28,value of a quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-28,قيمة لوحدة (قيمة وحدة) قيمة,hodnota veličinyhodnota,"Größenwert, m",value of a quantityquantity valuevalue,valor de una magnitudvalor,"valeur d'une grandeur, fvaleur, f","valore di una grandezza, valore",量の値,양 값값,"wartość wielkości, fmiara wielkości, fwartość, fmiara, f",valor de uma grandezavalor,"вредност величине, ж јдвредност, ж јд",storhetsvärdevärde,量值
112-01-29,numerical value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-29,قيمة عددية (قيمة عددية لوحدة),číselná hodnotačíselná hodnota veličiny,"Zahlenwert einer Größe, mZahlenwert, m",numerical valuenumerical quantity valuenumerical value of a quantity,,"valeur numérique, fvaleur numérique d'une grandeur, f",valore numerico di una grandezzavalore numerico,数値,수치양치,wartość liczbowa wielkościwartość liczbowa,valor numérico de uma grandezavalor numérico,"бројчана вредност
, ж јдбројчана вредност величине, ж јд",mätetalmätetal för en storhet,数值量数值
112-01-30,quantity calculus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-30,حساب التفاضل والتكامل للكميات,veličinový kalkulveličinový počet,"Größenkalkül, n",quantity calculus,,"algèbre des grandeurs, f",algebra delle grandezze,量の計算法,양 계산법,rachunek wielkości,álgebra de grandezas,"прорачун величинe, м јд",storhetskalkyl,量算法
112-01-31,quantity equation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-31,معادلة كمية,veličinová rovnicerovnice mezi veličinami,"Größengleichung, f",quantity equation,,"équation aux grandeurs, f",equazione tra grandezze,数量方程式,양 방정식,równanie wielkościowe,equação às grandezas,"једначина величине, ж јд",storhetsekvation,量方程
112-01-32,unit equation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-32,معادلة وحدة,rovnice mezi jednotkami,"Einheitengleichung, f",unit equation,,"équation aux unités, f",equazione tra unità,単位式,단위 방정식,równanie jednostek,equação às unidades,"једначина јединице, ж јд",enhetsekvation,单位方程
112-01-33,conversion factor between units,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-33,معامل تحويل بين الوحدات,převodní činitel mezi jednotkami,"Umrechnungsfaktor zwischen Einheiten, m",conversion factor between units,,"facteur de conversion entre unités, m",fattore di conversione tra unità,変換係数,단위 변환 인자,współczynnik przeliczeniowy jednostek,factor de conversão entre unidadesfactor de conversão,"фактор конверзије између јединица, м јдкоефицијент конверзије између јединица, м јд",omräkningsfaktor mellan enheter,单位换算因数
112-01-34,numerical value equation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-34,معادلة قيمة عددية,rovnice mezi číselnými hodnotami,"Zahlenwertgleichung, f",numerical value equation,,"équation aux valeurs numériques, f",equazione tra valori numerici,数値式,수치 방정식,równanie wartości liczbowychrównanie liczbowe,equação aos valores numéricos,"једначина нумеричке вредности, ж јд",mätetalsekvation,数值方程
112-01-35,ordinal quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-35,كمية ترتيبية,technická veličinařadová veličina,"Ordinalgröße, fordinale Größe, f",ordinal quantity,,"grandeur ordinale, fgrandeur repérable, f",grandezza ordinale,順序量,순서량,wielkość porządkowa,grandeza ordinal,"редна величина, ж јд",ordinal storhet,序量
112-01-36,quantity-value scale,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-36,مقياس قيمة الكمية (ميزان لقياس الاشياء),stupnice hodnot veličinyměřicí stupnice,"Größenwertskala, f",quantity-value scalemeasurement scale,,"échelle de valeurs, féchelle de mesure, f",scala dei valori di una grandezzascala di misura,測定尺度,양 값 척도측정 척도,skala wartości wielkościskala pomiarowa,escala de valoresescala de medição,"скала вредности величине, ж јдмерна скала, ж јд",storhetsvärdeskalamätvärdesskala,量值标测量标
112-01-37,ordinal value scale,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=112-01-37,مقياس كمية ترتيبية,stupnice hodnot technické veličiny,"Ordinalskala, fOrdinalgrößenwertskala, f",ordinal value scale,,"échelle ordinale, féchelle de repérage, f",scala ordinale,序数尺度,순서값 척도,skala wielkości porządkowej,escala ordinal,"скала редних вредности , ж јд",ordinalvärdesskala,序值标
