term_id,term,term_url,de,en,es,fr,it,ja,ko,pl,pt,zh
114-01-01,electrochemistry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-01,"Elektrochemie, f",electrochemistry,"electroquímica, f","électrochimie, f",elettrochimica,電気化学,전기화학,"elektrochemia, f",eletroquímica,电化学
114-01-02,electrolyte,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-02,"Elektrolyt, m",electrolyte,"electrolito, melectrolíto, m","électrolyte, m",elettrolite,電解質,전해질,"elektrolit, m",eletrólito,电解质
114-01-03,electrolytic conductivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-03,"elektrolytische Leitfähigkeit, f",electrolytic conductivity,"conductividad electrolítica, f","conductivité électrolytique, f",conduttività elettrolitica,電解質導電率,전해질 전도도,"konduktywność elektrolityczna, fprzewodność elektrolityczna, f",condutividade eletroquímica,电解质电导率
114-01-04,"dissolve, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-04,"auflösen, Verb","dissolve, verb","disolver, verbo","dissoudre, verbe","dissolvere, verb","溶解, 動詞","용해하다, 동사","rozpuszczać, v","dissolver, verbo","溶解, 动词"
114-01-05,solute,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-05,"gelöster Stoff, mGelöstes, n",solute,"soluto, m","soluté, m",soluto,溶質,용질,"substancja rozpuszczona, f",soluto,溶质
114-01-06,solvent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-06,"Lösungsmittel, n",solvent,"disolvente, m","solvant, m",solvente,溶媒,용매,"rozpuszczalnik, m",solvente,溶剂
114-01-07,solution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-07,"Lösung, f",solution,"disolución, f","solution, f",soluzione,溶液,용액,"roztwór, m",solução,溶液
114-01-08,"dissociation, <electrochemistry>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-08,"Dissoziation in der Elektrochemie, fDissoziation, f","dissociation, <electrochemistry>","disociación, f","dissociation, <électrochimie> f",dissociazione,解離,"해리, <전기화학>","dysocjacja elektrolityczna, fdysocjacja, f",dissociação,"离解, <电化学>解离"
114-01-09,degree of dissociation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-09,"Dissoziationsgrad, m",degree of dissociation,"grado de disociación, m","degré de dissociation, m",grado di dissociazione,解離度,해리도,"stopień dysocjacji, m",grau de dissociação,离解度
114-01-10,dissociation constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=114-01-10,"Dissoziationskonstante, f",dissociation constant,"constante de disociación, f","constante de dissociation, f",costante di dissociazione,解離定数,해리 상수,"stała dysocjacji, f",constante de dissociação,离解常数
