term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,ru,sr,sv,zh
121-11-01,electric charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-01,شحنة كهربائية,"elektrische Ladung, fABGELEHNT: Elektrizitätsmenge, f",electric chargeDEPRECATED: quantity of electricity,cantidad de electricidad (en desuso)carga eléctrica,sähkövaraus,"charge électrique, fDÉCONSEILLÉ: quantité d’électricité, f",carica elettricaquantità di elettricità (termine obsoleto),電荷,전하,elektrisk ladning,"ładunek elektryczny, m",carga elétricaDESACONSELHADO: quantidade de eletricidade,"электрический заряд количество электричества (термин, вышедший из употребления)","наелектрисање, с јдНАПУШТЕН: количина електрицитета, ж јд",(elektrisk) laddning,电荷量
121-11-02,Coulomb's law,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-02,قانون كولوم,"Coulombsches Gesetz, n",Coulomb's law,ley de Coulomb,Coulombin laki,"loi de Coulomb, f",legge di Coulomb,クローンの法則,쿨롱 법칙,Coulombs lov,prawo Coulomba,lei de Coulomb,закон Кулона,"Кулонов закон, м јд",Coulombs lag,库仑定律
121-11-03,electric constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-03,ثابت كهربائى,"elektrische Feldkonstante, fABGELEHNT: Permittivität des Vakuums, fABGELEHNT: Influenzkonstante, fABGELEHNT: Dielektrizitätskonstante des leeren Raums, f",electric constantpermittivity of vacuum,constante dieléctricapermitividad del vacío,sähkövakiotyhjiön permittiivisyys,"constante électrique, fpermittivité du vide, fDÉCONSEILLÉ: pouvoir inducteur spécifique du vide, m",costante elettricapermettività del vuoto,電気定数真空中の誘電率,전기 상수진공 유전률,elektrisk konstant,"stała elektryczna, fprzenikalność elektryczna próżni, f",constante elétricapermitividade do vazio,электрическая постояннаядиэлектрическая проницаемость вакуума,"електрична константа, ж јдпермитивност вакуума, ж јддиелектрична константа вакуума, ж јд",elektriska konstantenpermittiviteten för vakuum,电常数真空电容率真空介电常数
121-11-04,electrically neutral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-04,محايد كهربائيا,"elektrisch neutral, Adjektiv",electrically neutral,eléctricamente neutro,varaukseton,"électriquement neutre, adj",elettricamente neutro,電気的に中性な,전기적 중성,elektrisk nøytral,obojętny elektrycznieneutralny elektrycznie,electricamente neutro,электрически нейтральный,"електрично неутралан, придев",elektriskt neutraloladdad,电中性的
121-11-05,"electrically charged, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-05,مشحون كهربائيا,"elektrisch geladen, adjektivisch","electrically charged, adj",eléctricamente cargado,sähköisesti varattu,"électriquement chargé, adjchargé, adj",elettricamente caricato,"帯電した, 形容詞",전기적 충전된,elektrisk lada,"naładowany elektrycznie, adj",eletricamente carregado,электрически заряженный,"наелектрисан, придев",(elektriskt) laddad,带电的
121-11-06,"quasi-infinitesimal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-06,,"quasi-infinitesimal, Adjektiv","quasi-infinitesimal, adj",cuasi-infinitesimal,kvasi-infinitesimaalinen,"quasi-infinitésimal, adj",,"擬似無限小, 形容詞","유사 무한소, 형용사",kvasiinfinitesimal,kwazi infinitezymalny,quase infinitesimal,,"квазиинфинитезималан, придев",,准无限小
121-11-07,volumic (electric) charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-07,شحنة  ( كهربائية ) حجمية,"volumenbezogene elektrische Ladung, fvolumenbezogene Ladung, fLadungsdichte, f",volumic (electric) charge(electric) charge density,densidad de carga eléctrica,varaustiheys,"charge (électrique) volumique, f",carica (elettrica) volumicadensità di carica (elettrica),体積電荷体積電荷密度,전기부피 전하전기 전하 밀도,"ladningstettleik, volumtettleik av ladning",gęstość objętościowa ładunku elektrycznego gęstość objętościowa ładunku gęstość ładunku,carga (eléctrica) volúmica,объемный (электрический) зарядобъемная плотность (электрического) заряда,"запреминско наелектрисање, с јдгустина наелектрисања, ж јд",(volym)laddningstäthetvolumar laddning,体电荷密度
121-11-08,areic (electric) charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-08,شحنة  ( كهربائية ) سطحية,"flächenbezogene elektrische Ladung, fflächenbezogene Ladung, fLadungsbedeckung, f",areic (electric) chargesurface (electric) charge density,densidad de carga (eléctrica) superficial,pintavaraus,"charge (électrique) surfacique, f",carica (elettrica) areicadensità superficiale di  carica (elettrica),"空間電荷密度表面負荷密度ρ, （記号）",전기면 전하표면 전기 전하 밀도,flateladningstettleik,gęstość powierzchniowa ładunku elektrycznego gęstość powierzchniowa ładunku,carga (eléctrica) arealcarga (eléctrica) areica,поверхностный (электрический) зарядповерхностная плотность (электрического) заряда,"површинско наелектрисање, с јдгустина површинског наелектрисања, ж јд",arear laddningytladdningstäthet,面电荷密度
121-11-09,lineic (electric) charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-09,شحنة ( كهربائية ) خطية,"längenbezogene elektrische Ladung, flängenbezogene Ladung, fLadungsbelag, m",lineic (electric) chargelinear (electric) charge density,densidad de carga (eléctrica) lineal,viivavaraus,"charge (électrique) linéique, f",carica (elettrica) lineicadensità lineare di carica (elettrica),"線電荷密度τ, （記号）",선 전기 전하선 전기 전하 밀도,linjeladningstettleik,gęstość liniowa ładunku elektrycznegogęstość liniowa ładunku,carga (eléctrica) linealcarga (eléctrica) lineica,линейный (электрический) зарядлинейная плотность (электрического) заряда,"линијско наелектрисање, с јдгустина линијског наелектрисања, ж јд",linear laddning,线电荷密度
121-11-10,free charge carrier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-10,موجة حاملة حرة الشحنة,"freier Ladungsträger, m",free charge carrier,portador de carga libre,vapaa varauksenkuljettaja,"porteur de charge libre, m",portatore libero di carica,自由電荷キャリア,자유 전하 운반체,fri ladningsberar,"nośnik swobodny ładunku, m",portador de carga livre,носитель свободного заряда,"слободни носилац наелектрисања, м јд",fri laddningsbärare,自由载流子
