term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sl,sr,sv,zh
161-01-01,electromagnetic environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-01,بيئة (محيط) كهرومغناطيسية,"elektromagnetische Umgebung, f",electromagnetic environment,entorno electromagnético,sähkömagneettinen ympäristö,"environnement électromagnétique, m",ambiente elettromagnetico,電磁環境,전자기 환경,elektromagnetisk miljø,środowisko elektromagnetyczne,ambiente electromagnético,elektromagnetno okolje,"електромагнетска околина, ж јд",elektromagnetisk miljö,电磁环境
161-01-02,electromagnetic noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-02,ضوضاء (ضجيج) كهرومغناطيسي,"elektromagnetisches Geräusch, nelektromagnetisches Rauschen, n",electromagnetic noise,ruido electromagnético,sähkömagneettinen kohina,"bruit électromagnétique, m",rumore elettromagnetico,電磁雑音,전자기 잡음전자기 노이즈,elektromagnetisk støy,szum elektromagnetyczny,ruído electromagnético,elektromagnetni šum,"електромагнетски шум, м јд",elektromagnetiskt brus,电磁噪声
161-01-03,unwanted signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-03,إشارة غير مرغوبة,"unerwünschtes Signal, n",unwanted signalundesired signal,señal no deseada,ei-haluttu signaali,"signal non désiré, m",segnale indesiderato,不要信号,불요 신호,uønskt signal,sygnał niepożądany,sinal não desejado,neželeni signal,"нежељени сигнал, м јд",oönskad signal,无用信号
161-01-04,interfering signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-04,إشارة تداخل (تشويش),"Störsignal, n",interfering signal,señal entrometida,häiritsevä signaali,"signal brouilleur, m",segnale interferente,妨害信号,간섭 신호장해 신호,interfererande signal,sygnał zakłócający,sinal interferente,moteči signal,"сметајући сигнал, м јд",störande signal,干扰信号
161-01-05,electromagnetic disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-05,اضطراب كهرومغناطيسي,"elektromagnetische Störgröße, f",electromagnetic disturbance,parásitoperturbación electromagnética,sähkömagneettinen häiriösähkömagneettinen häiriötekijä,"perturbation électromagnétique, fparasite électromagnétique, mparasite, m",disturbo elettromagnetico,電磁妨害,전자기 교란,elektromagnetisk forstyrring,zaburzenie elektromagnetyczne,perturbação electromagnética,elektromagnetna motnja,"електромагнетска сметња, ж јд",elektromagnetisk störning,电磁骚扰
161-01-06,electromagnetic interference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-06,تداخل (تشويش) كهرومغناطيسي,"elektromagnetische Störung, felektromagnetische Funktionsstörung, f",electromagnetic interferenceEMI,IEM (abreviatura)interferencia electromagnética,sähkömagneettinen häiriösähkömagneettinen häiriintyminen,"brouillage électromagnétique, m",interferenza elettromagnetica,"EMI, （略語）電磁妨害波電磁妨害",전자기 간섭EMI,"elektromagnetisk interferens, EMI",zakłócenie elektromagnetyczne,interferência electromagnética,elektromagnetno motenjeelektromagnetna motenost,"електромагнетско сметање, с јдЕМI",elektromagnetisk störning,电磁干扰
161-01-07,electromagnetic compatibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-07,توافق كهرومغناطيسي,"elektromagnetische Verträglichkeit, fEMV",electromagnetic compatibilityEMC,compatibilidad electromagnética (CEM),sähkömagneettinen yhteensopivuusEMC,"compatibilité électromagnétique, fCEM, f",compatibilità elettromagnetica,電磁両立性,전자기 적합성EMC,"elektromagnetisk kompatibilitet, EMC","kompatybilność elektromagnetyczna, fEMC",compatibilidade eletromagnéticaCEM,elektromagnetna združljivostEMC,"електромагнетска компатибилност, ж јдEMC",elektromagnetisk kompatibilitet; EMC,电磁兼容性
161-01-08,electromagnetic emission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-08,إنبعاث كهرومغناطيسى,"elektromagnetische Emission, felektromagnetische Aussendung, f",electromagnetic emission,emisión (electromagnética),häiriönpäästö,"émission électromagnétique, f",emissione elettromagnetica,電磁放射,전자기 방출전자기 방사,"(elektromagnetisk) emisjon, (elektromagnetisk) utstråling","emisja elektromagnetyczna, f",emissão eletromagnética,(elektromagnetno) oddajanje,"електромагнетска емисија, ж јдемисија, ж јд",emission,电磁发射
161-01-09,"emission, <wave or signal in radiocommunication>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-09,"إنبعاث, <موجة أوإشارة فى الإتصالات الراديوية>","Emission, <Welle oder Signal im Funkverkehr> fAussendung, <Welle oder Signal im Funkverkehr> f","emission, <wave or signal in radiocommunication>",emisión (en radiocomunicaciones),lähetelähete radiotietoliikenteessä,"émission, <onde ou signal en radiocommunication> f",emissione (nelle radiocomunicazioni),"放射, ＜無線通信における波又は信号＞","방출, <무선통신>","emisjon, utsending (radiokommunikasjon)","emisja, <fali lub sygnału w radiokomunikacji> f","emissão, <onda ou sinal em radiocomunicação>",oddajanje v radiokomunikacijahoddajanje v radijskih zvezah,"емисија, <у радио-комуникацијама> ж јд",radioutsändning,"发射, <无线电通信中的波或信号>"
161-01-10,(electromagnetic) radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-01-10,إشعاع (كهرومغناطيسي),"elektromagnetische Strahlung, fStrahlung, f",(electromagnetic) radiation,radiación electromagnética,häiriönsäteily,"rayonnement (éIectromagnétique), m",radiazione elettromagnetica,電磁放射放射,전자기 복사,(elektromagnetisk) utstråling,promieniowanie elektromagnetyczne promieniowanie,radiação (electromagnética),(elektromagnetno) sevanje,"електромагнетско зрачење, с јдзрачење, с јделектромагнетска радијација, ж јдрадијација, ж јд",elektromagnetisk strålning,电磁辐射
