term_id,term,term_url,ar,cs,de,en,fi,fr,ja,pl,pt,sr,zh
171-01-01,information,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-01,معلومات,informace,"Information, f",information,informaatio,"information, f",情報,"informacja, f",informação,"информације, ж мн",信息
171-01-02,data,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-02,بيانات,data,"Daten, pl",data,datatiedot,"donnée, f",データ,"dane, f pl",dados,"подаци, м мн",数据
171-01-03,signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-03,اشارة,signál,"Signal, n",signal,signaali,"signal, m",信号,"sygnał, m",sinal,"сигнал, м јд",信号
171-01-04,"analogue, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-04,"تناظرى, صفة",analogový,"analog, Adjektiv","analogue, adjanalog, adj US",analoginen,"analogique, adj",アナログ,"analogowy, adj","analógico, adj","аналогни, придев",模拟的
171-01-05,"discrete, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-05,"متقطع, صفة",diskrétní,"diskret, Adjektiv","discrete, adj",diskreetti,"discret, adj",離散離散的,"dyskretny, adjnieciągły, adj","discreto, adj","дискретни, придев",离散的
171-01-06,discrete value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-06,قيمة متقطعة,diskrétní hodnota,"diskreter Wert, m",discrete value,diskreetti arvo,"valeur discrète, f",離散値,"wartość dyskretna, fwartość nieciągła, f",valor discreto,"дискретна вредност, ж јд",离散值
171-01-07,"digital, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-07,"رقمى, صفة",digitální,"digital, Adjektiv","digital, adj",digitaalinen,"numérique, adjDÉCONSEILLÉ: digital, adj",デジタル,"cyfrowy, adj","digital, adjnumérico","дигитални, придев",数字的
171-01-08,"hybrid, <for representation of information> adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-08,"هجينى, <عند عرض المعلومات>","hybridní, <pro reprezentaci informace>","hybrid, <bezüglich der Darstellung von Information> Adjektiv","hybrid, <for representation of information> adj",sekamuotoinen,"hybride, <pour la représentation d'informations> adj","ハイブリッド, <情報表示のための>","hybrydowy, <dot. prezentacji informacji> adjanalogowo-cyfrowy, adj","híbrido, <para representação da informação> adj","хибридни, <за представљање информације> придев","混合的, <用于信息表示>"
171-01-09,continuous-value signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-09,اشارة قيمة متصلة,hodnotově spojitý signál,"wertkontinuierliches Signal, n",continuous-value signal,jatkuva-arvoinen signaali,"signal à valeurs continues, m",連続値信号,"sygnał o wartości ciągłej, m",sinal de valores contínuossinal contínuo,"сигнал са континуалним вредностима, м јд",连续值信号
171-01-10,continuous-time signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=171-01-10,اشارة زمن متصلة,časově spojitý signál,"zeitkontinuierliches Signal, n",continuous-time signal,jatkuva-aikainen signaali,"signal à temps continu, m",連続時信号,"sygnał ciągły w czasie, m",sinal de tempo contínuo,"временски континуални сигнал, м јдконтинуални сигнал, м јд",连续时间信号
