term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,pl,pt,zh
192-01-01,item,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-01,بند,objekt,"Betrachtungseinheit, fEinheit, f",item,elemento,"entité, f",アイテム,품목,"obiekt, m",item,产品
192-01-02,sub item,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-02,بند فرعى,dílčí objekt,"Untereinheit, f",sub item,sub elemento,"sous-entité, f",サブアイテム,하위 품목,"część składowa obiektu, fpodobiekt, m",subitem,子产品
192-01-03,"system, <in dependability>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-03,"نظام،, <في الاعتمادية>","systém, <ve spolehlivosti>","System, <im Sinne der Zuverlässigkeit> n","system, <in dependability>","sistema, <en confiabilidad>","système, <en sûreté de fonctionnement> m","システム, <ディペンダビリティに関する>","계통, <신인성>시스템, <신인성>체계, <신인성>","system, <w aspekcie niezawodności> m","sistema, <em dependabilidade>","系统, <可信性领域>"
192-01-04,"subsystem, <in dependability>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-04,"نظام فرعي،, <في الاعتمادية>","subsystém, <ve spolehlivosti>","Subsystem, n","subsystem, <in dependability>","subsistema, <en confiabilidad>","sous-système, <en sûreté de fonctionnement> m","サブシステム, <ディペンダビリティに関する>","하부 계통, <신인성>","podsystem, <w aspekcie niezawodności> m",subsistema,"分系统, <可信性领域>"
192-01-05,indenture level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-05,مستوى إلزام,stupeň rozčlenění,"Gliederungsebene, f",indenture level,nivel jerárquico,"niveau dans l’arborescence, mDÉCONSEILLÉ: niveau d’intervention, m",実施単位分割単位,하부구역 수준,"poziom podziału obiektu, <w sensie hierarchii obsługi> m",nível de intervenção,约定层次
192-01-06,hardware,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-06,أجهزةالمكونات المادية للأجهزة,hardware,"Hardware, f",hardware,hardware,"matériel, m",ハードウェア,하드웨어,"sprzęt, mhardware, m",equipamento hardware,硬件
192-01-07,software,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-07,برمجيات,software,"Software, f",software,software,"logiciel, m",ソフトウェア,소프트웨어,"oprogramowanie, nsoftware, m",softwarelogicial suporte lógico,软件
192-01-08,"process, <in dependability>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-08,عمليةإجراء,proces,"Prozess, <im Sinne der Zuverlässigkeit> m","process, <in dependability>",proceso,"processus, <en sûreté de fonctionnement> m","プロセス, <ディペンダビリティの>","과정, <신인성>","proces, <w aspekcie niezawodnościowym> m","processo, <em dependabilidade>","过程, <在可靠性中>"
192-01-09,life cycle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-09,الدورة العمرية,životní cyklus,"Lebenszyklus, mLebensweg, m",life cycle,ciclo de vida,"cycle de vie, m",ライフサイクル,수명 주기수명 싸이클,"cykl życia, <obiektu> m",ciclo de vida,寿命周期生命周期
192-01-10,"life cycle cost, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=192-01-10,"تكلفة الدورة العمرية ،, <لبند>التكلفة الكلية للدورة العمرية ،, <لبند>","náklady životního cyklu, <objektu>LCC","Lebenszykluskosten, <einer Einheit> f","life cycle cost, <of an item>whole life cost, <of an item>LCC","coste del ciclo de vida, <de un elemento>","coût du cycle de vie, <d’une entité> mcoût global, <d’une entité> mCCV","ライフサイクルコスト, <アイテムの>LCC","수명 주기 비용, <품목>전 수명 비용, <품목>LCC","koszt cyklu życia, <obiektu> mLCC","custo do ciclo de vida, <de um item>","寿命周期费用, <产品的>生命周期费用, <产品的>全寿命费用, <产品的>LCC"
