term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,mn,nl,no,pl,pt,sv,zh
195-01-01,reference earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-01,أرضى مرجعي,referenční zem,"Bezugserde, f","reference earthreference ground, US","tierra de referencia, f","terre de référence, f",基準大地,기준 접지,дэлхийн тэг потенциал,"referentie-aarde, fneutrale aarde, f",referansejord,"ziemia odniesienia, f",terra de referência,referensjord,参考地
195-01-02,electric contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-02,تلامس كهربىإتصال كهربى,elektrický dotyk,"elektrischer Kontakt, m",electric contact,"contacto eléctrico, m","contact électrique, m",電気的接続,전기 접촉,цахилгаан контакт,"elektrisch contact, n",elektrisk kontakt,"kontakt elektryczny, m",contacto elétrico,elektrisk kontakt,电接触
195-01-03,local earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-03,أرضى محلي,místní zem,"örtliche Erde, fErde, f","local earthlocal ground, US","tierra local, f","terre locale, f",局所大地,국소 접지,газардуулгын хэсэг,"lokale aarde, f",lokal jord,"ziemia lokalna, f",terra local,lokal jord,局部接地
195-01-04,"electric shock, <protection against electric shock>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-04,"صدمة كهربية, <في سياق الحماية من الصدمات الكهربائية>","úraz elektrickým proudem, <ochrana před úrazem elektrickým proudem>","elektrischer Schlag, m","electric shock, <protection against electric shock>","choque eléctrico, <en el contexto de protección contra los choques eléctricos> m","choc électrique, <protection contre les chocs électriques> m","感電, <感電保護との関連において>",감전,цахилгаан гүйдэлд нэрвэгдэх,"elektrische schok, m","elektrisk sjokk, <beskyttelse mot elektrisk sjokk>","porażenie elektryczne, <w odniesieniu do ochrony przed porażeniem prądem elektrycznym> n","choque elétrico, <proteção contra os choques elétricos>","elchock, skydd mot elchock","电击, <电击防护>"
195-01-06,conductive part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-06,"جزء موصل, <في سياق الحماية من الصدمات الكهربائية>",vodivá část,"leitfähiges Teil, n",conductive part,"parte conductora, f","partie conductrice, f",導電部,도전부,дамжуулах хэсэг,"geleidend deel, n",ledende del,"część przewodząca, f",parte condutora,ledande del,可导电部分
195-01-07,"conductor, <protection against electric shock>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-07,موصل,"vodič, <ochrana před úrazem elektrickým proudem>","Leiter, <Schutz gegen elektrischen Schlag> m","conductor, <protection against electric shock>","conductor, <en el contexto de protección contra los choques eléctricos> m","conducteur, <dans le contexte de la protection contre les chocs électriques> m","導体, <感電保護との関連において>",도체,дамжуулагч,"geleider, m","leder, <beskyttelse mot elektrisk sjokk>","przewód, <w odniesieniu do ochrony przed porażeniem prądem elektrycznym> m","condutor, <proteção contra os choques elétricos>","ledare, skydd mot elchock","导体, <电击防护>"
195-01-08,"earth, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-08,يؤرض,uzemňování,"erden, Verb","earth, verbground, verb US","poner a tierra, verbo","mettre à la terre, verbe","接地, 動詞","접지하다, 동사",газардуулга,"aarden, werkwoord",jorde (verb),"uziemić, verb","ligar à terra, verbo",jorda,"接地, <相关条目：IEV 195-01-24>"
195-01-09,equipotentiality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-09,تساوى الجهد,ekvipotencialita,"Potentialgleichheit, f",equipotentiality,"equipotencialidad, f","équipotentialité, f",等電位,등전위,эквипотенциал шинж чанар,"equipotentialiteit, f",ekvipotensial,"ekwipotencjalność, f",equipotencialidade,ekvipotentialitet,等电位
195-01-10,equipotential bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-10,رباط متساوى الجهد,pospojovánívyrovnání potenciálu,"Potentialausgleich, m",equipotential bonding,"conexión equipotencial, f","liaison équipotentielle, f",等電位ボンディング,등전위 본딩,эквипотенциал холболт,"potentiaalvereffeningsverbinding, f",utjevningsforbindelse (ekvipotensialforbindelse),"połączenie wyrównawcze, n",ligação equipotencial,potentialutjämning,等电位联结
195-01-11,protective earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-11,تأريض وقائىتأريض حماية,ochranné uzemnění,"Schutzerdung, f","protective earthingprotective grounding, US","puesta a tierra de protección, f","mise à la terre de protection, f",保護接地,보호 접지,хамгаалах газардуулга,"beschermingsaarding, f",beskyttelsesjording,"uziemienie ochronne, n",ligação à terra de proteção,skyddsjordning,保护接地
195-01-12,earthing for work,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-12,تأريض للعمل,uzemnění pro práci,"Arbeitserdung, f","earthing for workgrounding for work, US","puesta a tierra para trabajos, f","mise à la terre pour travaux, f",作業用接地,작업용 접지,ажлын газардуулга,"aarding voor werkzaamheden, f",arbeidsjording; jording for arbeid,"uziemianie miejsca pracy, n",ligação à terra para trabalhos,arbetsjordning,作业接地
195-01-13,functional earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-13,تأريض وظيفى,pracovní uzemnění,"Funktionserdung, f","functional earthingfunctional grounding, US","puesta a tierra funcional, f","mise à la terre fonctionnelle, f",機能接地,기능 접지,тусгай зориулалтын газардуулга,"functionele aarding, f",funksjonsjording,"uziemienie funkcjonalne, n",ligação à terra funcional,funktionsjordning,功能接地
195-01-14,system earthing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-14,تأريض النظام,uzemnění sítě,"Netzbetriebserdung, fBetriebserdung eines Netzes, f","system earthingsystem grounding, US","puesta a tierra de la red, f","mise à la terre du réseau, f",系統接地,계통 접지,"системийн газардуулга, <эрчим хүчний>","aardverbinding van het verdeelnet, faardverbinding van het netsysteem, f",systemjording,"uziemienie sieci, n",ligação à terra da rede,systemjordning,系统接地
195-01-15,protective-equipotential-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-01-15,رباط وقائى متساوى الجهدرباط حماية متساوى الجهد,ochranné pospojování,"Schutzpotentialausgleich, m",protective-equipotential-bonding,"conexión equipotencial de protección, f","liaison équipotentielle de protection, f",保護等電位ボンディング,보호 등전위 본딩,хамгаалалтын эквипотенциал холболт,"beschermingsequipotentiaalverbinding, fbeschermingspotentiaalvereffeningsverbinding, f",utjevningsforbindelse for beskyttelsesformål,"połączenie wyrównawcze ochronne, n",ligação equipotencial de proteção,skyddsutjämning,保护等电位联结
