term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,mn,pl,pt,sr,sv,zh
212-11-01,insulating material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-01,مادة عازلة,elektroizolační materiál,"Isolierstoff, m",insulating material,material aislante,"matériau isolant, m",,絶縁材絶縁材料,절연물절연 재료,тусгаарлагч материал,materiał elektroizolacyjnymateriał izolacyjny,material isolante,"изолациони материјал, м јд",isolermaterial,"绝缘材料, <相关条目：212-11-02>"
212-11-02,solid insulating material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-02,مادة عازلة صلبة,pevný elektroizolační materiál,"fester Isolierstoff, m",solid insulating material,material aislante sólido,"matériau isolant solide, m",,固体絶縁材料,고체 절연 재료,хатуу тусгаарлагч материал,materiał elektroizolacyjny stały,material isolante sólido,"чврсти изолациони материјал, м јд",fast isolermaterial,固体绝缘材料
212-11-03,insulating fluid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-03,مائع عازل,elektroizolační tekutina,"Isolierfluid, n",insulating fluid,fluido aislante,"fluide isolant, m",,絶縁流体,절연 유체,тусгаарлагч хувирамтгай бодис,płyn elektroizolacyjny,fluido isolante,"изолациони флуид, м јд",isolervätska,绝缘流体
212-11-04,insulating liquid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-04,سائل عازل,elektroizolační kapalina,"Isolierflüssigkeit, f",insulating liquid,aislante líquido,"isolant liquide, m",,絶縁液体絶縁油,절연 액체,тусгаарлагч шингэн,ciecz elektroizolacyjnaciecz izolacyjna,isolante líquido,"изолациона течност, ж јд",isolervätska,绝缘液体
212-11-05,insulating gas,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-05,غاز عازل,elektroizolační plyn,"Isoliergas, n",insulating gas,aislante gaseoso,"isolant gazeux, m",,絶縁ガス,절연 기체,тусгаарлагч хий,gaz elektroizolacyjnygaz izolacyjny,isolante gasoso,"изолациони гас, м јд",isolergas,绝缘气体
212-11-06,dielectric,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-06,عازل,dielektrický,"dielektrisch, Adjektiv",dielectric,dieléctrico,"diélectrique, adj",,誘電体の絶縁体の,유전체,диэлектрик,dielektryczny,"dieléctrico, adjectivo","диелектрични, придев",dielektrikum,介电的电介质的
212-11-07,electric insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-07,عزل كهربائي,elektrická izolace,"elektrische Isolierung, f",electric insulation,aislante eléctrico,"isolant électrique, m",,電気絶縁,전기 절연,цахилгаан тусгаарлага,izolacja elektryczna,isolante eléctrico,"електрична изолација, ж јд",elektrisk isolering,电气绝缘件
212-11-08,electric insulation system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-08,نظام عزل كهربائى,elektroizolační systém,"elektrisches Isoliersystem, n",electric insulation system,sistema de aislamiento eléctrico,"système d’isolation électrique, m",,電気絶縁システム,전기 절연 계통,цахилгаан тусгаарлагын систем,układ elektroizolacyjny,sistema de isolação eléctrica,"електрични изолациони систем, м јд",elektriskt isolersystem,电气绝缘系统
212-11-09,insulation resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-09,مقاومة العزل,izolační odpor,"Isolierungswiderstand, m",insulation resistance,resistencia de aislamiento,"résistance d'isolement, f",,絶縁抵抗,절연 저항,тусгаарлагын эсэргүүцэл,rezystancja izolacji,resistência de isolamento,"отпорност изолације, ж јд",isolationsresistans,绝缘电阻
212-11-10,volume resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=212-11-10,مقاومة حجمية,objemový odpor,"Durchgangswiderstand, m",volume resistance,resistencia transversal,"résistance volumique, f",,体積抵抗,부피 저항,эзлэхүүний эсэргүүцэл,rezystancja objętościowa,resistência volúmica,"запреминска отпорност, ж јд",volymresistans,体积电阻
