term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
311-01-01,(result of a) measurement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-01,نسبة الفقد (الإضعاف),"Messergebnis, n",(result of a) measurement,medida,mittaustulos,"(résultat de) mesure, f",fattore di smorzamentofattore di perdita,測定結果測定,측정 결과,wynik pomiaru,medidaresultado de uma medição,результат измерения,"резултат мерења, м јд",mätresultat,测量结果
311-01-02,uncertainty (of measurement),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-02,نتيجة قياس,"Messunsicherheit, f",uncertainty (of measurement),incertidumbre (de medida),mittausepävarmuus,"incertitude (de mesure), f",incertezza (di misura),測定の不確かさ不確かさ,측정 불확정도,niepewność pomiaruniepewność,incerteza (de uma medição),неопределенность (измерения),"мерна несигурност, ж јдмерна неизвесност, ж јдмерна неодређеност, ж јд",mätosäkerhet,测量不确定度不确定度
311-01-03,measurand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-03,إرتياب (لقياس),"Messgröße, f",measurand,mesurando,mittaussuure,"mesurande, m",misurando,測定量,측정량,wielkość mierzona,mesuranda,измеряемая величина,"мерена величина, ж јд",mätstorhet,被测量
311-01-04,true value (of a quantity),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-04,قيمه مقاسة,"wahrer Wert einer Größe, mwahrer Wert, m",true value (of a quantity),valor verdadero (de una magnitud),suureen oikea arvooikea arvo,"valeur vraie (d'une grandeur), f",valore vero (di una grandezza),量の真の値真の値,량의 참값,wartość prawdziwa wielkościwartość prawdziwa,valor verdadeiro (de uma grandeza),истинное значение,"права вредност, <величине> ж јдистинита вредност , <величине> ж јд",sant (storhets)värde,量的真值真值
311-01-05,absolute error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-05,قيمة حقيقية ( لكمية),"absolute Messabweichung, f",absolute error,error absoluto,absoluuttinen virhe,"erreur absolue, f",errore assoluto,絶対誤差,절대오차,błąd bezwzględny,erro absoluto,абсолютная погрешность,"апсолутна грешка, ж јд",absolut mätfel,绝对误差
311-01-06,conventional true value (of a quantity),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-06,خطأ مطلق,"richtiger Wert, m",conventional true value (of a quantity),valor convencionalmente verdadero,suureen oikeaksi sovittu arvooikeaksi sovittu arvo,"valeur conventionnellement vraie (d'une grandeur), f",valore convenzionalmente vero  (di una grandezza),取り決めによる真の値,량의 약정참값,wartość umownie prawdziwa wielkościwartość umownie prawdziwa,valor convencionalmente verdadeiro (de uma grandeza),действительное значение,"договорена права вредност , <величине> ж јдконвенционална истинита вредност, <величине> ж јд",konventionellt sant värde,量的约定真值约定真值
311-01-07,indication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-07,قيمة حقيقية إصطلاحية (لكمية),"Anzeige, f",indication,indicación,näyttämä,"indication, f",indicazione,指示,지시도수,wskazanie,indicação,показания (индикация),"показивање, с јд",visning,标示值
311-01-08,indicated value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-08,بيان,"angezeigter Wert, m",indicated value,valor indicado,näytettävä arvo,"valeur indiquée, f",valore indicato,指示値,지시값표시값,wartość wskazana,valor indicado,показанное значение,"показана вредност, ж јд",visat värde,校准示值
311-01-09,calibration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-09,قيمة مبينة,"Kalibrierung, f",calibration,calibración,kalibrointi,"étalonnage, m",taratura,校正,교정,wzorcowanie,calibração,калибровка,"еталонирање, с јдкалибрација, ж јд",kalibrering,校准
311-01-10,calibration diagram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-10,معايرة,"Kalibrierdiagramm, n",calibration diagram,diagrama de calibración,kalibrointidiagrammi,"diagramme d’étalonnage, m",diagramma di taratura,校正図,교정 도표교정 다이어그램,wykres wzorcowania,diagrama de calibração,калибровочная диаграмма,"дијаграм еталонирања, м јдкалибрациони дијаграм, м јд",kalibreringsdiagram,校准图
311-01-11,calibration curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-11,مخطط المعايرة,"Kalibrierkurve, f",calibration curve,curva de calibración,kalibrointikäyrä,"courbe d’étalonnage, f",curva di taratura,校正曲線,교정 곡선,krzywa wzorcowania,curva de calibração,калибровочная кривая,"крива еталонирања, ж јдкалибрациона крива, ж јд",kalibreringskurva,校准曲线
311-01-12,constant of a measuring instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-12,منحني المعايرة,"Gerätekonstante, f",constant of a measuring instrument,constante de un aparato de medida,näyttämäkerroin,"constante d'un appareil de mesure, f",costante di uno strumento di misura,計器定数,측정기 상수계측기 상수,stała przyrządu pomiarowego,constante de um instrumento de medição,постоянная измерительного прибора,"константа мерног инструмента, ж јдконстанта мерила, ж јд",instrumentkonstant,测量仪表常数
311-01-13,verification (of calibration),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-13,ثابت (لجهاز قياس),"Verifizierung der Kalibrierung, fVerifizierung, f",verification (of calibration),verificación (de calibración),(kalibroinnint) verifiointi,"vérification (d’étalonnage), f",verifica (di taratura),検定,검정,sprawdzenie wzorcowania,verificação (de calibração),поверка (калибровки),"верификација , <еталонирања> ж јдверификација , <калибрације> ж јд",verifiering,校准的检定检定
311-01-14,(measurement) compatibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-14,تحقق (من المعايرة),"Verträglichkeit einer Messung, fVerträglichkeit, f",(measurement) compatibility,compatibilidad de medida,(mittauksen) yhteensopivuus(mittauksen) yhdenmukaisuus,"compatibilité (de mesure), f",compatibilità (della misura),適合性,측정 적합성,zgodność pomiaruzgodność,compatibilidade (de medição),совместимость (измерения),"компатибилност , <мерења> ж јд",mätöverensstämmelse,测量兼容性兼容性
311-01-15,traceability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-15,توافق ((لقياس),"Rückverfolgbarkeit, f",traceability,trazabilidad,jäljitettävyys,"traçabilité, f",riferibilità,トレーサビリテイ,추적가능성,spójność pomiarowaspójność,rastreabilidade,прослеживаемость (доступность прослеживанию),"следљивост, ж јд",spårbarhet,溯源性
311-01-16,fiducial value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-16,قابلية الاقتفاء,"Bezugswert, m",fiducial value,valor convencional,tarkkuuden viitearvo,"valeur conventionnelle, f",valore fiduciario,基底値,기준값기저값,wartość umowna,valor convencional,базовое значение,"договорена вредност, ж јд",referensvärde,引用值
311-01-17,relative error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-17,قيمة إسنادية,"relative Messabweichung, f",relative error,error relativo,suhteellinen virhe,"erreur relative, f",errore relativo,相対誤差,상대 오차,błąd względny,erro relativo,относительная погрешность,"релативна грешка, ж јд",relativt fel,相对误差
311-01-18,fiducial error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-18,خطأ نسبي,"bezogene Messabweichung, f",fiducial error,error reducido convencional,viitearvon suhteellinen virhe,"erreur réduite conventionnelle, f",errore in forma ridotta,基底相対誤差,기준상대 오차기저상대 오차기저오차,błąd zredukowany,erro reduzido convencional,приведенная погрешность,"сведена грешка, ж јд",relaterat fel,引用误差
311-01-19,relative uncertainty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-19,خطأ إسنادي,"relative Messunsicherheit, f",relative uncertainty,incertidumbre relativa,suhteellinen mittausepävarmuus,"incertitude relative, f",incertezza relativa,相対不確かさ,상대 불확실성,niepewność względna,incerteza relativa,относительная неопределенность,"релативна несигурност, ж јдрелативна неизвесност, ж јдрелативна неодређеност, ж јд",relativ mätosäkerhet,相对不确定度
311-01-20,fiducial uncertainty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=311-01-20,ارتياب نسبي,"bezogene Messunsicherheit, f",fiducial uncertainty,incertidumbre convencional,suhteutettu mittausepävarmuus,"incertitude conventionnelle, f",incertezza convenzionale,基底相対不確かさ,기저상대 불확실성기준상대 불확실성기저 불확실성,niepewność umowna,incerteza convencional,приведенная неопределенность,"сведена несигурност, ж јдсведена неизвесност, ж јдсведена неодређеност, ж јд",relaterad mätosäkerhet,引用不确定度
