term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sr,sv,zh
312-01-01,current circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-01-01,قيم حدود النقل,"Strompfad (in einem Messgerät), m",current circuit,circuito de intensidad,virranmittauspiiri,"circuit de courant, m",circuito di corrente,電流回路,전류 회로,гүйдлийн хэлхээ,tor prądowy,circuito de corrente,цепь тока,"струјно коло, с јд",strömkrets,电流电路
312-01-02,voltage circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-01-02,دارة تيار,"Spannungspfad (in einem Messgerät), m",voltage circuit,circuito de tensión,jännitepiiri,"circuit de tension, m",circuito di tensione,電圧回路,전압 회로,хүчдэлийн хэлхээ,tor napięciowy,circuito de tensão,цепь напряжения,"напонско коло, с јд",spänningskrets,电压电路
312-01-03,common mode voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-01-03,دارة جهد,"Gleichtaktspannung, f",common mode voltage,tensión de modo común,yhteismuotoinen jännite,"tension de mode commun, f",tensione di modo comune,コモンモード電圧,공통 모드 전압,ерөнхий хэлбэрийн хүчдэл,napięcie wspólnenapięcie synfazowe,tensão de modo comum,напряжение общего вида,"асиметрични напон, м јд",gemensammodspänning,共模电压
312-01-04,series mode voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-01-04,جهد نمطى مشترك,"Serientaktspannung, f",series mode voltage,tensión de modo serie,sarjamuotoinen jännite,"tension de mode série, f",tensione di modo differenziale,シリーズモード電圧,직렬 모드 전압,цуваа нөлөөллийн хүчдэл,napięcie szeregowe,tensão de modo série,напряжение помехи последовательного вида,"серијски унети напон, м јд",seriemodspänning,串模电压
312-02-01,direct-acting instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-01,جهد نمط تسلسلي,"direkt wirkendes Messgerät, n",direct-acting instrument,instrumento de acción directa,suoraan vaikuttava mittarisuoraan näyttävä mittari,"appareil à action directe, m",strumento ad azione diretta,直動計器,직동 계기,шууд заах хэмжих хэрэгсэл,przyrząd o działaniu bezpośrednim,instrumento de acção directa,прибор прямого действия,"директни инструментнепосредни инструмент, м јд",direktverkande instrument,直接作用仪表
312-02-02,indirect-acting instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-02,جهاز قياس ذو فعل مباشر,"indirekt wirkendes Messgerät, n",indirect-acting instrument,instrumento de acción indirecta,epäsuorasti vaikuttava mittariepäsuoraan näyttävä mittari,"appareil à action indirecte, m",strumento ad azione indiretta,間接駆動計器,간접구동 계기,шууд бус заах хэмжих хэрэгсэл,przyrząd o działaniu pośrednim,instrumento de acção indirecta,прибор косвенного действия,"индиректни инструмент, м јдпосредни инструмент, м јд",indirektverkande instrument,间接作用仪表
312-02-03,instrument with suppressed zero,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-03,جهاز قياس ذو فعل غير مباشر,"Messgerät mit unterdrücktem Nullpunkt, n",instrument with suppressed zero,instrumento de cero suprimido,nollapisteetön mittari,"appareil à zéro supprimé, m",strumento a zero soppresso,ゼロサプレッション計器,영위 억제 계기,тэг тохируулгатай хэмжих хэрэгсэл,przyrząd o podziałce bezzerowej,instrumento com supressão de zero,прибор с подавлением нуля,"инструмент са потиснутом нулом, м јд",instrument med undertryckt nollpunkt,压缩零位仪表
312-02-04,expanded scale instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-04,جهاز قياس مزال الصفر,"Messgerät mit gedehnter Skala, n",expanded scale instrument,instrumento de escala extendida,laajennetulla asteikolla varustettu mittari,"appareil à échelle dilatée, m",strumento a scala estesa,拡大目盛計器,확대 눈금 계기,өргөтгөсөн хуваарьтай хэмжих хэрэгсэл,przyrząd o podziałce rozciągniętej,instrumento de escala estendida,прибор с растянутой шкалой,"инструмент са развученом скалом, м јд",instrument med expanderad skala,扩展标度尺仪表
312-02-05,astatic instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-05,جهاز قياس موسع التدريج,"Messgerät mit magnetischer Schirmung, n",astatic instrument,instrumento astático,astaattinen mittauslaite,"appareil astatique, m",strumento astaticostrumento protetto dai campi magnetici,無定位計器,무정위 계기,статик бус хэмжих хэрэгсэл,przyrząd astatyczny,instrumento astático,астатический прибор,"астатички инструмент, м јд",astatiskt instrument,无定向仪表
312-02-06,instrument with locking device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-06,جهاز قياس لا  إتجاهي,"Messgerät mit Zeigerarretierung, n",instrument with locking device,instrumento con dispositivo de bloqueo,pitolaitteellinen mittari,"appareil à dispositif de blocage, m",strumento con dispositivo di blocco,ロック装置つき計器,잠금장치 계기,түгжигчтэй хэмжих хэрэгсэл,przyrząd z blokadą,instrumento com dispositivo de bloqueio,прибор со стопорным приспособлением (блокировочным устройством),"инструмент са блокирањем, м јд",instrument med låsfunktion,可锁定仪表
312-02-07,instrument with contacts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-07,جهاز قياس بأداة قـَفل,"kontaktgebendes Messgerät, n",instrument with contacts,instrumento de contactos,koskettimellinen mittari,"appareil à contacts, m",strumento con contatti,接点つき計器,접점 계기,контакттай хэмжих хэрэгсэл,przyrząd kontaktowy,instrumento com contactos,прибор с контактами,"инструмент са контактима, м јд",instrument med kontaktfunktion,带触点仪表
312-02-08,detecting instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-08,جهاز قياس بملامسات,"nachweisendes Messgerät, n",detecting instrument,instrumento detector,ilmaisin,"appareil détecteur, m",strumento rivelatore,検出計器,검출 계기,илрүүлэх хэмжих хэрэгсэл,przyrząd detekcyjnywskaźnik,instrumento detector,индикаторный прибор,"детекторски инструмент, м јд",detekterande instrument,检测仪器仪表
312-02-09,analogue (measuring) instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-09,جهاز كشف,"Messgerät mit analoger Anzeige, n",analogue (measuring) instrumentanalogue indicating instrument,instrumento (de medida) analógico,analoginen mittauslaite,"appareil de mesure (à affichage) analogique, mappareil (de mesure) analogique, m",strumento (di misura) analogico,アナログ表示計器アナログ計器,아날로그 측정 계기아날로그 계기,аналог хэмжих хэрэгсэланалог заалттай хэмжих хэрэгсэл,przyrząd (pomiarowy) analogowy,instrumento de medição (indicador) analógicoinstrumento (de medição) analógico,аналоговый (измерительный) прибораналоговый показывающий прибор,"аналогни мерни инструмент, м јданалогни показни мерни инструмент, м јд",analogt mätinstrument,模拟测量仪表模拟仪表模拟指示仪表
312-02-10,digital (measuring) instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-10,جهاز (قياس) تماثلي,"Messgerät mit digitaler Anzeige, n",digital (measuring) instrumentdigital indicating instrument,instrumento (de medida) digital,digitaalinen mittauslaite,"appareil de mesure (à affichage) numérique, m",strumento (di misura) digitale,ディジタル表示計器ディジタル計器,디지털 측정 계기디지털 계기,тоон хэмжих хэрэгсэлтоон заалттай хэмжих хэрэгсэл,przyrząd (pomiarowy) cyfrowy,instrumento de medição (indicador) digitalinstrumento (de medição) (indicador) numérico,цифровой (измерительный) приборцифровой показывающий прибор,"дигитални мерни инструмент, м јд",digitalt mätinstrument,数字测量仪表数字仪表数字显示仪表
312-02-11,recording (measuring) instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-11,جهاز (قياس) رقمي,"registrierendes Messgerät, n",recording (measuring) instrumentrecorder,instrumento (de medida) registrador,tallentava mittauslaitepiirturi,"appareil (de mesure) enregistreur, m",strumento (di misura) registratore,記録計記録計器,기록계기록계기,бичигч хэмжих хэрэгсэл,przyrząd (pomiarowy) rejestrującyrejestrator,instrumento (de medição) gravador,записывающий (измерительный) приборсамописец,"писач, м јдрегиструјући мерни инструмент, м јд",registrerande instrumentskrivare,记录仪
312-02-12,oscilloscope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-12,جهاز (قياس) تسجيلي,"Oszilloskop, n",oscilloscope,osciloscopio,oskilloskooppi,"oscilloscope, m",oscilloscopio,オシロスコープ,오실로스코프,осциллоскоп,oscyloskop,osciloscópio,осциллоскоп,"осцилоскоп, м јд",oscilloskop,示波器
312-02-13,oscillograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-13,مشواف (مبين) ذبذبات,"Oszillograph, m",oscillograph,oscilógrafo,oskillografi,"oscillographe, m",oscillografo,オシログラフ,오실로그래프,осциллограф,oscylograf,oscilógrafo,осциллограф,"осцилограф, м јд",oscillograf,录波器
312-02-14,integrating (measuring) instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-14,راسم ذبذبات,"integrierendes Messgerät, n",integrating (measuring) instrument,instrumento (de medida) integrador,integroiva mittauslaite,"appareil (de mesure) intégrateur, m",strumento (di misura) integratore,積算計器,적산계기,интеграцлах хэмжих хэрэгсэл,przyrząd (pomiarowy) całkujący,instrumento (de medição) integrador,интегрирующий (измерительный) прибор,"интеграторски мерни инструмент, м јд",integrerande instrument,积分测量仪表积分仪表
312-02-15,measuring transducer (with electrical output),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-15,جهاز (قياس) تكاملي,"Messumformer mit elektrischem Ausgang, mMessumformer, m",measuring transducer (with electrical output),transductor de medida (con salida eléctrica),(sähköinen) mittausmuunnin,"transducteur de mesure (à sortie électrique), m",trasduttore di misura (con uscita elettrica),電気出力測定用変換器測定用変換器,측정용 변환기전기출력 측정용변환기,цахилгааны гаралттай хэмжлийн хувиргуур,przetwornik pomiarowy (o wyjściu elektrycznym),transdutor de medição (com saída eléctrica),измерительный преобразователь (с электрическим выходом),"мерни претварач, <са електричким излазом> м јд",mätomvandlare,有电输出的测量变换器测量变换器
312-02-16,telemeasuring equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-02-16,محول  إشارات مقاسة (بخرج كهربائي),"Fernmesseinrichtung, f",telemeasuring equipment,equipo de telemedida,kaukomittauslaitteistoetämittauslaitteisto,"équipement de télémesure, m",apparato di telemisura,テレメータ装置,원격측정 장비,зайнаас хэмжих тоног төхөөрөмж,sprzęt telemetryczny,equipamento de telemedição,телеизмерительная аппаратура,"телеметријска опрема, ж јд",fjärrmätutrustning,遥测设备
