term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
314-01-01,index (of an indicating device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-01,موهن,"Ablesemarke (einer Anzeigeeinrichtung), f",index (of an indicating device),índice (de un dispositivo indicador),osoitin,index (d'un dispositif indicateur) m,indice,"指標, <表示素子の>","지표, 지시장치표시, 지시장치",wskazówka (urządzenia wskazującego),index (de um dispositivo indicador),указатель (показывающего устройства),"показивач , <показног склопа> м јд",index,"指示器, <用于示值装置>"
314-01-02,scale (of an analogue measuring instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-02,دليل ل(أداة كشف),"Skala (eines Messgeräts mit analoger Anzeige), f",scale (of an analogue measuring instrument),escala (de un instrumento de medida analógico),asteikko,échelle (d'un appareil de mesure à affichage analogique) f,scala,目盛,"눈금, 아날로그 계측기",podziałka (urządzenia wskazującego),escala (de um instrumento de medição analógico),шкала (аналогового измерительного прибора),"скала , <аналогног мерног инструмента> ж јд",skala,"标度尺, <用于模拟测量仪表>"
314-01-03,dial,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-03,تدريج (لجهاز قياس تماثلي),"Skalenträger, m",dial,cuadrante,näyttötaulu,"cadran, m",quadrante,目盛板,원 눈금판,podzielnia,quadrante,круговая шкала (лимб),"бројчаник, м јд",skaltavla,标度盘
314-01-04,scale marking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-04,لوحة بيان (شاشة),"Skaleneinteilung, f",scale marking,graduación,asteikkojaotus,"graduation, f",graduazione di scala,目盛標識,눈금 표식,przebieg podziałki,graduação,градуировка шкалы,"градуисана скала, ж јдскала са ознакама, ж јд",gradering,标度尺标志
314-01-05,scale mark,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-05,تحديد علامات التدريج,"Teilstrich, m",scale mark,trazo de la graduación,asteikkomerkki,"repère (de l’échelle), mtrait de la graduation, m",segno di graduazione,目盛線,눈금선,wskaz podziałki,marca (da escala),отметка (штрих) шкалы,"ознака на скали, ж јд",skalmärke,标度尺标记
314-01-06,scale numbering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-06,علامة تدريج,"Skalenbezifferung, f",scale numbering,numeración de la escala,asteikkonumerot,"chiffraison (d’une échelle), f",numerazione di scala,目盛数値,눈금 수치,ocyfrowanie podziałki,numeração (de uma escala),числовые отметки шкалы,"бројеви на скали, м мн",skalbesiffring,标度尺数码
314-01-07,scale length,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-07,ترقيم التدريج,"Skalenlänge, f",scale length,longitud de la escala,asteikon pituus,"longueur d’échelle, f",lunghezza della scala,目盛の長さ,눈금 길이,długość podziałki,comprimento de escala,длина шкалы,"дужина скале, ж јд",skallängd,标度尺长度
314-01-08,scale division,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-08,طول التدريج,"Skalenteil, n",scale division,división (de una escala),asteikon askelaskel,"division (d'une échelle), f",divisione di scala,目盛の目目,자눈,działka elementarna,divisão (de uma escala),деление шкалы,"подељак скале, м јд",skaldel,标度尺分度分度
314-01-09,scale spacing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-09,تجزئة التدريج,"Teilstrichabstand, m",scale spacinglength of a scale division,longitud de una división (de escala),askelpituus,"longueur d'une division (d’échelle), f",ampiezza di una divisione (di scala),目幅,눈금폭,długość działki elementarnej,espaçamento de escalacomprimento de uma divisão (de escala),длина деления шкалы,"дужина подељка скале, ж јд",skaldelslängd,标度尺间距
314-01-10,scale interval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-10,تحديد مسافات التدريج,"Teilungswert, m",scale interval,valor de una división,askelarvo,"valeur d'une division, f",valore di una divisione (di scala),一目の読み,눈금량,wartość działki elementarnej,valor de uma divisão,цена деления шкалы,"вредност подељка скале, ж јд",skalintervall,标度尺分度值
314-01-11,pointer instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-11,قيمة جزء من التدريج,"Zeigermessgerät, n",pointer instrument,instrumento de aguja móvil,osoitinmittari,"appareil à aiguille mobile, m",indice dello strumento,指針形計器,지침형 계기,przyrząd wskazówkowy,instrumento de ponteiro móvel,стрелочный прибор,"инструмент са казаљком, м јд",visarinstrument,指针式仪表
314-01-12,instrument with optical index,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-12,جهاز قياس  بمؤشر,"Lichtmarkenmessgerät, n",instrument with optical index,instrumento de índice luminoso,valoläikkämittari,"appareil à index lumineux, m",strumento ad indice ottico,光指標形計器,광지표형 계기,przyrząd o wskazówce świetlnej,instrumento com index luminoso,прибор с оптическим указателем,"инструмент са оптичким показивачем, м јд",instrument med optiskt index,光标式仪表
314-01-13,moving-scale instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-13,جهاز قياس  بمؤشر ضوئي,"Messgerät mit beweglicher Skala, n",moving-scale instrument,instrumento de escala móvil,liikkuva-asteikkoinen mittari,"appareil à échelle mobile, m",strumento a scala mobile,可動目盛形計器,가동눈금형 계기,przyrząd o ruchomej podziałce,instrumento de escala móvel,прибор с подвижной шкалой,"инструмент са покретном скалом, м јд",instrument med rörlig skala,动标度尺仪表
314-01-14,shadow column instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-14,جهاز قياس  بتدريج متحرك,"Leuchtbalkenmessgerät, n",shadow column instrument,instrumento de columna de sombra,varjopalkkimittari,"appareil à colonne d’ombre, m",strumento a colonna d'ombra,影表示形計器,그림자표시형 계기,przyrząd cieniowy,instrumento de coluna de sombra,прибор с затененной отметкой,"инструмент са осенченим стубом, м јд",instrument med skuggvisare,影条式仪表
314-01-15,electrostatic instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-15,جهاز قياس  بعمود ظل,"elektrostatisches Messgerät, n",electrostatic instrument,instrumento electrostático,sähköstaattinen mittari,"appareil électrostatique, m",strumento elettrostatico,静電形計器,정전형 계기정전 계기,przyrząd elektrostatyczny,instrumento electrostático,электростатический прибор,"електростатички инструмент, м јд",elektrostatiskt instrument,静电系仪表
314-01-16,(permanent magnet) moving-coil instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-16,جهاز قياس كهرباء ساكنة,"Drehspulmessgerät, n",(permanent magnet) moving-coil instrument,instrumento de bobina móvil,kiertokäämimittari,"appareil magnétoélectrique, mappareil à cadre mobile, m",strumento a bobina mobile (con magnete permanente),可動コイル形計器,가동코일형 계기,przyrząd magnetoelektryczny o ruchomej cewce,instrumento de quadro móvelinstrumento magnetoeléctrico,магнитоэлектрический прибор,"инструмент са кретним калемом, м јд",vridspoleinstrument,磁电系仪表
314-01-17,moving magnet instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-17,جهاز قياس بملف متحّرك ( ذو لمغناطيس دائم),"Drehmagnetmessgerät, n",moving magnet instrument,instrumento de imán móvil,kiertomagneettimittari,"appareil à aimant mobile, m",strumento a magnete mobile,可動磁石形計器,가동자석형 계기,przyrząd o ruchomym magnesie,instrumento de íman móvel,прибор с подвижным магнитом,"инструмент са кретним магнетом, м јд",vridmagnetinstrument,动磁系仪表
314-01-18,moving-iron instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-18,جهاز قياس بمغنطيس متحّرك,"Dreheisenmessgerät, n",moving-iron instrument,instrumento de hierro móvil,kiertorautamittari,"appareil ferromagnétique, m",strumento a ferro mobile,可動鉄片形計器,가동철편형 계기,przyrząd elektromagnetyczny,instrumento ferromagnético,электромагнитный прибор,"инструмент са кретним гвожђем, м јд",vridjärnsinstrument,电磁系仪表
314-01-19,electrodynamic instrument,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-01-19,جهاز قياس بحديد ممغنط متحرك,"elektrodynamisches Messgerät, n",electrodynamic instrument,instrumento electrodinámico,sähködynaaminen mittari,"appareil électrodynamique, m",strumento elettrodinamico,電流力計形計器,전류력계형 계기,przyrząd elektrodynamiczny,instrumento electrodinâmico,электродинамический прибор,"електродинамички инструмент, м јд",elektrodynamiskt instrument,电动系仪表
