term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sl,sr,sv,zh
321-01-01,instrument transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-01,مقاومة ربط التيار,"Messwandler, m",instrument transformer,transformador de medida,mittamuuntaja,"transformateur de mesure, m",trasformatore di misura,計器用変圧器,계기용 변성기,хэмжүүрийн трансформатор,przekładnik,transformador de medição,измерительный трансформатор,instrumentni transformator,"мерни трансформатор, м јд",mättransformator,互感器
321-01-02,instrument autotransformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-02,محول قياس,"Messwandler in Sparschaltung, m",instrument autotransformer,autotransformador de medida,säästökytketty mittamuuntaja,"autotransformateur de mesure, m",autotrasformatore di misura,計器用単巻変成器,계기용 단권 변압기,хэмжүүрийн автотрансформатор,przekładnik autotransformatorowy,autotransformador de medição,измерительный автотрансформатор,instrumentni avtotransformator,"мерни аутотрансформатор, м јд",autokopplad mättransformator,自耦式互感器
321-01-03,combined transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-03,محول قياس ذاتي,"kombinierter Messwandler, m",combined transformer,transformador combinado,yhdistetty virta- ja jännitemuuntaja,"transformateur combiné, m",trasformatore cominato,複合変圧器,복합 변압기,хосолсон трансформатор,przekładnik kombinowany,transformador combinado,комбинированный трансформатор,kombinirani transformator,"комбиновани трансформатор, м јд",kombinerad mättransformator,组合互感器
321-01-04,primary winding (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-04,محول قياس مركب,"Primärwicklung (eines Stromwandlers), f",primary winding (of a current transformer),arrollamiento primario (de un transformador de intensidad),virtamuuntajan ensiökäämi,enroulement primaire (d'un transformateur de courant) m,"avvolgimento primario (di un trasformatore di
corrente",一次巻線（変流器の）変流器の一次巻線,"일차 권선, <전류 변성기>","анхдагч ороомог, <гүйдлийн трансформаторын>",uzwojenie pierwotne (przekładnika prądowego),enrolamento primário (de um transformador de corrente),"первичная обмотка, <трансформатора тока>",primarno navitje (tokovnika),"примарни намотај, <струјног трансформатора> м јд",primärlindning (hos strömtransformator),"一次绕组, <电流互感器的>"
321-01-05,primary winding (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-05,ملف ابتدائي (لمحول التيار),"Primärwicklung (eines Spannungswandlers), f",primary winding (of a voltage transformer),arrollamiento primario (de un transformador de tensión),jännitemuuntajan ensiökäämi,enroulement primaire (d'un transformateur de tension) m,"avvolgimento primario (di un trasformatore di
tensione",一次巻線（計器用変圧器の）計器用変圧器の一次巻線,"일차 권선, <전압 변성기>","анхдагч ороомог, <хүчдэлийн трансформаторын>",uzwojenie pierwotne (przekładnika napięciowego),enrolamento primário (de um transformador de tensão),"первичная обмотка, <трансформатора напряжения>",primarno navitje (napetostnika),"примарни намотај, <напонског трансформатора> м јд",primärlindning (hos spänningstransformator),"一次绕组, <电压互感器的>"
321-01-06,secondary winding (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-06,ملف ابتدائي (لمحول الجهد),"Sekundärwicklung (eines Stromwandlers), f",secondary winding (of a current transformer),arrollamiento secundario (de un transformador de intensidad),virtamuuntajan toisiokäämi,enroulement secondaire (d'un transformateur de courant) m,"avvolgimento secondario (di un trasformatore
di corrente)",二次巻線（変流器の）変流器の二次巻線,"이차 권선, <전류 변성기>","хоёрдогч ороомог, <гүйдлийн трансформаторын>",uzwojenie wtórne (przekładnika prądowego),enrolamento secundário (de um transformador de corrente),"вторичная обмотка, <трансформатора тока>",sekundarno navitje (tokovnika),"секундарни намотај, <струјног трансформатора> м јд",sekundärlindning (hos strömtransformator),"二次绕组, <电流互感器的>"
321-01-07,secondary winding (of a voltage trans-former),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-07,ملف ثانوي (لمحول التيار),"Sekundärwicklung (eines Spannungswandlers), f",secondary winding (of a voltage trans-former),arrollamiento secundario (de un transformador de tensión),jännitemuuntajan tosiokäämi,enroulement secondaire (d'un transformateur de tension) m,"avvolgimento secondario (di un trasformatore
di tensione)",二次巻線（計器用変圧器の）計器用変圧器の二次巻線,"이차 권선, <전압 변성기>","хоёрдогч ороомог, <хүчдэлийн трансформаторын>",uzwojenie wtórne (przekładnika napięciowego),enrolamento secundário (de um transformador de tensão),"вторичная обмотка, <трансформатора напряжения>",sekundarno navitje (napetostnika),"секундарни намотај, <напонског трансформатора> м јд",sekundärlindning (hos spänningstransformator),"二次绕组, <电压互感器的>"
321-01-08,secondary circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-08,ملف ثانوي (لمحول الجهد),"Sekundärkreis, m",secondary circuit,circuito secundario,ulkoinen toisiopiiri,"circuit secondaire, m",circuito secondario,二次回路,이차 회로,хоёрдогч хэлхээ,obwód wtórny,circuito secundário,вторичная цепь,sekundarni tokokrog,"секундарно коло, с јд",sekundärkrets,二次电路
321-01-09,primary current (of a current trans-former),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-09,تيار إبتدائى,"Primärstrom (eines Stromwandlers), m",primary current (of a current trans-former),intensidad primaria (de un transformador de intensidad),virtamuuntajan ensiövirta,courant primaire (d'un transformateur de courant) m,"corrente primaria (di un trasformatore di
corrente)",一次電流,"일차 전류, <전류 변성기>","анхдагч гүйдэл, <гүйдлийн трансформаторын>",prąd pierwotny (przekładnika prądowego),corrente primária (de um transformador de corrente),"первичный ток, <трансформатора тока>",primarni tok (tokovnika),"примарна струја, <струјног трансформатора> ж јд",primärström (hos strömtransformator),"一次电流, <电流互感器的>"
321-01-10,primary voltage (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-10,تيار ابتدائي (لمحول التيار),"Primärspannung (eines Spannungswandlers), f",primary voltage (of a voltage transformer),tensión primaria (de un transformador de tensión),jännitemuuntajan ensiöjännite,tension primaire (d'un transformateur de tension) f,"tensione primaria (di un trasformatore di
tensione)",一次電圧,"일차 전압, <전압 변성기>","анхдагч хүчдэл, <хүчдэлийн трансформаторын>",napięcie pierwotne (przekładnika napięciowego),tensão primária (de um transformador de tensão),"первичное напряжение, <трансформатора напряжения>",primarna napetost (napetostnika),"примарни напон, <напонског трансформатора> м јд",primärspänning (hos spänningstransformator),"一次电压, <电压互感器的>"
