term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,zh
351-41-01,variable quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-01,كمية متغيرةمتغير,proměnná veličinaproměnná,"variable Größe, fGröße, f",variable quantityvariable,"magnitud variable, fvariable, f",muuttuja,"grandeur variable, fvariable, f",grandezza variabilevariabile,変数量変数,가변량변수,wielkość zmiennazmienna,grandeza variávelvariável,变量
351-41-02,actual value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-02,قيمة فعلية,aktuální hodnota,"Istwert, m",actual value,"valor actual, m",hetkellisarvo,"valeur instantanée, f",valore istantaneo,実際値,실젯값,wartość chwilowa,valor instantâneo,实际值
351-41-03,desired value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-03,قيمة مرادة,požadovaná hodnota,"Sollwert, m",desired value,"valor deseado, m",tavoitearvo,"valeur prescrite, f",valore desiderato,目標値,목푯값,wartość żądana,valor prescrito,期望值
351-41-04,deviation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-04,إنحرافحيود,odchylka,"Abweichung, f",deviation,"desviación, f",poikkeama,"écart, m",scarto,偏差,편차오차이탈,odchylenie,desvio,偏差
351-41-05,vector of variables,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-05,متجه المتغيراتمتجه,vektor proměnnýchvektor,"Größenvektor, mVektor, m",vector of variablesvector,"vector de variables, mvector, m",vektorimuuttujavektori,"vecteur de variables, mvecteur, m",vettore di variabilivettore,変数のベクトル,변수 벡터,wektor zmiennychwektor,vector de variáveisvector,变量的向量向量
351-41-06,input variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-06,متغير الدخل,vstupní proměnná,"Eingangsgröße, f",input variable,"variable de entrada, f",tulosuure,"variable d'entrée, f",variabile di ingresso,入力変数,입력 변수,zmienna wejściowa,variável de entrada,输入变量
351-41-07,output variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-07,متغير خـرج,výstupní proměnná,"Ausgangsgröße, f",output variable,"variable de salida, f",lähtösuure,"variable de sortie, f",variabile di uscita,出力変数,출력 변수,zmienna wyjściowa,variável de saída,输出变量
351-41-08,state variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-08,متغير حالة,stavová proměnná,"Zustandsgröße, f",state variable,"variable de estado, f",tilasuure,"variable d'état, f",variabile di stato,状態変数,상태 변수,zmienna stanu,variável de estado,状态变量
351-41-09,state space,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-09,حيز,stavový prostor,"Zustandsraum, m",state space,"espacio de estado, m",tila-avaruus,"espace d’état, m",spazio di stato,状態空間,상태 공간,przestrzeń stanu,espaço de estado,状态空间
351-41-10,trajectory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-10,مسار المقذوف,trajektorie,"Trajektorie, f",trajectory,"trayectoria, f",trajektori,"trajectoire, f",traiettoria,軌跡,궤도궤적,trajektoria,trajectória,轨迹
351-41-11,continuous-value variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-11,متغير  مستمر القيمة,průběžná hodnota proměnné,"wertkontinuierliche Größe, f",continuous-value variable,"variable de valor continuo, f",jatkuva-arvoinen muuttuja,"variable continue, f",variabile con valori continuivariabile analogica,連続値変数,연속값 변수,zmienna o wartości ciągłej,variável contínua,连续值变量
351-41-12,discrete-value variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-12,متغير متقطع القيمة,diskrétní hodnota proměnné,"wertdiskrete Größe, f",discrete-value variable,"variable de valor discreto, f",diskreettiarvoinen muuttuja,"variable discrète, f",variabile con valori discretivariabile digitale,離散値変数計算値変数,이산값 변수,zmienna o wartości dyskretnej,variável discreta,离散值变量
351-41-13,"quantize, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-13,"يحدد كمية, فعل",kvantizovat,"quantisieren, Verb","quantize, verb","cuantificar, verbo",kvantittaa,"quantifier, verbe",quantificare,"量子化する, 動詞","양자화하다, 동사",kwantować,"quantificar, verbo","量化, 动词"
351-41-14,binary variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-14,متغير ثنائيمتغير مزدوج,binární proměnná,"binäre Größe, f",binary variable,"variable binaria, f",binäärinen muuttuja,"variable binaire, f",variabile binaria,二値変数,이진 변수,zmienna binarna,variável binária,二进制变量
351-41-15,continuous-time variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-15,متغير مستمر الوقت,průběžný čas proměnné,"zeitkontinuierliche Größe, f",continuous-time variable,"variable continua en el tiempo, f",jatkuva-aikainen muuttuja,"variable à temps continu, f",variabile continua nel tempo,連続時間変数,연속시간 변수,zmienna czasowa o wartości ciągłej,variável de tempo contínuo,连续时间变量
351-41-16,discrete-time variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-16,متغير متقطع الوقت,diskrétní čas proměnné,"zeitdiskrete Größe, f",discrete-time variable,"variable discreta en el tiempo, f",diskreettiaikainen muuttuja,"variable à temps discret, f",variabile discreta nel tempo,離散時間変数,이산시간 변수,zmienna czasowa o wartości dyskretnej,variável de tempo discreto,离散时间变量
351-41-17,signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-17,إشــارة,signál,"Signal, n",signal,"señal, f",signaali,"signal, m",segnale,信号,신호,sygnał,sinal,信号
351-41-18,information parameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-18,مقدار معلوماتى متغير القيمة,informační parametr,"Informationsparameter, m",information parameter,"parámetro de información, m",tietoparametri,"paramètre informationnel, m",parametro di informazione,情報パラメタ,정보 매개변수,parametr informacyjny,parâmetro de informação,信息参数
351-41-19,continuous-value signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-19,إشارة مستمرة القيمة,průběžná hodnota signálu,"wertkontinuierliches Signal, n",continuous-value signal,"señal de valor continuo, f",jatkuva-arvoinen signaali,"signal continu, m",segnale con valori continuisegnale analogico,連続値信号,연속값 신호,sygnał o wartości ciągłej,sinal contínuo,连续值信号
351-41-20,discrete-value signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-20,إشارة متقطعة القيمة,diskrétní hodnota signálu,"wertdiskretes Signal, n",discrete-value signal,"señal de valor discreto, f",diskreettiarvoinen signaali,"signal discret, m",segnale con valori discretisegnale digitale,離散値信号計算値信号,이산값 신호,sygnał o wartości dyskretnej,sinal discreto,离散值信号
351-41-21,binary signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-21,إشارة مزدوجةإشارة ثنائية,binární signál,"binäres Signal, n",binary signal,"señal binaria, f",binäärinen signaali,"signal binaire, m",segnale binario,二値信号,이진 신호,sygnał binarny,sinal binário,二进制信号
351-41-22,continuous-time signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-22,إشارة مستمرة الوقت,průběžný čas signálu,"zeitkontinuierliches Signal, n",continuous-time signal,"señal continua en el tiempo, f",jatkuva-aikainen signaali,"signal à temps continu, m",segnale continuo nel tempo,連続時間信号,연속 시간 신호,sygnał czasowy o wartości ciągłejsygnał czasowy ciągły,sinal de tempo contínuo,连续时间信号
351-41-23,discrete-time signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-23,إشارة متقطعة الوقت,diskrétní čas signálu,"zeitdiskretes Signal, n",discrete-time signal,"señal discreta en el tiempo, f",diskreettiaikainen signaali,"signal à temps discret, m",segnale discreto nel tempo,離散時間信号,이산 시간 신호,sygnał czasowy o wartości dyskretnejsygnał czasowy dyskretny,sinal de tempo discreto,离散时间信号
351-41-24,analog signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-24,إشارة تناظرية,analogový signál,"analoges Signal, n",analog signal,"señal analógica, f",analoginen signaali,"signal analogique, m",segnale analogico,アナログ信号,아날로그 신호,sygnał analogowy,sinal analógico,模拟信号
351-41-25,digital signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-25,إشارة رقمية,digitální signál,"digitales Signal, n",digital signal,"señal digital, f",digitaalinen signaali,"signal numérique, m",segnale numericosegnale digitale,ディジタル信号,디지털 신호,sygnał cyfrowy,sinal digital,数字信号
351-41-26,sampled signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-26,إشارة كعينة,vzorkovaný signál,"Abtastsignal, n",sampled signal,"señal muestreada, f",näytejonosignaali,"signal échantillonné, m",segnale campionato,サンプル値信号,표본화 신호,sygnał próbkowany,sinal de amostragem,采样信号
351-41-27,white noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-27,ضوضاء بيضاء,bílý šum,"weißes Rauschen, n",white noise,"ruido blanco, m",valkoinen kohina,"bruit blanc, m",rumore bianco,白色雑音,백색 잡음화이트 노이즈가우스 잡음,biały szum,ruído branco,白噪声
351-41-28,aliasing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-41-28,مستعار,aliasing,"Abtaststörung, f",aliasing,"solapamiento espectral, m",laskostuminen,"repliement spectral, m",sovrapposizione spettrale,エイリアシング,에일리어싱,aliasing,falseamento,混叠
351-42-01,state equation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-01,معادلة حالة,stavová rovnice,"Zustandsgleichung, f",state equation,"ecuación de estado, f",tilayhtälö,"équation d'état, f",equazione di stato,状態方程式,상태 방정식,równanie stanu,equação de estado,状态方程
351-42-02,output equation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-02,معادلة خرج,výstupní rovnice,"Ausgangsgleichung, f",output equation,"ecuación de salida, f",lähtöyhtälö,"équation de sortie, f",equazione di uscita,出力方程式,출력 방정식,równanie wyjściarównanie wyjściowe,equação de saída,输出方程
351-42-03,input matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-03,مصفوفة دخل,vstupní matice,"Eingangsmatrix, f",input matrix,"matriz de entrada, f",tulomatriisi,"matrice d'entrée, f",matrice di ingresso,入力行列,입력 행렬,macierz wejścia,matriz de entrada,输入矩阵
351-42-04,output matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-04,مصفوفة خرج,výstupní matice,"Ausgangsmatrix, f",output matrix,"matriz de salida, f",lähtömatriisi,"matrice de sortie, f",matrice di uscita,出力行列,출력 행렬,macierz wyjścia,matriz de saída,输出矩阵
351-42-05,direct input-output matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-05,مصفوفة  مباشرة للدخل/ للخرج,matice přímého vstupu-výstupu,"Durchgangsmatrix, f",direct input-output matrix,"matriz de entrada-salida, f",ohitusmatriisi,"matrice d'entrée-sortie, f",matrice di ingresso-uscita diretta,直接入出力行列,직접 입출력 행렬,macierz wejścia-wyjścia,matriz de entrada-saída direta,直接输入-输出矩阵
351-42-06,system matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-06,مصفوفة نظام,matice systému,"Systemmatrix, f",system matrix,"matriz del sistema, f",järjestelmämatriisi,"matrice du système, f",matrice del sistema,システム行列,시스템 행렬,macierz układumacierz systemu,matriz do sistema,系统矩阵
351-42-07,transition matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-07,مصفوفة انتقال,přechodová matice,"Transitionsmatrix, f",transition matrix,"matriz de transición, f",tilasiirtymämatriisi,"matrice de transition, f",matrice di transizione,遷移行列,천이 행렬,macierz przejścia,matriz de transição,转移矩阵
351-42-08,system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-08,نظام,systém,"System, n",system,"sistema, m",järjestelmä,"système, m",sistema,システム,시스템,układsystem,sistema,系统
351-42-09,structure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-09,هيكل,struktura,"Struktur, f",structure,"estructura, f",rakenne,"structure, f",struttura,構造,구조,struktura,estrutura,结构
351-42-10,system parameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-10,مقدار متغير القيمة للنظام,parametr systému,"Systemparameter, m",system parameter,"parámetro de un sistema, m",järjestelmäparametri,"paramètre du système, m",parametro del sistema,システムパラメタ,시스템 매개변수시스템 파라메터,parametr systemu,parâmetro de um sistema,系统参数
351-42-11,linear system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-11,نظام خطى,lineární systém,"lineares System, n",linear system,"sistema lineal, m",lineaarinen järjestelmä,"système linéaire, m",sistema lineare,線形システム,선형 시스템선형계,układ liniowysystem liniowy,sistema linear,线性系统
351-42-12,"linearize, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=351-42-12,"يجعله خطيا, فعل",linearizovat,"linearisieren, Verb","linearize, verb","linealizar, verbo",linearisoida,"linéariser, verbe",linearizzare,"線形化する, 動詞","선형화하다, 동사",linearyzować,"linealizar, verbo","线性化, 动词"
