term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
395-01-01,effective atomic number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-01,,"effektive Ordnungszahl, f",effective atomic number,"número atómico equivalente, m","numéro atomique équivalent, m",numero atomico equivalente,実効原子番号,유효 원자 번호,"liczba atomowa efektywna, f",número atómico equivalente,有效原子序数
395-01-02,unified atomic mass unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-02,,"vereinheitlichte atomare Masseneinheit, f",unified atomic mass unit,"unidad de masa atómica modificada, f","unité unifiée de masse atomique, f",unità unificata di massa atomica,原子質量単位,원자 질량 단위,"jednostka zunifikowana masy atomowej, f",unidade unificada de massa atómica,原子质量单位
395-01-03,rest mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-03,,"Ruhemasse, f",rest mass,"masa en reposo, fmasa propia, f","masse au repos, fmasse propre, f",massa a riposo,静止質量,정지 질량,"masa spoczynkowa, f",massa em repousomassa própria,静质量
395-01-04,neutron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-04,,"Neutron, n",neutron,"neutrón, m","neutron, m",neutrone,中性子,중성자,"neutron, m",neutrão,中子
395-01-05,activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-05,,"Aktivität, f",activity,"actividad, f","activité, f",attività,放射能,방사능,"aktywność, f",atividade,放射性活度活度
395-01-06,becquerel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-06,,"Becquerel, n",becquerel,"becquerel, m","becquerel, m",becquerel,ベクレル,베크렐,"bekerel, m",becquerel,贝可勒尔贝可
395-01-07,curie,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-07,,"Curie, n",curie,"curio, m","curie, m",curie,キュリー,큐리,"curie, n",curie,居里
395-01-08,specific activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-08,,"spezifische Aktivität, f",specific activity,"actividad específica, f","activité massique, factivité spécifique, f",attività massicaattività specifica,比放射能質量放射能,비방사능,"aktywność właściwa, f",atividade específica,比活度质量活度
395-01-09,volumetric activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-09,,"Aktivitätskonzentration, f",volumetric activityconcentration activity concentration,"actividad volumétrica, f","activité volumique, f",attività volumica,体積放射能放射能濃度,체적 방사능농도방사능농도,"aktywność objętościowa, fkoncentracja aktywności, f",concentração de atividadeatividade volúmicaatividade volumétrica,体积活度浓度活度浓度
395-01-10,surface activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-10,,"Oberflächenaktivität, f",surface activity,"actividad superficial, f","activité surfacique, f",attività areicaattività superficiale,表面放射能,표면 방사능,"aktywność powierzchniowa,  f",atividade arialdensidade superficial de atividade,表面活度
