term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sr,sv,zh
411-31-01,(electrical) rotating machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-01,آلة كهربائية دوارة,"drehende elektrische Maschine, fdrehende Maschine, f",(electrical) rotating machine,máquina rotativa (eléctrica),pyörivä sähkökone,"machine (électrique) tournante, f",macchina elettrica rotante,回転機回転電気機械,전기 회전기전기 회전 기계,maszyna elektryczna wirująca,máquina (eléctrica) rotativa,(električni) rotacijski strojvrteči se (električni) stroj,(електрична) обртна машина,(roterande) elmaskin,旋转电机
411-31-02,homopolar machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-02,آلة قطبية متجانسة,"Gleichpolmaschine, fHomopolarmaschine, f",homopolar machine,máquina homopolar,homopolaarikone,"machine homopolaire, f",macchina omopolare,単極機,단극기단극기계,maszyna homopolarna,máquina homopolar,homopolarni stroj,хомополарна машина,homopolarmaskin,同极电机
411-31-03,acyclic machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-03,آلة لا حلقيةآلة  دورية,"Unipolarmaschine, f",acyclic machine,máquina acíclica,unipolaarikone,"machine acyclique, f",macchina aciclica,単極直流機,비순환기비순환기계,maszyna unipolarna maszyna homopolarna prądu stałego,máquina acíclica,unipolarni stroj,ациклична машина,unipolarmaskin,单极电机
411-31-04,heteropolar machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-04,آلة متغايرة الأقطاب,"Wechselpolmaschine, fHeteropolarmaschine, f",heteropolar machine,máquina heteropolar,heteropolaarikone,"machine hétéropolaire, f",macchina eteropolare,異極機,다극기다극기계,maszyna heteropolarna,máquina heteropolar,heteropolarni stroj,хетерополарна машина,heteropolarmaskin,异极电机
411-31-05,direct current machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-05,آلة تيار مستمر,"Gleichstrommaschine, f",direct current machineDC machine,máquina de c.c.máquina de corriente continua,tasavirtakone,"machine à courant continu, f",macchina a corrente continua,直流機,직류기직류기계,maszyna prądu stałego,máquina de corrente contínua,enosmerni stroj,једносмерна машинамашина једносмерне струје,likströmsmaskin,直流电机
411-31-06,alternating current machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-06,آلة تيار مترددآلة ذات تيار متناوب,"Wechselstrommaschine, f",alternating current machineAC machine,máquina de c.a.máquina de corriente alterna,vaihtovirtakone,"machine à courant alternatif, f",macchina a corrente alternata,交流機,교류기계교류기,maszyna prądu przemiennego,máquina de corrente alterna,izmenični stroj,машина наизменичне струјеAC машина,växelströmsmaskin,交流电机
411-31-07,double-fed machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-07,آلة مزدوجة التغذية,"doppeltgespeiste Maschine, f",double-fed machine,máquina de doble alimentación,kaksoissyöttöinen kone,"machine à double alimentation, f",macchina a doppia alimentazione,二重給電交流機,이중 공급기이중 공급 기계,maszyna dwustronnie zasilana,máquina de dupla alimentação,stroj z dvojnim napajanjem,двострано напајана машина,dubbelmatad växelströmsmaskin,双馈电机
411-31-08,synchronous machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-08,آلة تزامنيةآلة توافقية,"Synchronmaschine, f",synchronous machine,máquina síncrona,tahtikone,"machine synchrone, f",macchina sincrona,同期機,동기기,maszyna synchroniczna,máquina síncrona,sinhronski stroj,синхрона машина,synkronmaskin,同步电机
411-31-09,asynchronous machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-09,آلة لا تزامنيةالة لا توافقية,"Asynchronmaschine, f",asynchronous machine,máquina asíncrona,epätahtikone,"machine asynchrone, f",macchina asincrona,非同期機,비-동기기에이에스엠,maszyna asynchroniczna,máquina assíncrona,asinhronski stroj,асинхрона машина,asynkronmaskin,异步电机
411-31-10,induction machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-10,آلة حثية,"Induktionsmaschine, f",induction machine,máquina de inducción,epätahtikone,"machine à induction, f",macchina ad induzione,誘導機,유도기유도 기계,maszyna indukcyjna,máquina de indução,indukcijski stroj,индукциона машина,enfas asynkronmaskin,感应电机
411-31-11,reluctance machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-11,,"Reluktanzmaschine, f",reluctance machine,,reluktanssikone,"machine à réluctance variable, f",,誘導子機,릴럭턴스 기계,maszyna induktorowa,máquina de relutância variável,induktorski stroj,релуктантна машина,,磁阻电机
411-31-12,permanent magnet machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-12,آلة مغناطيس دائمآلة ذات مغانط دائمة,"Maschine mit Permanentmagneterregung, f",permanent magnet machine,máquina de imanes permanentes,kestomagneettikone,"machine à aimants permanents, f",macchina a magneti permanenti,永久磁石回転機,영구 자석기영구 자석 기계,maszyna o magnesach trwałych,máquina de ímanes permanentes,stroj s trajnimi magneti,машина са сталним магнетима,permanentmagnetmaskin,永磁电机
411-31-13,single-phase machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-13,آلة أحادية الطورآلة أحادية الوجه,"Einphasenmaschine, f",single-phase machine,máquina monofásica,yksivaihekone,"machine monophasée, f",macchina monofase,単相機,단상기단상 기계,maszyna jednofazowa,máquina monofásica,enofazni stroj,једнофазна машина,enfasmaskin,单相电机
411-31-14,polyphase machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-14,آلة متعددة الأطوارآلة متعددة الأوجه,"Mehrphasenmaschine, f",polyphase machine,máquina polifásica,monivaihekone,"machine polyphasée, f",macchina polifase,多相機,다상기다상 기계,maszyna wielofazowa,máquina polifásica,večfazni stroj,вишефазна машина,flerfasmaskin,多相电机
411-31-15,salient pole machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-15,آلة ذات أقطاب بارزةآلة نابذة الأقطاب,"Schenkelpolmaschine, f",salient pole machine,máquina de polos salientes,avonapakone,"machine à pôles saillants, f",macchina a poli salienti,突極機,돌극기돌극기계,maszyna wydatnobiegunowamaszyna jawnobiegunowa,máquina de pólos salientes,stroj z izraženimi poli,машина са истакнутим половима,elmaskin med utpräglade poler,凸极电机
411-31-16,solid pole shoe machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-16,آلة ذات أقطاب كتلية مصمتةآلة ذات حذاء قطب صلب,"Maschine mit massiven Polschuhen, f",solid pole shoe machine,máquina de polos macizos,massiivinapakenkäinen kone,"machine à pôles massifs, f",macchina a espansioni polari massicce,塊状磁極回転機,강철 자극기강철 자극 기계,maszyna o litych nabiegunnikach,máquina de pólos maciços,stroj z masivnimi poli,машина са истакнутим пуним половима,elmaskin med massiva polplattor,实心极靴电机
411-31-17,cylindrical rotor machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-17,آلة ذات دوار اسطواني,"Maschine mit Vollpolläufer, f",cylindrical rotor machine,máquina de rotor cilíndrico,umpinapakone,"machine à rotor cylindrique, f",macchina a rotore cilindrico,非突極機,원통 회전자 기계비돌극기,maszyna o wirniku cylindrycznymmaszyna o biegunach utajonych  (dotyczy maszyn synchronicznych),máquina de rotor cilíndrico,stroj s cilindričnim rotorjem,машина са ваљкастим ротороммашина са цилиндричним ротором,elmaskin med cylindrisk rotor,圆柱形转子电机
411-31-18,turbine-type machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-18,آلة توربينيةآلة عنفية,"Turbomaschine, f",turbine-type machine,turbomáquina,turbokone,"turbo-machine, f",turbomacchina,タービン形回転機,터빈형 기계,maszyna turbinowamaszyna szybkobieżna,turbomáquina,turbinski strojturbostroj,турбомашина,turbomaskin,汽轮型电机
411-31-19,disc-type machine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-31-19,آلة قرصية,"Scheibenläufermaschine, f",disc-type machine,máquina de tipo disco,kiekkoroottorikone,"machine à disque, f",macchina a disco,ディスク形回転機,디스크형 기계,maszyna tarczowa,máquina de disco,diskasti strojkolutni stroj,машина сa ротором у облику диска,skivrotormaskin,盘式电机
411-32-01,generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-01,مولد,"Generator, m",generator,generador,generaattori,"génératrice, f",generatore,発電機,발전기,prądnicagenerator,gerador,generator,генератор,(el)generator,发电机
411-32-02,alternating current generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-02,مولد تيار كهربائي مترددمولد تيار كهربائي متناوب,"Wechselstromgenerator, m",alternating current generatorAC generator,generador de c.a.generador de corriente alterna,vaihtovirtageneraattori,"alternateur, m",alternatore,交流発電機,교류 발전기,prądnica prądu przemiennego,alternadorgerador de corrente alterna,alternatorizmenični generator,наизменични генератор (алтернатор),växelströmsgenerator,交流发电机
411-32-03,double wound synchronous generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-03,مولد تزامني بملف مزدوج,"Zweiwicklungs-Synchrongenerator, m",double wound synchronous generatordouble-winding synchronous generator  (US),generador síncrono de doble devanado,kaksikäämityksinen tahtigeneraattori,"alternateur synchrone à double enroulement, m",alternatore sincrono a doppio avvolgimento,二巻線同期発電機,이중 권선 동기 발전기,prądnica synchroniczna o dwóch uzwojeniach prądnica synchroniczna o podwójnym uzwojeniu,alternador síncrono de duplo enrolamento,dvojno navit sinhronski generatordvonavitni sinhronski generator,двонамотајни синхрони генератор,dubbellindad synkrongenerator,双绕组同步发电机
411-32-04,induction generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-04,مولد  حثي,"Induktionsgenerator, m",induction generator,generador de inducción,epätahtigeneraattori,"génératrice asynchrone, falternateur asynchrone, m",generatore asincrono,誘導発電機,유도 발전기,prądnica indukcyjna,gerador assíncronoalternador assíncrono,asinhronski generator,асинхрони генератор,asynkrongenerator,感应发电机
411-32-05,exciter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-05,,"Erregereinrichtung, f",exciter,excitatriz,magnetointilaite,"excitatrice, f",eccitatrice,励磁機,여자기,wzbudnica,excitatriz,vzbujalnik,побудна машина,,励磁机
411-32-06,main exciter generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-06,,"Haupterregergenerator, m",main exciter generator,alternador de excitación principal,magnetointigeneraattori,"excitatrice principale, f",eccitatrice principale,主励磁機,주 여자 발전기,wzbudnica główna,excitatriz principal,glavni vzbujalnik,главнa побудна машина,,主励磁机
411-32-07,pilot exciter generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-32-07,,"Hilfserregergenerator, m",pilot exciter generator,alternador de excitación piloto,apumagnetointigeneraattori,"excitatrice pilote, f",eccitatrice pilota,副励磁機,파일럿 여자 발전기,podwzbudnica,excitatriz piloto,pomožni vzbujalnikpilotni vzbujalnik,помоћна побудна машина,,副励磁机
411-33-01,motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-01,محرك,"Motor, m",motor,motor,moottori,"moteur, m",motore,電動機,전동기,silnik,motor,motor,мотор,(el)motor,电动机
411-33-02,universal motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-02,محرك عام,"Universalmotor, m",universal motor,motor universal,universaalimoottori,"moteur universel, m",motore universale,交直両用電動機,유니버설 전동기교직 겸용 전동기,silnik uniwersalny,motor universal,univerzalni motor,универзални мотор,allströmsmotor,交直流两用电动机
411-33-03,cage synchronous motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-03,محرك تزامني قفصي الشكل,"Synchronmotor mit Käfigwicklung, m",cage synchronous motor,motor síncrono de jaula,häkkikäämityksinen tahtimoottori,"moteur synchrone à cage, m",motore sincrono a gabbia,かご形巻線付同期電動機かご形同期電動機,농형 동기 전동기,silnik synchroniczny z klatką rozruchową,motor síncrono de gaiola,sinhronski motor s kletko,синхрони мотор са кавезом,synkronmotor med burlindning,笼型同步电动机
411-33-04,synchronous induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-04,محرك حثي تزامني,"synchronisierter Induktionsmotor, m",synchronous induction motor,motor asíncrono sincronizado,tahdistettava epätahtimoottori,"moteur asynchrone synchronisé, m",motore asincrono sincronizzato,誘導同期電動機,동기 유도 전동기,silnik indukcyjny synchronizowany,motor assíncrono sincronizado,sinhronizirani asinhronski motor,синхронизовани асинхрони мотор,autosynkronmotor,同步感应电动机
411-33-05,reluctance motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-05,محرك ممانعة مغناطيسية,"Reluktanzmotor, m",reluctance motor,motor de reluctancia,reluktanssimoottori,"moteur à réluctance, m",motore a riluttanza,リラクタンスモータ,릴럭턴스 전동기아르엠,silnik reluktancyjny,motor de relutância,reluktančni motor,релуктантни мотор,reluktansmotor,磁阻电动机
411-33-06,subsynchronous reluctance motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-06,محرك ممانعة مغناطيسية دون ألتزامني,"untersynchroner Reluktanzmotor, m",subsynchronous reluctance motor,motor de reluctancia subsíncrona,alitahtinen reluktanssimoottori,"moteur à réluctance subsynchrone, m",motore subsincrono a riluttanza,次同期リラクタンスモータ,차동기 릴럭턴스 전동기,silnik reluktancyjny podsynchroniczny,motor de relutância subsíncrono,podsinhronski reluktančni motor,подсинхрони релуктантни мотор,undersynkron reluktansmotor,亚同步磁阻电动机
411-33-07,cage induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-07,محرك حثي قطعي,"Käfigläufer-Induktionsmotor, m",cage induction motorsquirrel cage induction motor  (US),motor de inducción de jaulamotor de inducción de jaula de ardilla,oikosulkumoottori,"moteur asynchrone à cage (d'écureuil), mmoteur à induction à cage, m",motore a induzione a gabbia,かご形誘導電動機,농형 유도 전동기,silnik indukcyjny klatkowy silnik klatkowy,motor de indução de gaiola (de esquilo)motor assíncrono de gaiola (de esquilo),asinhronski motor s kletko,асинхрони мотор са кавезом,kortsluten asynkronmotor,笼型感应电动机
411-33-08,wound-rotor induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-08,محرك حثي بدوار ملفوف,"Induktionsmotor mit gewickeltem Läufer, m",wound-rotor induction motor,motor de inducción de rotor bobinado,vaihekäämiroottorinen epätahtimoottori,"moteur asynchrone à rotor bobiné, m",motore a induzione a rotore avvolto,巻線形誘導電動機,권선형 유도 전동기권선형 전동기,silnik indukcyjny o uzwojonym wirniku,motor assíncrono de rotor bobinadomotor de indução de rotor bobinado,asinhronski motor z navitim rotorjem,асинхрони мотор са намотаним ротором,asynkronmotor med faslindad rotor,绕线转子感应电动机
411-33-09,slip-ring induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-09,محرك حثي بحلقات انزلاقية,"Schleifring-Induktionsmotor, m",slip-ring induction motor,motor de inducción de anillos rozantes,liukurengasmoottori,"moteur asynchrone à bagues, m",motore a induzione ad anelli,スリップリング誘導電動機,슬립 링 유도 전동기무 브러시 권선형 유도 전동기,silnik indukcyjny pierścieniowy silnik pierścieniowy,motor de indução de anéismotor assíncrono de anéis,asinhronski motor z drsnimi obroči,асинхрони мотор са клизним прстеновима,släpringad asynkronmotor,带集电环感应电动机
411-33-10,brushless wound-rotor induction motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-10,محرك حثي  بدوار  ملفوف وبدون فرشاة,"bürstenloser Induktionsmotor mit gewickeltem Läufer, m",brushless wound-rotor induction motor,motor de inducción de rotor devanado sin escobillas,vaihekäämiroottorinen harjaton epätahtimoottori,"moteur à démarreur rotorique incorporé, m",motore con avviatore incorporato con rotore avvolto senza spazzole,ブラシレス巻線形誘導電動機,브러시리스 권선형 유도 전동기무 브러시 권선형 유도 전동기,silnik indukcyjny z wbudowanym rozrusznikiem,motor com arrancador rotórico incorporado,asinhronski motor z vgrajenim rotorskim zaganjalnikom,бесконтактни асинхрони мотор са намотаним ротором,asynkronmotor med startkopplare,无刷绕线转子感应电动机
411-33-11,hysteresis motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-11,محرك بتخلفية مغناطيسية,"Hysteresemotor, m",hysteresis motor,motor de histéresis,hystereesimoottori,"moteur à hystérésis, m",motore ad isteresi,ヒステリシスモータ,히스테리시스 전동기,silnik histerezowy,motor de histerese,histerezni motor,хистерезисни мотор,hysteresismotor,磁滞电动机
411-33-12,shaded pole motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-12,محرك مظلل القطب,"Spaltpolmotor, m",shaded pole motor,motor de polo de sombra,sulkunapamoottori,"moteur à bague de déphasage, m",motore a polo schermato,くま取りコイル誘導電動機,셰이딩 전동기,silnik ze zwartym uzwojeniem pomocniczym,motor com anéis de desfasamento,motor z zasenčenimi polimotor z razcepljenimi poli,мотор са помоћном фазом у кратком спојумотор са расцепљеним половима,skärmpolmotor,罩极电动机
411-33-13,split phase motor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=411-33-13,محرك مجزأ الطور,"Einphasenmotor mit Hilfswicklung, m",split phase motor,motor de devanado auxiliar,yksivaiheinen apukäämimoottori,"moteur à enroulement auxiliaire de démarrage, m",motore con avvolgimento ausiliario di avviamento,分相誘導電動機,분상 전동기,silnik z uzwojeniem pomocniczym  (dotyczy uzwojenia włączonego na stałe) silnik z uzwojeniem rozruchowym  (dotyczy uzwojenia włączonego tylko na czas rozruchu),motor com enrolamento auxiliar de arranque,motor s pomožno fazo,мотор са помоћном фазом за залетање,enfasmotor med hjälpfas,分相电动机
