term_id,term,term_url,ar,de,en,es,fr,it,ja,no,pl,pt,ru,zh
426-01-01,"equipment, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-01,"معدة, الأجواء المتفجرة","Gerät, <explosionsfähige Atmosphären> n","equipment, <explosive atmospheres>","equipo, m","matériel, <atmosphères explosives> m","apparecchiatura, <atmosfere esplosive>","機器, <爆発性雰囲気>",elektrisk utstyr for eksplosive atmosfærar,"urządzenie, <atmosfery wybuchowe> n","equipamento, <atmosferas explosivas>",оборудование,"设备, <爆炸性环境>"
426-01-02,"Type of Protection, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-02,"نوع الحماية, الأجواء المتفجرة","Zündschutzart, <explosionsfähige Atmosphären> f","Type of Protection, <explosive atmospheres>","modo de protección, m","Mode de Protection, <atmosphères explosives> m","Modo di protezione, <atmosfere esplosive>","防爆構造, <爆発性雰囲気>",verneart,"rodzaj zabezpieczenia, <atmosfery wybuchowe> m","tipo de proteção, <atmosferas explosivas>",вид взрывозащитыстепень защиты,"防爆型式, <爆炸性环境>"
426-01-03,equipment grouping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-03,تصنيف المعدات,"Gerätegruppe, f",equipment grouping,"grupo de aparatos, m","groupement de matériels, m",gruppo di apparecchiature,機器のグループ,utstyrsgrupper,"podział urządzeń na grupy, m",agrupamento de equipamentos,группа оборудования,设备类别
426-01-04,maximum surface temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-04,أقصى درجة حرارة سطحية,"maximale Oberflächentemperatur, f",maximum surface temperature,"temperatura superficial máxima, f","température maximale de surface, f",massima temperatura superficiale,最高表面温度,maksimal overflatetemperatur,"maksymalna temperatura powierzchni, f",temperatura máxima superficial,максимальная температура поверхности,最高表面温度
426-01-05,temperature class,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-05,فئة درجة الحرارة,"Temperaturklasse, f",temperature class,"clase de temperatura, f","classe de température, f",classe di temperatura,温度等級,temperaturklasse,"klasa temperaturowa, f",classe de temperatura,температурный класскласс нагревостойкости,温度组别
426-01-06,explosive atmosphere,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-06,جو متفجر,"explosionsfähige Atmosphäre, f",explosive atmosphere,"atmósfera explosiva, f","atmosphère explosive, f",atmosfera esplosiva,爆発性雰囲気,eksplosiv atmosfære,"atmosfera wybuchowa, f",atmosfera explosiva,взрывоопасная средавзрывоопасная атмосфера,爆炸性环境
426-01-07,explosive gas atmosphere,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-07,جو غازى متفجر,"explosionsfähige Gasatmosphäre, f",explosive gas atmosphere,"atmósfera de gas explosiva, f","atmosphère explosive gazeuse, f",atmosfera esplosiva per la presenza di gas,爆発性ガス雰囲気,eksplosiv gassatmosfære,"gazowa atmosfera wybuchowa, f",atmosfera explosiva gasosa,взрывоопасная газовая среда,爆炸性气体环境
426-01-08,explosive dust atmosphere,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-08,جو غبارى متفجر,"explosionsfähige Staubatmosphäre, f",explosive dust atmosphere,"atmósfera de polvo explosiva, f","atmosphère explosive de poussière, f",atmosfera esplosiva per la presenza di polveri,爆発性粉じん雰囲気,eksplosiv støvatmosfære,"pyłowa atmosfera wybuchowa, f",atmosfera explosiva de poeira,взрывоопасная пылевая среда,爆炸性粉尘环境
426-01-09,"fixed equipment, <explosive atmospheres>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-09,"معدة ثابتة, الأجواء المتفجرة","ortsfestes Gerät, <explosionsfähige Atmosphären> n","fixed equipment, <explosive atmospheres>","equipo fijo, mequipo estacionario, m","matériel installé à poste fixe, <atmosphères explosives> m","apparecchiatura fissa, <atmosfere esplosive>","固定式機器, <爆発性雰囲気の>","fast utstyr,","urządzenie zamocowane na stałe, <atmosfery wybuchowe> n","equipamento fixo, <atmosferas explosivas>",стационарное электрооборудование,"固定设备, <爆炸性环境>"
426-01-10,personal equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=426-01-10,معدة شخصية,"persönliches Gerät, n",personal equipment,"equipo personal, m","matériel individuel, m",apparecchiatura personale,パーソナル機器,personlig utstyr,"urządzenie osobiste, n",equipamento individual,электрооборудование персонального применения,个体设备
