term_id,term,term_url,ar,en,es,fr,it,ja,ko,pl,pt,sv,zh
431-01-01,transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-01,محول حثي,transductor,transductor magnético,"transducteur magnétique, m",trasduttore magnetico,トランスダクタ磁気増幅器,자기식 변환기,transduktor,transdutor magnético,transduktor,饱和电抗器
431-01-02,transductor element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-02,عنصر محول حثي,transductor element,elemento de transductor,"élément de transducteur, m",elemento di trasduttore,トランスダクタ素子,자기식 변환기 요소,element transduktorowy,elemento de transdutor,transduktorelement,饱和电抗器元件
431-01-03,excitation winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-03,لفائف إستثارة,excitation winding,devanado de excitación,"enroulement d'excitation, m",avvolgimento di eccitazione,励磁巻線,여자 권선,uzwojenie wzbudzeniowe,enrolamento de excitação,magnetiseringslindning,励磁绕组
431-01-04,power winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-04,لفائف قدرة,power winding,devanado de potencia,"enroulement de puissance, m",avvolgimento di potenza,出力巻線,출력 권선,uzwojenie mocowe,enrolamento de potência,arbetslindninghuvudlindning,功率绕组
431-01-05,control winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-05,لفائف تحكم,control winding,devanado de control,"enroulement de commande, m",avvolgimento di comando,制御巻線,제어 권선,uzwojenie sterownicze,enrolamento de comando,styrlindning,控制绕组
431-01-06,bias winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-06,لفائف انحياز,bias winding,devanado de polarización,"enroulement de polarisation, m",avvolgimento di polarizzazione,バイアス巻線,바이어스 권선,uzwojenie polaryzacyjneuzwojenie nastawcze,enrolamento de polarização,förmagnetiseringslindning,偏压绕组
431-01-07,self-excitation winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-07,لفائف إستثارة ذاتية,self-excitation winding,devanado de autoexcitación,"enroulement d'auto-excitation, m",avvolgimento di autoeccitazione,自励巻線,자체 여자 권선,uzwojenie samowzbudzeniowe,enrolamento de autoexcitação,självmagnetiseringslindning,自励绕组
431-01-08,auto self-excitation valve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-01-08,صمام إستثارة ذاتية آلى,auto self-excitation valve,válvula de autoexcitación directa,"valve d'auto-saturation, f",valvola di autosaturazione,自動自励巻線,자동 자여자 밸브,zawór elektryczny samowzbudzeniowyzawór samowzbudzeniowy,válvula de autossaturação,sparsjälvmagnetiseringsventil,自动自励阀
431-02-01,output voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-01,جهد الخرججهد الحمل,output voltageload voltage,tensión de salida,"tension de sortie, f",tensione di uscita,出力電圧,출력 전압,napięcie wyjściowe,tensão de saída,belastningsspänningutspänning,输出电压
431-02-02,absorbed voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-02,جهد ممتص,absorbed voltage,tensión absorbida,"tension absorbée, f",tensione assorbita,吸収電圧,흡수 전압,napięcie pochłonięte,tensão absorvida,upptagen spänning,吸收电压
431-02-03,control current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-03,تيار تحكم,control current,corriente de control,"courant de commande, m",corrente di comando,制御電流,제어 전류,prąd sterowniczy,corrente de comando,styrström,控制电流
431-02-04,control voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-04,جهد تحكم,control voltage,tensión de control,"tension de commande, f",tensione di comando,制御電圧,제어 전압,napięcie sterownicze,tensão de comando,styrspänning,控制电压
431-02-05,static characteristic (of a transductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-05,خاصية ساكنة منحنى التحويل  (لمحول حثي),static characteristic (of a transductor)transfer curve (of a transductor),característica estática (de un transductor),"caractéristique de réglage, <d'un transducteur> f",caratteristica statica,静特性,"정특성, <변환기>",charakterystyka statyczna (transduktora)charakterystyka regulacyjna (transduktora),característica estática (de um transdutor),statisk karakteristikstyrkurva,"静态特性, <饱和电抗器的>"
431-02-06,voltage ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-06,نسبة الجهد    تضخيم الجهد,voltage ratiovoltage amplification,factor de amplificación de tensiónrelación de tensiones,"rapport des tensions, mrapport d'amplification en tension, m",guadagno  di tensione,電圧比,전압비브이아르,wzmocnienie napięciowewspółczynnik wzmocnienia napięciowego,amplificação em tensão,spänningsförstärkning,电压比
431-02-07,current ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-07,نسبة التيار    تضخيم التيار,current ratiocurrent amplification,factor de amplificación de corrienterelación de corrientes,"rapport des courants, mrapport d'amplification en courant, m",guadagno di corrente,電流比,전류비,wzmocnienie prądowewspółczynnik wzmocnienia prądowego,amplificação em corrente,strömförstärkning,电流比
431-02-08,power amplification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-08,تضخيم القدرة,power amplification,factor de amplificación de potencia,"rapport d'amplification en puissance, m",guadagno di potenza,電力増幅度,전력 증폭,wzmocnienie mocowe współczynnik wzmocnienia mocowego,amplificação em potência,effektförstärkning,功率放大
431-02-09,total time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-09,ثابت الزمن الكلي,total time constant,constante de tiempo global,"constante de temps globale, f",costante di tempo globale,総合時定数,총 시상수,stała czasowa ogólna,constante de tempo global,total tidkonstant,总时间常数
431-02-10,residual time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-10,ثابت الزمن المتبقي,residual time constant,constante de tiempo interna de salida,"constante de temps interne de sortie, f",costante di tempo residuo,残存時定数,잔류 시상수,stała czasowa szczątkowastała czasowa wyjściowa,constante de tempo residual,gränstidkonstantresttidkonstant,剩余时间常数
431-02-11,input time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-11,ثابت زمن الدخل,input time constant,constante de tiempo de entrada,"constante de temps d'entrée, f",costante di tempo di ingresso,入力時定数,입력 시상수,stała czasowa wejściowa,constante de tempo de entrada,ingångstidkonstant,输入时间常数
431-02-12,response time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-12,زمن الاستجابة,response time,tiempo de respuesta,"durée de réponse, f",tempo di risposta,応答時間,응답 시간,czas odpowiedzi,duração de resposta,svarstid,响应时间
431-02-13,saturation inductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-13,محاثة تشبع,saturation inductance,inductancia de saturación,"inductance de saturation, f",induttanza di saturazione,飽和インダクタンス,포화 인덕턴스,indukcyjność nasyceniowa,indutância de saturação,mättningsinduktans,饱和电感
431-02-14,saturation reactance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-14,مفاعلة تشبع,saturation reactance,reactancia de saturación,"réactance de saturation, f",reattanza di saturazione,飽和リアクタンス,포화 리액턴스,reaktancja nasyceniowa   .,reactância de saturação,mättningsreaktans,饱和电抗
431-02-15,"figure of merit, <of transductors>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-02-15,"رقم الجدارة, <في المحول الناقل>","figure of merit, <of transductors>",factor de mérito,"facteur de mérite, <d'un transducteur> m",cifra di merito,"性能指数, <トランス>","성능 지수, <트랜스덕터>","współczynnik jakości, <transduktora> m",factor de mérito,godhetstal,"品质因数, <饱和电抗器的>"
431-03-01,excitation of a transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-03-01,إثارة محول حثي,excitation of a transductor,excitación de un transductor,"excitation d'un transducteur, f",eccitazione di un trasduttore,トランスダクタの励磁,자기식 변환기 여자,wzbudzenie transduktora,excitação de um transdutor,magnetisering av en transduktor,饱和电抗器的励磁
431-03-02,self-excitation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-03-02,إثارة ذاتية,self-excitation,autoexcitación,"auto-excitation, f",autoeccitazione,自己励磁,자체 여자,samowzbudzenie transduktora,autoexcitação,självmagnetisering,自励磁
431-03-03,auto self-excitation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-03-03,إثارة ذاتية آلية  تشبع ذاتي,auto self-excitationself-saturation,autoexcitación directaautosaturación,"auto-saturation, fauto-excitation directe, f",autoeccitazione direttaautosaturazione,自動自己励磁,자동 자체 여자,samowzbudzenie bezpośrednie,autossaturaçãoautoexcitação directa,sparsjälvmagnetiserad transduktor,自动自励磁
431-03-04,separate sell-excitation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-03-04,إثارة ذاتية  منفصلة,separate sell-excitation,autoexcitación indirecta,"auto-excitation indirecte, f",autoeccitazione indiretta,分離自己励磁,타 여자,samowzbudzenie pośrednie,autoexcitação indirecta,separat självmagnetisering,分离自励磁
431-03-05,critical self-excitation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-03-05,إثارة ذاتية حرجة,critical self-excitation,autoexcitación crítica,"auto-excitation critique, f",autoeccitazione critica,臨界自己励磁,임계 자체 여자,samowzbudzenie krytyczne,autoexcitação crítica,kritisk självmagnetisering,临界自励磁
431-03-06,ideal self-excitation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-03-06,إثارة ذاتية  مثالية,ideal self-excitation,autoexcitación ideal,"auto-excitation complète, f",autoeccitazione ideale,理想的自己励磁,이상 자체 여자,samowzbudzenie zupełnesamowzbudzenie idealne,autoexcitação ideal,full sjalvmagnetisering,理想自励磁
431-04-01,series transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-01,محول حثي على التوالي,series transductor,transductor serie,"transducteur à couplage série, m",Trasduttore con accoppiamento  in serie,直列形トランスダクタ,직렬 자기식 변환기,transduktor szeregowy,transductor (de acoplamento) série,serietransduktor,串联饱和电抗器
431-04-02,parallel transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-02,محول حثي على التوازي,parallel transductor,transductor paralelo,"transducteur à couplage parallèle, m",Trasduttore con accoppiamento parallelo,並列形トランスダクタ,병렬 자기식 변환기,transduktor równoległy,transductor (de acoplamento) paralelo,parallelltransduktor,并联饱和电抗器
431-04-03,auto-transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-03,محول حثي آلي,auto-transductor,autotransductor,"transducteur à autocommande, m",Auto-trasduttore,自動トランスダクタ,자동 자기식 변환기,autotransduktortransduktor samosterowny,autotransductortransductor autocomandado,sparkopplad transduktor,自动饱和电抗器
431-04-04,auto self-excited transductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-04,محول حثي ذو إثارة ذاتية آلية,auto self-excited transductor,transductor de autoexcitación directa,"transducteur à auto-saturation, m",Trasduttore con  autosaturazione,自動自励トランスダクタ,자동 자체 여자 자기식 변환기,autotransduktor zaworowy,transductor autossaturado,sparsjalvmagnetisering,自动自励饱和电抗器
431-04-05,rectifier connection (of an auto self-excited transductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=431-04-05,توصيلة مقوم,rectifier connection (of an auto self-excited transductor),montaje rectificador (de un transductor de autoexcitación directa),montage redresseur (d'un transducteur à auto-saturation) m,Montaggio come raddrizzatore,整流接続,"정류기 결선, <자동 자체 여자 자기식 변환기>",układ transduktora prostowniczy,montagem rectificadora (de um transductor autossaturado),(sparsjälvmagnetiserad transduktor i) likriktarkoppling,"整流连接, <自动自励磁饱和电抗器的>"
