term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
436-01-01,capacitance of a capacitor (property),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-01,سعة المكثف (خاصيه),"Kapazität eines Kondensators (Eigenschaft), f",capacitance of a capacitor (property),capacidad de un condensador (propiedad),capacité d'un condensateur (propriété) f,capacità di un condensatore (proprietà),コンデンサのキャパシタンス,"커패시터의 커패시턴스, <속성>","конденсаторын багтаамж, <шинж чанар>",pojemność kondensatora (właściwość),capacidade de um condensador (propriedade)capacidade de um capacitor (propriedade),kapacitivnost kondenzatorja,"капацитивност кондензатора , <особина> ж јд",kapacitans,"电容的电容量, <定性的>"
436-01-02,capacitance of a capacitor (quantity),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-02,سعة المكثف (كميه),"Kapazität eines Kondensators (Größenordnungen), f",capacitance of a capacitor (quantity),capacidad de un condensador (magnitud),capacité d'un condensateur (grandeur) f,capacità di un condensatore (grandezza),コンデンサの静電容量,"커패시터의 커패시턴스, <양>","конденсаторын багтаамж, <тоо хэмжээ>",pojemność kondensatora (wielkość),capacidade de um condensador (grandeza)capacidade de um capacitor (grandeza),kapaciteta kondenzatorjazmogljivost kondenzatorja,"капацитивност кондензатора, <величина> ж јд",kapacitans,"电容的电容量, <定量的>"
436-01-03,(capacitor) element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-03,عنصر (المكثف),"Kondensatorelement, n",(capacitor) element,elemento (de condensador),"élément (de condensateur), m",elemento capacitivo,（コンデンサ）素子コンデンサ素子,커패시터 구성요소,конденсаторын элемент,zwijka kondensatorowa  zwijka,elemento (de condensador),kondenzatorski element,"кондензатор елемент , м јд",kondensatorelement,电容器元件
436-01-04,(capacitor) unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-04,وحدة (المكثف),"Kondensatoreinheit, f",(capacitor) unit,condensador unitariounidad (de un condensador),"condensateur unitaire, munité (de condensateur), f",unità capacitiva,（コンデンサ）ユニットコンデンサユニット,커패시터 단위체,нэгж конденсатор,jednostka kondensatorowa człon kondensatora,condensador unitáriocapacitor unitário,kondenzatorska enota,"кондензатор јединица, м јд",kondensatorenhet,电容器单元
436-01-05,(capacitor) stack,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-05,رص (المكثف)رصيص (المكثف),"Kondensatorstapel, m",(capacitor) stack,banco (de condensadores),"empilage (de condensateurs), m",colonna di condensatori,（コンデンサ）スタックコンデンサスタック,커패시터 더미,блок конденсатор,stos kondensatorów,banco (de condensadores),kondenzatorski paket,"кондензатор низ, м јд",kondensatorstapel,电容器叠柱
436-01-06,(capacitor) bank,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-06,مجموعة (مكثف),"Kondensatorbatterie, f",(capacitor) bank,batería (de condensadores),"batterie (de condensateurs), f",batteria di condensatori,（コンデンサ）バンクコンデンサバンク,커패시터 뱅크,конденсаторын батарей,bateria kondensatorów  bateria,bateria (de condensadores),kondenzatorska baterija,"кондензатор  батерија, м јд",kondensatorbatteri,电容器组
436-01-07,capacitor installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-07,تركيب المكثف,"Kondensatoranlage, f",capacitor installation,instalación de un condensador,"installation de condensateurs, f",installazione di un condensatore,コンデンサ設備,커패시터 설비,конденсаторын тоног төхөөрөмж,zespól kondensatorów  instalacja kondensatorowa,instalação de condensadores,kondenzatorska naprava,"кондензаторско постројење, с јд",kondensatoranläggning,电容器成套装置
436-01-08,charging of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-08,شحن مكثف,"Laden eines Kondensators, n",charging of a capacitor,puesta en carga de un condensador,"(mise en) charge d'un condensateur, f",carica di un condensatore,コンデンサの充電,커패시터 충전,конденсаторын цэнэглэлт,ładowanie kondensatora,carregamento de um condensadorcarga de um condensador (desaconselhado neste sentido),polnjenje kondenzatorja,"пуњење кондензатора, с јд",uppladdning,"充电, <电容器的>"
436-01-09,charging current of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-09,تيار شحن مكثف,"Ladestrom eines Kondensators, m",charging current of a capacitor,corriente en carga de un condensador,"courant de charge d'un condensateur, m",corrente di carica di un condensatore,コンデンサの充電電流,커패시터 충전 전류,конденсаторын цэнэглэлтийн гүйдэл,prąd ładowania kondensatora,corrente de carregamento de um condensadorcorrente de carga de um condensador (desaconselhado neste sentido),polnilni tok kondenzatorja,"струја пуњења кондензатора, ж јд",uppladdningsström,"充电电流, <电容器的>"
436-01-10,discharging of a capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=436-01-10,تفريغ مكثف,"Entladen eines Kondensators, n",discharging of a capacitor,descarga de un condensador,"décharge d'un condensateur, f",scarica di un condensatore,コンデンサの放電,커패시터 방전,конденсаторын цэнэг алдалт,rozładowanie kondensatora,descarregamento de um condensadordescarga de um condensador (desaconselhado neste sentido),praznjenje kondenzatorja,"пражњење кондензатора, с јд",urladdning,"放电, <电容器的>"
