term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
441-11-01,switchgear and controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-01,أجهزة الفصل والتوصيل والتحكم,"Schaltanlagen und/oder Schaltgeräte, f, pl, n, pl",switchgear and controlgear,aparamenta,kytkinlaitteistokojeisto,"appareillage, m",apparecchiatura di manovra e di comando,開閉装置及び制御装置,개폐장치 및 제어장치,хуваарилах байгууламж болон удирдлагын тоноглол,koplings- og kontrollutstyr,aparatura rozdzielcza i sterownicza,aparelhagem,"расклопна апаратура, ж јд",elkopplare,开关设备和控制设备
441-11-02,switchgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-02,أجهزة الفصل والتوصيل (مفاتيح),"Schaltanlagen und/oder Schaltgeräte für Energieverteilung, f, pl, n, pl",switchgear,aparamenta de conexión,kytkinlaitteistokojeistokytkinlaite,"appareillage de connexion, m",apparecchiatura di manovra,開閉装置,개폐 장치스위치 기어,хуваарилах байгууламж,koplingsutstyr,aparatura rozdzielcza,aparelhagem de conexão,"разводна апаратура, ж јд",,开关设备
441-11-03,controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-03,أجهزة التحكم (مفاتيح),"Schaltanlagen und/oder Schaltgeräte für Energieverbrauch, f, pl, n, pl",controlgear,aparamenta de mando,ohjauslaitteisto,"appareillage de commande, m",apparecchiatura di comando,制御装置,제어기류,удирдлагын тоноглол,kontrollutstyr,aparatura sterownicza,aparelhagem de comando,"управљачка апаратура, ж јд",,控制设备
441-11-04,indoor switchgear and controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-04,أجهزة تحكم وفصل وتوصيل داخلي,"Innenraum-Schaltanlagen und/oder -Schaltgeräte, f pl/n plInnen-Schaltanlagen und/oder -Schaltgeräte, f pl/n pl",indoor switchgear and controlgear,aparamenta para interior,sisäkytkinlaitteistosisäkojeisto,"appareillage pour l'intérieur, m",apparecchiatura per interno,屋内用開閉装置及び制御装置,옥내 배전반ㆍ제어 반,хаалттай хуваарилах байгууламж болон удирдлагын тоноглол,innandørs koplings- og kontrollutstyr,aparatura rozdzielcza i sterownicza wnętrzowa,aparelhagem para interior,"расклопна апаратура за унутрашње просторије, ж јд",inomhusställverk,户内开关设备和控制设备
441-11-05,outdoor switchgear and controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-05,أجهزة تحكم وفصل وتوصيل خارجي,"Freiluft-Schaltanlagen und/oder -Schaltgeräte, f, pl, n, pl",outdoor switchgear and controlgear,aparamenta para exterior,ulkokytkinlaitteistoulkokojeisto,"appareillage pour l'extérieur, m",apparecchiatura per esterno,屋外用開閉装置及び制御装置,옥외 배전반ㆍ제어반,ил хуваарилах байгууламж болон удирдлагын тоноглол,utandørs koplings- og kontrollutstyr,aparatura rozdzielcza i sterownicza napowietrzna,aparelhagem para exterior,"расклопна апаратура за отворене просторе, ж јд",utomhusställverk,户外开关设备和控制设备
441-11-06,overcurrent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-06,تيار زائد,"Überstrom, m",overcurrent,sobreintensidad,ylivirta,"surintensité, f",sovracorrente,過電流,과전류,гүйдлийн ихсэлт,overstraum,prąd przetężeniowy przetężenie,sobreintensidade,"прекомерна струја, ж јд",överström,过电流
441-11-07,short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-07,تيار دارة القصر,"Kurzschlussstrom, m",short-circuit current,corriente de cortocircuitointensidad de cortocircuito,oikosulkuvirta,"courant de court-circuit, m",corrente di cortocircuito,短絡電流,단락 전류,богино залгааны гүйдэл,kortslutningsstraum,prąd zwarciowy,corrente de curtocircuito,"струја кратког споја, ж јд",kortslutningsström,短路电流
441-11-08,overload,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-08,حمل زائد,"Überlast, f",overload,sobrecarga,ylikuormitus,"surcharge, f",sovraccarico,過負荷,과부하과하중초과하중,хэт ачаалал,overbelastning,przeciążenie,sobrecarga,"преоптерећење, с јд",överlast,过载
441-11-09,conductive part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-09,جزء موصل,"leitfähiges Teil, n",conductive part,parte conductora,johtava osa,"partie conductrice, f",parte conduttrice,導電部,도전부,дамжуулагч хэсэг,leiande del,część przewodząca,parte condutora,"проводљиви део, м јд",ledande del,导电部件
441-11-10,exposed conductive part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-10,جزء موصل مكشوف,"Körper (eines elektrischen Betriebsmittels), m",exposed conductive part,masaparte conductora accesible,jännitteelle altis kosketeltava osa,"masse, fpartie conductrice accessible, f",massa; parte conduttrice accessibile,露出導電部,노출 도전부,ил дамжуулагч хэсэг,utsett leiande del,część przewodząca dostępna,massaparte condutora acessível,"изложени проводљиви део, м јд",utsatt del,外露导电部件
441-11-11,segregation (of conductors),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-11,فصل- عزل,"Trennschottung (von Leitern), f",segregation (of conductors),separación metálica (entre conductores),erottaminen metalliseinämällä,cloisonnement métallique (entre conducteurs) m,segregazione,偏析,"편석 현상, <도체>","тусгаарлалт, <дамжуулагчдын>",jorda metallskott (mellom leiarar),przegrodzenie (przewodów),separação metálica (entre condutores),"одељивање, <проводника> с јд",segregation,"金属隔离, <导体的>"
441-11-12,separation (of conductors),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-12,فصل,"Schottung (von Leitern), f",separation (of conductors),separación aislante (entre conductores),erilleen sijoittaminen,cloisonnement isolant (entre conducteurs) m,separazione,離隔,"분리, <도체>격리, <도체>","салангид байршуулалт, <дамжуулагчдын>",isolert skott (mellom leiarar),rozdzielenie izolacyjne (przewodów),separação isolante (entre condutores),"раздвајање, <проводника> с јд",separation,"绝缘隔离, <导体的>"
441-11-13,ambient air temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-11-13,درجة حرارة الجو المحيط,"Umgebungstemperatur (eines Schaltgeräts oder einer Sicherung), f",ambient air temperature,temperatura del aire ambiente,ympäristön lämpötila,"température de l'air ambiant, f",temperatura dell'aria ambiente,周囲温度,주위 대기 온도,хүрээлэн буй агаарын температур,omgjevnadstemperatur,temperatura otoczenia,temperatura (do ar) ambiente,"температура околног ваздуха, ж јд",omgivningstemperatur,周围空气温度
441-12-01,assembly (of switchgear and controlgear),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-01,تجميع,"Schaltgerätekombination, f",assembly (of switchgear and controlgear),conjunto (de aparamenta de conexión y de mando),kytkinlaitosjakokeskus,ensemble (d'appareillage de connexion et de commande) m,apparecchiatura assiemeta; quadro; complesso,アセンブリ,"뭉치, <개폐기류 및 제어기류>어셈블리, <개폐기류 및 제어기류>","иж бүрдэл, <хуваарилах байгууламж болон удирдлагын тоноглолын>",tavle,rozdzielnica zestaw (aparatury rozdzielczej i sterowniczej),conjunto (de aparelhagem de conexão e de comando),"расклопни блок , <расклопне апаратуре> м јд",kopplingsutrustning,"总装, <开关设备和控制设备的>"
441-12-02,enclosed assembly (of switchgear and controlgear),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-02,تجميع مغلق,"geschlossene Schaltgerätekombination, fgekapselte Schaltgerätekombination, f",enclosed assembly (of switchgear and controlgear),conjunto (de aparamenta de conexión y de mando) bajo envolvente,koteloitu kytkinlaitoskoteloitu jakokeskus,ensemble (d'appareillage de connexion et de commande) msous enveloppe,apparecchiatura chiusa; complesso (di apparecchiatura di manovra e di comando) in involucro,閉鎖アセンブリ,"밀폐 조립, <개폐기류 및 제어기류>","хаалттай иж бүрдэл, <хуваарилах байгууламж болон удирдлагын тоноглолын>",kapsla tavle,rozdzielnica osłonięta  zestaw osłonięty (aparatury rozdzielczej i sterowniczej),conjunto (de aparelhagem de conexão e de comando) em invólucro,"расклопни блок са плаштом, <расклопне апаратуре> м јд",kapslad kopplingsutrustning,"封闭总装, <开关设备和控制设备的>"
441-12-03,factory-built assembly (of switchgear and controlgear),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-03,تجميع فى المصنع,"fabrikfertige Schaltgerätekombination, fFSK, Abkürzung",factory-built assembly (of switchgear and controlgear) FBA (abbreviation),"conjunto (de aparamenta de conexión y de mando) montado en fábrica
(abreviación CAMF)",tehdasvalmisteinen kytkinlaitostehdasvalmisteinen jakokeskus,ensemble (d'appareillage de connexion et de commande) mmonté en usine (abréviation) mEMU,"complesso (di apparecchiatura di manovra e di comando
costruito in fabbrica) (abbreviazione ACF)",工場製造アセンブリ,"공장 조립 어셈블리, <개폐기류 및 제어기류>에프비에이, <개폐기류 및 제어기류>","үйлдвэр дээр угсарсан иж бүрдэл, <хуваарилах байгууламж болон удирдлагын тоноглолын>",prefabrikkert tavle,rozdzielnica zmontowana fabryczniezestaw (aparatury rozdzielczej i sterowniczej) zmontowany fabrycznie,conjunto (de aparelhagem de conexão e de comando) montado em fábricaCMF (abreviatura),"типски испитан расклопни блок, <расклопне апаратуре> м јд FBA",fabrikstillverkad kopplingsutrustning,"工厂制造的总装, <开关设备和控制设备的>"
441-12-04,metal-enclosed switchgear and controlgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-04,معدات وصل وفصل وتحكم فى حاوية معدنية,"metallgekapselte Schaltanlagen, f",metal-enclosed switchgear and controlgear,aparamenta bajo envolvente metálica,metallikoteloitu kytkinlaitteistometallikoteloitu kojeisto,"appareillage sous enveloppe métallique, m",apparecchiatura in involucro metallico,閉鎖形開閉装置及び制御装置,금속 밀폐형 개폐기류와 제어기류,металл хаалттай хуваарилах байгууламж болон удирдлагын тоноглол,metallkapsla koplings- og kontrollutstyr,rozdzielnica w osłonie metalowejzestaw (aparatury rozdzielczej i sterowniczej) w osłonie metalowej,aparelhagem em invólucro metálicoquadro metálico,"расклопна апаратура са металним плаштом, ж јд",metallkapslat ställverk,金属封闭开关设备和控制设备
441-12-05,gas-insulated metal-enclosed switchgear,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=441-12-05,معدات وصل وفصل وتحكم فى حاوية معزولة بالغاز,"gasisolierte metallgekapselte Schaltanlage, f",gas-insulated metal-enclosed switchgear,aparamenta bajo envolvente metálica con aislamiento gaseoso,kaasueristeinen kytkinlaitteistokaasueristeinen kojeisto,"appareillage sous enveloppe métallique à isolation gazeuse, m","apparecchiatura in involucro metallico con isolamento
in gas",ガス絶縁閉鎖形開閉装置,가스 절연 금속 밀폐 개폐기류,хийн тусгаарлагатай металл хаалттай хуваарилах байгууламж,gassisolert metallkapsla koplingsutstyr,rozdzielnica w osłonie metalowej z izolacją gazowązestaw (aparatury rozdzielczej i sterowniczej) w osłonie metalowej z izolacją gazową,aparelhagem em invólucro metálico com isolação gasosa,"гасом изолована разводна апаратура са металним плаштом, ж јд",gasisolerat ställverk,气体绝缘金属封闭开关设备
