term_id,term,term_url,ar,de,en,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
442-01-01,rated value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-01,قيمة مقننةقيمة مقررة,"Bemessungswert, m",rated value,mitoitusarvo,"valeur assignée, f",valore nominale; valore specificato,定格値,정격값,wartość znamionowa,valor estipulado,номинальное значение,"назначена вредност, ж јд",märkvärde,额定值
442-01-02,rated current (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-02,تيار مقنن (للملحقات ),"Bemessungsstromstärke, <für Installationsmaterial> f",rated current (for accessories),mitotusvirta,courant assigné (pour le petit appareillage) m,corrente nominale,定格電流,"정격 전류, <부속품>",prąd znamionowy (wyrobu),corrente estipulada (para aparelhagem),номинальный ток (для электроустановочных изделий),"назначена струја, <за прибор> ж јд",märkström,"额定电流, <电器附件的>"
442-01-03,rated voltage (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-03,جهد مقنن (للقطع التكميلية),"Bemessungsspannung, <für Installationsmaterial> f",rated voltage (for accessories),mitoitusjännite,tension assignée (pour le petit appareillage) f,tensione nominale,定格電圧,"정격 전압, <부속품>",napięcie znamionowe (wyrobu),tensão estipulada (para aparelhagem),номинальное напряжение (для электроустановочных изделий),"назначени напон, <за прибор> м јд",märkspänning,"额定电压, <电器附件的>"
442-01-04,nominal value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-04,قيمة إسمية,"Nennwert, m",nominal value,nimellisarvo,"valeur nominale, f",valore nominale,公称値,공칭값,wartość nominalna,valor nominal,паспортное значение,"називна вредност, ж јд",nominellt värde,标称值
442-01-05,recovery voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-05,جهد استعادةجهد استرداد,"wiederkehrende Spannung, f",recovery voltage,palaavajännite,"tension de rétablissement, f",tensione di ritorno,復帰電圧,복구 전압,napięcie powrotne,tensão de restabelecimento,восстанавливающееся напряжение,"повратни напон, м јд",återvändande spänning,恢复电压
442-01-06,rated control voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-06,جهد تحكم مقننجهد تحكم مقرر,"Bemessungs-Steuerspannung, f",rated control voltage,mitoitusohjausjännite,"tension de commande assignée, f",tensione nominale di comando,定格制御電圧,정격 제어 전압,napięcie znamionowe sterownicze,tensão de comando estipulada,номинальное напряжение цепи управления,"назначени управљачки напон, м јд",manövermärkspänning,额定控制电压
442-01-07,rated operating voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-07,جهد تشغيل مقننجهد تشغيل مقرر,"Bemessungs-Betriebsspannung, f",rated operating voltage,mitoitustoimintajännite,"tension d'emploi assignée, f",tensione nominale di impiego,定格動作電圧,정격 운전 전압,napięcie znamionowe robocze,tensão nominal de utilização,номинальное рабочее напряжение,"назначени радни напон, м јд",märkdriftspänning,额定工作电压
442-01-08,base (of an accessory),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-08,قاعدة لجهاز ملحققاعدة (للقطعة التكميلة),"Unterteil, <eines Installationsmaterials> nSockel, <eines Installationsmaterials> m",base (of an accessory),kanta,base (d'un appareil) f,corpo,ベース,"기저, <부속품>베이스, <부속품>",podstawa (wyrobu),base (de um aparelho),основаниецоколь,"основа, <прибора> ж јд",sockel,"基座, <电器附件的>"
442-01-09,metal components,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-09,مكونات معدنية,"metallische Bauteile, n, pl",metal components,metalliosa,"composants métalliques, m pl",componenti metallici; parti metalliche,金属部品,금속 구성요소금속 부품,elementy metalowe,componentes metálicos,металлические компоненты,"металне компоненте, ж мн",metalldelar,金属部件
442-01-10,insulating components,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-10,مكونات عازلة,"isolierende Bauteile, n, pl",insulating components,eristysosa,"composants isolants, m pl",componenti isolanti; parti isolanti,絶縁部品,절연 구성요소절연 부품,elementy izolacyjne,componentes isolantes,изоляционные компоненты,"компоненте од изолационог материјала, ж мн",isolerdelar,绝缘部件
442-01-11,composite components,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-11,مكونات مركبة,"Bauteile in Gemischtbauweise, n, pl",composite components,komposiittiosayhdistelmäosa,"composants composites, m pl",componenti compositi; parti composte,複合部品,복합 구성요소복합 부품,elementy wieloskładnikowe,componentes compósitos,композитные компоненты,"композитне компоненте, ж мн",kompositdelar,复合部件
442-01-12,non-flame propagating component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-12,مكون ذو إشتعال غير منتشر,"nicht flammverbreitendes Bauteil, nnicht zur Flammenausbreitung beitragendes Bauteil, n",non-flame propagating component,liekkiä ylläpitämätön osa,"composant non propagateur de la flamme, m","componente non propagante la fiamma; parte non 
propagante la fiamma",不燃性部品,불연성 구성요소불연성 부품,element nie rozprzestrzeniający płomieni,componente não propagador de chama,"компонент, не распространяющий горение","компонента која не шири пламен, ж јд",icke-brandspridande del,非火焰蔓延部件
442-01-13,external influences,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-13,مؤثرات خارجية,"äußere Einflüsse, m, pl",external influences,ympäristön vaikutukset,"influences externes, f pl",influenze esterne,外部要因,외부 유도,wpływy zewnętrzne,influências externas,внешние воздействия,"спољашњи утицаји, м мн",yttre påverkan,外部影响
442-01-14,moulded-on accessory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-14,قطعة تكميلية مصبوبة,"umspritztes Installationsmaterial, n",moulded-on accessory,valettu asennustarvike,"appareil surmoulé, m",accessorio ottenuto con procedimento di sovrastampaggio,コード一体成形部品,성형 부속품,wyrób zaprasowanyosprzęt zaprasowany,aparelho sobremoldado,электроустановочное изделие литого исполнения,"компактан прибор, м јд",pågjuten apparat,模制成型附件
442-01-15,accessible part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-15,جزء يمكن الوصول إليه,"berührbares Teil, n",accessible part,kosketeltava osa,"partie accessible, f",parte accessibile,可触部品,접촉 가능 부분,część dostępna,parte acessível,доступная часть,"приступачни део, м јд",berörbar del,可触及部件
442-01-16,detachable part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-16,جزء يمكن فصله,"abnehmbares Teil, n",detachable part,irrotettava osa,"partie amovible, f",parte separabile,交換可能部品,분리 가능 부분,część odejmowalna,parte amovível,съемная часть,"одвојиви део, м јд",löstagbar del,易拆卸部件
442-01-17,rewirable accessory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-17,ملحقة يمكن استبدال أسلاكهاقطعة تكميلية يمكن استبدال أسلاكها,"wiederanschließbares Installationsmaterial, n",rewirable accessory,vaihtojohtoinen asennustarvike,"appareil démontable, m",accessorio smontabile,電線交換形部品,전선 교환 가능 부속품,wyrób rozbieralny,aparelho desmontável,электроустановочное изделие со сменяемым шнуром,"раставни прибор, м јд",demonterbar materiel,可拆线附件
442-01-18,non-rewirable accessory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-18,ملحقة لا يمكن استبدال أسلاكهاقطعة تكميلية لا يمكن استبدال أسلاكها,"nicht wiederanschließbares Installationsmaterial, nnicht lösbares Installationsmaterial, n",non-rewirable accessory,kiintojohtoinen asennustarvike,"appareil non démontable, m",accessorio non smontabile,電線非交換形部品,전선 교환 불가능 부속품,wyrób nierozbieralny,aparelho não desmontável,электроустановочное изделие с несменяемым шнуром,"нераставни прибор, м јд",icke-demonterbar materiel,不可拆线附件
442-01-19,operational insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-19,عزل تشغيلى,"Betriebsisolierung, f",operational insulation,toiminnallinen eristys,"isolation fonctionnelle, f",isolamento funzionale,機能絶縁,작동 절연작업 절연,izolacja funkcjonalna,isolação funcional,рабочая изоляция,"радна изолација, ж јд",funktionsisolering,工作绝缘
442-01-20,overcurrent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-20,تيار زائد,"Überstrom, m",overcurrent,ylivirta,"surintensité, f",sovracorrente,過電流,과전류,prąd przetężeniowyprzetężenie,sobreintensidade,сверхток,"струја преоптерећења, ж јд",överström,过电流
442-01-21,exposed conductive part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-21,جزء موصل مكشوف,"Körper, <eines elektrischen Betriebsmittels> m",exposed conductive part,jännitteelle altis osa,"masse, f",massa; parte conduttrice accessibile,非充電金属部,노출 도전부,część przewodząca dostępna,parte condutiva acessívelmassa (desaconselhado neste sentido),открытая проводящая часть,"изложени проводни део, м јд",utsatt del,外露导电部分
442-01-22,temperature rise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-22,ارتفاع درجة الحرارة,"Erwärmung, fÜbertemperatur, f",temperature rise,lämpeneminen,"échauffement, m",sovratemperatura; riscaldamento,温度上昇,온도 상승,przyrost temperatury,aquecimento,превышение температуры,"пораст температуре, м јд",temperaturstegring,温升
442-01-23,earth fault current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-23,تيار عطل أرضي,"Erdschlussstrom, m",earth fault current,maasulkuvirta,"courant de défaut à la terre, m",corrente di guasto verso terra,地絡電流,지락 고장 전류,prąd uszkodzeniowy doziemny,corrente de defeito à terra,ток замыкания на землю,"струја квара према земљи, ж јд",jordfelsström,接地故障电流
442-01-24,earth leakage current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-24,تيار تسرب أرضي,"Erdableitstrom, m",earth leakage current,vuotovirta,"courant de fuite (à la terre), m",corrente di dispersione verso terra,漏えい電流,지락 누설 전류,prąd upływowy doziemny,corrente de fuga (à terra),ток утечки на землю,"струја одвода према земљи, ж јд",läckström till jord,对地泄漏电流
442-01-25,signal indicator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-25,مبين إشارة,"Signalanzeiger, m",signal indicator,osoitin,"indicateur de signalisation, m",indicatore di segnale,表示部品,신호 지시기,wskaźnik sygnalizacyjny,indicador de sinalização,сигнальный индикатор,"индикатор сигнала, м јд",indikator,信号指示器
442-01-26,unprepared conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-26,موصل غير مجهز التوصيل,"unvorbereiteter Leiter, m",unprepared conductor,esivalmistelematon johdin,"conducteur non préparé, m",conduttore non preparato,接続前未処理電線,비준비 도체,przewód o zakończeniu nieobrobionym,condutor sem preparação especial,"проводник, не подготовленный к присоединению","проводник без посебне припреме, м јд",oberedd ledare,非制备导线
442-01-27,prepared conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-27,موصل مجهز التوصيل,"vorbereiteter Leiter, m",prepared conductor,esivalmisteltu johdin,"conducteur préparé, m",conduttore preparato,接続前処理電線,준비 도체,przewód o zakończeniu obrobionym,condutor com preparação especial,"проводник, подготовленный к присоединению","проводник са посебном припремом, м јд",förberedd ledare,制备导线
442-01-28,pollution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-28,تلوث,"Verschmutzung, f",pollution,likaantuminen,"pollution, f",inquinamento,汚染,공해,zanieczyszczenie,poluição,загрязнение,"загађење, с јд",förorening,污染
442-01-29,micro-environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-01-29,بيئة متناهية الصغر,"Mikroumgebung, f",micro-environment,mikroympäristö,"micro-environnement, m",micro-ambiente,ミクロ環境,마이크로 환경,mikrośrodowisko,micro-ambiente,микроокружающая среда,"микрооколина, ж јд",mikroomgivning,微环境
