term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sv,zh
444-01-01,electrical relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-01,مرحل كهربائي,"elektrisches Relais, n",electrical relay,relé eléctrico,sähkörele,"relais électrique, m",relè elettico,電気式リレー,전기 계전기,elektrisk relé,przekaźnik elektryczny,relé eléctrico,relä,电气继电器
444-01-02,all-or-nothing relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-02,مرحل الكل أو لا شيئ,"Schaltrelais, n",all-or-nothing relay,relé de todo o nada,kytkinrele,"relais de tout ou rien, m",relè a tutto o niente,オールオアナッシングリレー,유무 계전기,hjelperelé (mellomrele),przekaźnik pomocniczy,relé tudo-ou-nada,icke mätande relä,有或无继电器
444-01-03,elementary relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-03,مرحل بسيط ( أولي ),"Elementarrelais, n",elementary relaynon-specified-time relay  (deprecated),relé de tiempo no especificado (desaconsejado)relé elemental,yleisrele,"relais élémentaire, mrelais à temps non spécifié  (déconseillé), m",relè elementare,エレメンタリーリレー,요소 계전기,elementærrelé,przekaźnik pośredniczący (bezzwłoczny),relé elementar,elementarrelä,"基础继电器非定时限继电器, （拒用）"
444-01-04,electromechanical relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-04,مرحل كهروميكانيكي,"elektromechanisches Relais, n",electromechanical relay,relé electromecánico,sähkömekaaninen rele,"relais électromécanique, m",relè elettromeccanico,エレクトロメカニカルリレー,전기 기계식 계전기,elektromekanisk relé,przekaźnik elektromechaniczny,relé electromecânico,elektromekaniskt relä,机电继电器
444-01-05,electromagnetic relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-05,مرحل كهرومغناطيسي,"elektromagnetisches Relais, n",electromagnetic relay,relé electromagnético,sähkömagneettinen rele,"relais électromagnétique, m",relè elettromagnetico,電磁リレー,전자기 계전기전자 계전기,elektromagnetisk relé,przekaźnik elektromagnetyczny,relé electromagnético,elektromagnetiskt relä,电磁继电器
444-01-06,solid-state relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-06,مرحل ساكن,"Halbleiterrelais, n",solid-state relay,relé estático,staattinen relepuolijohderele,"relais statique, m",relè statico,ソリッドステートリレー,고체 계전기,statisk relé,przekaźnik statyczny,relé estático,statiskt relä,固体继电器
444-01-07,monostable relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-07,مرحل أحادي الإستقرارية,"monostabiles Relais, n",monostable relay,relé monoestable,monostabiili rele,"relais monostable, m",relè monostabile,単安定リレー,단 안정 계전기,monostabilt relé,przekaźnik monostabilny,relé monostável,monostabilt relä,单稳态继电器
444-01-08,bistable relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-08,مرحل ثنائي الإستقرارية,"bistabiles Relais, n",bistable relay,relé biestable,bistabiili rele,"relais bistable, m",relè bistabile,双安定リレー,이 안정 계전기,bistabilt relé,przekaźnik bistabilny,relé bistável,bistabilt relä,双稳态继电器
444-01-09,polarized (elementary) relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-09,مرحل (بسيط) مستقطب,"gepoltes Elementarrelais, ngepoltes Relais, n",polarized (elementary) relay,relé polarizado (elemental),polarisoitu rele,"relais (élémentaire) polarisé, m",relè (elementare) polarizzato,エレメンタリー有極リレー有極リレー,극 요소 계전기,polarisert relé,przekaźnik spolaryzowany (pośredniczący),relé polarizado (elementar),polariserat relä,极化继电器
444-01-10,non-polarized relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=444-01-10,مرحل غير مستقطب,"ungepoltes Relais, n",non-polarized relay,relé no polarizado,polarisoimaton rele,"relais non polarisé, m",relè non polarizzato,無極リレー,무극 계전기,ikkje-polarisert relé,przekaźnik niespolaryzowany,relé não-polarizado,opolariserat relä,非极化继电器
