term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,zh
445-01-01,time relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-01,مُرَحِّل زمني محددمُرَحِّل زمني,"Zeitrelais, nRelais mit festgelegtem Zeitverhalten, n",time relayspecified-time relay,relé temporizado,aikarele,"relais temporisé, m",Relè temporizzatoRelè a tempo,タイマ,시간 계전기,tidsrelé,przekaźnik czasowy,relé temporizado,时间继电器定时限继电器
445-01-02,power on-delay relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-02,مُرَحِّل تأخير التوصيلمُرَحِّل تأخير توصيل التغذية,"ansprechverzögertes Zeitrelais, n",power on-delay relayon-delay relay,relé temporizado a la puesta en tensión,vetohidastettu aikarele,"relais temporisé à la mise sous tension, m",Relè ritardato all’inserzione,オンディレータイマ,전력 지연 계전기,relé med forseinka innkopling,przekaźnik z opóźnionym zadziałaniem,relé temporizado à operação,动作延时继电器
445-01-03,power off-delay relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-03,مُرَحِّل تأخير الفصل الحقيقيمُرَحِّل تأخير فصل التغذية,"rückfallverzögertes Zeitrelais, n",power off-delay relaytrue off-delay relay,relé temporizado al corte,päästöhidastettu aikarele,"relais temporisé à la coupure, m",Relè ritardato alla disinserzione,オフディレータイマ,전력 즉시 계전기,relé med forseinka utkopling,przekaźnik z opóźnionym powrotem,relé temporizado à desoperação,释放延时继电器
445-01-04,off-delay relay with control signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-04,مُرَحِّل تأخير الفصلمُرَحِّل تأخير الفصل ذو اشارة تحكم,"rückfallverzögertes Zeitrelais mit Steuersignal, n",off-delay relay with control signaloff-delay relay,relé temporizado al corte con señal de control,päästöhidastettu aikarele apujännitteellä,"relais temporisé à la coupure avec signal de commande, m",Relè ritardato alla disinserzione con segnale di comando,シグナルオフディレータイマ,제어신호 있는 비지연 계전기,relé med forseinka utkopling med styresignal,"przekaźnik z opóźnionym powrotem, z wejściem sterującym",relé temporizado à desoperação com sinal de controlo,有控制信号的释放延时继电器
445-01-05,on- and off-delay relay with control signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-05,مُرَحِّل تأخير التوصيل والفصل ذو اشارة تحكم,"ansprechverzögertes und rückfallverzögertes Zeitrelais mit Steuersignal, n",on- and off-delay relay with control signal,relé temporizado a la puesta en tensión y al corte con señal de control,veto- ja päästöhidastettu aikarele apujännitteellä,"relais temporisé à la mise sous tension et à la coupure avec signal de commande, m",Relè ritardato all’inserzione e alla disinserzione con segnale di comando,シグナルオンオフディレータイマ,제어신호있는 지연 및 비지연 계전기,relé med forseinka ut-/innkopling med styresignal,"przekaźnik z opóźnionym zadziałaniem i opóźnionym powrotem, z wejściem sterującym",relé temporizado à operação e à desoperação com sinal de controlo,有控制信号的动作和释放延时继电器
445-01-06,flasher relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-06,مُرَحِّل دورة متكررةمُرَحِّل تقطيع الاشارة,"Blinkrelais, n",flasher relayrepeat cycle relay,relé de accionamiento intermitente,vilkkurele,"relais clignotant, m",Relè a intermittenza,フリッカタイマ,단속 계전기,blinkrelé,przekaźnik migowyprzekaźnik cykliczny,relé pisca-pisca,闪光继电器重复循环继电器
445-01-07,symmetrical flasher relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-07,مُرَحِّل دورة متكررة متماثلةمُرَحِّل تقطيع متماثل,"symmetrisches Blinkrelais, n",symmetrical flasher relaysymmetrical repeat cycle relay,relé de accionamiento intermitente de ciclo simétrico,symmentrinen vilkkurele,"relais clignotant à cycle symétrique, m",Relè a intermittenza simmetrica,オンオフ時間対称フリッカタイマ,대칭 섬광 계전기대칭 단속 계전기,symmetrisk blinkrelé; pulstogrelé,przekaźnik migowy symetrycznyprzekaźnik cykliczny symetryczny,relé pisca-pisca simétrico,对称闪光继电器
445-01-08,asymmetrical flasher relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-08,مُرَحِّل دورة متكررة غير متماثلةمُرَحِّل تقطيع غير متماثل,"asymmetrisches Blinkrelais, n",asymmetrical flasher relayasymmetrical repeat cycle relay,relé de accionamiento intermitente de ciclo asimétrico,työ-taukorele,"relais clignotant à cycle asymétrique, m",Relè a intermittenza asimmetrica,オンオフ時間非対称フリッカタイマ,비대칭 섬광 계전기비대칭 단속 계전기,asymmetrisk blinkrelé,przekaźnik migowy asymetrycznyprzekaźnik cykliczny asymetryczny,relé pisca-pisca assimétrico,非对称闪光继电器非对称重复循环继电器
445-01-09,star-delta relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-09,مُرَحِّل نجمة - دلتا,"Stern-Dreieck-Relais, n",star-delta relay,relé temporizado estrella-triángulo,tähti-kolmiorele,"relais temporisé à couplage étoile-triangle, m",Relè per commutazione stella-triangolo,スターデルタタイマ,Y-△ 계전기,stjernetrekantrelé,przekaźnik rozruchowy gwiazda-trójkąt,relé temporizado estrela-triângulo,星-三角继电器
445-01-10,summation time relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-01-10,مُرَحِّل تجميع زمني,"additives Zeitrelais, n",summation time relay,relé temporizado con suma de tiempos,summa-aikarele,"relais temporisé à addition de temps, m",Relè a somma dei tempi,積算タイマ,덧셈 시간 계전기,summeringsrelé,przekaźnik czasowy sumujący,relé temporizado de tempo acumulado,累加时间继电器
