term_id,term,term_url,ar,de,en,fr,ja,ko,pl,pt,zh
447-01-01,electric relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-01,مُرَحِّل كهربائى,"elektrisches Relais, n",electric relay,"relais électrique, m",電気式リレー,전기 계전기,"przekaźnik elektryczny, m",relé elétrico,电气继电器
447-01-02,measuring relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-02,مُرَحِّل قياس,"Messrelais, n",measuring relay,"relais de mesure, m",保護リレー,측정 계전기,"przekaźnik pomiarowy, m",relé de medição,量度继电器
447-01-03,specified-time measuring relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-03,مُرَحِّل قياس ذو زمن محدد,"Messrelais mit festgelegtem Zeitverhalten, n",specified-time measuring relay,"relais de mesure à temps spécifié, m",限時リレー限時保護リレー,지정시간 측정 계전기,"przekaźnik pomiarowy zwłoczny, m",relé de medição de tempo especificado,定时限量度继电器
447-01-04,dependent-time measuring relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-04,"مُرَحِّل قياس ذو زمن تابع, يعتمد على كمية اخرى","Messrelais mit abhängiger Zeitkennlinie, n",dependent-time measuring relay,"relais de mesure à temps dépendant, m",反限時リレー反限時保護リレー,종속 시간 측정 계전기,"przekaźnik pomiarowy zwłoczny zależny, m",relé de medição de tempo dependente,它定时限量度继电器
447-01-05,independent-time measuring relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-05,"مُرَحِّل قياس ذو زمن مستقل, لا يعتمد على كمية اخرى","Messrelais mit unabhängiger Zeitkennlinie, n",independent-time measuring relay,"relais de mesure à temps indépendant, m",定限時リレー定限時保護リレー,독립 시간 측정 계전기,"przekaźnik pomiarowy zwłoczny niezależny, m",relé de medição de tempo independente,自定时限量度继电器
447-01-06,electromechanical relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-06,مُرَحِّل كهروميكانيكي,"elektromechanisches Relais, n",electromechanical relay,"relais électromécanique, m",電気機械形リレーエレクトロメカニカルリレー,전기 기계식 계전기,"przekaźnik elektromechaniczny, m",relé eletromecânico,机电式继电器机电继电器
447-01-07,electromagnetic relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-07,مُرَحِّل كهرومغناطيسى,"elektromagnetisches Relais, n",electromagnetic relay,"relais électromagnétique, m",電磁形リレー,전자기 계전기전자 계전기,"przekaźnik elektromagnetyczny, m",relé eletromagnético,电磁式继电器电磁继电器
447-01-08,static relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-08,مُرَحِّل استاتيكى,"statisches Relais, n",static relay,"relais statique, m",静止形リレー,정지형 계전기,"przekaźnik statyczny, m",relé estático,静态继电器
447-01-09,analogue relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-09,مُرَحِّل تناظرى,"Analogrelais, n","analogue relayanalog relay, US","relais analogique, m",アナログ形リレー,아날로그 계전기,"przekaźnik analogowy, m",relé analógico,模拟式继电器
447-01-10,digital relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-10,مُرَحِّل رقمى,"Digitalrelais, n",digital relay,"relais digital, m",ディジタル形リレー,디지털 계전기,"przekaźnik cyfrowy, m",relé digital,数字式继电器
447-01-11,numerical relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-11,مُرَحِّل عددى,"numerisches Relais, n",numerical relay,"relais numérique, m",ディジタル演算形リレー,수치 계전기,"przekaźnik mikroprocesorowy, m",relé numérico,数字运算继电器
447-01-12,polarized DC relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-12,مُرَحِّل مُستَقطَب للتيار المستمر,"gepoltes Gleichstromrelais, n",polarized DC relay,"relais polarisé à courant continu, m",有極リレー,유극 직류 계전기,"przekaźnik polaryzowany prądu stałego, m",relé polarizado de corrente contínua,直流极化继电器
447-01-13,polarized AC relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-13,مُرَحِّل مُستَقطَب للتيار المتردد,"gepoltes Wechselstromrelais, n",polarized AC relay,"relais polarisé à courant alternatif, m",極性量を使ったリレー,유극 교류 계전기,"przekaźnik polaryzowany prądu przemiennego, m",relé polarizado de corrente alternadarelé polarizado de corrente alterna,交流极化继电器
447-01-14,protection relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-14,مُرَحِّل حماية,"Schutzrelais, n",protection relay,"relais de protection, m",保護リレー,보호 계전기,"przekaźnik zabezpieczeniowy, m",relé de proteção,保护继电器
447-01-15,control relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-15,مُرَحِّل تحكم,"Steuerrelais, n",control relay,"relais de commande, m",制御用リレー,제어 계전기,"przekaźnik sterujący, mprzekaźnik wyjściowy, m",relé de controlo,控制继电器
447-01-16,integrated protection relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-16,مُرَحِّل حماية متكاملمُرَحِّل حماية متعدد الوظائف,"integriertes Schutzrelais, n",integrated protection relay,"relais intégré de protection, m",多機能形リレー,통합 보호 계전기,"przekaźnik zabezpieczeniowy zintegrowany, m",relé integrado de proteção,集成保护继电器
447-01-17,integrated control relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-17,مُرَحِّل تحكم متكاملمُرَحِّل تحكم متعدد الوظائف,"integriertes Steuerrelais, n",integrated control relay,"relais intégré de commande, m",多機能形制御用リレー,통합 제어 계전기,"przekaźnik sterujący zintegrowany, m",relé integrado de controlo,集成控制继电器
447-01-18,integrated protection and control relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-18,مُرَحِّل حماية و تحكم متكاملمُرَحِّل حماية وتحكم متعدد الوظائف,"integriertes Schutz- und Steuerrelais, n",integrated protection and control relay,"relais intégré de protection et de commande, m",統合形保護制御リレー,통합 보호 제어 계전기,"przekaźnik zintegrowany zabezpieczeniowy i sterujący, m",relé integrado de proteção e de controlo,集成保护控制继电器
447-01-19,adaptive relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-19,مُرَحِّل متوائم,"Relais mit angepasstem Messverhalten, n",adaptive relay,"relais adaptatif, m",適応形リレー,적응 계전기,"przekaźnik adaptacyjny, m",relé adaptativo,自适应继电器
447-01-20,primary relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-20,مُرَحِّل ابتدائى,"Primärrelais, n",primary relay,"relais primaire, m",主回路から直接付勢するリレー,일차 계전기,"przekaźnik pierwotny, m",relé primário,一次继电器
447-01-21,secondary relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-21,مُرَحِّل ثانوى,"Sekundärrelais, n",secondary relay,"relais secondaire, m",計器用変成器二次から付勢するリレー,이차 계전기,"przekaźnik wtórny, m",relé secundário,二次继电器
447-01-22,shunt relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-22,مُرَحِّل على التوازى,"Nebenschlussrelais, n",shunt relay,"relais sur shunt, m",分路設置リレー,분로 계전기,"przekaźnik współpracujący z bocznikiem, m",relé de shunt,分流继电器
447-01-23,over... relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-23,مُرَحِّل ارتفاع...,"Über...relais (in Zusammensetzungen), nMaximal...relais (in Zusammensetzungen), n",over... relay,"relais à maximum de ..., m",過…リレー,과... 계전기,"przekaźnik nadmiarowy …, m",relé de máximo de...,过量继电器
447-01-24,under... relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-24,مُرَحِّل انخفاض...,"Unter...relais (in Zusammensetzungen), nMinimal...relais (in Zusammensetzungen), n",under... relay,"relais à minimum de..., m",不足…リレー,부족... 계전기,"przekaźnik niedomiarowy …, m",relé de mínimo de...,欠量继电器
447-01-25,under and over... relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-25,مُرَحِّل.... ارتفاع و انخفاض,"Unter- und Über...relais (in Zusammensetzungen), nMinimal- und Maximal...relais (in Zusammensetzungen), n",under and over... relay,"relais à minimum et maximum de ..., m",過不足…リレー,부족 과... 계전기,"przekaźnik niedomiarowy i nadmiarowy …, m",relé de mínimo e de máximo de…,欠量和过量继电器
447-01-26,rate of change of... relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-26,مُرَحِّل معدل تغير...,"...änderungsrelais (in Zusammensetzungen), n",rate of change of... relay,"relais à dérivée de ..., m",…変化率リレー,...계전기의 변화율,"przekaźnik stromościowy …, m",relé de derivada de…,变化率继电器
447-01-27,current relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-27,مُرَحِّل تيار,"Stromrelais, n",current relay,"relais de courant, m",電流リレー,전류 계전기,"przekaźnik prądowy, m",relé de corrente,电流继电器
447-01-28,voltage relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-28,مُرَحِّل جهد,"Spannungsrelais, n",voltage relay,"relais de tension, m",電圧リレー,전압 계전기,"przekaźnik napięciowy, m",relé de tensão elétrica,电压继电器
447-01-29,frequency relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-29,مُرَحِّل تردد,"Frequenzrelais, n",frequency relay,"relais de fréquence, m",周波数リレー,주파수 계전기,"przekaźnik częstotliwościowy, m",relé de frequência,频率继电器
447-01-30,impedance relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-30,مُرَحِّل ممانعة,"Impedanzrelais, n",impedance relay,"relais d'impédance, m",インピーダンスリレー,임피던스 계전기,"przekaźnik impedancyjny, m",relé de impedância,阻抗继电器
447-01-31,reactance relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-31,مُرَحِّل مفاعلة,"Reaktanzrelais, n",reactance relay,"relais de réactance, m",リアクタンスリレー,리액턴스 계전기,"przekaźnik reaktancyjny, m",relé de reactância,电抗继电器
447-01-32,distance relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-32,مُرَحِّل مسافة,"Distanzrelais, n",distance relay,"relais de distance, m",距離リレー,거리 계전기,"przekaźnik odległościowy, m",relé de distância,距离继电器
447-01-33,mho relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-33,مُرَحِّل مو,"Mho-Relais, n",mho relay,"relais mho, m",モーリレー,모 계전기,"przekaźnik z charakterystyką mho, m",relé mho,姆欧继电器
447-01-34,earth fault relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-34,مُرَحِّل عطل أرضى,"Erdschlussrelais, n","earth fault relayground fault relay, US","relais de défaut à la terre, m",地絡リレー,지락 고장 계전기,"przekaźnik ziemnozwarciowy, m",relé de defeito à terra,接地故障继电器
447-01-35,phase fault relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-35,مُرَحِّل عطل وجهى,"Relais zum Erkennen von Außenleiterfehlern, nABGELEHNT: Phasenfehlerrelais, n",phase fault relay,"relais de défaut de phase, m",短絡リレー,상 고장 계전기,"przekaźnik od zwarć międzyfazowych, m",relé de defeito de fase,相故障继电器
447-01-36,thermal electric relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-36,مُرَحِّل كهربائى حرارى,"Messrelais zum Schutz vor thermischer Überlastung, n",thermal electric relay,"relais électrique thermique, m",温度演算形リレー,열전 계전기열전기 계전기,"przekaźnik nadprądowy cieplny, m",relé elétrico térmico,电热继电器
447-01-37,biased relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-37,مُرَحِّل استقطاب,"stabilisiertes Relais, n",biased relay,"relais à polarisation, m",比率リレー,편이 계전기,"przekaźnik stabilizowany, m",relé de polarização,偏置继电器
447-01-38,percentage relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-38,مُرَحِّل مئوى,"Prozentrelais, n",percentage relay,"relais à pourcentage, m",比率リレー,백분율 계전기,"przekaźnik stabilizowany procentowy, m",relé de percentagem,比率继电器
447-01-39,unbalance relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-39,مُرَحِّل عدم إتزان,"Unsymmetrierelais, n",unbalance relay,"relais de déséquilibre, m",平衡リレー,불평형 계전기,"przekaźnik porównawczy, m",relé de desequilíbrio,不平衡继电器
447-01-40,differential relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-40,مُرَحِّل تفاضلى,"Differentialrelais, n",differential relay,"relais différentiel, m",差動リレー,차동 계전기,"przekaźnik różnicowy, m",relé diferencial,差动继电器
447-01-41,directional relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-41,مُرَحِّل اتجاهى,"Richtungsrelais, n",directional relay,"relais directionnel, m",方向リレー,방향 계전기,"przekaźnik kierunkowy, m",relé direcional,方向继电器
447-01-42,power relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-42,مُرَحِّل قدرة,"Leistungsrelais, n",power relay,"relais de puissance, m",電力リレー,전력 계전기,"przekaźnik mocy, m",relé de potência,功率继电器
447-01-43,phase comparison relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-43,مُرَحِّل مقارنة زاوية الوجه,"Phasenvergleichsrelais, n",phase comparison relay,"relais de comparaison de phases, m",位相比較リレー,상 비교 계전기,"przekaźnik porównawczo-fazowy, m",relé de comparação de fases,相位比较继电器
447-01-44,regulating relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-44,مُرَحِّل تنظيم,"Regelrelais, n",regulating relay,"relais de régulation, m",調整リレー,조절 계전기,"przekaźnik regulacyjny, m",relé de regulação,调节继电器
447-01-45,synchronizing relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=447-01-45,مُرَحِّل تزامن,"Synchronisierrelais, nSynchrocheckrelais, n",synchronizing relay,"relais de synchronisation, m",同期投入リレー,동기화 계전기,"przekaźnik synchronizacyjny, m",relé de sincronização,同步继电器
