term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
448-11-01,protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-01,حمايةوقاية,"Selektivschutz, m",protection,protección,suojausrelesuojaus,"protection, f",protezione,保護,보호,реле хамгаалалт,vern,automatyka zabezpieczeniowazabezpieczenia,protecção,zaščita,"заштита, ж јд",reläskydd,保护
448-11-02,protection relay,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-02,مرحل حمايةمرحل وقاية,"Schutzrelais, n",protection relayprotective relay (US),relé de protección,suojarele,"relais de protection, m",relè di protezione,保護継電器,보호 계전기,хамгаалалтын реле,relévern,przekaźnik zabezpieczeniowy,relé de protecção,zaščitni rele,"релеј за заштиту, м јд",skyddsrelä,保护继电器
448-11-03,protection equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-03,معدة حماية (وقاية),"Schutzeinrichtung, f",protection equipmentrelay system (US),dispositivo de protección,suojareleistys,"dispositif de protection, m",dispositivo di protezione,保護継電装置,보호 장비,реле хамгаалалтын төхөөрөмж,utstyr for vern (f.eks. overstraumsvern),urządzenie zabezpieczeniowezabezpieczenie,dispositivo de protecção,zaščitna oprema,"опрема за заштиту, ж јд",skyddsutrustning,保护装置
448-11-04,protection system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-04,نظام حماية (وقاية),"Schutzsystem, n",protection system,sistema de protección,suojausjärjestelmä,"système de protection, m",sistema di protezione,保護継電システム,보호 계통,реле хамгаалалтын систем,system for vern,układ zabezpieczeń,sistema de protecção,zaščitni sistem,"систем за заштиту, м јд",reläskyddssystem,保护系统
448-11-05,protected section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-05,الجزء المحمي,"geschützter Abschnitt, m",protected section,sección protegida,suojausalue,"section protégée, f",sezione protetta,保護区間,보호 구간,хамгаалагдсан хэсэг,verna seksjon,odcinek zabezpieczany,secção protegida,zaščiteni odsek,"штићена секција, ж јд",skyddsområde,保护区
448-11-06,selectivity of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-06,تمييز الحماية,"Selektivität des Selektivschutzes, f",selectivity of protection,selectividad de una protección,suojauksen selektiivisyys,"sélectivité d'une protection, f",selettività di una protezione,保護の選択性,보호 선택도보호 선택성,реле хамгаалалтын сонгох чадвар,selektivitet,selektywność zabezpieczenia wybiorczość zabezpieczenia,selectividade de uma protecção,selektivnost zaščite,"селективност заштите, ж јд",reläskyddsselektivitet,保护的选择性
448-11-07,section selectivity of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-07,تمييز الحماية للجزء المعطوب,"Abschnittselektivität des Selektivschutzes, f",section selectivity of protection,selectividad de sección de una protección,suojauksen alueselektiivisyys,"sélectivité de section d'une protection, f",selettività di una protezione in riguardo alla sezione,保護の区間選択性,보호 구간 선택성,реле хамгаалалтын гэмтэлтэй хэсгийг сонгох чадвар,seksjonsselektivitet,selektywność odcinkowa zabezpieczenia,selectividade de secção de uma protecção,odsekovna selektivnost zaščite,"секциона селективност заштите, ж јд",selektivitet mellan nätrlelar,保护的区选择性
448-11-08,phase selectivity of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-08,تمييز الحماية للطور,"Leiterselektivität des Selektivschutzes, f",phase selectivity of protection,selectividad de fase de una protección,suojauksen vaiheselektiivisyys,"sélectivité de phase d'une protection, f",selettività di una protezione in riguardo alla fase,保護の相選択性,보호 상 선택도보호 상 선택성,реле хамгаалалтын фаз мэдрэх чадвар,faseselektivitet,selektywność fazowa zabezpieczenia,selectividade de fase de uma protecção,fazna selektivnost zaščite,"фазна селективност заштите, ж јд",selektivitet mellan faser,保护的相选择性
448-11-09,unit protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-09,حماية (وقاية) الوحدة,"Selektivschutz mit absoluter Selektivität, mVergleichsschutz, m",unit protection,protección con selectividad absolutaprotección de alcance definido,yksikkösuojaus,"protection à sélectivité absolue de section, f",protezione a selettività assoluta,ユニット保護,발전기 보호,бүлэг реле хамгаалалт,vern med absolutt selektivitet,zabezpieczenie odcinkowe,protecção unitária,absolutno selektivna zaščita,"заштита са апсолутном селективношћу, ж јд",absolut selektivt reläskydd,单元保护
448-11-10,non-unit protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-10,تمييز الحماية النسبي لجزء,"Selektivschutz mit relativer Selektivität, mNichtvergleichsschutz, m",non-unit protection,protección con selectividad relativaprotección de alcance indefinido,porrastetusti selektiivinen suojaus,"protection à sélectivité relative de section, f",protezione a selettvità relativa,非ユニット保護,비발전기 보호,бие даасан реле хамгаалалт,vern med relativ selektivitet,zabezpieczenie jednostronne,protecção não unitária,relativno selektivna zaščita,"заштита са релативном селективношћу, ж јд",relativt selektivt reläskydd,非单元保护
448-11-11,phase segregated protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-11,حماية ذات تمييز لطور,"leiterselektiver Schutz, m",phase segregated protectionsegregated phase protection (US),protección con discriminación de fase,vaiheen tunnistava suojaus,"protection à discrimination de phase, f",protezione con selezione della fase,各相保護,상 격리 보호,фазын ялгаварт реле хамгаалалт,vern med faseselektivitet,zabezpieczenie z rozróżnieniem fazy,protecção com discriminação de fase,zaščita s fazno diskriminacijo,"заштита са разликовањем фаза, ж јд",fasselektivt reläskydd,分相保护
448-11-12,non-phase segregated protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-12,حماية مطلقة بدون تمييز لطور,"nicht leiterselektiver Schutz, m",non-phase segregated protection,protección sin discriminación de fase,vaihetta tunnistamaton suojaus,"protection sans discrimination de phase, f",protezione senza selezione della fase,三相一括保護,비상 격리 보호,фазын ялгаваргүй реле хамгаалалт,vern utan faseselektivitet,zabezpieczenie bez rozróżnienia fazy,protecção sem discriminação de fase,zaščita brez fazne diskriminacije,"заштита без разликовања фаза, ж јд",icke fasselektivt reläskydd,不分相保护
448-11-13,main protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-13,حماية رئيسية,"Hauptschutz, m",main protectionprimary protection (US),protección principal,pääsuojaus,"protection principale, f",protezione principale,主保護,주 보호,үндсэн реле хамгаалалт,hovudvern,zabezpieczenie podstawowe,protecção principal,glavna zaščita,"основна заштита, ж јд",huvudskydd,主保护
448-11-14,backup protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-14,حماية احتياطية,"Reserveschutz, m",backup protection,protección de socorro,varasuojaus,"protection de secours, f",protezione di riserva,後備保護,뒷받침 보호후비 보호,бэлтгэл реле хамгаалалт,reservevern,zabezpieczenie rezerwowe,protecção de socorroprotecção secundária,(priključena) rezervna zaščita,"резервна заштита, ж јд",reservskydd,后备保护
448-11-15,circuit local backup protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-15,الحماية الاحتياطية المحلية للدارة,"örtlicher Reserveschutz (feldbezogen), m",circuit local backup protection,protección de socorro local de celda,lähdön paikallinen varasuojaus,"protection de secours locale de cellule, f",protezione di riserva locale di circuito; protezione di riserva locale di montante,自端入力後備保護,회로 지역 예비 보호,тоноглолын бэлтгэл реле хамгаалалт,lokalt reservevern i krins,zabezpieczenie rezerwowe lokalne pola,protecção secundária local de circuito,lokalna rezervna zaščita polja,"кола за локалну резервну заштиту, с мн",lokalt reservskydd i krets,电路近后备保护
448-11-16,substation local backup protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-16,الحماية الاحتياطية المحلية للخطة,"örtlicher Reserveschutz (stationsbezogen), m",substation local backup protection,protección de socorro local de subestación,paikallinen varasuojauspaikallinen varasuojaus asemalla,"protection de secours locale de poste, f",protezione di riserva locale di stazione,自所入力後備保護,변전소 지역 예비 보호,дэд станцын бэлтгэл реле хамгаалалт,lokalt reservevern i stasjon,zabezpieczenie rezerwowe lokalne rozdzielni,protecção secundária local de postoprotecção secundária de subestação,lokalna rezervna zaščita postaje,"локална резервна заштита подстаница, ж јд",lokalt reservskydd i station,变电站近后备保护
448-11-17,remote backup protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-17,الحماية الاحتياطية عن بعد,"Fern-Reserveschutz, m",remote backup protection,protección de socorro remota,etävarasuojaus,"protection de secours éloignée, f",protezione di riserva remota/lontana,遠端後備保護,원격 후비 보호원격 뒷받침 보호,алсын удирдлагатай бэлтгэл реле хамгаалалт,fjernt reservevern,zabezpieczenie rezerwowe zdalne,protecção secundária remota,daljinska rezervna zaščita,"даљинска резервна заштита, ж јд",fjärreservskydd,远后备保护
448-11-18,circuit-breaker failure protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-18,حماية إخفاق قاطع الدارة,"Schalterversagerschutz, m",circuit-breaker failure protectionbreaker failure protection (US),protección contra el fallo de un interruptor automático,katkaisijavikasuojaus,"protection contre la défaillance d'un disjoncteur, f",protezione per mancata apertura dell'interruttore,遮断器不動作対策保護,차단기 고장 보호,таслуур ажиллаагүй тохиолдлын реле хамгаалалт,brytarfeilvern,układ lokalnej rezerwy wyłącznikowej LRW (akronim),protecção de falha de disjuntor,zaščita pri odpovedi odklopnika,"заштита при отказу прекидача, ж јд",brytarfelsskydd,断路器失灵保护
448-11-19,standby protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-19,الحماية البديلة (الوقاية البديلة),…..,standby protection,protección de reserva,varalla oleva suojaus,"protection de réserve, f",protezione di riserva non operativa,待機保護,대기 보호,нөөц реле хамгаалалт,beredskapsvern,zabezpieczenie zapasowe,protecção de reserva,(nepriključena) rezervna zaščita,"заштита у приправности, ж јд",ersättningsskydd,备用保护
448-11-20,instantaneous protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-20,الحماية اللحظية,"unverzögerter Selektivschutz, m",instantaneous protection,protección instantánea,hidastamaton suojaus,"protection instantanée, f",protezione istantanea,即時保護,순시 보호,эгшин зуурын реле хамгаалалт,vern med momentan utløysing,zabezpieczenie bezzwłoczne,protecção instantânea,trenutna zaščita,"тренутна заштита, ж јд",momentant skydd,瞬时保护
448-11-21,delayed protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-21,حماية مؤخرة زمنياً,"verzögerter Selektivschutz, m",delayed protectiontime-delayed protection (US),protección temporizada,hidastettu suojaus,"protection temporisée, f",protezione ritardata,限時保護,지연 보호,хугацааны барилттай реле хамгаалалт,vern med forseinka utløysing,zabezpieczenie zwłoczne,protecção temporizada,zakasnjena zaščita,"заштита са кашњењем, ж јд",fördröjt skydd,延时保护
448-11-22,directional protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-22,الحماية الاتجاهية (الوقاية الاتجاهية),"Richtungsschutz, m",directional protection,protección direccional,suunnattu suojaus,"protection directionnelle, f",protezione direzionale,方向保護,방향 보호,чиглэлтэй реле хамгаалалт,retningsbestemt vern,zabezpieczenie kierunkowe,protecção direccional,smerna zaščita,"усмерена заштита, ж јд",riktat skydd,方向保护
448-11-23,reach of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-23,امتداد الحماية,"Reichweite des Schutzes, f",reach of protection,alcance de una protección,ulottuma,"portée d'une protection, f",zona protetta,保護のリーチ,비발전기 보호 거리비발전기 도달 거리,реле хамгаалалтын хамрах хүрээ,"rekkjevidd, soneutstrekning",zasięg zabezpieczenia,alcance de uma protecção,doseg zaščite,"домет заштите, м јд",räckvidd,保护范围
448-11-24,overlap of protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-24,تراكب الحماية,"Selektivschutzüberlappung, f",overlap of protection,solape de protección,päällekkäinen suojausalue,"recouvrement de protection, m",sovrapposizione di protezione,保護の重複,보호 중복,реле хамгаалалтын давхцал,overlappa verna seksjon,odcinek zabezpieczony wielokrotnie,sobreposição de protecção,prekrivanje zaščite,"преклапање заштите, с јд",överlappat skyddsområde,保护重叠区
448-11-25,residual current (for protection),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-25,تيار متبقى,"Summenstromstärke (für Selektivschutz), fSummenstrom (für Selektivschutz), m",residual current (for protection),corriente residual (para una protección),summavirtavaiheiden summavirta,courant résiduel (pour une protection) m,corrente residua (per una protezione),残留電流,"잔류 전류, <보호>","ялгаврын гүйдэл, <реле хамгаалалтын хувьд>","summeringsstraum, residualstraum",prąd szczątkowy (dla zabezpieczenia) prąd zerowy (dla zabezpieczenia),corrente residual,residualni tok,"диференцијална струја, <за заштиту> ж јд",summaström,剩余电流
448-11-26,residual voltage (for protection),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-26,جهد متبقى,"Verlagerungsspannung (für Selektivschutz), f",residual voltage (for protection),tensión residual (para una protección),summajännitevaiheiden summajännite,tension résiduelle (pour une protection) f,tenzione residua (per una protezione),残留電圧,"잔류 전압, <보호>","ялгаврын хүчдэл, <реле хамгаалалтын хувьд>","summeringsspenning, residualspenning",napięcie szczątkowe (dla zabezpieczenia) napięcie zerowe (dla zabezpieczenia),tensão residual,residualna napetost,"диференцијални напон, <за заштиту> м јд",summaspänning,剩余电压
448-11-27,positive (sequence) component (of a three-phase system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-27,مركب التتابع الموجب(لنظام ثلاثي الطور),"Mitkomponente (eines Dreiphasensystems), f",positive (sequence) component (of a three-phase system),componente directa (de un sistema trifásico),myötäkomponentti,composante directe (d'un système triphasé) f,componente di sequenza diretta,正相分,"정상 성분, <3상 시스템>","шууд бүрдүүлэгч, <гурван фазын системийн>дарааллын бүрдүүлэгч",plussfølgjekomponent (i trefasesystem),składowa zgodna (układu trójfazowego),componente directa (de um sistema trifásico),direktni sestavni del,"директна компонента, <трофазног система> ж јд",plusföljdskomponent,正序分量
448-11-28,negative (sequence) component (of a three-phase system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-28,مركب التتابع السالب(لنظام ثلاثي الطور),"Gegenkomponente (eines Dreiphasensystems), f",negative (sequence) component (of a three-phase system),componente inversa (de un sistema trifásico),vastakomponentti,composante inverse (d'un système triphasé) f,componente di sequenza inversa,逆相分,"역상 성분, <3상 시스템>","сөрөг бүрдүүлэгч, <гурван фазын системийн>дарааллын бүрдүүлэгч",minusfølgjekomponent (i trefasesystem),składowa przeciwna (układu trójfazowego),componente inversa (de um sistema trifásico),inverzni sestavni del,"инверзна компонента, <трофазног система> ж јд",minusföljdskomponent,负序分量
448-11-29,zero (sequence) component (of a three-phase system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=448-11-29,مركب التتابع الصفري(لنظام ثلاثي الطور),"Nullkomponente (eines Dreiphasensystems), f",zero (sequence) component (of a three-phase system),componente homopolar (de un sistema trifásico),nollakomponentti,composante homopolaire (d'un système triphasé) f,componente di sequenza omopolare,零相分,"영상 성분, <3상 시스템>","тэг дарааллын бүрдүүлэгч, <гурван фазын системийн>",nullfølgjekomponent (i trefasesystem),składowa zerowa (układu trójfazowego),componente homopolar (de um sistema trifásico),homopolarni sestavni del,"нулта компонента, <трофазног система> ж јд",nollföljdskomponent,零序分量
