term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,ru,sl,sr,sv,zh
461-01-01,conductor (of a cable),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-01,موصل (لكابل),"Leiter (eines Kabels), m",conductor (of a cable),conductor (de un cable),johdin,"âme, fconducteur (d'un câble) (terme déconseillé dans ce sens) m",conduttore (di un cavo),導体,"도체, <케이블>코일변, <케이블>","дамжуулагч, <кабелийн>",leiar,żyła (kabla lub przewodu) f,condutor (de um cabo)alma condutora,токопроводящая жила (кабеля),vodnik (kabla),"проводник, <кабла> м јд",ledare,"导体, <电缆的>"
461-01-02,plain conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-02,موصل عادي,"blanker Leiter, m",plain conductor,conductor desnudo,pinnoittamaton johdin,"âme (en métal) nue, f",conduttore nudo,メッキ無し導体,일반 도체,дан дамжуулагч,blank leiar,"żyła goła, f",condutor nu,токопроводящая жила без защитных покрытий,goli vodnik,"проводник без превлаке од метала, м јд",obelagd ledare,无镀层导体
461-01-03,metal-coated conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-03,موصل مطلي بالمعدن,"metallbeschichteter Leiter, m",metal-coated conductor,conductor recubierto por una capa metálica,metallipinnoitteinen johdin,"âme revêtue d'une couche métallique, f",conduttore rivestito con uno strato metallico,メッキ付き導体,금속 도금 도체,металл бүрээстэй дамжуулагч,metallbelagd leiar,"żyła metalizowana, f",condutor metalizado,токопроводящая жила с металлическим покрытием,s kovino prevlečeni vodnik,"проводник са превлаком од метала, м јд",pläterad ledare,金属镀层导体
461-01-04,tinned conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-04,موصل مغطى بطبقة قصدير,"verzinnter Leiter, m",tinned conductor,conductor estañado,tinattu johdin,"âme étamée, f",conduttore stagnato,スズメッキ導体,주석 도금 도체,цагаан тугалган бүрээстэй дамжуулагч,fortinna leiar,"żyła ocynowana, f",condutor estanhado,луженая токопроводящая жила,pocinjeni vodnik,"калајисани проводник, м јд",förtent ledare,镀锡导体
461-01-05,metal-clad conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-05,موصل ذو غلاف معدنى,"metallumhüllter Leiter, m",metal-clad conductor,conductor chapado metálicamente,kerrosmetallijohdin,"âme plaquée de métal, f",conduttore placcato,メタルクラッド導体,금속 피복 도체,металл өнгөлгөөтэй дамжуулагч,metallkledd leiar,"żyła platerowana, f",condutor bimetálico,биметаллическая токопроводящая жила,s kovino prevlečeni vodnik,"металом обложени проводник, м јд",metallklädd ledare,金属包覆导体
461-01-06,solid conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-06,موصل مصمت,"eindrähtiger Leiter, m",solid conductor,conductor de un solo alambre,umpijohdinyksilankainen johdin,"âme massive, f",conduttore a filo unico,単線導体,고형 도체고형 전선,хатуу дамжуулагч,eintråda leiar,"żyła jednodrutowa, f",condutor maciço,сплошная жила,masivni vodnik,"пуни проводник, м јд","solid ledare, entrådig ledare",实心导体
461-01-07,stranded conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-07,موصل مجدول,"verseilter Leiter, m",stranded conductor,conductor cableado,kerrattu johdin,"âme câblée, f",conduttore a corda,撚り線導体,꼰 도체,эрчилсэн дамжуулагч,fleirtråda tvinna leiar,"żyła wielodrutowa, f",condutor cableado,многопроволочная жила,večžični vodnik,"поужени проводник, м јд",fåtrådig ledare,绞合导体
461-01-08,concentrically stranded circular conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-08,موصل مستدير مجدول متحد المركز,"lagenverseilter Rundleiter, m",concentrically stranded circular conductor,conductor (cableado) circular de capas concéntricas,konsentrisesti kerrattu pyöreä johdin,"âme (câblée) circulaire à couches concentriques, f",conduttore a corda di sezione circolare,同心撚り円形導体,동심 꼰 원형 도체,нэг ерөнхий төвд төвлөрүүлж эрчилсэн дугариг дамжуулагч,konsentrisk tvinna rund leiar,"żyła wielodrutowa okrągła regularna, f",condutor circular cableado em camadas concêntricas,концентрически скрученная круглая токопроводящая жила,večplastni okrogli večžični vodnik,"концентрично поужени кружни проводник, м јд",koncentriskt slagen ledare,圆形同心绞合导体
461-01-09,bunched conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-09,موصل حزمي,"verwürgter Leiter, mLitze, f",bunched conductor,conductor en filástica irregular,kierretty johdin,"âme tordonnée, f",conduttore a fascio,集合撚り導体,다발 도체집군 도체,багцалсан дамжуулагч,bunta leiar,"żyła wielodrutowa okrągła nieregularna dławiona, f",condutor torcido,токопроводящая жила пучковой скрутки,pramenasti vodnik,"уснопљени проводник, м јд",buntad ledare,束合导体
461-01-10,multiple-stranded conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-10,موصل ذوجدائل متعددة,"mehrfach verseilter Leiter, m",multiple-stranded conductor,conductor con filástica,monikerrattu johdin,"âme en torons, f",conduttore cordato a trefoli,複合撚り導体,다중 꼰도체,олон эрчлээтэй дамжуулагч,gruppetvinna leiar,"żyła wieloskrętkowa, f",condutor cableado em grupos,многократно скрученная токопроводящая жила,vrvni vodnik,"вишеструко поужени проводник , м јд",kablad ledare (flertrådig ledare),复绞导体
461-01-11,flexible conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-11,موصل مرن,"flexibler Leiter, m",flexible conductor,conductor flexible,taipuisa johdin,"âme souple, f",conduttore flessibile,可とう導体,유연 도체신축 전선,уян дамжуулагч,fleksibel leiar,"żyła giętka, f",condutor flexível,гибкая токопроводящая жила,zvijavi vodnikgibki vodnik,"савитљиви проводник, м јд",flexible ledare,软导体
461-01-12,shaped conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-01-12,موصل مشكل,"Profilleiter, m",shaped conductor,conductor perfilado,muotoiltu johdin,"âme profilée, f",conduttore non circolare,成形導体,정형 도체,хэвжүүлсэн дамжуулагч,profilert leiar,"żyła profilowa, f",condutor perfilado,токопроводящая жила фасонного сечения,profilirani vodnik,"обликовани проводник , м јд",formad ledare,成形导体
