term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
471-01-01,arcing distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-01,مسافة القوس الكهربائى,"Schlagweite, f",arcing distance,distancia de arco,"distance d’arc, f",Distanza d’arco,フラッシオーバ距離,아킹 거리,нум үүсэх зай,"overslagslengd, slagvidd",droga przeskoku,distância de arco,obločna razdalja,,överslagsavstånd,电弧距离
471-01-02,composite insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-02,عازل مركب,"Verbundisolator, m",composite insulator,aislador compuesto,"isolateur composite, m",Isolatore composito,複合がいし,합성 애자,нийлмэл тусгаарлагч,komposittisolator,izolator kompozytowy,isolador compósito,sestavljeni izolatorkompozitni izolator,,kompositisolator,复合绝缘子
471-01-03,core (of an insulator),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-03,قلب,"Kern (eines Isolators), m",core (of an insulator),núcleo (de un aislador),noyau (d’un isolateur) m,Nucleo (di un isolatore),"がいしのコアコア, <がいしの>","철심, <애자>코어, <애자>","дотор тал, <тусгаарлагчийн>",isolatorkjerne,rdzeń  (izolatora kompozytowego),núcleo (de um isolador),jedro (izolatorja),,isolatorkärna,"芯体, <绝缘子的>"
471-01-04,creepage distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-04,مسافة الزحف,"Kriechweg, mKriechstrecke, f",creepage distance,línea de fuga,"ligne de fuite, f",Linea di fuga,表面漏れ距離,표면 누설 거리옆면 거리,гадаргуугийн цахилалтын замын урт,"krypestraumslengd, krypestraumsveg",droga upływu,linha de fuga,plazilna razdalja,,krypsträcka,爬电距离
471-01-05,deflection under bending load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-05,إزاحة تحت حمل الانحناء,"Auslenkung unter Biegebeanspruchung, f",deflection under bending load,flecha bajo carga de flexión,"flèche sous charge de flexion, f",Freccia sotto carico di flessione,曲げ荷重印加時の変位,휨 부하 편향,мурийлтын ачаалал дагуух гажилт,utbøying (ved bøyeprøving eller bøyebelastning),ugięcie pod obciążeniem,flecha sob carga de flexão,uklon (izolatorja) pri upogibni obremenitvi,,utböjning vid belastning,弯曲负荷偏移
471-01-06,end fitting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-06,تجهيزة طرفية,"Endarmatur, f",end fitting,armadura de fijación,"armature de fixation, farmature d’extrémité, f",Terminale di fissaggio,把持金具,말단 금구,төгсгөвч,endefeste,okucie element mocujący,dispositivo de fixaçãoarmadura de fixação,,,armatur,端部装配件
471-01-07,flashover (of an insulator),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-07,مسافة الشرارة,"Überschlag (eines Isolators), m",flashover (of an insulator),contorneo (de un aislador),contournement (d’un isolateur) m,Scarica superficiale (di un isolatore),"がいしのフラッシオーバフラッシオーバ, <がいしの>","섬락, <애자>","нэвт цохилт, <тусгаарлагчийн>",overslag,przeskok  (na izolatorze),contornamento (de um isolador),preskok (prek izolatorja),,överslag,"闪络, <绝缘子的>"
471-01-08,hollow insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-08,مسافة الزحفمسار التسرب,"Hohlisolator, m",hollow insulator,aislador hueco,"isolateur creux, m",Isolatore cavo,がい管,중공 애자,хөндий тусгаарлагч,holisolator,izolator osłonowyosłona izolacyjna,isolador oco,votli izolator,,hålisolator,空心绝缘子
471-01-09,housing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-09,بيت (العازل),"Schirmhülle, f",housing,revestimiento,"revêtement, m",Rivestimento,外被,함외함,их бие,kapsling,osłona  (rdzenia kompozytowego),revestimento,,,hölje,伞套
471-01-10,insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-10,عــازل,"Isolator, m",insulator,aislador,"isolateur, m",Isolatore,がいし,애자,тусгаарлагч,isolator,izolator,isolador,izolator,,isolator,绝缘子
