term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
482-01-01,cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-01,خلية,článek,"Zelle, f",cell,elemento,kenno,"élément, m",elemento,単電池素電池,전지단전지,ogniwo,elemento,"ћелија, ж јд",cell,单体电池电池
482-01-02,primary cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-02,خلية أولية، خلية ابتدائية,primární článek,"Primärzelle, f",primary cell,elemento primario,paristo,"pile, f",pila,一次素電池一次電池,일차 단전지,ogniwo pierwotne,pilha,"примарна ћелија, ж јд",primärcell,原电池
482-01-03,secondary cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-03,خلية ثانوية,akumulátorový článek,"Sekundärzelle, fAkkumulator, m",secondary cell,elemento secundario,akkukenno,"accumulateur, m",accumulatore,二次電池,이차 단전지재충전 단전지,ogniwo wtórne ogniwo akumulatorowe,acumulador,"секундарна ћелија, ж јд",laddningsbar cellsekundärcell,蓄电池
482-01-04,battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-04,نضيدة,baterie,"Batterie, f",battery,batería,akkuparisto,"batterie, f",batteria,電池,축전지,bateria akumulatorowa (dotyczy baterii ogniw wtórnych) bateria,bateria,"батерија, ж јд",batteri,电池电池组
482-01-05,fuel cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-05,خلية وقود,palivový článek,"Brennstoffzelle, f",fuel cell,pila de combustible,polttokenno,"pile à combustible, f",cella a combustibile,燃料電池,연료 전지,ogniwo paliwowe,pilha de combustível,"горива ћелија, ж јд",bränslecell,燃料电池
482-01-06,lithium cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-06,خلية ليثيوم,lithiový článek,"Lithiumzelle, f",lithium cell,elemento de litio,litiumkenno,"élément au lithium, m",elemento al litio,リチウム電池,리튬 전지,ogniwo litowe,elemento de lítio,"литијумска ћелија, ж јд",litiumcell,锂电池
482-01-07,molten salt cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-07,خلية ملح منصهر,článek s roztavenou solí,"Zelle mit schmelzflüssigem Elektrolyt, f",molten salt cell,elemento de sal fundida,sulasuolaelektrolyyttikenno,"pile à sel fondu, f",elemento a sali fusi,溶融塩電池,용융염 전지,ogniwo ze stopioną solą,pilha de sal fundido,"ћелија са електролитом од растопљених соли, ж јд",saltsmältecell,熔融盐电池
482-01-08,alkaline cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-08,خلية قلوية,alkalický článek,"alkalische Zelle, f",alkaline cell,elemento alcalino,alkalikenno,"élément alcalin, m",elemento alcalino,アルカリ電池,알칼라인 전지,ogniwo alkaliczne,elemento alcalino,"алкална ћелија, ж јд",alkalisk cell,碱性电池
482-01-09,solid electrolyte cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-09,خلية ذات محلول الكتروليتي صلب,článek s tuhým elektrolytem,"Zelle mit Feststoffelektrolyt, f",solid electrolyte cell,elemento de electrolito sólido,kiinteäelektrolyyttinen kenno,"élément à électrolyte solide, m",elemento ad elettrolito solido,固体電解質電池,고체 전해질 전지,ogniwo z elektrolitem stałym,elemento de electrólito sólido,"ћелија са чврстим електролитом, ж јд",cell med fast elektrolyt,固体电解质电池
482-01-10,non aqueous cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-10,خلية بمحلول لامائي,bezvodý článek,"Zelle mit wasserfreiem Elektrolyt, f",non aqueous cell,elemento no acuoso,vedetön kenno,"élément non aqueux, m",elemento non acquoso,非水溶液系電池,비수계 전해질 전지,ogniwo z elektrolitem niewodnym,elemento não aquoso,"неводена ћелија, ж јд",cell med vattenfri elektrolyt,非水电解质电池
482-01-11,pilot cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-11,خلية استرشادية,pilotní článek,"Pilotzelle, f",pilot cell,elemento piloto,tarkkailukenno,"élément pilote, m",elemento pilota,パイロットセル,파일럿 전지,ogniwo kontrolne,elemento piloto,"пилотћелија, ж јд",pilotcell,指示电池
482-01-12,OEM battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-12,بطارية الصانع الأصلي,baterie prvního vybaveníOEM baterie,"Erstausrüstungsbatterie, f",OEM battery,batería del equipo original,ensiasennusakkuensiasennusparisto,"batterie de premier équipement, f",batteria OEM (fornita a un Original Equipement Manufacturer),ＯＥＭ電池,오이엠 축전지주문자 생산 방식 축전지,bateria do pierwszego wyposażenia,bateria de equipamento de fabricante original,"ОЕМ батерија, ж јд",orginalbatteri,OEM电池原始设备配套电池
482-01-13,replacement battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-13,بطارية استبدالية,náhradní baterie,"Ersatzbatterie, f",replacement battery,batería de recambio,korvausakku,"batterie de remplacement, f",batteria di rimpiazzo,交換用電池,대체 축전지,bateria zamienna,bateria de substituição,"заменска батерија, ж јд",ersättningsbatteri,替换电池
482-01-14,reserve cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-14,خلية بطارية إحتياطية,rezervní článek,"Reservezelle, f",reserve cell,elemento de reserva,aktivoitava kenno,"élément amorçable, m",elemento di riserva,即用式電池,예비 전지,ogniwo rezerwowe,elemento escorvávelelemento de reserva,"резервна ћелија, ж јд",aktiverbar cell,储备电池
482-01-15,emergency battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-15,بطارية طوارئ,nouzová baterie,"Batterie für Sicherheitsstromversorgung, f",emergency battery,batería de emergencia,varavoima-akkuvaravoimaparisto,"batterie de secours, f",batteria di emergenza,非常用電池,비상 축전지,bateria awaryjna,bateria de emergência,"батерија за случај хитности, ж јд",reservkraftsbatteri,应急电池
482-01-16,buffer battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-16,بطارية مضادة,vyrovnávací baterie,"Pufferbatterie, f",buffer batteryback-up battery,batería de compensación,puskurikäyttöakkupuskurikäyttöparisto,"batterie tampon, f",batteria in tampone,バックアップ用電池バッファー用電池,완충 축전지,bateria buforowa,bateria tampão,"међубатерија, ж јдбатерија за изједначење, ж јд",buffertbatteri,缓冲电池
482-01-17,standard voltage cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-17,خلية جهد قياسي,referenční napěťový článek,"Normalelement, n",standard voltage cell,elemento de referencia de tensión,standardikennon jännite,"élément de référence de tension, m",elemento per il riferimento di tensione,標準電池,표준 전압 전지,ogniwo wzorcowe,elemento de tensão de referência,"ћелија са стандардним напоном, ж јд",referenscell,电压标准电池
482-01-18,Weston standard voltage cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-18,خلية ويستون للجهد القياسي,Westonův článek,"Weston-Normalelement, n",Weston standard voltage cell,elemento de referencia de tensión Weston,Westonin kenno,"pile étalon Weston, f",elemento (pila) Weston,ウェストン標準電池,웨스턴 표준전압 전지,ogniwo wzorcowe Westona,pilha padrão Weston,"Вестонова ћелија са стандардним напоном, ж јд",Weston-cell,韦斯顿电压标准电池
482-01-19,activation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-19,تفعيل ،تنشيط,aktivace,"Aktivierung (einer Zelle), f",activation,activación,aktivointi,"activation, f",attivazione,活性化,활성화,aktywacja,activação,"активација, ж јд",aktivering,激活
482-01-20,inactivated,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-01-20,خمول، غير نشط,neaktivovaný,"inaktiviert, Adjektiv",inactivated,inactivado,aktivoimaton,"inactivé, adj",disattivato,不活性,불활성화,nieaktywowany,inactivado,"неактивираност, ж јд",inaktiverad,未激活的
482-02-01,hermetically sealed cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-01,خلية محكمة الاغلاق,hermetický článek,"hermetisch dichte Zelle, f",hermetically sealed cell,elemento sellado herméticamente,hermeettisesti suljettu kenno,"élément hermétique, m",elemento ermetico,ハーメチックシール電池,밀봉 계전기,ogniwo hermetyczne,elemento hermético,"херметички заливена ћелија, ж јд",gastät cell,全密封电池
482-02-02,plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-02,لوح,elektroda,"Platte, f",plate,placa,levy,"plaque, f",elettrodo,極板,극판평판,płyta,placa,"плоча, ж јд",elektrodplatta(elektrod)platta,极板
482-02-03,pasted plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-03,لوح مجمع بالعجينة,mřížková elektroda,"Gitterplatte, f",pasted plate,placa empastada,massalevy,"plaque empâtée, f",elettrodo incollato,ペースト式極板,페이스트 극판,płyta pastowana,placa empastada,"пресвучена плоча, ж јд",pasterad platta,涂膏式极板
482-02-04,plate group,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-04,مجموعة ألواح,sestava elektrod,"Plattensatz, m",plate group,grupo de placas,levyryhmä,"faisceau de plaques, m",gruppo di elettrodi,同極極板群,판 그룹,zespół płyt,feixe de placas,"група плоча, ж јд",plattgrupp,极群
482-02-05,negative plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-05,لوح سالب,záporná elektroda,"negative Platte, f",negative plate,placa negativa,negatiivinen levy,"plaque négative, f",elettrodo negativo,負極板,음극판,płyta ujemna,placa negativa,"негативна плоча, ж јд",negativ platta,负极板
482-02-06,positive plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-06,لوح موجب,kladná elektroda,"positive Platte, f",positive plate,placa positiva,positiivinen levy,"plaque positive, f",elettrodo positivo,正極板,양극판,płyta dodatnia,placa positiva,"позитивна плоча, ж јд",positiv platta,正极板
482-02-07,tubular plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-07,لوح انبوبي,trubková elektroda,"Röhrchenplatte, f",tubular plate,placa tubular,putkilevy,"plaque tubulaire, f",elettrodo tubolare,クラッド式極板チューブ式極板,원통형 판,płyta pancerna,placa tubular,"цилиндрична плоча, ж јд",rörplatta,管式极板
482-02-08,plate pack,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-08,مجموعة كاملة,sada elektrodblok elektrod,"Plattenblock, m",plate pack,bloque de placas,levypakka,"bloc de plaques, m",blocco di elettrodi,極板群,판 팩,zestaw płyt,bloco de placas,"блок плоча, ж јд",plattpaket,极群组
482-02-09,plate pair,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-09,زوج من الألواح,dvojice elektrod,"Plattenpaar, n",plate pair,par de placas,levypari,"jeu de plaques, m",paio di elettrodi,極板対,판 쌍,komplet płyt,par de placas,"пар плоча, м јд",plattpar,极板对
482-02-10,"spacer, <of a cell>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-10,مباعد,"vymezovací rozpěrka, <článku>oddělovač, <článku>","Abstandhalter, m","spacer, <of a cell>",espaciador,etäisyyserotin,"espaceur, <d'un élément> m",spaziatore,スペーサ,"스페이서, <전지>",przekładka,espaçador,"одстојник, м јд",distanselement,隔离物
482-02-11,(plate) separator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-11,فاصل ألواح,separátor (elektrody),"Separator, mScheider, m",(plate) separator,separador,erotin,"séparateur, m",separatore,セパレータ,격리판,separator płyt separator,separador,"сепаратор, м јд",separator,隔离层隔板隔膜
482-02-12,valve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-12,صمام,ventil,"Zellenventil, n",valve,válvula,venttiili,"soupape, f",valvola,弁,밸브,zawór,válvula,"вентил, м јд",ventil,阀
482-02-13,cell can,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-13,وعاء الخلية,nádobka článku,"Zellenbecher, m",cell can,vaso de un elemento,kennon kuori,"godet d’un élément, m",contenitore per elemento,電池用缶,전지 캔,naczynie ogniwa,invólucro de elemento,"посуда ћелије, ж јд",bägarekärl,电池外壳
482-02-14,case,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-14,صندوق النضيدة,pouzdro,"Zellengefäß, n",case,contenedor,kennoastia,"bac, m",scatola,缶,함케이스,pojemnik,caixa,"кућиште, с јд",cellkärl,电池槽外壳
482-02-15,cell lid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-15,غطاء الخلية,víko článku,"Zellendeckel, m",cell lid,tapa de elemento,kansi,"couvercle d’élément, m",coperchio per elemento,ふた,전지 덮개,pokrywa (ogniwa lub baterii),tampa de elemento,"поклопац ћелије, м јд",lock,电池盖
482-02-16,lid sealing compound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-16,مركب إحكام غلق الغطاء,zalévací hmota,"Zellendeckel-Dichtungsmasse, f",lid sealing compound,compuesto de sellado,liima,"matériau d’étanchéité, m",composto per sigillatura del coperchio,封口コンパウンド,덮개 밀봉 합성물덮개 봉함제,masa uszczelniająca (pokrywę),material de estanquidade,"маса за заптивање поклопца, ж јд",förseglingsmassa,电池封口剂
482-02-17,monobloc battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-17,بطارية أحادية القالب,monobloková baterie,"Blockbatterie, f",monobloc battery,batería monobloque,ryhmäakku,"batterie monobloc, f",batteria monoblocco,モノブロック電池,일체형 축전지,bateria monoblokowa,bateria monobloco,"моноблок батерија, ж јд",gruppkärlsbatteri,整体电池
482-02-18,monobloc container,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-18,وعاء أحادى القالب,monobloková nádobamonoblok,"Blockkasten, m",monobloc container,contenedor monobloque,ryhmäakkuastia,"bac monobloc, m",contenitore monoblocco,モノブロック電槽,단체 용기,pojemnik monoblokowy,contentor monobloco,"кућиште моноблока, с јд",gruppkärl,整体槽
482-02-19,edge insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-19,عازل حافى (طرفى),boční izolátor,"Randstreifen, m",edge insulator,aislador lateral,reunaeriste,"isolateur latéral, m",isolatore laterale,側絶縁板,측면 절연체가장자리 절연체,izolator krawędzi płyt izolator krawędzi,isolador lateral,"ивични изолатор, м јд",kantisolator,边界绝缘体
482-02-20,jacket,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-20,غلاف,plášť,"Ummantelung, f",jacket,funda,vaippa,"conteneur, f",iviluppo,外装,재킷,obudowa zewnętrzna,camisa,"навлака, ж јд",hölje,外套
482-02-21,(cell) electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-21,قطب ( للخلية ),elektroda (článku),"Zellenelektrode, f",(cell) electrode,electrodo (de un elemento),elektrodi,"électrode (d'un élément), f",elettrodo,電極電池の電極,단전지 전극,elektroda ogniwaelektroda,eléctrodo (de um elemento),"електрода, ж јделектрода ћелије, ж јд",elektrod,单体电池电极电极
482-02-22,terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-22,طرف،نهاية,pólový vývodsvorka,"Anschluss, mAnschlusspunkt, mKlemme, fPol, m",terminal,borneterminal,napa,"borne, f",terminale,端子,단말,końcówka,terminal,"прикључак, м јд",pol,端子极端
482-02-23,terminal protector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-23,واقي النهايات، غطاء النهايات,chránič pólového vývodukryt pólového vývodu,"Anschlussschutz, mPolabdeckung, f",terminal protectorterminal cover,protector de borneprotector de terminal,napasuoja,"cache-bornes, m",copertura del terminale,端子カバー,단자 보호기,osłona końcówki,tampa de terminais,"заштитник прикључка, м јд",polskydd,端子保护套
482-02-24,negative terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-24,طرف قطب سالب,záporný pólový vývod,"Minuspol, m",negative terminal,borne negativoterminal negativo,negatiivinen napa,"borne négative, f",terminale negativo,負極端子,음극 단자,końcówka ujemna,terminal negativo,"негативни прикључак, м јд",minuspolnegativ pol,负极端子负极极端
482-02-25,positive terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-02-25,طرف قطب موجب,kladný pólový vývod,"Pluspol, m",positive terminal,borne positivoterminal positivo,positiivinen napa,"borne positive, f",terminale positivo,正極端子,양극 단자,końcówka dodatnia,terminal positivo,"позитивни прикључак, м јд",positiv polpluspol,正极端子正极极端
