term_id,term,term_url,de,en,fr,ja,pl,pt,zh
511-01-01,device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-01,"Einrichtung, fGerät, nBauelement, n",device,"dispositif, m",デバイス,"przyrząd, murządzenie, n",dispositivo,器件装置
511-01-02,molecular electronics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-02,"molekulare Elektronik, f",molecular electronics,"électronique moléculaire, f",分子エレクトロニクス,"elektronika molekularna, f",eletrónica molecular,分子电子学
511-01-03,nanoscale,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-03,"Nanomaßstab, m",nanoscale,"échelle nanométrique, f",ナノスケール,"nanoskala, f",escala nanométricananoescala,纳米尺度
511-01-04,nanomaterial,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-04,"Nanomaterial, n",nanomaterial,"nanomatériau, m",ナノ材料,"nanomateriał, m",nanomaterial,纳米材料
511-01-05,engineered nanomaterial,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-05,"technisches Nanomaterial, n",engineered nanomaterial,"nanomatériau d’ingénierie, m",工学ナノ材料工業ナノ材料,"nanomateriał inżynierski, mnanomateriał zaprojektowany, m",nanomaterial de engenharia,工程化纳米材料
511-01-06,manufactured nanomaterial,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-06,"industriell hergestelltes Nanomaterial, n",manufactured nanomaterial,"nanomatériau manufacturé, m",工業ナノ材料製造ナノ材料,"nanomateriał wytworzony, mnanomateriał produkowany, m",nanomaterial manufaturado,人造纳米材料
511-01-07,nano-object,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-07,"Nanoobjekt, n",nano-object,"nano-objet, m",ナノ物体,"nanoobiekt, mnanoprzedmiot, m",nano-objeto,纳米物体
511-01-08,nanostructure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-08,"Nanostruktur, f",nanostructure,"nanostructure, f",ナノ構造,"nanostruktura, f",nanoestrutura,纳米结构
511-01-09,nanostructured material,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-09,"nanostrukturiertes Material, n",nanostructured material,"matériau nanostructuré, m",ナノ構造化材料ナノ構造材料,"materiał nanostrukturalny, m",material nanoestruturado,纳米结构材料
511-01-10,nanofibre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=511-01-10,"Nanofaser, f",nanofibre,"nanofibre, f",ナノファイバナノファイバー,"nanowłókno, n",nanofibra,纳米纤维
