term_id,term,term_url,ar,cs,de,en,fr,ja,ko,nl,pl,pt,zh
523-01-01,MEMS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-01-01,نظام كهرو ميكانيكى متناهى الصغر,mikroelektromechanický systémMEMS,"mikroelektromechanisches System, nMEMS",MEMSmicro-electromechanical system,"MEMS, msystème microélectromécanique, m",MEMS,미세전기기계시스템,"MEMS, nmicro-elektromechanisch systeem, n","MEMSurządzenie mikroelektromechaniczne, nmikrourządzenie elektromechaniczne, nmikroukład elektromechaniczny, m",MEMSsistema microeletromecânico,微机电系统
523-01-02,MST,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-01-02,,technologie mikrosystémuMST,"Mikrosystemtechnik, fMST",MSTmicrosystem technology,"MST, ftechnologies des microsystèmes, f",MST,,"MST, fmicrosysteemtechnologie, f","MSTtechnika mikrosystemów, f",MSTtecnologia dos microssistemas,微系统技术MST
523-01-03,micromachine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-01-03,,mikrostroj,"Mikrobauelement, nMikromaschine, f",micromachine,"micromachine, f",マイクロマシン,,"micromachine, f","mikrourządzenie, f",micromáquina,微机械
523-02-01,scale effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-02-01,,jev měřítka,"Skalierungseffekt, mMaßstabseinfluss, m",scale effect,"effet d’échelle, m",スケール効果,,"schaaleffect, n","efekt skalowania, mefekt skali, m",efeito de escala,尺度效应
523-02-02,microtribology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-02-02,,mikrotribologie,"Mikrotribologie, f",microtribology,"microtribologie, f",マイクロトライボロジー,,"microtribologie, f","mikrotrybologia, f",microtribologia,微摩擦
523-02-03,electro-wetting on dielectric,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-02-03,,elektrosmáčení na dielektrikuEWOD,"Elektrobenetzung auf Dielektrika, fEWOD",electro-wetting on dielectricEWOD,"électro-mouillage sur diélectrique, mEWOD, m",誘電体上の電気ぬ（濡）れ,,"elektrobevochtiging op diëlektrica, f","elektrozwilżanie na dielektryku, nEWOD",eletromolhagem sobre dielétricoEWOD,电介质上的电浸润EWOD
523-02-04,stiction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-02-04,,stikce,"Haftreibung, f",stiction,"frottement par adhérence, m",スティクション付着,,"gebonden wrijving, f","tarcie spoczynkowe, n",atrito de aderência estático,粘附
523-02-05,"hydrophilic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-02-05,,hydrofilní,"hydrophil, Adjektiv","hydrophilic, adj","hydrophile, adj",親水性,,"hydrofiel, adj","hydrofilowe, adj","hidrófilo, adj",亲水的
523-02-06,"hydrophobic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-02-06,,hydrofobní,"hydrophob, Adjektiv","hydrophobic, adj","hydrophobe, adj",疎水性,,"hydrofoob, adj","hydrofobowe, adj","hidrófobo, adjhidrofóbico, adjhidrofugo, adj",疏水的
523-03-01,"maximum force, <in a cycle>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-01,,"maximální síla, <v cyklu>","Oberkraft, <in einem Schwingspiel> f","maximum force, <in a cycle>","force maximale, <dans un cycle> f","最大力, <1サイクル中に加えられる>",,"maximale kracht, f","siła maksymalna, <w cyklu> f",força máxima,"最大力, <循环中>"
523-03-02,"minimum force, <in a cycle>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-02,,"minimální síla, <v cyklu>","Unterkraft, <in einem Schwingspiel> f","minimum force, <in a cycle>","force minimale, <dans un cycle> f","最小力, <1サイクル中に加えられる>",,"minimale kracht, f","siła minimalna, <w cyklu> f",força mínima,"最小力, <循环中>"
523-03-03,mean force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-03,,střední síla,"Mittelkraft, f",mean force,"force moyenne, f",平均力,,"gemiddelde kracht, f","Pmeansiła średnia, f",força média,平均力
523-03-04,maximum displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-04,,maximální posunutí,"obere Dehnung, f",maximum displacement,"déplacement maximal, m",最大変位,,"maximale verplaatsing, f","maksymalne przemieszczenie, n",deslocamento máximo,最大位移
523-03-05,minimum displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-05,,minimální posunutí,"untere Dehnung, f",minimum displacement,"déplacement minimal, m",最小変位,,"minimale verplaatsing, f","minimalne przemieszczenie, n",deslocamento mínimo,最小位移
523-03-06,mean displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-06,,střední posunutí,"mittlere Dehnung, f",mean displacement,"déplacement moyen, m",平均変位,,"gemiddelde verplaatsing, f","średnie przemieszczenie, n",deslocamento médio,平均位移
523-03-07,displacement range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-07,,rozsah posunutí,"Dehnungsschwingbreite, f",displacement range,"plage de déplacement, f",変位振幅範囲,,"verplaatsingsbereik, n","zakres przemieszczenia, m",intervalo de deslocamentogama de deslocamento,位移区间
523-03-08,force ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-08,,poměr silpoměr napětí,"Kräfteverhältnis, nDehnungsverhältnis, n",force ratiostress ratio,"rapport des forces, mrapport des contraintes, m",力比応力比率,,"krachtverhouding, f","stosunek sił, mstosunek naprężeń, m",razão força mínima-força máxima,力比应力比
523-03-09,"deflection, <of a test piece>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=523-03-09,,"vychýlení, <zkušebního vzorku>","Biegung, fDurchbiegung, f","deflection, <of a test piece>","flèche, <d’une éprouvette d’essai> f","たわみ, <試料の>",,"afbuiging, f","odkształcenie, <badanej próbki> n","deflexão, <de uma proveta de ensaio>flecha, <de uma proveta de ensaio>","偏差, <试样的>"
