term_id,term,term_url,cs,de,en,fi,fr,ja,ko,pl,pt,zh
581-21-01,climatic category,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-01,klimatická kategorie,"Klimakategorie, f",climatic category,ilmastoluokka,"catégorie climatique, f",耐候性カテゴリー,내후성 범위,kategoria klimatyczna,categoria climática,气候类别
581-21-02,overvoltage category,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-02,kategorie přepětí,"Überspannungskategorie, f",overvoltage category,ylijänniteluokka,"catégorie de surtension, f",過電圧カテゴリー,과전압 범주설치 범주,kategoria przepięcia,categoria de sobretensão,过电压类别
581-21-03,under load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-03,zatížená,"unter Last, Adjektiv",under load,kuormitettu,"sous charge, f",通電下,부족부하부하시,pod obciążeniem,subcarga,承受负载
581-21-04,insulation coordination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-04,koordinace izolace,"Isolationskoordination, f",insulation coordination,eristyskoordinaatio,"coordination de l’isolement, f",絶縁協調,절연협조,koordynacja izolacji,coordenação de isolamento,绝缘配合
581-21-05,rated (connector) current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-05,jmenovitý proud (konektoru),"Bemessungsstrom (für einen Steckverbinder), m",rated (connector) current,mitoitusvirtaliittimen mitoitusvirta,"courant (connecteur) assigné, m",定格コネクタ電流定格電流,정격 연결기 전류정격 커넥터 전류,prąd znamionowy (złącza),corrente estipulada (de um conector),连接器额定电流
581-21-06,cycle of (connector) operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-06,pracovní cyklus (konektoru),"Steckzyklus (für einen Steckverbinder), m",cycle of (connector) operation,käyttöjaksoliittimen käyttöjakso,"cycle de fonctionnement (d’un connecteur), m",コネクタ挿抜回数挿抜回数,작동 싸이클,cykl roboczy (złącza),ciclo de operação (de um conector),连接器的操作循环
581-21-07,pollution degree,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-07,stupeň znečištění,"Verschmutzungsgrad, m",pollution degree,likaantumisaste,"degré de pollution, m",汚損度,오염 정도,stopień zanieczyszczenia,grau de poluição,污染程度
581-21-08,type test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-08,typová zkouška,"Bauartprüfung, fTypprüfung, fBaumusterprüfung, f",type test,tyyppitestityyppikoe,"essai de type, m",形式試験,유형 시험형식 시험,badanie typu,teste de tipo,型式试验
581-21-09,pull-out force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-09,síla pro vytržení,"Leiter-Ausziehkraft, f",pull-out force,ulosvetovoima,"force d’arrachement, f",引張力,탈출력이탈력,siła wyciągnięcia,força de extracção,拉脱力
581-21-10,full test schedule,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-10,úplný program zkoušek,"Gesamt-Prüfprogramm, n",full test schedule,täydellinen testiohjelma,"programme d’essais complets, m",全項目試験計画,완전 시험 일정,program badań pełnych,programa de testes completos,全面试验一览表
581-21-11,basic test schedule,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-11,základní program zkoušek,"Grund-Prüfprogramm, n",basic test schedule,perustestiohjelma,"programme d’essais de base, m",基本試験計画,기본 시험 일정,program badań podstawowych,programa de testes básicos,基本试验一览表
581-21-12,intermediate test schedule,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-12,dílčí program zkoušek,"Teil-Prüfprogramm, n",intermediate test schedule,karsittu testiohjelma,"programme d'essais intermédiaire, m",中間試験計画,중간 시험 일정,program badań pośrednich,programa de testes intermédios,中等试验一览表
581-21-13,over-voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-13,přepětí,"Überspannung, f",over-voltageover-tension,ylijännite,"surtension, f",過電圧,과전압,przepięcie,sobretensão,过电压
581-21-14,lower limiting (connector) temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-14,dolní mezní teplota (konektoru)LLT,"untere Grenztemperatur (für einen Steckverbinder), f",lower limiting (connector) temperatureLLT (abbreviation),lämpötila-alueen alarajaliittimen lämpötila-alueen alaraja,"température limite inférieure (d’un connecteur), fLLT (abréviation) f","下限コネクタ温度LLT, （略語）下限温度",하한 온도,temperatura dolna dopuszczalna złączaLLT (akronim),temperatura limite inferior (de um conector)LLT (abreviatura),连接器下限温度LLT
581-21-15,upper limiting (connector) temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-15,horní mezní teplota (konektoru)ULT,"obere Grenztemperatur (für einen Steckverbinder), f",upper limiting (connector) temperatureULT (abbreviation),lämpötila-alueen ylärajaliittimen lämpötila-alueen yläraja,"température limite supérieure (d’un connecteur), fULT (abréviation) f","上限コネクタ温度ULT, （略語）上限温度",상한 온도,temperatura górna dopuszczalna złączaULT (akronim),temperatura limite superior (de um conector)ULT (abreviatura),连接器上限温度ULT
581-21-16,rated voltage (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-16,jmenovité napětí (pro příslušenství),"Bemessungsspannung (für Installationsmaterial), f",rated voltage (for accessories),mitoitusjännitetarvikkeiden mitoitusjännite,"tension assignée (pour le petit appareillage), f",アクセサリの定格電圧定格電圧,"정격 전압, <부속품>",napięcie znamionowe (dla akcesoriów),tensão estipulada (para acessórios),"额定电压, <附件的>"
581-21-17,rated insulation voltage (of a connecting device),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-17,jmenovité izolační napětí (spojovacího prvku),"Bemessungsspannung der Isolierung (eines Verbindungsmaterials), f",rated insulation voltage (of a connecting device),mitoituseristysjänniteliittimen mitoituseristysjännite,"tension d’isolation assignée (d’un dispositif de connexion), f",接続デバイスの定格絶縁電圧定格絶縁電圧,"정격 절연 전압, <연결 장치>",napięcie znamionowe izolacji (urządzenia przyłączonego),tensão de isolação estipulada (de um dispositivo de conexão),"额定绝缘电压, <连接器件的>"
581-21-18,rated (connector) impulse voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=581-21-18,jmenovité rázové napětí (konektoru),"Bemessungs-Stoßspannung (eines Steckverbinders), f",rated (connector) impulse voltage,mitoitussyöksyjänniteliittimen mitoitussyöksyjännite,"tension de choc assignée (d’un connecteur), f",定格コネクタインパルス電圧定格インパルス電圧,정격 충격 전압,napięcie znamionowe impulsowe (złącza),tensão de impulso estipulada (de um conector),连接器额定冲击电压
