term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,sl,sr,sv,zh
603-01-01,power system planning,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-01,تخطيط نظم القوي الكهربائية,"Netzplanung, f",power system planning,planificación de redes,voimajärjestelmän suunnittelusähkövoimajärjestelmän suunnittelu,"planification de réseau, f",pianificazione della rete,電力系統計画,전력 계통 계획,цахилгаан эрчим хүчний системийн төлөвлөлт,planowanie rozwoju systemu elektroenergetycznego,planeamento do sistemaplaneamento da rede,načrtovanje elektroenergetskega sistema,"планирање електроенергетског система, с јд",planering av elktraftsystem,电力系统规划
603-01-02,load density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-02,كثافة الحمل,"Lastdichte, f",load density,densidad de carga,kuormitustiheys,"densité de charge, f",densità di carico,需要密度,부하 밀도,ачааллын нягт,gęstość obciążenia,densidade de carga,gostota obremenitve,"густина оптерећења , ж јд",belastningstäthet,负荷密度
603-01-03,load centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-03,مركز الحمل,"Lastschwerpunkt, m",load centre,centro de gravedad de la carga,kuormituksen painopiste,"centre de gravité de la charge, m",baricentro del carico,負荷中心,부하 중심,ачааллын төв,środek ciężkości obciążenia,centro de gravidade da carga,težišče obremenitve,"тежиште оптерећења, с јд",belastningscentrum,负荷中心
603-01-04,load forecast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-04,توقعات الحمل,"Lastprognose, f",load forecast,previsión de carga,kuormitusennuste,"prévision de charge, f",previsione di carico,負荷予測,부하예측,ачааллын таамаглал,prognoza zapotrzebowania,previsão de cargas,napoved obremenitve,"прогноза оптерећења, ж јд",belastningsprognos,负荷预测
603-01-05,generation mix forecast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-05,توقعات لمحطات الانتاج,"Kraftwerkspark-Prognose, f",generation mix forecast,previsión del parque de generación,tuotantotapaennuste,"prévision du parc de production, f",previsione del parco di produzione,電源構成計画,전원 구성 예측,цахилгааны үйлдвэрлэлийн холимог таамаглал,prognoza struktury wytwarzania,previsão do parque de produção,napoved proizvodnega parka,"прогноза структуре производних капацитета, ж јд",produktionsprognos,发电构成预测
603-01-06,transmission capacity of a link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-06,سعة النقل لخط,"Übertragungsfähigkeit einer Verbindung, f",transmission capacity of a link,capacidad de transporte de una conexión,yhteyden siirtokyky,"capacité de transport d'une liaison, f",capacità di trasporto di un collegamento,連係間の送電能力,링크 송전 능력,цахилгаан дамжуулах шугамын дамжуулалтын хүчин чадал,zdolność przesyłowa powiązania sieciowegozdolność przesyłowa powiązania,capacidade de transporte de uma ligação,prenosna zmogljivost povezave,"преносна моћ вода, ж јд",överföringsförmåga hos länk,联接线输送容量
603-01-07,short-circuit current capability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-01-07,تيار قصر الدارة الاقصى المسموح به,"Kurzschlussfestigkeit, f",short-circuit current capability,corriente de cortocircuito máxima admisible,oikosulunkestävyys,"courant de court-circuit maximal admissible, m",corrente di corto circuito massima ammissibile,短絡電流容量,단락 용량,богино залгааны зөвшөөрөгдөх гүйдэл,prąd zwarciowy dopuszczalny,corrente de curtocircuito máxima admissívelcorrente de curtocircuito máxima admissível,dopustni kratkostični tok,"дозвољена струја кратког споја, ж јд",tillåten kortslutningsström,短路电流允许值
603-02-01,network calculation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-01,حسابات الشبكة,"Netzberechnung, f",network calculation,cálculo de redes,verkostolaskenta,"calcul de réseau, m",calcolo di rete,回路網計算,전력망 계산,цахилгаан шугам сүлжээний тооцоо,obliczenia sieciowe,cálculo de redes,omrežni izračun,"прорачун мреже, м јд",nätberäkning,电力网计算
603-02-02,system state variables,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-02,متغيرات حاالة النظام,"Netzvariable, f",system state variables,variables de estado (de una red),verkon tilamuuttujat,variables d'état (d'un réseau) f pl,variabili di stato (di una rete),系統状態変数,전력 시스템 상태 변수,системийн горимын хувьсах хэмжигдэхүүнүүд,zmienne stanu systemu elektroenergetycznego,variáveis de estado (de uma rede),spremenljivke stanja,"променљивe величинe система, ж мн",tillståndsvariablar,系统状态变量
603-02-03,system parameters,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-03,معطيات النظامثوابت النظام,"Netzparameter, m, plNetzkonstanten, f, pl",system parameterssystem constants,constantes de una redparámetros de una red,verkkoparametrit,"paramètres d'un réseau, m plconstantes d'un réseau, f pl",parametri di una retecostanti di una rete,系統パラメータ,시스템 매개 변수,системийн параметрүүдсистемийн тогтмол хэмжигдэхүүнүүд,parametry systemu elektroenergetycznego,parâmetros de uma redeconstantes de uma rede,parametri sistema,"параметри система, м мн",konstanta storheter,系统参数
603-02-04,network topology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=603-02-04,طوبولوجية الشبكة,"Netztopologie, f",network topology,topología de una red,verkon topologia,"topologie d'un réseau, f",topologia di una rete,系統構成,망 접속 형태네트워크 접속 형태,шугам сүлжээний топологи,topologia sieci,topologia de uma rede,topologija omrežja,"топологија мреже, ж јд",nättopologi,网络拓扑
