term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,zh
614-01-01,power quality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-01,جودة التغذية,"Spannungsqualität, f",power quality,calidad de tensión,sähkön laatu,"qualité de l’électricité, fqualité de la tension, f",qualità della tensione,電力品質,전원 품질,"jakość energii elektrycznej, f",qualidade da energia elétrica,"квалитет електричне енергије, м јд",电能质量
614-01-02,point of supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-02,مصدرالتغذيةأطراف التغذية,"Übergabestelle, f",point of supplysupply terminals,punto de suministro,sähkön toimituspaikka,"point de livraison, mbornes de livraison, f",terminale di fornitura,供給点,공급점,"punkt dostawy, <energii elektrycznej> mpunkt zasilania, m",ponto de entregaterminais de alimentação,"тачка напајања, ж јд",供电点
614-01-03,supply voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-03,جهد التغذية,"Versorgungsspannung, f",supply voltage,tensión de suministro,jakelujännite,"tension de d’alimentation, f",tensione di alimentazione,供給電圧,공급 전압,"napięcie zasilające, n",tensão de alimentação,"напон напајања, м јд",供电电压
614-01-04,voltage deviation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-04,حيود الجهد,"Spannungsabweichung, f",voltage deviation,desviación de tensión,jännitepoikkeama,"écart de tension, m",deviazione della tensione,電圧偏差,전압 편차,"odchyłka napięcia, f",desvio da tensão,"одступање напона, с јд",电压偏差
614-01-05,voltage change,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-05,تغيير الجهد,"Spannungsänderung, f",voltage change,variación de tensión,jännitteen muutos,"variation de tension, f",variazione di tensione,電圧変化,전압 변화,"zmiana napięcia, f",variação da tensão,"промена напона, ж јд",电压变动
614-01-06,voltage fluctuation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-06,تذبذب الجهد,"Spannungsschwankung, f",voltage fluctuation,fluctuación de tensiónflicker,jännitteen vaihtelu,"fluctuation de tension, f",fluttuazione di tensione,電圧変動,전압 동요,"wahania napięcia, n pl",flutuação da tensão,"колебање напона, с јд",电压波动
614-01-07,cyclic voltage variation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-07,التغييرالدورى للجهد,"zyklische Spannungsänderung, f",cyclic voltage variation,variación cíclica de tensión,jaksollinen jännitteen vaihtelu,"variation cyclique de tension, f",variazione ciclica di tensione,周期電圧変動,주기적 전압 변동,"zmiany cykliczne napięcia, f pl",variação cíclica da tensão,"циклична промена напона, ж јд",周期性电压变化
614-01-08,voltage dip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-08,انحدارالجهد,"Spannungseinbruch, m",voltage dipvoltage sag,hueco de tensión,jännitekuoppa,"creux de tension, m",buco di tensione,瞬時電圧降下,순시 전압 저하,"zapad napięcia, mprzysiad napięcia, m",cava de tensão,"краткотрајно снижење напона, с јд",电压暂降
614-01-09,voltage stability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-09,استقرار الجهد,"Spannungshaltung, f",voltage stability,estabilidad de tensión,jännitevakavuus,"tenue de la tension, f",stabilità della tensione,安定持続電圧,전압 안정도,"stabilność napięcia, f",estabilidade da tensão,"стабилност напона, ж јд",电压平稳度
614-01-10,frequency deviation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-01-10,حيود التردد,"Frequenzabweichung, f",frequency deviation,desviación de frecuencia,taajuuspoikkeama,"écart de fréquence, m",deviazione della frequenza,周波数偏差,주파수 편이,"odchyłka częstotliwości, f",desvio de frequência,"одступање фреквенције, с јд",频率偏差
