term_id,term,term_url,ar,de,en,es,fr,ja,pl,pt,zh
631-01-01,electrical energy storage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-01,وحدة تخزين الطاقة الكهربائية,"elektrischer Energiespeicher, m",electrical energy storageEES,almacenamiento de energía eléctrica,"stockage de l’énergie électrique, mEES, m",電気エネルギー貯蔵,"magazynowanie energii elektrycznej, n",armazenamento de energia elétrica,电力储能
631-01-02,electrical energy storage system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-02,نظام تخزين الطاقة الكهربائية,"Elektroenergiespeicheranlage, fEESS",electrical energy storage systemEES systemEESS,sistema de almacenamiento de energía eléctrica,"système de stockage de l’énergie électrique, msystème EES, mEESS, m",電気エネルギー貯蔵システム,"system magazynowania energii elektrycznej, m",sistema de armazenamento de energia elétricasistema EES,电力储能系统
631-01-03,battery energy storage system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-03,نظام تخزين الطاقة في البطارية,"Batteriespeichersystem, n",battery energy storage systemBESS,sistema de almacenamiento de energía en baterías,"système de stockage de l’énergie sur batterie, mBESS, m",電池エネルギー貯蔵システム,"bateryjny system magazynowania energii elektrycznej, mbateryjny magazyn energii elektrycznej, m",sistema de armazenamento de energia em bateria,电池储能系统
631-01-04,utility grid,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-04,شبكة محلية,"öffentliches Versorgungsnetz, nNetz der allgemeinen Versorgung, n",utility grid,red de distribución,"réseau de distribution, m",商用電力系統,"sieć przedsiębiorstwa elektroenergetycznego, f",rede de distribuição,公用电网
631-01-05,utility EESS,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-05,نظام تخزين الطاقة الكهربائية في شبكة محلية,"netzintegrierte Elektroenergiespeicheranlage, f",utility EESS,EES de la compañía de distribución,"EESS de distribution, m",商用電力系統用電気エネルギー貯蔵システム,"system magazynowania energii elektrycznej przedsiębiorstwa elektroenergetycznego, m",EESS de distribuição,公用电网电力储能系统
631-01-06,long-duration application,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-06,تطبيق طويل المدى,"Langzeitanwendung, fenergieintensive Anwendung, f",long-duration applicationlong-term applicationenergy-intensive application,aplicación de larga duraciónaplicación intensiva en energía,"application de longue durée, fapplication à long terme, fapplication à haute intensité énergétique, f",長時間用途長時間アプリケーション,"użytkowanie długotrwałe, nużytkowanie długookresowe, nużytkowanie energochłonne, n",aplicação de longa duração,长持续时间应用能量密集型应用
631-01-07,short-duration application,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-07,تطبيق قصير المدى,"Kurzzeitanwendung, fleistungsintensive Anwendung, f",short-duration applicationshort-term applicationpower-intensive application,aplicación de corta duraciónaplicación intensiva en potencia,"application de courte durée, fapplication à court terme, fapplication de forte puissance, f",短時間用途短時間アプリケーション,"użytkowanie krótkotrwałe, nużytkowanie krótkookresowe, nużytkowanie chłonne mocowo, n",aplicação de curta duração,短持续时间应用功率密集型应用
631-01-08,hybrid and emergency application,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-01-08,تطبيق هجين وطوارىء,"Hybrid- und Notfallanwendung, f",hybrid and emergency application,aplicación híbrida y de emergencia,"application hybride et d’urgence, f",ハイブリット用途及び非常用途,"użytkowanie awaryjne i mieszane, n",aplicação híbrida e de emergência,混合和紧急应用
631-02-01,"duty cycle, <of an EES system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-01,"دورة فحص واختبار, <في نظام تخزين الطاقة الكهربائية>","Arbeitszyklus, <eines EESS> mBetriebszyklus, <eines EESS> m","duty cycle, <of an EES system>","ciclo de servicio, <de un sistema EES>","cycle de service, <d’un système EES> m","デューティサイクル, <電気エネルギー貯蔵システムの>","cykl pracy, mcykl roboczy, m","ciclo de serviço, <de um sistema EES>","典型工况循环, <EES系统的>"
631-02-02,charging/discharging cycle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-02,دورة الشحن والتفريغ,"Lade/Entlade-Zyklus, m",charging/discharging cycle,ciclo carga/descarga,"cycle de charge/décharge, m",充放電サイクル,"cykl ładowanie/rozładowanie, m",ciclo de carga/descarga,充放电循环
631-02-03,"continuous operating conditions, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-03,"ظروف التشغيل المستمرة, جمع","dauerhafte Betriebsbedingungen, f pl","continuous operating conditions, pl","condiciones de funcionamiento en continuo, pl","conditions de fonctionnement continu, f pl",連続動作条件,"warunki pracy ciągłej, m plwarunki eksploatacji ciągłej, m pl","condições de funcionamento contínuo, pl.",正常工作条件
631-02-04,"point of connection, <of an EES system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-04,"نقطة اتصال, <في نظام تخزين الطاقة الكهربائية>","Verbindungspunkt, <eines elektrischen Energiespeichersystems> m","point of connection, <of an EES system>POC","punto de conexión; POC, <de un sistema EES>","point de connexion, <d’un système EES> mPOC, m","連系点, <電気エネルギー貯蔵システムの>","punkt połączenia, <systemu magazynowania energii elektrycznej> m","ponto de conexão, <de um sistema EES>POC","并网点, <EES系统的>"
631-02-05,primary POC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-05,نقطة اتصال للشحن والتفريغ,"Hauptverbindungspunkt, m",primary POC,"POC primario, <POC: punto de conexión>","POC primaire, m",一次連系点,"podstawowy punkt połączenia, <systemu magazynowania energii elektrycznej> m",POC primário,一次并网点
631-02-06,"nominal apparent power, <of an EES system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-06,"قدرة ظاهرية إسمية, <في نظام تخزين الطاقة الكهربائية>","Nennscheinleistung, <eines EESS> f","nominal apparent power, <of an EES system>","potencia aparente nominal, <de un sistema EES>","puissance apparente nominale, <d’un système EES> f","公称皮相電力, <電気エネルギー貯蔵システムの>","nominalna moc pozorna, <systemu magazynowania energii elektrycznej> f","potência aparente nominal, <de um sistema EES>","标称视在功率, <EES系统的>"
631-02-07,"nominal energy capacity, <of an EES system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-07,"سعة الطاقة الإسمية, <في نظام تخزين الطاقة الكهربائية>","Nennenergiekapazität, <eines EESS> f","nominal energy capacity, <of an EES system>nominal energy storage capacitynominal energy storage capability","capacidad energética nominal, <de un sistema EES>","capacité énergétique nominale, <d’un système EES> f","公称エネルギー容量, <電気エネルギー貯蔵システムの>","nominalna wydajność energetyczna, <systemu magazynowania energii elektrycznej> fnominalna pojemność magazynowa energii, fnominalna wydajność magazynowa energii, f","capacidade energética nominal, <de um sistema EES>","标称储能能量, <EES系统的>"
631-02-08,power capability chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-08,منحنى القدرة,"Leistungsdiagramm, n",power capability chartapparent power characteristicinput and output power rating,diagrama de capacidad de potenciacaracterística de la potencia aparentecaracterísticas asignadas de potencia de entrada y salida,"diagramme de capacité de puissance, mcaractéristique de puissance apparente, fcaractéristique assignée de puissance d’entrée et de sortie, f",電力性能チャート,"wykres wydajności mocy, mcharakterystyka mocy pozornej, fwejściowa i wyjściowa moc znamionowa, f",diagrama de capacidades em potência,功率调节范围图视在功率特性输入输出功率限值
631-02-09,auxiliary POC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-09,نقطة اتصال لنظام فرعى مساعد,"Hilfsverbindungspunkt, m",auxiliary POC,"POC auxiliar, <POC: punto de conexión>","POC auxiliaire, m",補助連系点,"pomocniczy punkt połączenia, <systemu magazynowania energii elektrycznej> m",POC auxiliar,辅助并网点
631-02-10,"reference environmental conditions, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-10,"ظروف بيئية مرجعية, جمع","Referenzumgebungsbedingungen, f pl","reference environmental conditions, pl","condiciones ambientales de referencia, pl","conditions environnementales de référence, f pl",基準環境条件,"środowiskowe warunki odniesienia, m pl","condições ambientiais de referência, pl",环境条件
631-02-11,"service life, <of an EES system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-11,"العمرالافتراضى للتشغيل, <في نظام تخزين الطاقة الكهربائية>","Lebensdauer, <eines EESS> f","service life, <of an EES system>","vida en servicio, <de un sistema EES>","durée de vie en service, <d’un système EES> f","性能寿命, <電気エネルギー貯蔵システムの>","trwałość użytkowa, <systemu magazynowania energii elektrycznej> fokres użytkowania, <systemu magazynowania energii elektrycznej> m","duração de vida em serviço, <de um sistema EES>","使用寿命, <EES系统的>"
631-02-12,permitted depth of charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-12,نسبة اقصى سعة طاقة مسموح بها للشحن,"zulässige Ladetiefe, fzulässige DOC, f",permitted depth of chargepermitted DOC,"profundidad de carga permitidaDOC permitida, <DOC depth of charge>","profondeur de charge permise, fDOC permise, f",許容充電度,"dopuszczalna głebokośc naładowania, fdopuszczalny DOC, m",profundidade de carga admissível,允许充电深度
631-02-13,permitted depth of discharge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-13,نسبة اقصى سعة طاقة مسموح بها للتفريغ,"zulässige Entladetiefe, fzulässige DOD, f",permitted depth of dischargepermitted DOD,"profundidad de descarga permitidaDOD permitida, <DOD depth of discharge>","profondeur de décharge permise, fDOD permise, f",許容放電度,"dopuszczalna głębokość rozładowania, fdopuszczalny DOD, m",profundidade de descarga admissível,允许放电深度
631-02-14,nominal charging duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-14,الفترة الزمنية الاسمية للشحن,"Nennladedauer, f",nominal charging duration,duración de carga nominaltiempo de carga nominal,"durée nominale de charge, f",公称充電時間,"znamionowy czas trwania ładowania, mznamionowy czas ładowania, m",duração nominal de carregamento,标称充电时间
631-02-15,nominal discharging duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-15,الفترة الزمنية الاسمية للتفريغ,"Nennentladedauer, f",nominal discharging duration,duración de descarga nominaltiempo de descarga nominal,"durée nominale de décharge, f",公称放電時間,"znamionowy czas trwania rozładowania, mznamionowy czas rozładowania, m",duração nominal de descarregamento,标称放电时间
631-02-16,"energy efficiency, <of an EES system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-02-16,"كفاءة الطاقة, <في نظام تخزين الطاقة الكهربائية>","energetischer Wirkungsgrad, <eines EESS> m","energy efficiency, <of an EES system>",eficiencia energética,"rendement énergétique, <d’un système EES> m","エネルギー効率, <電気エネルギー貯蔵システムの>","sprawność energetyczna, <systemu magazynowania energii elektrycznej> f","eficiência energética, <de um sistema EES>","能量效率, <EES系统的>"
631-03-01,EESS module,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-03-01,"وحدة, <في نظام تخزين الطاقة الكهربائية>","EESS-Modul, nEESS-Einheit, f",EESS moduleEESS unit,módulo de EESSunidad EESS,"module EESS, munité EESS, f",電気エネルギー貯蔵システムモジュール,"moduł, <systemu magazynowania energii elektrycznej> m",módulo EESSunidade EESS,电力储能系统模块电力储能系统单元
631-03-02,primary subsystem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-03-02,نظام فرعى اولى,"Hauptsubsystem, n",primary subsystem,subsistema primario,"sous-système primaire, m",一次サブシステム,"podsystem podstawowy, m",subsistema primário,一次系统
631-03-03,auxiliary subsystem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-03-03,نظام فرعى مساعد,"Hilfssubsystem, n",auxiliary subsystem,subsistema auxiliar,"sous-système auxiliaire, m",補助サブシステム,"podsystem pomocniczy, m",subsistema auxiliar,辅助系统
631-03-04,control subsystem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=631-03-04,نظام فرعى للتحكم,"Steuerungssubsystem, n",control subsystem,subsistema de control,"sous-système de commande, m",制御サブシステム,"podsystem sterowania, m",subsistema de controlo,控制系统
