term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,ru,sv,zh
651-21-01,live working,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-01,العمل تحت الجهد,"Arbeiten unter Spannung, n",live workinglive work,trabajo en tensión,"travail sous tension, m",lavoro sotto tensione,活線作業,활선 작업,"praca pod napięciem, f",trabalho em tensãoTET,работы без снятия напряженияработы под напряжением (наведенным напряжением)ПРН,Arbete med spänning,带电作业
651-21-02,working in the vicinity of energized parts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-02,العمل فى محيط الأجزاء تحت الجهد,"Arbeiten in der Nähe unter Spannung stehender Teile, n",working in the vicinity of energized parts,trabajo en proximidad de elementos con tensión,"travail au voisinage des parties sous tension, m",lavoro in prossimità di parti attive,活線近接作業,활선 근접 작업,"praca w pobliżu części pod napięciem, fpraca w pobliżu napięcia, f",trabalho na vizinhança de peças em tensão,работы вблизи токоведущих частей,arbete nära spänningssatta delar,带电部分近旁作业
651-21-03,live working zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-03,منطقة العمل تحت الجهدمنطقة الخطر,"Gefahrenzone, f",live working zonedanger zone,zona de trabajo en tensión,"zone de travail sous tension, fzone de danger, f",zona di lavoro sotto tensione,活線作業域,활선 작업 구역,"strefa prac pod napięciem, f",zona de trabalho em tensão,зона работ под напряжением,riskområde,带电作业区域
651-21-04,vicinity zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-04,المنطقة المحيطةالمنطقة المحيطة خارج منطقة العمل تحت الجهد,"Annäherungszone, f",vicinity zone,zona de proximidad,"zone de voisinage, f",zona prossima,近接域,근접 구역,"strefa w pobliżu napięcia, f",zona de vizinhança,зона работ вблизи токоведущих частей,närområde,邻近区域
651-21-05,hot stick working,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-05,العمل بإستخدام عصا معزولة,"Arbeiten auf Schutzabstand, n",hot stick working,trabajo a distancia,"travail à distance, m",lavoro a distanza,ホット・スティック作業距離をとっての作業,핫 스틱 작업활선봉 작업,"praca z odległości, f",trabalho à distância,работа под напряжением на расстоянии,arbete med isolerande verktyg,绝缘杆作业
651-21-06,insulating glove working,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-06,العمل بقفاز عازل,"Arbeiten mit Isolierhandschuhen, n",insulating glove working,trabajo en contacto,"travail au contact, m",lavoro a contatto,絶縁手袋作業ゴム手袋作業,절연 장갑 작업,"praca w kontakcie, f",trabalho ao contacto,работа под напряжением в изолирующих перчатках,arbete med isolerande handskar,绝缘手套作业
651-21-07,bare hand working,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-07,العمل باليد العاريةالعمل بدون قفاز,"Arbeiten mit direkter Berührung, n",bare hand working,trabajo a potencial,"travail au potentiel, m",lavoro a potenziale,素手作業等電位下作業,맨손 작업,"praca na potencjale, f",trabalho ao potencial,работа на потенциале,barhandsarbete,徒手作业等电位作业
651-21-08,"energized, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-08,مشحونمكهرب,"unter Spannung stehend, Adjektiv","energized, adjlive, adj",con tensión,"sous tension, adj",sotto tensione,"充電された, 形容詞課電された, 形容詞","충전된, 형용사활선",pod napięciem,"em tensão, adj",под напряжением,spänningssatt,带电的
651-21-09,"dead, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-09,غير مكهربDEPRECATED: غير مشحون,"spannungsfrei, Adjektivspannungslos, Adjektiv","dead, adjDEPRECATED: de-energized, adj",sin tensión,"hors tension, adj",fuori tensione,"無電圧の, 形容詞","정전된, 형용사사선화, 형용사",bez napięcia,"fora de tensão, adj",отключенный,spänningslös,非带电的
651-21-10,required insulation level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-10,مستوى العزل المطلوب,"erforderlicher Isolationspegel, <für das Arbeiten unter Spannung> m",required insulation levelRILL,nivel de aislamiento requerido,"niveau d'isolation requis, m",livello di isolamento richiestoRILL,活線作業のために必要とされる絶縁レベル,필요 절연 수준,"poziom izolacji wymagany, mRILL",nível de isolamento requerido,требуемый уровень изоляции,erforderlig isolationsnivå,要求的绝缘水平RILL
651-21-11,minimum approach distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-11,الحد الأدنى لمسافة الأقترابأقل مسافة عمل,"Mindest-Arbeitsabstand, m",minimum approach distanceminimum working distance,distancia mínima de proximidaddistancia mínima de trabajo,"distance minimale d'approche, fdistance minimale de travail, f",distanza minima di avvicinamentodistanza minima di lavoro,最小接近距離最小作業距離,최소 접근 거리최소 작업 거리,"odległość zbliżenia minimalna, f",distância mínima de aproximaçãodistância mínima de trabalho,минимальное расстояние по воздухуминимальный воздушный промежуток,minsta arbetsavstånd,最小安全距离
651-21-12,electrical distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-12,المسافة الكهربية,"elektrischer Abstand, m",electrical distance,distancia eléctrica,"distance électrique, f",distanza elettrica,電気的距離絶縁距離,전기 이격 거리,"odstęp elektryczny, m",distância elétricadistância de tensão,воздушный промежуток достаточной электрической прочности,isolationsavstånd,电气距离
651-21-13,ergonomic distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-13,مسافة التحركات الخاطئةجزء المسافة المتروك للتحركات الخاطئة,"ergonomischer Abstand, m",ergonomic distanceergonomic component of distance,distancia ergonómicacomponente ergonómica,"distance ergonomique, f",distanza ergonomica,人間工学的距離距離の人間工学的成分,인간 공학적 거리거리의 인간공학적 구성요소,"odstęp ergonomiczny, m",distância ergonómicadistância de guarda,эргономическое расстояние,ergonomiskt avstånd,人机操纵距离
651-21-14,tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-14,أداة مخصصة للعمل تحت الجهد,"Werkzeug, <für Arbeiten unter Spannung> n",tool,herramienta,"outil, m",attrezzi per lavori sotto tensione – attrezzi,活線作業用工具工具,도구툴,"sprzęt do prac pod napięciem, m",ferramentasferramentas TET,инструмент,"verktyg, <för arbete med spänning>",工具
651-21-15,device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-15,جهاز مخصص للعمل تحت الجهد,"Gerät, <für Arbeiten unter Spannung> n",device,dispositivo,"dispositif, m",dispositivi,活線作業用装置,장치기기장치기구,"przyrząd, murządzenie, n",dispositivo,прибор,detalj,装置
651-21-16,equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-16,معدة مخصصة للعمل تحت الجهد,"Ausrüstung, <für Arbeiten unter Spannung> f",equipment,equipo,"équipement, m",equipaggiamenti,活線作業用器具,장비기기,"wyposażenie, n",equipamento,оборудование,utrustning,设备
651-21-17,insulated tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-17,أداة معزولة,"isoliertes Werkzeug, n",insulated tool,herramienta aislada,"outil isolé, m",attrezzo isolato,絶縁工具,절연된 도구,"narzędzie izolowane, n",ferramenta isolada,изолированный инструмент,isolerat verktyg,包覆绝缘工具
651-21-18,insulating tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-18,أداة عازلة,"isolierendes Werkzeug, n",insulating tool,herramienta aislante,"outil isolant, m",attrezzo isolante,絶縁材料製の工具,절연 도구,"narzędzie izolacyjne, n",ferramenta isolante,изолирующий инструмент,isolerande verktyg,绝缘工具
651-21-19,hand tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-19,أداة يدوية,"Handwerkzeug, n",hand tool,herramienta manual,"outil à main, m",attrezzo a mano,手工具,손도구,"narzędzie ręczne, n",ferramenta manual,ручной инструмент,handverktyg,手工工具
651-21-20,insulated hand tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-20,أداة يدوية معزولة,"isoliertes Handwerkzeug, n",insulated hand tool,herramienta manual aislada,"outil à main isolé, m",attrezzo a mano isolato,絶縁された手工具,절연된 손도구,"narzędzie ręczne izolowane, n",ferramenta manual isolada,изолированный ручной инструмент,isolerat handverktyg,包覆绝缘手工工具
651-21-21,insulating hand tool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=651-21-21,أداة يدوية عازلة,"isolierendes Handwerkzeug, n",insulating hand tool,herramienta manual aislante,"outil à main isolant, m",attrezzo a mano isolante,絶縁材料製の手工具,절연 손도구,"narzędzie ręczne izolacyjne, n",ferramenta manual isolante,изолирующий ручной инструмент,isolerande handverktyg,绝缘手工工具
