term_id,term,term_url,ar,de,en,es,fr,ja,ko,mn,pl,pt,zh
692-01-01,"electric, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-01,كهربى,"elektrisch, adj","electric, adj",eléctrico,"électrique, adj","電気の, ＜形容詞＞","전기, 형용사",цахилгааны,"elektryczny, adj",elétrico,电力的电气的
692-01-02,electric power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-02,نظام كهربى,"Elektrizitätsversorgungssystem, n",electric power system,sistema eléctrico de potencia,"réseau d’énergie électrique, m",電力システム,전력 계통,цахилгаан эрчим хүчний систем,"system elektroenergetyczny, m",sistema de energia elétrica,电力系统
692-01-03,electric power network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-03,شبكة كهربية,"Elektrizitätsversorgungsnetz, n",electric power network,red eléctrica,"réseau d’énergie électrique, <transport et distribution> m",電力系統電力ネットワーク,전력 회로망,цахилгаан эрчим хүчний сүлжээ,"sieć elektroenergetyczna, f","rede de energia elétrica, <em sentido restrito>",电力网
692-01-04,bulk electric system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-04,نظام كهربى كبير,"Erzeugungs- und Übertragungssystem, nElektrizitätserzeugungs- und -übertragungssystem, n",bulk electric systemBESbulk power systembulk electricity system,sistema eléctrico de generación y transporte,"réseau de production-transport, msystème de production-transport, m",大規模電力系統,저용량 전기 시스템,үндсэн цахилгаан системҮЦС,"system wytwórczo-przesyłowy, m",sistema produção-transporte,主干电力系统主网
692-01-05,"system adequacy, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-05,"ملائمة النظام, <لنظام كهربى>كفاية النظام","Eignung, <eines Elektrizitätsversorgungssystems> fstationäre Funktionsfähigkeit, <eines Elektrizitätsversorgungssystems> f","system adequacy, <of an electric power system>","adecuación del sistema, <de un sistema eléctrico de potencia>","adéquation de réseau, <d’un réseau d’énergie électrique> f","アデカシー, <電力系統の>","계통 적정성, <전력 계통>","системийн хүрэлцээтэй байдал, <цахилгаан эрчим хүчний системийн>","prawidłowość, <systemu elektroenergetycznego> fpoprawność, <systemu elektroenergetycznego> f","adequação do sistema, <de um sistema de energia elétrica>","系统充裕度, <电力系统的>"
692-01-06,"fault, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-06,"عطل, < فى نظام كهربى>","Fehlzustand, <in einem Elektrizitätsversorgungssystem> m","fault, <in an electric power system>","falta, <en un sistema eléctrico de potencia>","panne, <dans un réseau d’énergie électrique> f","事故, ＜電力システムにおける＞故障","고장, <전력 계통>","гэмтэл, <цахилгаан эрчим хүчний системд гардаг>","zakłócenie, <w systemie elektroenergetycznym> n","avaria, <num sistema de energia elétrica>","故障, <电力系统>"
692-01-07,"load curtailment, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-07,"تخفيض الحمل, < فى نظام كهربى>تخفيف الحمل","Lastreduzierung, <in einem Elektrizitätsversorgungssystem> f","load curtailment, <in an electric power system>","reducción de carga, <en un sistema eléctrico de potencia>","réduction de fourniture, <dans un réseau d’énergie électrique> f","負荷抑制, ＜電力システムにおける＞","부하 차단, <전력 계통>","ачааллын хязгаарлалт, <цахилгаан эрчим хүчний системд гардаг>","ograniczenie mocy, <w systemie elektroenergetycznym> n","redução de fornecimento, <num sistema de energia elétrica>",负荷削减
692-01-08,"credible event, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-08,"حدث مرجح, < فى نظام كهربى>","voraussichtliches Ereignis, <in einem Elektrizitätsversorgungssystem> n","credible event, <in an electric power system>","evento creíble, <en un sistema eléctrico de potencia>","événement plausible, <dans un réseau d’énergie électrique> m","想定事象, ＜電力システムにおける＞","신뢰 사건, <전력 계통>","саатал үүссэн тохиолдол, <цахилгаан эрчим хүчний системд гардаг>","zaburzenie prawdopodobne, <w systemie elektroenergetycznym> n","acontecimento credível, <num sistema de energia elétrica>","预想事件, <电力系统>"
692-01-09,"disturbance, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-09,"اضطراب, < فى نظام كهربى>","Störung, <in einem Elektrizitätsversorgungssystem> f","disturbance, <in an electric power system>","perturbación, <en un sistema eléctrico de potencia>","perturbation, <dans un réseau d’énergie électrique> f","じょう乱, ＜電力システムにおける＞","외란, <전력 계통>교란, <전력 계통>","аваар саатал, <цахилгаан эрчим хүчний системд гардаг>","zaburzenie, <w systemie elektroenergetycznym> n","perturbação, <num sistema de energia elétrica>",扰动
692-01-10,"system disturbance, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-10,"اضطراب النظام, < فى نظام كهربى>","Systemstörung, <in einem Elektrizitätsversorgungssystem> f","system disturbance, <in an electric power system>","perturbación del sistema, <en un sistema eléctrico de potencia>","perturbation du réseau, <dans un réseau d’énergie électrique> f","系統じょう乱, ＜電力システムにおける＞","계통 교란, <전력 계통>","системийн хэмжээний аваар саатал, <цахилгаан эрчим хүчний системд гардаг>","zaburzenie w systemie, <w systemie elektroenergetycznym> n","perturbação do sistema, <num sistema de energia elétrica>",系统扰动
692-01-11,"system security, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-11,"تأمين النظام, <لنظام كهربى>","Systemsicherheit, <eines Elektrizitätsversorgungssystems> f","system security, <of an electric power system>","seguridad del sistema, <de un sistema eléctrico de potencia>","sécurité de réseau, <d’un réseau d’énergie électrique> f","セキュリティ, <電力系統の>","시스템 안전도, <전력 계통>","системийн баталгаат байдал, <цахилгаан эрчим хүчний системийн>","pewność, <systemu elektroenergetycznego> fbezpieczeństwo, <systemu elektroenergetycznego> n","segurança do sistema, <de um sistema de energia elétrica>","系统安全性, <电力系统的>"
692-01-12,"integrity, <of a bulk electric system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-12,"تكامل, <لنظام كهربى كبير>","Integrität, <eines Erzeugungs- und Übertragungssystems> f","integrity, <of a bulk electric system>","integridad, <de un sistema eléctrico de generación y transporte>","intégrité, <d’un système de production-transport> f","連系維持能力, ＜大容量発送電システムの＞インテグリティ","무결성, <총괄 전기 시스템>","нэгдмэл байдал, <үндсэн цахилгаан системийн>","integralność, <systemu wytwórco przesyłowego> f","integridade, <de um sistema de energia elétrica>","整体性, <主干电力系统的>"
692-01-13,"reliability, <of an item>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-13,"موثوقية, <لبند>عول","Funktionsfähigkeit, <einer Einheit> f","reliability, <of an item>","fiabilidad, <de un elemento>","fiabilité, <d’une entité> f","信頼性, ＜アイテムの＞","신뢰도, <품목>","найдвартай ажиллагаа, <системийн элементийн >","nieuszkadzalność, <obiektu> fbezawaryjność, <obiektu> f","fiabilidade, <de um item>",可靠性
692-01-14,"service reliability, <of an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-14,"موثوقية التشغيل, <لنظام كهربى>عول التشغيل","Versorgungszuverlässigkeit, <eines Elektrizitätsversorgungssystems> f","service reliability, <of an electric power system>","fiabilidad de servicio, <de un sistema eléctrico de potencia>","fiabilité de l’alimentation, <d’un réseau d’énergie électrique> f","サービス信頼性, <電力系統の>","공급 신뢰도, <전력 계통>","үйлчилгээний найдвартай ажиллагаа, <цахилгаан эрчим хүчний системийн>","niezawodność zasilania, <systemu elektroenergetycznego> f","fiabilidade de alimentação, <de um sistema de energia elétrica>","服务可靠性, <电力系统的>"
692-01-15,"restoration process, <in an electric power system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=692-01-15,"عملية الاسترجاع, < فى نظام كهربى>عملية الاستعادة","Wiederaufbauprozess, <in einem Elektrizitätsversorgungssystem> m","restoration process, <in an electric power system>","proceso de restauración, <en un sistema eléctrico de potencia>","processus de reconstitution, <dans un réseau d’énergie électrique> m","復旧プロセス, ＜電力システムにおける＞","복구 과정, <전력 계통>","сэргээх үйл явц, <цахилгаан эрчим хүчний системд гардаг>","proces restytucji, <systemu elektroenergetycznego> mproces odbudowy, <systemu elektroenergetycznego> m","processo de reconstituição, <num sistema de energia elétrica>","恢复过程, <电力系统>"
